"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","CUBOZOA","CUBOZOA Werner, 1973","","","","","","Valid Name","","Class","","Werner","1973","Y","e42c1e10-31d7-455b-9071-f58e9b5702ef","20130816T00:06:58.496+0000","783f2a36-cf4b-4294-a556-361a7e3709fa","20150316T21:47:36.111+0000","c3c0049c-db93-4f5b-a2af-788e10443279","783f2a36-cf4b-4294-a556-361a7e3709fa","","","","","","","","","","","","","","",""
"","","CARYBDEIDA","CARYBDEIDA Gegenbaur, 1856","","","","","","Valid Name","","Order","","Gegenbaur","1856","Y","e54bbec3-9af9-4934-af76-ee2caa0c36fe","20141118T00:26:20.533+0000","64ce6eba-2a43-451f-812e-8692b97b4488","20150316T21:47:36.111+0000","783f2a36-cf4b-4294-a556-361a7e3709fa","64ce6eba-2a43-451f-812e-8692b97b4488","","","","","","","","","","","","","","",""
"","","ALATINIDAE","ALATINIDAE Gershwin, 2005","ALATINIDAE","","","","","Valid Name","","Family","","Gershwin","2005","Y","cc51af9d-7ded-4777-aca3-92a0bf9e4eb2","20130816T00:06:58.496+0000","696f1524-6158-4ce7-81e7-85f67bf27edd","20150316T21:47:36.111+0000","64ce6eba-2a43-451f-812e-8692b97b4488","696f1524-6158-4ce7-81e7-85f67bf27edd","","","","","","","","","","","","","","",""
"","","Keesingia","Keesingia Gershwin, 2014","ALATINIDAE","Keesingia","","","","Valid Name","","Genus","","Gershwin","2014","Y","ecd0c1f2-0ad5-414d-b771-a11ab914ae82","20141118T00:17:17.860+0000","fd883c22-5ae8-4b04-b53c-fb0e482bbf9c","20150316T21:47:36.111+0000","696f1524-6158-4ce7-81e7-85f67bf27edd","fd883c22-5ae8-4b04-b53c-fb0e482bbf9c","","","","","","","","","","","","","","",""
"","","Keesingia","Keesingia Gershwin, 2014","TAMOYIDAE","Keesingia","","","","Synonym","synonym","Genus","","Gershwin","2014","Y","ec3d7f44-b7c6-4210-9f67-b3335651c617","20141118T00:17:17.860+0000","fd883c22-5ae8-4b04-b53c-fb0e482bbf9c","20150316T21:47:36.111+0000","","94fcd629-f0c6-4308-850d-78042b4021b9","Gershwin, L.-A.","2014","Two new species of box jellies (Cnidaria: Cubozoa: Carybdeida) from the central coast of Western Australia, both presumed to cause Irukandji syndrome.","10-19","","Records of the Western Australian Museum","","","","<!--MARK--><a href='null70f8b899-65ca-4620-b1d9-5ec51de0e698' class='mouseoverHref'>Gershwin, L.-A. 2014. Two new species of box jellies (Cnidaria: Cubozoa: Carybdeida) from the central coast of Western Australia, both presumed to cause Irukandji syndrome.</a> <!--MARK--><!--MARK--><a href='nulla2cbd1fb-97d5-493a-a1d7-c2b99709890b' class='mouseoverHref'><em>Records of the Western Australian Museum</em></a> <strong>29</strong>: 10-19<!--MARK-->","","Article in Journal","70f8b899-65ca-4620-b1d9-5ec51de0e698","20141117T23:38:20.203+0000","a2cbd1fb-97d5-493a-a1d7-c2b99709890b"
"","","gigas","Keesingia gigas Gershwin, 2014","ALATINIDAE","Keesingia","","gigas","","Valid Name","","Species","","Gershwin","2014","Y","ed7a8b82-f70a-4100-b76b-d5af736f20fb","20141118T00:17:17.860+0000","87c47bd3-2b5a-4aaa-b539-4e4fd1ca48d5","20150316T21:47:36.111+0000","fd883c22-5ae8-4b04-b53c-fb0e482bbf9c","87c47bd3-2b5a-4aaa-b539-4e4fd1ca48d5","","","","","","","","","","","","","","",""
"","","gigas","Keesingia gigas Gershwin, 2014","","Keesingia","","gigas","","Synonym","synonym","Species","","Gershwin","2014","Y","341def8b-f6ff-4404-9fc6-bd42790ec267","20141118T00:17:52.687+0000","87c47bd3-2b5a-4aaa-b539-4e4fd1ca48d5","20150316T21:47:36.111+0000","","ec2c3436-83e3-46ab-a525-146c0d0759ac","Gershwin, L.-A.","2014","Two new species of box jellies (Cnidaria: Cubozoa: Carybdeida) from the central coast of Western Australia, both presumed to cause Irukandji syndrome.","10-19","","Records of the Western Australian Museum","","","","<!--MARK--><a href='null70f8b899-65ca-4620-b1d9-5ec51de0e698' class='mouseoverHref'>Gershwin, L.-A. 2014. Two new species of box jellies (Cnidaria: Cubozoa: Carybdeida) from the central coast of Western Australia, both presumed to cause Irukandji syndrome.</a> <!--MARK--><!--MARK--><a href='nulla2cbd1fb-97d5-493a-a1d7-c2b99709890b' class='mouseoverHref'><em>Records of the Western Australian Museum</em></a> <strong>29</strong>: 10-19<!--MARK-->","","Article in Journal","70f8b899-65ca-4620-b1d9-5ec51de0e698","20141117T23:38:20.203+0000","a2cbd1fb-97d5-493a-a1d7-c2b99709890b"
"","","Alatina","Alatina Gershwin, 2005","ALATINIDAE","Alatina","","","","Valid Name","","Genus","","Gershwin","2005","Y","75939827-abd8-4e30-82e8-bb257ea2546c","20130816T00:06:58.496+0000","61a4b491-f2a6-4bff-9e00-d80e27b4da7c","20150316T21:47:36.111+0000","696f1524-6158-4ce7-81e7-85f67bf27edd","61a4b491-f2a6-4bff-9e00-d80e27b4da7c","","","","","","","","","","","","","","",""
"","","Alatina","Alatina Gershwin, 2005","","Alatina","","","","Synonym","synonym","Genus","","Gershwin","2005","Y","fe6fc0c3-2295-4600-9773-0ab3d30d1a74","20130816T00:06:58.496+0000","61a4b491-f2a6-4bff-9e00-d80e27b4da7c","20150316T21:47:36.111+0000","","cb4ed608-8ba7-44a8-9525-6599e978dc07","Gershwin, L.","2005","<I>Carybdea alata</I> auct. and <I>Manokia</I> <I>stiasnyi</I>, reclassification to a new family with description of a new genus and two new species","501-523","","Memoirs of the Queensland Museum","","","","<!--MARK--><a href='nullea92111e-ffaf-4f48-8344-67e766dcef3c' class='mouseoverHref'>Gershwin, L. 2005. <I>Carybdea alata</I> auct. and <I>Manokia</I> <I>stiasnyi</I>, reclassification to a new family with description of a new genus and two new species.</a> <!--MARK--><!--MARK--><a href='null1a0a2982-9f30-43e1-a641-b0379699837c' class='mouseoverHref'><em>Memoirs of the Queensland Museum</em></a> <strong>51</strong>(2): 501-523<!--MARK-->","","Article in Journal","ea92111e-ffaf-4f48-8344-67e766dcef3c","","1a0a2982-9f30-43e1-a641-b0379699837c"
"","","alata","Alatina alata (Reynaud, 1830)","ALATINIDAE","Alatina","","alata","","Valid Name","","Species","","Reynaud","1830","N","222f673d-20bf-4975-b4a0-c522990c7bb4","20130816T00:06:58.496+0000","175216e0-fe3f-44ab-af10-e0b0b7f44104","20150316T21:47:36.111+0000","61a4b491-f2a6-4bff-9e00-d80e27b4da7c","175216e0-fe3f-44ab-af10-e0b0b7f44104","","","","","","","","","","","","","","",""
