"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","DREPANEIDAE","DREPANEIDAE","DREPANEIDAE","","","","","Valid Name","","Family","","","","Y","2ab74eb7-f864-45c0-9b1a-11de56d16b35","20120511T06:33:19.199+0000","41903571-42a5-4a80-9c07-8b08b8c2a592","20130611T01:04:34.221+0000","72eb5d07-d89b-4eb2-8de4-4a236b5b5490","41903571-42a5-4a80-9c07-8b08b8c2a592","","","","","","","","","","","","","","",""
"","","Drepane","Drepane Cuvier, 1831","DREPANEIDAE","Drepane","","","","Valid Name","","Genus","","Cuvier","1831","Y","0e3bfbe8-0bd1-4933-b81f-90b816f008da","20120511T05:55:28.385+0000","b930e416-1651-4ca7-8bee-68b6de0c33e5","20130611T01:04:34.221+0000","41903571-42a5-4a80-9c07-8b08b8c2a592","b930e416-1651-4ca7-8bee-68b6de0c33e5","","","","","","","","","","","","","","",""
"","","Sicklefishes","","","","","","","Common Name","General","Genus","","","","","158f6d4e-9f96-4b18-9748-8e73045c3ecf","20120511T05:42:56.824+0000","b930e416-1651-4ca7-8bee-68b6de0c33e5","20130611T01:04:34.221+0000","","04ba5d9a-b8f2-4144-a315-997a345f5e5c","Heemstra, P.C.","2001","Drepanidae","3221-3223","The Living Marine Resources of the Western Central Pacific. FAO Species Identification Guide for Fisheries Purposes","","","","","<!--MARK--><a href='null6cb8faf9-c3fd-45c2-b915-d9a187fb607d' class='mouseoverHref'>Heemstra, P.C. 2001. Drepanidae. pp. 3221-3223</a> <!--MARK--><em>in</em> <!--MARK--><a href='null60bd9e2a-89b8-4ced-9142-accb0d0db524' class='mouseoverHref'>Carpenter, K.E. & Niem, V.H. (eds). <em>The Living Marine Resources of the Western Central Pacific. FAO Species Identification Guide for Fisheries Purposes</em>. Rome : FAO Vol. 5 2791-3379 pp.</a><!--MARK-->","","Chapter in Book","6cb8faf9-c3fd-45c2-b915-d9a187fb607d","20081009T05:11:37.000+0000","60bd9e2a-89b8-4ced-9142-accb0d0db524"
"","","Drepane","Drepane Cuvier, 1831","","Drepane","","","","Synonym","synonym","Genus","","Cuvier","1831","Y","28aa35b4-5bda-40c4-a406-0b40d6a14f97","20120501T14:10:18.665+0000","b930e416-1651-4ca7-8bee-68b6de0c33e5","20130611T01:04:34.221+0000","","c9ba3c3b-3ebb-4182-9c22-5d053d201396","Cuvier, G.L. in Cuvier, G.L. & Valenciennes, A.","1831","Histoire Naturelle des Poissons","531 pp. pls 170-208","","","","","Levrault","<!--MARK--><a href='null212d9a0b-e30a-4d9d-9f60-f8b907aa8cfb' class='mouseoverHref'>Cuvier, G.L. <i>in</i> Cuvier, G.L. & Valenciennes, A. 1831. <em>Histoire Naturelle des Poissons</em>. Paris : Levrault Vol. 7 531 pp. pls 170-208.</a><!--MARK-->","","Book","212d9a0b-e30a-4d9d-9f60-f8b907aa8cfb","20081009T05:11:37.000+0000",""
"","37362008","longimana","Drepane longimana (Bloch & Schneider, 1801)","DREPANEIDAE","Drepane","","longimana","","Valid Name","","Species","","Bloch & Schneider","1801","N","6c4d81c4-caf1-49fb-9b61-30fc19bf7519","20131008T23:07:52.756+0000","2980b6b8-eaba-4394-9166-c19131c81471","20140805T03:13:12.218+0000","b930e416-1651-4ca7-8bee-68b6de0c33e5","2980b6b8-eaba-4394-9166-c19131c81471","","","","","","","","","","","","","","",""
"","","Banded Sicklefish","","","","","","","Common Name","Preferred","Species","","","","","a0fb91b6-dcd6-49b7-abbd-bdafdcf1403f","20140805T03:13:12.218+0000","2980b6b8-eaba-4394-9166-c19131c81471","20140805T03:13:12.218+0000","","3b0dea8f-1506-4b8f-b59b-d86c5f66c4b4","Kuiter, R.H. & Debelius, H.","2001","Surgeonfishes, Rabbitfishes and Their Relatives. A comprehensive guide to Acanthuroidei","208 pp.","","","","","TMC Publishing","<!--MARK--><a href='null70b8e6de-2cbc-47f4-a39d-59da7ab84a19' class='mouseoverHref'>Kuiter, R.H. & Debelius, H. 2001. <em>Surgeonfishes, Rabbitfishes and Their Relatives. A comprehensive guide to Acanthuroidei</em>. Chorleywood, U.K. : TMC Publishing 208 pp.</a><!--MARK-->","","Book","70b8e6de-2cbc-47f4-a39d-59da7ab84a19","20081009T05:11:37.000+0000",""
"","","Sicklefish","","","","","","","Common Name","General","Species","","","","","6a2eb4d3-f834-41a5-a9eb-c905f901b72a","20120501T14:10:18.665+0000","2980b6b8-eaba-4394-9166-c19131c81471","20140805T03:13:12.218+0000","","f1d92f1d-2131-4de7-887f-8f93eaf07886","Heemstra, P.C.","2001","Drepanidae","3221-3223","The Living Marine Resources of the Western Central Pacific. FAO Species Identification Guide for Fisheries Purposes","","","","","<!--MARK--><a href='null6cb8faf9-c3fd-45c2-b915-d9a187fb607d' class='mouseoverHref'>Heemstra, P.C. 2001. Drepanidae. pp. 3221-3223</a> <!--MARK--><em>in</em> <!--MARK--><a href='null60bd9e2a-89b8-4ced-9142-accb0d0db524' class='mouseoverHref'>Carpenter, K.E. & Niem, V.H. (eds). <em>The Living Marine Resources of the Western Central Pacific. FAO Species Identification Guide for Fisheries Purposes</em>. Rome : FAO Vol. 5 2791-3379 pp.</a><!--MARK-->","","Chapter in Book","6cb8faf9-c3fd-45c2-b915-d9a187fb607d","20081009T05:11:37.000+0000","60bd9e2a-89b8-4ced-9142-accb0d0db524"
"","","longimanus","Chaetodon longimanus Bloch & Schneider, 1801","","Chaetodon","","longimanus","","Synonym","synonym","Species","derivation is probably from the Latin <I>longus</I> = long + <I>manus</I> = hand, referring to the long pectoral fin and could be regarded  as a noun in apposition; however the name was treated as an adjective by Cuvier (1831), possibly believing the derivation was from the Greek <I>manos</I> = wide or in some cases manus with a prefix can become an adjective indicating handed, which is followed here with the genus feminine","Bloch & Schneider","1801","Y","7f7caf2a-4291-4882-ae85-4a5add5e427c","20120511T05:38:12.055+0000","2980b6b8-eaba-4394-9166-c19131c81471","20140805T03:13:12.218+0000","","5a838437-e06b-4c15-9bce-80a6d7b2f91a","Bloch, M.E. & Schneider, J.G.","1801","<i>Systema Ichthyologiae Iconibus ex Illustratum</i>","","","","","","","<!--MARK--><a href='null3ba643c9-04bc-410b-a421-0f92adc031fa' class='mouseoverHref'>Bloch, M.E. & Schneider, J.G. 1801. <i>Systema Ichthyologiae Iconibus ex Illustratum</i>. Berlin 584 pp. 110 pls.</a>","","Miscellaneous","3ba643c9-04bc-410b-a421-0f92adc031fa","20081009T05:11:37.000+0000",""
"","","longimana","Drepane longimana (Bloch & Schneider, 1801)","","Drepane","","longimana","","Generic Combination","","Species","","Bloch & Schneider","1801","N","b55599bb-fc26-4e37-b4b5-d50dc5d2e943","20130514T11:47:24.781+0000","2980b6b8-eaba-4394-9166-c19131c81471","20140805T03:13:12.218+0000","","54c8a6b6-67eb-4c21-8b8b-1681aab31261","Cuvier, G.L. in Cuvier, G.L. & Valenciennes, A.","1831","Histoire Naturelle des Poissons","531 pp. pls 170-208","","","","","Levrault","<!--MARK--><a href='null212d9a0b-e30a-4d9d-9f60-f8b907aa8cfb' class='mouseoverHref'>Cuvier, G.L. <i>in</i> Cuvier, G.L. & Valenciennes, A. 1831. <em>Histoire Naturelle des Poissons</em>. Paris : Levrault Vol. 7 531 pp. pls 170-208.</a><!--MARK-->","","Book","212d9a0b-e30a-4d9d-9f60-f8b907aa8cfb","20081009T05:11:37.000+0000",""
"","37362005","punctata","Drepane punctata (Linnaeus, 1758)","DREPANEIDAE","Drepane","","punctata","","Valid Name","","Species","","Linnaeus","1758","N","6d0e8d3d-cd92-496d-9c40-752810ac0187","20131008T23:07:52.756+0000","acd38663-0ca2-495d-af73-443ea3dad9c9","20140219T06:23:24.096+0000","b930e416-1651-4ca7-8bee-68b6de0c33e5","acd38663-0ca2-495d-af73-443ea3dad9c9","","","","","","","","","","","","","","",""
