"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","EYLAIDAE","EYLAIDAE Leach, 1815","","","","","","Valid Name","","Family","","Leach","1815","Y","00e43710-ed2b-4b02-af7f-2e131db05ea9","20160608T05:45:58.257+0000","1e6a56de-cbc9-4d47-96fd-290dc377845e","20170501T07:11:17.463+0000","b041109c-27d0-40b3-923d-347e5683208f","1e6a56de-cbc9-4d47-96fd-290dc377845e","","","","","","","","","","","","","","",""
"","","Eylaides","Eylaides Leach, 1815","Eylaides","","","","","Synonym","synonym","Family","","Leach","1815","Y","15681953-d8c6-4331-9b7f-003644743b9d","20160608T05:45:58.257+0000","1e6a56de-cbc9-4d47-96fd-290dc377845e","20170501T07:11:17.463+0000","","35d204f6-b28b-46fc-b3e9-49bce42958e6","Leach, W.E.","1815","A tabular view of the external characters of four classes of animals, which Linné arranged under Insecta; with the distribution of the genera composing three of these classes into orders &c. and descriptions of several new genera and species","306-400","","Transactions of the Linnean Society of London","","","","<!--MARK--><a href='nullc0299db7-9471-4543-b3da-da5ecb54c297' class='mouseoverHref'>Leach, W.E. 1815. A tabular view of the external characters of four classes of animals, which Linné arranged under Insecta; with the distribution of the genera composing three of these classes into orders &c. and descriptions of several new genera and species.</a> <!--MARK--><!--MARK--><a href='nulla6b0ca4d-471d-4666-96a2-8fee5114bc35' class='mouseoverHref'><em>Transactions of the Linnean Society of London</em></a> <strong>11</strong>: 306-400<!--MARK-->","","Article in Journal","c0299db7-9471-4543-b3da-da5ecb54c297","20140211T21:10:38.563+0000","a6b0ca4d-471d-4666-96a2-8fee5114bc35"
"","","Eylais","Eylais Latreille, 1796","EYLAIDAE","Eylais","","","","Valid Name","","Genus","","Latreille","1796","Y","539c8ea2-621e-47a7-bb27-86e7266b26dd","20160608T05:45:58.257+0000","fd7479cb-1730-4452-83ef-9931a75e98aa","20170501T07:11:17.463+0000","1e6a56de-cbc9-4d47-96fd-290dc377845e","fd7479cb-1730-4452-83ef-9931a75e98aa","","","","","","","","","","","","","","",""
"","","Eylais","Eylais Latreille, 1796","","Eylais","","","","Synonym","synonym","Genus","","Latreille","1796","Y","e36cc942-ca90-411f-b880-b3a7ae788ba9","20160608T05:45:58.257+0000","fd7479cb-1730-4452-83ef-9931a75e98aa","20170501T07:11:17.463+0000","","05d1c9db-1ecb-472b-bfe8-c98d77249d20","Latreille, P.A.","1796","Précis des Caractères génériques des Insectes, disposés dans un order naturel par citoyen Latreille","xiv 201 pp. 5 pls","","","","","F. Bourdeaux","<!--MARK--><a href='null0030c279-1ff5-40e2-bd9d-0937961910c3' class='mouseoverHref'>Latreille, P.A. 1796. <em>Précis des Caractères génériques des Insectes, disposés dans un order naturel par citoyen Latreille</em>. Brive : F. Bourdeaux xiv 201 pp. 5 pls.</a><!--MARK-->","","Book","0030c279-1ff5-40e2-bd9d-0937961910c3","20111102T21:17:02.041+0000",""
"","","australica","Eylais australica Lundblad, 1941","EYLAIDAE","Eylais","","australica","","Valid Name","","Species","","Lundblad","1941","Y","ddc835ac-f774-4a31-bf2e-f7e3c9658d4b","20160608T05:45:58.257+0000","0e05562b-3187-4c20-a763-71f29c066b8c","20170501T07:11:17.463+0000","fd7479cb-1730-4452-83ef-9931a75e98aa","0e05562b-3187-4c20-a763-71f29c066b8c","","","","","","","","","","","","","","",""
"","","australica","Eylais australica Lundblad, 1941","","Eylais","","australica","","Synonym","synonym","Species","","Lundblad","1941","Y","d39ee5f7-1fee-452a-bf20-c717f69335ba","20160608T05:45:58.257+0000","0e05562b-3187-4c20-a763-71f29c066b8c","20170501T07:11:17.463+0000","","04fa18ea-fe60-41e1-9811-07d8ab1842a3","Lundblad, O.","1941","Neue Wassermilben aus Amerika, Afrika, Asien und Australien","155-160","","Zoologischer Anzeiger","","","","<!--MARK--><a href='null9e83e537-3b71-4c93-a6ff-acd7b7ae613a' class='mouseoverHref'>Lundblad, O. 1941. Neue Wassermilben aus Amerika, Afrika, Asien und Australien.</a> <!--MARK--><!--MARK--><a href='null4b894062-2782-48ef-bf96-6997840d9060' class='mouseoverHref'><em>Zoologischer Anzeiger</em></a> <strong>133</strong>: 155-160<!--MARK-->","","Article in Journal","9e83e537-3b71-4c93-a6ff-acd7b7ae613a","20081009T05:11:37.000+0000","4b894062-2782-48ef-bf96-6997840d9060"
"","","contigua","Eylais contigua Lundblad, 1947","EYLAIDAE","Eylais","","contigua","","Valid Name","","Species","","Lundblad","1947","Y","0f0ec804-1907-44c6-b4e0-2639fdf40898","20160608T05:45:58.257+0000","6c9cbb64-062c-4183-8b6d-f234e6a09a06","20170501T07:11:17.463+0000","fd7479cb-1730-4452-83ef-9931a75e98aa","6c9cbb64-062c-4183-8b6d-f234e6a09a06","","","","","","","","","","","","","","",""
"","","contigua","Eylais contigua Lundblad, 1947","","Eylais","","contigua","","Synonym","synonym","Species","","Lundblad","1947","Y","bba4ea77-bacf-4369-906b-c32d7eb1b05c","20160608T05:45:58.257+0000","6c9cbb64-062c-4183-8b6d-f234e6a09a06","20170501T07:11:17.463+0000","","2405e2a8-6720-4b4c-b9df-74530ef25a9b","Lundblad, O.","1947","Zur Kenntnis australischer Wassermilben","1-82 pls I-IX","","Arkiv för Zoologi","","","","<!--MARK--><a href='null76ba6705-8e3b-4c5e-9c44-16b44ebc73d7' class='mouseoverHref'>Lundblad, O. 1947. Zur Kenntnis australischer Wassermilben.</a> <!--MARK--><!--MARK--><a href='nullea0f28cc-317a-4542-aaf0-5fa8122b7a93' class='mouseoverHref'><em>Arkiv för Zoologi</em></a> <strong>40A</strong>(2): 1-82 pls I-IX<!--MARK-->","","Article in Journal","76ba6705-8e3b-4c5e-9c44-16b44ebc73d7","20081009T05:11:37.000+0000","ea0f28cc-317a-4542-aaf0-5fa8122b7a93"
"","","degenerata","Eylais degenerata Koenike, 1897","EYLAIDAE","Eylais","","degenerata","","Valid Name","","Species","","Koenike","1897","Y","6a9e4b5b-2d55-47a0-b8c8-6b720acb779a","20160608T05:45:58.257+0000","0c8d538f-5bb7-4f1a-bbc4-caba1db114e9","20170501T07:11:17.463+0000","fd7479cb-1730-4452-83ef-9931a75e98aa","0c8d538f-5bb7-4f1a-bbc4-caba1db114e9","","","","","","","","","","","","","","",""
"","","degenerata","Eylais degenerata Koenike, 1897","","Eylais","","degenerata","","Synonym","synonym","Species","","Koenike","1897","Y","9b907e2e-9fb6-43eb-bb63-5f4a6037ccbe","20160608T05:45:58.257+0000","0c8d538f-5bb7-4f1a-bbc4-caba1db114e9","20170501T07:11:17.463+0000","","32f2cf74-a8f4-4080-8512-44f0fe0e916e","Koenike, F.","1897","Zur systematik der Gattung <i>Eylais</i> Latr","279-295","","Abhandlungen Herausgegeben vom Naturwissenschaftlichen Verein zu Bremen","","","","<!--MARK--><a href='nullfe1fb43d-62ba-4594-93a2-9f4d34fe9339' class='mouseoverHref'>Koenike, F. 1897. Zur systematik der Gattung <i>Eylais</i> Latr.</a> <!--MARK--><!--MARK--><a href='null929f6f8f-e37b-4208-9fef-f4c05d39dd99' class='mouseoverHref'><em>Abhandlungen Herausgegeben vom Naturwissenschaftlichen Verein zu Bremen</em></a> <strong>14</strong>: 279-295<!--MARK-->","","Article in Journal","fe1fb43d-62ba-4594-93a2-9f4d34fe9339","20081009T05:11:37.000+0000","929f6f8f-e37b-4208-9fef-f4c05d39dd99"
