"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","ISCHNOMESIDAE","ISCHNOMESIDAE Hansen, 1916","ISCHNOMESIDAE","","","","","Valid Name","","Family","","Hansen","1916","Y","369e8c02-ed87-4ca1-aa32-587d272edae9","20160608T01:52:22.389+0000","4d9873b6-48cf-4f95-8a42-e90a4cde776f","20160616T00:16:54.688+0000","26957328-7b05-4314-a324-d1e9927d0bd2","4d9873b6-48cf-4f95-8a42-e90a4cde776f","","","","","","","","","","","","","","",""
"","","Ischnomesidae","Ischnomesidae Hansen, 1916","Ischnomesidae","","","","","Synonym","synonym","Family","","Hansen","1916","Y","f87c7315-b596-4921-aad7-94db617078f3","20160608T01:52:22.389+0000","4d9873b6-48cf-4f95-8a42-e90a4cde776f","20160616T00:16:54.688+0000","","59994ad6-00c9-4139-afad-98c46545d4ba","Hansen, H.J.","1916","Crustacea Malacostraca III: The Order Isopoda","1-262, pls 1-16","","Danish Ingolf-Expedition","","","","<!--MARK--><a href='null229ec3ba-acf1-423c-9cd0-6452a7dbb624' class='mouseoverHref'>Hansen, H.J. 1916. Crustacea Malacostraca III: The Order Isopoda.</a> <!--MARK--><!--MARK--><a href='null78ff66b0-ea2e-4e22-bd4f-fb6398e78aeb' class='mouseoverHref'><em>Danish Ingolf-Expedition</em></a> <strong>3</strong>(5): 1-262, pls 1-16<!--MARK-->","","Article in Journal","229ec3ba-acf1-423c-9cd0-6452a7dbb624","20081009T05:11:37.000+0000","78ff66b0-ea2e-4e22-bd4f-fb6398e78aeb"
"","","Contrarimesus","Contrarimesus Kavanagh & Wilson, 2007","ISCHNOMESIDAE","Contrarimesus","","","","Valid Name","","Genus","","Kavanagh & Wilson","2007","Y","6157a037-fd7d-4e7d-8d16-759cfda07c1b","20160608T01:52:22.389+0000","e288fecd-a620-4598-8840-e3ee903b8159","20160616T00:16:54.688+0000","4d9873b6-48cf-4f95-8a42-e90a4cde776f","e288fecd-a620-4598-8840-e3ee903b8159","","","","","","","","","","","","","","",""
"","","Contrarimesus","Contrarimesus Kavanagh & Wilson, 2007","ISCHNOMESIDAE","Contrarimesus","","","","Synonym","synonym","Genus","","Kavanagh & Wilson","2007","Y","31b7eaf9-5901-459a-99b5-8188a1bf242a","20160608T01:52:22.389+0000","e288fecd-a620-4598-8840-e3ee903b8159","20160616T00:16:54.688+0000","","38144d1f-2c87-4ea0-b477-111a44b41240","Kavanagh, F.A. & Wilson, G.D.F.","2007","Revision of the genus <i>Haplomesus</i> (Isopoda:Asellota:Ischnomesidae) with erection of four new genera","487-535","","Invertebrate Systematics","","","","<!--MARK--><a href='null8670ab5c-76e6-4f8d-a44e-a4c3345928d4' class='mouseoverHref'>Kavanagh, F.A. & Wilson, G.D.F. 2007. Revision of the genus <i>Haplomesus</i> (Isopoda:Asellota:Ischnomesidae) with erection of four new genera.</a> <!--MARK--><!--MARK--><a href='null7ef62e6c-73cc-4912-8ea7-5752f95e8e8a' class='mouseoverHref'><em>Invertebrate Systematics</em></a> <strong>21</strong>: 487-535<!--MARK-->","","Article in Journal","8670ab5c-76e6-4f8d-a44e-a4c3345928d4","20101013T23:29:03.009+0000","7ef62e6c-73cc-4912-8ea7-5752f95e8e8a"
"","","franklinae","Contrarimesus franklinae (Merrin & Poore, 2003)","ISCHNOMESIDAE","Contrarimesus","","franklinae","","Valid Name","","Species","","Merrin & Poore","2003","N","8ec0cefe-dc04-446a-b62a-15d2f07d9be9","20160608T01:52:22.389+0000","87d77a6b-0d02-41d2-8cbe-5d08c608a592","20160616T00:16:54.688+0000","e288fecd-a620-4598-8840-e3ee903b8159","87d77a6b-0d02-41d2-8cbe-5d08c608a592","","","","","","","","","","","","","","",""
"","","franklinae","Haplomesus franklinae Merrin & Poore, 2003","","Haplomesus","","franklinae","","Synonym","synonym","Species","","Merrin & Poore","2003","Y","15db524a-6b82-439f-9470-6f6d83587a48","20160608T01:52:22.389+0000","87d77a6b-0d02-41d2-8cbe-5d08c608a592","20160616T00:16:54.688+0000","","8a52088a-4f6e-4b0c-8791-e0279bf40ea2","Merrin, K.L. & Poore, G.C.B.","2003","Four new species of Ischnomesidae (Crustacea: Isopoda: Asellota) from off south-eastern Australia","285-307","","Memoirs of Museum Victoria","","","","<!--MARK--><a href='nulle12d69b4-6207-4af2-a07b-cc8cb991ebb6' class='mouseoverHref'>Merrin, K.L. & Poore, G.C.B. 2003. Four new species of Ischnomesidae (Crustacea: Isopoda: Asellota) from off south-eastern Australia.</a> <!--MARK--><!--MARK--><a href='null5c22a8d1-7456-4f8c-9384-1246ecbf15a6' class='mouseoverHref'><em>Memoirs of Museum Victoria</em></a> <strong>60</strong>: 285-307<!--MARK-->","","Article in Journal","e12d69b4-6207-4af2-a07b-cc8cb991ebb6","20081009T05:11:37.000+0000","5c22a8d1-7456-4f8c-9384-1246ecbf15a6"
"","","franklinae","Contrarimesus franklinae (Merrin & Poore, 2003)","","Contrarimesus","","franklinae","","Generic Combination","","Species","","Merrin & Poore","2003","N","9a7941c2-9dbc-4a57-aca8-0edce6415f62","20160608T01:52:22.389+0000","87d77a6b-0d02-41d2-8cbe-5d08c608a592","20160616T00:16:54.688+0000","","d72b0c4a-743b-4221-aff9-48025579766b","Kavanagh, F.A. & Wilson, G.D.F.","2007","Revision of the genus <i>Haplomesus</i> (Isopoda:Asellota:Ischnomesidae) with erection of four new genera","487-535","","Invertebrate Systematics","","","","<!--MARK--><a href='null8670ab5c-76e6-4f8d-a44e-a4c3345928d4' class='mouseoverHref'>Kavanagh, F.A. & Wilson, G.D.F. 2007. Revision of the genus <i>Haplomesus</i> (Isopoda:Asellota:Ischnomesidae) with erection of four new genera.</a> <!--MARK--><!--MARK--><a href='null7ef62e6c-73cc-4912-8ea7-5752f95e8e8a' class='mouseoverHref'><em>Invertebrate Systematics</em></a> <strong>21</strong>: 487-535<!--MARK-->","","Article in Journal","8670ab5c-76e6-4f8d-a44e-a4c3345928d4","20101013T23:29:03.009+0000","7ef62e6c-73cc-4912-8ea7-5752f95e8e8a"
"","","Ischnomesus","Ischnomesus Richardson, 1908","ISCHNOMESIDAE","Ischnomesus","","","","Valid Name","","Genus","","Richardson","1908","Y","65a27b2b-29e3-41b9-9806-ed711101e9c0","20160608T01:52:22.389+0000","ec521398-f714-4441-867c-4ac497ff979b","20160616T00:16:54.688+0000","4d9873b6-48cf-4f95-8a42-e90a4cde776f","ec521398-f714-4441-867c-4ac497ff979b","","","","","","","","","","","","","","",""
"","","Ischnomesus","Ischnomesus Richardson, 1908","","Ischnomesus","","","","Synonym","synonym","Genus","","Richardson","1908","Y","beb4061b-3fb7-4d51-9b59-531038a55105","20160608T01:52:22.389+0000","ec521398-f714-4441-867c-4ac497ff979b","20160616T00:16:54.688+0000","","91424bd1-5e9f-4977-862a-672f36c65a9a","Richardson, H.","1908","Some new isopoda of the superfamily Aselloidea from the Atlantic coast of North America","71-86","","Proceedings of the United States National Museum","","","","<!--MARK--><a href='null80191456-275f-41b8-9776-3a2dc80a9433' class='mouseoverHref'>Richardson, H. 1908. Some new isopoda of the superfamily Aselloidea from the Atlantic coast of North America.</a> <!--MARK--><!--MARK--><a href='null0e32c453-4bc6-48a2-a3a2-d40281874533' class='mouseoverHref'><em>Proceedings of the United States National Museum</em></a> <strong>35</strong>: 71-86<!--MARK-->","","Article in Journal","80191456-275f-41b8-9776-3a2dc80a9433","20081009T05:11:37.000+0000","0e32c453-4bc6-48a2-a3a2-d40281874533"
"","","justi","Ischnomesus justi Merrin & Poore, 2003","ISCHNOMESIDAE","Ischnomesus","","justi","","Valid Name","","Species","","Merrin & Poore","2003","Y","5fe65b78-570a-461d-995e-5d3a9d3577d8","20160608T01:52:22.389+0000","43189074-4eef-4309-bd3a-d42ee4c5b344","20160616T00:16:54.688+0000","ec521398-f714-4441-867c-4ac497ff979b","43189074-4eef-4309-bd3a-d42ee4c5b344","","","","","","","","","","","","","","",""
