"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","LILJEBORGIIDAE","LILJEBORGIIDAE Stebbing, 1899","LILJEBORGIIDAE","","","","","Valid Name","","Family","","Stebbing","1899","Y","f846bbe3-114b-4c75-8441-01389e850aed","20160212T03:27:01.762+0000","1cd40466-880c-4dbb-b551-2e4de7895e63","20170323T23:01:35.391+0000","18ce2d70-a35e-4b6b-9e37-d2154ad1aecb","1cd40466-880c-4dbb-b551-2e4de7895e63","","","","","","","","","","","","","","",""
"","","Liljeborgia","Liljeborgia Bate, 1862","LILJEBORGIIDAE","Liljeborgia","","","","Valid Name","","Genus","","Bate","1862","Y","3c0cb778-baba-4f21-8a77-847fc3fe5be7","20170323T23:01:35.391+0000","f889ec28-a20f-4c5a-b68f-e571ff17073d","20170323T23:01:35.391+0000","1cd40466-880c-4dbb-b551-2e4de7895e63","f889ec28-a20f-4c5a-b68f-e571ff17073d","","","","","","","","","","","","","","",""
"","","Iduna","Iduna Boeck, 1861","","Iduna","","","","Synonym","synonym","Genus","junior homonym of <I>Iduna </I>Keyserling & Blasisus, 1840","Boeck","1861","Y","d923f16e-bf66-43fb-82a1-ffcab8566b4c","20160212T03:27:01.762+0000","f889ec28-a20f-4c5a-b68f-e571ff17073d","20170323T23:01:35.391+0000","","341620c0-b0c1-4ccd-8220-876dbfdfe0ca","Boeck, A.","1861","Bemaerkninger angaaende de ved de norske kyster forekommende Amphipoder","631-677","","Forhandlinger ved de Skandinaviske Naturforskeres Möte Kobenhavn","","","","<!--MARK--><a href='null6ddd7c5d-170b-4347-be3f-20e571daf76a' class='mouseoverHref'>Boeck, A. 1861. Bemaerkninger angaaende de ved de norske kyster forekommende Amphipoder.</a> <!--MARK--><!--MARK--><a href='null3691541e-40d3-459b-9bbd-41e19a97176c' class='mouseoverHref'><em>Forhandlinger ved de Skandinaviske Naturforskeres Möte Kobenhavn</em></a> <strong>8</strong>: 631-677<!--MARK-->","","Article in Journal","6ddd7c5d-170b-4347-be3f-20e571daf76a","20081009T05:11:37.000+0000","3691541e-40d3-459b-9bbd-41e19a97176c"
"","","Liljeborgia","Liljeborgia Bate, 1862","","Liljeborgia","","","","Synonym","synonym","Genus","","Bate","1862","Y","59f03013-d43a-4006-8f37-a413153ad27f","20160212T03:27:01.762+0000","f889ec28-a20f-4c5a-b68f-e571ff17073d","20170323T23:01:35.391+0000","","607fa95e-8f41-4417-8358-864b4231f4b0","Bate, C.S.","1862","Catalogue of the Specimens of Amphipodous Crustacea in the Collection of the British Museum","399 pp. 58 pls","","","","","British Museum","<!--MARK--><a href='null2f0c5152-2c68-4f14-89ea-42397c2a6f41' class='mouseoverHref'>Bate, C.S. 1862. <em>Catalogue of the Specimens of Amphipodous Crustacea in the Collection of the British Museum</em>. London : British Museum 399 pp. 58 pls.</a><!--MARK-->","","Book","2f0c5152-2c68-4f14-89ea-42397c2a6f41","20081009T05:11:37.000+0000",""
"","","Microplax","Microplax Lilljeborg, 1865","","Microplax","","","","Synonym","synonym","Genus","<I>nom. nov.</I> for <I>Iduna</I> Boeck, 1861; junior homonym of <I>Microplax</I> Fieber, 1861","Lilljeborg","1865","Y","4a8abd44-6391-4833-91b9-f8c68d36392a","20160212T03:27:01.762+0000","f889ec28-a20f-4c5a-b68f-e571ff17073d","20170323T23:01:35.391+0000","","394bf162-5685-419e-8111-065dc312ad5b","Lilljeborg, W.","1865","On the <i>Lysianassa magellanica</i> H. Milne Edwards and on the Crustacea of the suborder Amphipoda and subfamily Lysianassina found on the coast of Sweden and Norway","38 pp. 5 pls","","","","","Royal Academic Press","<!--MARK--><a href='null2d986213-e06d-4de4-851a-126321a9c3d8' class='mouseoverHref'>Lilljeborg, W. 1865. <em>On the <i>Lysianassa magellanica</i> H. Milne Edwards and on the Crustacea of the suborder Amphipoda and subfamily Lysianassina found on the coast of Sweden and Norway</em>. Uppsala : Royal Academic Press 38 pp. 5 pls.</a><!--MARK-->","","Book","2d986213-e06d-4de4-851a-126321a9c3d8","20081009T05:11:37.000+0000",""
"","","Lilljeborgiella","Lilljeborgiella Schellenberg, 1931","","Lilljeborgiella","","","","Synonym","synonym","Genus","","Schellenberg","1931","Y","75dc2051-0628-41bb-8988-50c98fd66843","20160212T03:27:01.762+0000","f889ec28-a20f-4c5a-b68f-e571ff17073d","20170323T23:01:35.391+0000","","4ecd0808-ceb3-4908-82b0-92b9cc316d67","Schellenberg, A.","1931","Gammariden und Caprelliden des Magellangebietes, Südgeorgiens und der Westantarktis","1-290 pl. 1","","Further Zoological Results of the Swedish Antarctic Expedition, 1901-1903","","","","<!--MARK--><a href='null3b159c69-fe7a-4fdc-bcc6-a5724fcd6f20' class='mouseoverHref'>Schellenberg, A. 1931. Gammariden und Caprelliden des Magellangebietes, Südgeorgiens und der Westantarktis.</a> <!--MARK--><!--MARK--><a href='null9e3c740b-cbcf-4ec1-b713-8b5bd0c97383' class='mouseoverHref'><em>Further Zoological Results of the Swedish Antarctic Expedition, 1901-1903</em></a> <strong>2</strong>(6): 1-290 pl. 1<!--MARK-->","","Article in Journal","3b159c69-fe7a-4fdc-bcc6-a5724fcd6f20","20130123T06:45:44.940+0000","9e3c740b-cbcf-4ec1-b713-8b5bd0c97383"
"","","kerguelensis","Liljeborgia kerguelensis Bellan-Santini & Ledoyer, 1974","LILJEBORGIIDAE","Liljeborgia","","kerguelensis","","Valid Name","","Species","","Bellan-Santini & Ledoyer","1974","Y","00d0e468-f007-4589-b125-b3251f8e9d56","20160212T03:27:01.762+0000","323eb8fb-ceaf-4af8-8ee5-9f625e534a16","20170323T23:01:35.391+0000","f889ec28-a20f-4c5a-b68f-e571ff17073d","323eb8fb-ceaf-4af8-8ee5-9f625e534a16","","","","","","","","","","","","","","",""
"","","kerguelensis","Liljeborgia kerguelensis Bellan-Santini & Ledoyer, 1974","LILJEBORGIIDAE","Liljeborgia","","kerguelensis","","Synonym","synonym","Species","","Bellan-Santini & Ledoyer","1974","Y","dcb88873-c368-4c8b-b086-104a0db4f1d6","20160212T03:27:01.762+0000","323eb8fb-ceaf-4af8-8ee5-9f625e534a16","20170323T23:01:35.391+0000","","d2acbf30-fec4-4897-8d29-8f24fa0f2745","Bellan-Santini, D. & Ledoyer, M.","1974","Gammariens (Crustacea: Amphipoda) des Iles Kerguelen et Crozet","635-708","","Téthys","","","","<!--MARK--><a href='null40401c0c-7976-4e77-86a4-c8acbf1b28ec' class='mouseoverHref'>Bellan-Santini, D. & Ledoyer, M. 1974. Gammariens (Crustacea: Amphipoda) des Iles Kerguelen et Crozet.</a> <!--MARK--><!--MARK--><a href='nulldc0418ab-d201-49b8-92e7-6f3fccb6d8dd' class='mouseoverHref'><em>Téthys</em></a> <strong>5</strong>(4): 635-708<!--MARK-->","","Article in Journal","40401c0c-7976-4e77-86a4-c8acbf1b28ec","20081009T05:11:37.000+0000","dc0418ab-d201-49b8-92e7-6f3fccb6d8dd"
"","","abyssotypica","Liljeborgia abyssotypica d'Udekem d'Acoz, 2008","LILJEBORGIIDAE","Liljeborgia","","abyssotypica","","Valid Name","","Species","","d'Udekem d'Acoz","2008","Y","6defe378-1511-4d1b-999a-fee637c2db74","20160212T03:27:01.762+0000","082a722e-327f-4ba4-866b-3cb4bcc4bc6d","20170323T23:01:35.391+0000","f889ec28-a20f-4c5a-b68f-e571ff17073d","082a722e-327f-4ba4-866b-3cb4bcc4bc6d","","","","","","","","","","","","","","",""
"","","abyssotypica","Liljeborgia abyssotypica d'Udekem d'Acoz, 2008","","Liljeborgia","","abyssotypica","","Synonym","synonym","Species","","d'Udekem d'Acoz","2008","Y","f1b2e0c9-93af-47b5-88f5-5875e69ecfd4","20160212T03:27:01.762+0000","082a722e-327f-4ba4-866b-3cb4bcc4bc6d","20170323T23:01:35.391+0000","","eb056167-9f20-41a0-92fe-817b53f94ee2","d'Udekem & d'Acoz, C.","2008","Shelf and abyssal <i>Liljeborgia</i> Bate, 1861 of the Southern Ocean (Crustacea, Amphipoda, Liljeborgiidae)","45-286","","Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie","","","","<!--MARK--><a href='null7c743267-2254-4428-b8ab-57dee44bb55a' class='mouseoverHref'>d'Udekem & d'Acoz, C. 2008. Shelf and abyssal <i>Liljeborgia</i> Bate, 1861 of the Southern Ocean (Crustacea, Amphipoda, Liljeborgiidae).</a> <!--MARK--><!--MARK--><a href='nullf1d2ed1d-445b-4f75-9bb1-60a06f52fe85' class='mouseoverHref'><em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie</em></a> <strong>78</strong>: 45-286<!--MARK-->","","Article in Journal","7c743267-2254-4428-b8ab-57dee44bb55a","20101108T05:03:23.055+0000","f1d2ed1d-445b-4f75-9bb1-60a06f52fe85"
