"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","MICROPEZIDAE","MICROPEZIDAE","MICROPEZIDAE","","","","","Valid Name","","Family","","","","Y","9d25ff0c-14a5-4ff4-ba60-a2cb04d6c96c","20110210T03:33:39.054+0000","dbfd00eb-b268-4806-ba18-992068e957a9","20140725T03:47:51.347+0000","cb5185ab-67ad-4750-9774-56554a6996eb","dbfd00eb-b268-4806-ba18-992068e957a9","","","","","","","","","","","","","","",""
"","","Stilt Flies","","","","","","","Common Name","General","Family","","","","","d5500151-e18d-4177-94f5-fee030dc372d","20110114T00:54:29.598+0000","dbfd00eb-b268-4806-ba18-992068e957a9","20140725T03:47:51.347+0000","","","","","","","","","","","","","","","","",""
"","","Calycopteryginae","Calycopteryginae","MICROPEZIDAE","","","","","Valid Name","","Subfamily","","","","Y","64f113ef-85fc-4b13-967f-c83fb0166fd5","20101217T00:30:29.271+0000","3d4b8e71-fbd6-4d5f-a49f-110570486903","20110213T23:45:58.652+0000","dbfd00eb-b268-4806-ba18-992068e957a9","3d4b8e71-fbd6-4d5f-a49f-110570486903","","","","","","","","","","","","","","",""
"","","Calycopteryx","Calycopteryx Eaton, 1875","MICROPEZIDAE","Calycopteryx","","","","Valid Name","","Genus","","Eaton","1875","Y","424476f6-133f-44b2-95fb-6f8c39814726","20101217T00:32:31.638+0000","c97cd97e-2c4b-42fd-b506-9a0c7072c9ba","20110213T23:45:58.652+0000","3d4b8e71-fbd6-4d5f-a49f-110570486903","c97cd97e-2c4b-42fd-b506-9a0c7072c9ba","","","","","","","","","","","","","","",""
"","","Calycopteryx","Calycopteryx Eaton, 1875","MICROPEZIDAE","Calycopteryx","","","","Synonym","synonym","Genus","","Eaton","1875","Y","2b782651-d88c-4a24-b460-efbf371611e2","20101217T00:36:24.401+0000","c97cd97e-2c4b-42fd-b506-9a0c7072c9ba","20110213T23:45:58.652+0000","","fac573c9-3710-49b9-8962-52362e04c002","Eaton, A.E.","1875","Breves Dipterarum uniusque Lepidopterarum insulae Kerguelensi indigenarum diagnoses","58-61","","Entomologist's Monthly Magazine","","","","<!--MARK--><a href='nullf6217435-d757-4efb-ac03-87ec4fe0aeed' class='mouseoverHref'>Eaton, A.E. 1875. Breves Dipterarum uniusque Lepidopterarum insulae Kerguelensi indigenarum diagnoses.</a> <!--MARK--><!--MARK--><a href='nullcbd5c497-64d0-4fae-97ee-22719c3ca286' class='mouseoverHref'><em>Entomologist's Monthly Magazine</em></a> <strong>12</strong>: 58-61<!--MARK-->","","Article in Journal","f6217435-d757-4efb-ac03-87ec4fe0aeed","20081009T05:11:37.000+0000","cbd5c497-64d0-4fae-97ee-22719c3ca286"
"","","mosleyi","Calycopteryx mosleyi Eaton, 1875","MICROPEZIDAE","Calycopteryx","","mosleyi","","Valid Name","","Species","","Eaton","1875","Y","14c60fec-7f91-4ad2-98b2-d5e507149e4d","20101221T21:45:58.015+0000","9a79c73b-4a18-4ed1-8e1f-f45b80c9a753","20110213T23:45:58.652+0000","c97cd97e-2c4b-42fd-b506-9a0c7072c9ba","9a79c73b-4a18-4ed1-8e1f-f45b80c9a753","","","","","","","","","","","","","","",""
"","","mosleyi","Calycopteryx mosleyi Eaton, 1875","MICROPEZIDAE","Calycopteryx","","mosleyi","","Synonym","synonym","Species","","Eaton","1875","Y","3e520d93-bc9c-4cad-8ef5-080bf93f3530","20101221T21:48:55.572+0000","9a79c73b-4a18-4ed1-8e1f-f45b80c9a753","20110213T23:45:58.652+0000","","9d4af993-e1ff-453c-ae3b-b072e7b1b07d","Eaton, A.E.","1875","Breves Dipterarum uniusque Lepidopterarum insulae Kerguelensi indigenarum diagnoses","58-61","","Entomologist's Monthly Magazine","","","","<!--MARK--><a href='nullf6217435-d757-4efb-ac03-87ec4fe0aeed' class='mouseoverHref'>Eaton, A.E. 1875. Breves Dipterarum uniusque Lepidopterarum insulae Kerguelensi indigenarum diagnoses.</a> <!--MARK--><!--MARK--><a href='nullcbd5c497-64d0-4fae-97ee-22719c3ca286' class='mouseoverHref'><em>Entomologist's Monthly Magazine</em></a> <strong>12</strong>: 58-61<!--MARK-->","","Article in Journal","f6217435-d757-4efb-ac03-87ec4fe0aeed","20081009T05:11:37.000+0000","cbd5c497-64d0-4fae-97ee-22719c3ca286"
"","","moseleyi","Calycopteryx moseleyi Eaton, 1875","","Calycopteryx","","moseleyi","","Synonym","subsequent misspelling","Species","","Eaton","1875","Y","8d1356f5-8fb1-493a-b29c-a6be3bbb1070","20101217T00:39:09.403+0000","9a79c73b-4a18-4ed1-8e1f-f45b80c9a753","20110213T23:45:58.652+0000","","","","","","","","","","","","","","","","",""
"","","moseleyi","Calycopteryx moseleyi var. minor Enderlein, 1909","","Calycopteryx","","moseleyi","","Synonym","synonym","Species","","Enderlein","1909","Y","9edc476d-e04a-4e41-a266-85dfbab64c23","20101221T22:11:01.830+0000","9a79c73b-4a18-4ed1-8e1f-f45b80c9a753","20110213T23:45:58.652+0000","","6a3d522f-7fbc-4a3c-9a84-256648be5520","Enderlein, G.","1909","Die Insekten des antarktischen Gebietes","pp. 361-528","Deutsche Südpolar-Expedition 1901-1903 im Auftrage des Reichsamtes des Innern","","","","","<!--MARK--><a href='null4c87a890-311a-49f3-a69a-41f8f9f32c0d' class='mouseoverHref'>Enderlein, G. 1909. Die Insekten des antarktischen Gebietes. pp. 361-528</a> <!--MARK--><em>in</em> <!--MARK--><a href='null06156796-f73c-4bca-83bc-162ea1ec32b6' class='mouseoverHref'>Drygalski, E. von, ed. <em>Deutsche Südpolar-Expedition 1901-1903 im Auftrage des Reichsamtes des Innern</em>. Berlin : G. Reimer Vol. 10(Zoologie 2, Heft 4).</a><!--MARK--> [Date published January]","","Chapter in Book","4c87a890-311a-49f3-a69a-41f8f9f32c0d","20101221T22:09:31.597+0000","06156796-f73c-4bca-83bc-162ea1ec32b6"
"","","moseleyi","Calycopteryx moseleyi moseleyi Brown, 1964","","Calycopteryx","","moseleyi","moseleyi","Synonym","synonym","Species","","Brown","1964","Y","187f7f35-cdc6-4b00-b8e5-0cf7ac55833f","20101221T22:11:50.700+0000","9a79c73b-4a18-4ed1-8e1f-f45b80c9a753","20110213T23:45:58.652+0000","","06872a81-f7db-4c41-b68f-2b30e386abdc","Brown, K.G.","1964","The Insects of Heard Island","1-39","","Australian New Zealand Antarctic Research Expedition Reports","","","","<!--MARK--><a href='null311efe27-783f-43fa-8eb9-47637a472d9f' class='mouseoverHref'>Brown, K.G. 1964. The Insects of Heard Island.</a> <!--MARK--><!--MARK--><a href='nulled333064-6638-4289-ac6a-a00109c5f5a1' class='mouseoverHref'><em>Australian New Zealand Antarctic Research Expedition Reports</em></a> Series B <strong>1 Zoology</strong>: 1-39<!--MARK-->","","Article in Journal","311efe27-783f-43fa-8eb9-47637a472d9f","20120404T06:35:40.615+0000","ed333064-6638-4289-ac6a-a00109c5f5a1"
