"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","PARHYPOSOMATINA","PARHYPOSOMATINA","","","","","","Valid Name","","Infraorder","","","","Y","a531548f-f6b8-4c8d-8d28-5b4c12fdca5d","20160608T05:45:58.257+0000","7f46330b-a6eb-432a-b9e2-5634356d2353","20170501T07:11:17.463+0000","3fa44ad7-0c6f-4b7c-93f8-a73f634e8d17","7f46330b-a6eb-432a-b9e2-5634356d2353","","","","","","","","","","","","","","",""
"","","PARHYPOCHTHONOIDEA","PARHYPOCHTHONOIDEA Grandjean, 1932","","","","","","Valid Name","","Superfamily","","Grandjean","1932","Y","f29760a8-c70b-47b2-a19f-d885ddc8aeac","20160608T05:45:58.257+0000","4bc0c272-3921-452e-9506-2b6c175eb61f","20170501T07:11:17.463+0000","7f46330b-a6eb-432a-b9e2-5634356d2353","4bc0c272-3921-452e-9506-2b6c175eb61f","","","","","","","","","","","","","","",""
"","","Parhypochthoniidae","Parhypochthoniidae Grandjean, 1932","","","","","","Synonym","synonym","Superfamily","","Grandjean","1932","Y","89977723-cf57-4cd2-b1b8-092aefa711f8","20160608T05:45:58.257+0000","4bc0c272-3921-452e-9506-2b6c175eb61f","20170501T07:11:17.463+0000","","d5e2f1ef-b9ca-4a0e-ad18-c8cef28a21b5","Grandjean, F.","1932","Au sujet des Palaeacariformes Trägårdh","411-426","","Bulletin du Muséum National d'Histoire Naturelle, Paris","","","","<!--MARK--><a href='null95db59af-590e-434e-8f59-583595e688f8' class='mouseoverHref'>Grandjean, F. 1932. Au sujet des Palaeacariformes Trägårdh.</a> <!--MARK--><!--MARK--><a href='null796711f5-67db-4504-bf92-fda69a7bdc27' class='mouseoverHref'><em>Bulletin du Muséum National d'Histoire Naturelle, Paris</em></a><!--MARK--> [published 1907-1971] <strong>4</strong>: 411-426<!--MARK-->","","Article in Journal","95db59af-590e-434e-8f59-583595e688f8","20081009T05:11:37.000+0000","796711f5-67db-4504-bf92-fda69a7bdc27"
"","","GEHYPOCHTHONIIDAE","GEHYPOCHTHONIIDAE Strenzke, 1963","","","","","","Valid Name","","Family","","Strenzke","1963","Y","8118ec12-c7c1-4307-ae20-8932132a06c6","20160608T05:45:58.257+0000","9083ffa7-23b6-4dd9-8124-dea2dbfb4500","20170501T07:11:17.463+0000","4bc0c272-3921-452e-9506-2b6c175eb61f","9083ffa7-23b6-4dd9-8124-dea2dbfb4500","","","","","","","","","","","","","","",""
"","","Gehypochthoniidae","Gehypochthoniidae Strenzke, 1963","Gehypochthoniidae","","","","","Synonym","synonym","Family","","Strenzke","1963","Y","083614df-d8da-4db5-bb9c-b82299e7825d","20160608T05:45:58.257+0000","9083ffa7-23b6-4dd9-8124-dea2dbfb4500","20170501T07:11:17.463+0000","","8ee30431-ea98-4f72-afa3-75b91c87d577","Strenzke, K.","1963","Entwicklung und Verwandtschaftsbeziehungen der Oribatidengattung <i>Gehypochthonius</i> (Arach., Acari)","231-255","","Senckenbergiana Biologica","","","","<!--MARK--><a href='nulle4531ae5-3b9b-4159-9c1d-f2270e7ab0d2' class='mouseoverHref'>Strenzke, K. 1963. Entwicklung und Verwandtschaftsbeziehungen der Oribatidengattung <i>Gehypochthonius</i> (Arach., Acari).</a> <!--MARK--><!--MARK--><a href='null615d3f19-8058-4573-b7c3-e2c6cfe1a875' class='mouseoverHref'><em>Senckenbergiana Biologica</em></a> <strong>44</strong>: 231-255<!--MARK-->","","Article in Journal","e4531ae5-3b9b-4159-9c1d-f2270e7ab0d2","20081009T05:11:37.000+0000","615d3f19-8058-4573-b7c3-e2c6cfe1a875"
"","","Gehypochthonius","Gehypochthonius Jacot, 1936","GEHYPOCHTHONIIDAE","Gehypochthonius","","","","Valid Name","","Genus","","Jacot","1936","Y","174ec31d-4508-41bb-b7c8-4bb39c6de782","20160608T05:45:58.257+0000","00bc6f60-f728-4cc7-9fd9-df9a86498d21","20170501T07:11:17.463+0000","9083ffa7-23b6-4dd9-8124-dea2dbfb4500","00bc6f60-f728-4cc7-9fd9-df9a86498d21","","","","","","","","","","","","","","",""
"","","Gehypochthonius","Gehypochthonius Jacot, 1936","","Gehypochthonius","","","","Synonym","synonym","Genus","","Jacot","1936","Y","b14c2b56-e0c0-454f-ae50-28ceb8c2024b","20160608T05:45:58.257+0000","00bc6f60-f728-4cc7-9fd9-df9a86498d21","20170501T07:11:17.463+0000","","87a94432-1854-4732-9222-e257033fccb1","Jacot, A.P.","1936","Some primitive moss-mites of North Carolina","20-26 pl. 1","","Journal of the Elisha Mitchell Scientific Society","","","","<!--MARK--><a href='nulle70ea56f-b192-40a4-b791-7798f791a3f2' class='mouseoverHref'>Jacot, A.P. 1936. Some primitive moss-mites of North Carolina.</a> <!--MARK--><!--MARK--><a href='null6913baa1-433d-4cfc-9b5d-0fe2ec9b6461' class='mouseoverHref'><em>Journal of the Elisha Mitchell Scientific Society</em></a> <strong>52</strong>: 20-26 pl. 1<!--MARK-->","","Article in Journal","e70ea56f-b192-40a4-b791-7798f791a3f2","20081009T05:11:37.000+0000","6913baa1-433d-4cfc-9b5d-0fe2ec9b6461"
"","","rhadamanthus","Gehypochthonius rhadamanthus Jacot, 1936","GEHYPOCHTHONIIDAE","Gehypochthonius","","rhadamanthus","","Valid Name","","Species","","Jacot","1936","Y","de79e2cf-b1fa-458c-a5a4-b69a7d226461","20160608T05:45:58.257+0000","e3314982-7ea8-4b05-bfa8-01656b5d961f","20170501T07:11:17.463+0000","00bc6f60-f728-4cc7-9fd9-df9a86498d21","e3314982-7ea8-4b05-bfa8-01656b5d961f","","","","","","","","","","","","","","",""
"","","rhadamanthus","Gehypochthonius rhadamanthus Jacot, 1936","","Gehypochthonius","","rhadamanthus","","Synonym","synonym","Species","","Jacot","1936","Y","0ed9ddcd-83c3-4f36-97f9-8c6589067594","20160608T05:45:58.257+0000","e3314982-7ea8-4b05-bfa8-01656b5d961f","20170501T07:11:17.463+0000","","a85e8c8b-e6ba-47e6-8331-7305d408efb1","Jacot, A.P.","1936","Some primitive moss-mites of North Carolina","20-26 pl. 1","","Journal of the Elisha Mitchell Scientific Society","","","","<!--MARK--><a href='nulle70ea56f-b192-40a4-b791-7798f791a3f2' class='mouseoverHref'>Jacot, A.P. 1936. Some primitive moss-mites of North Carolina.</a> <!--MARK--><!--MARK--><a href='null6913baa1-433d-4cfc-9b5d-0fe2ec9b6461' class='mouseoverHref'><em>Journal of the Elisha Mitchell Scientific Society</em></a> <strong>52</strong>: 20-26 pl. 1<!--MARK-->","","Article in Journal","e70ea56f-b192-40a4-b791-7798f791a3f2","20081009T05:11:37.000+0000","6913baa1-433d-4cfc-9b5d-0fe2ec9b6461"
"","","strenzkei","Gehypochthonius strenzkei Lee, 1982","GEHYPOCHTHONIIDAE","Gehypochthonius","","strenzkei","","Valid Name","","Species","","Lee","1982","Y","da2e016f-26f2-4d29-bdf9-62c7e8b685f9","20160608T05:45:58.257+0000","9b228c2b-41c9-49b2-917b-15c347eb9675","20170501T07:11:17.463+0000","00bc6f60-f728-4cc7-9fd9-df9a86498d21","9b228c2b-41c9-49b2-917b-15c347eb9675","","","","","","","","","","","","","","",""
"","","strenzkei","Gehypochthonius strenzkei Lee, 1982","","Gehypochthonius","","strenzkei","","Synonym","synonym","Species","","Lee","1982","Y","75de3ad9-c8bf-40b2-8215-bad524906227","20160608T05:45:58.257+0000","9b228c2b-41c9-49b2-917b-15c347eb9675","20170501T07:11:17.463+0000","","92b5fbc7-dff8-4136-bfa2-45f1426b1504","Lee, D.C.","1982","Sarcoptiformes (Acari) of South Australian soils. 3. Arthronotina (Cryptostigmata)","327-359","","Records of the South Australian Museum (Adelaide)","","","","<!--MARK--><a href='nulle705bae3-048b-4212-8979-58a8eabd78be' class='mouseoverHref'>Lee, D.C. 1982. Sarcoptiformes (Acari) of South Australian soils. 3. Arthronotina (Cryptostigmata).</a> <!--MARK--><!--MARK--><a href='nullf7f76869-b0b8-4c0e-a1bc-1d8c43cc0f89' class='mouseoverHref'><em>Records of the South Australian Museum (Adelaide)</em></a> <strong>18</strong>: 327-359<!--MARK-->","","Article in Journal","e705bae3-048b-4212-8979-58a8eabd78be","20081009T05:11:37.000+0000","f7f76869-b0b8-4c0e-a1bc-1d8c43cc0f89"
"","","PARHYPOCHTHONIIDAE","PARHYPOCHTHONIIDAE Grandjean, 1932","","","","","","Valid Name","","Family","","Grandjean","1932","Y","721bf4dd-e19c-492c-9301-858915660180","20160608T05:45:58.257+0000","b0ddd861-7f03-438c-82da-101333f743e2","20170501T07:11:17.463+0000","4bc0c272-3921-452e-9506-2b6c175eb61f","b0ddd861-7f03-438c-82da-101333f743e2","","","","","","","","","","","","","","",""
