"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Proctophanini","Proctophanini","SCARABAEIDAE","","","","","Valid Name","","Tribe","","","","Y","9ff186ad-ae2c-462b-b02a-99ddcf17536f","20140120T22:17:25.852+0000","c5773a64-e4dc-4a5a-a4a2-86856017a4df","20180111T23:43:36.630+0000","d449d202-b765-4666-8b4b-a9b279ca59a4","c5773a64-e4dc-4a5a-a4a2-86856017a4df","","","","","","","","","","","","","","",""
"","","Proctophanes","Proctophanes Harold, 1861","SCARABAEIDAE","Proctophanes","","","","Valid Name","","Genus","","Harold","1861","Y","f2f79582-dfd9-4799-b6f7-5765d5bc5b62","20131009T22:34:18.120+0000","748f9498-02cb-444b-9869-c6432096e5ae","20180111T23:43:36.630+0000","c5773a64-e4dc-4a5a-a4a2-86856017a4df","748f9498-02cb-444b-9869-c6432096e5ae","","","","","","","","","","","","","","",""
"","","Proctophanes","Proctophanes Harold, 1861","","Proctophanes","","","","Synonym","synonym","Genus","","Harold","1861","Y","827ee3ce-db36-4a31-85c9-763a524dc0f6","20131009T22:34:18.120+0000","748f9498-02cb-444b-9869-c6432096e5ae","20180111T23:43:36.630+0000","","0e62ace9-1e97-4677-9ef7-e0b79a107fac","Harold, E. von","1861","Beiträge zur Kenntniss einiger coprophagen Lamellicornien (Zweites Stuck)","92-115","","Berliner Entomologische Zeitschrift","","","","<!--MARK--><a href='null924ca7c9-f69f-4f8f-b91f-03fbb16f4364' class='mouseoverHref'>Harold, E. von 1861. Beiträge zur Kenntniss einiger coprophagen Lamellicornien (Zweites Stuck).</a> <!--MARK--><!--MARK--><a href='null9cb53f48-ac05-481f-9276-81372f651531' class='mouseoverHref'><em>Berliner Entomologische Zeitschrift</em></a> <strong>5</strong>: 92-115<!--MARK-->","","Article in Journal","924ca7c9-f69f-4f8f-b91f-03fbb16f4364","20081009T05:11:37.000+0000","9cb53f48-ac05-481f-9276-81372f651531"
"","","Proctammodes","Proctammodes Blackburn, 1892","","Proctammodes","","","","Synonym","synonym","Genus","unnecessary <I>nom. nov. </I>for <I>Proctophanes </I>Harold, 1861","Blackburn","1892","Y","62bb16da-b40a-4e9f-8293-4b9a6fe766b6","20131009T22:34:18.120+0000","748f9498-02cb-444b-9869-c6432096e5ae","20180111T23:43:36.630+0000","","dddac911-0317-4c6c-9af8-80c0c910db01","Blackburn, T.","1892","Further notes on Australian Coleoptera with descriptions of new genera and species. Part XI","20-73","","Transactions of the Royal Society of South Australia","","July 1892","","<!--MARK--><a href='null9d396cf6-3248-4caf-9f5c-114c43249402' class='mouseoverHref'>Blackburn, T. 1892. Further notes on Australian Coleoptera with descriptions of new genera and species. Part XI.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>15</strong>(1): 20-73<!--MARK--> [Date published July 1892]","","Article in Journal","9d396cf6-3248-4caf-9f5c-114c43249402","20111219T20:58:00.395+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","distinguendus","Proctophanes distinguendus (Schmidt, 1910)","SCARABAEIDAE","Proctophanes","","distinguendus","","Valid Name","","Species","","Schmidt","1910","N","a4657605-40d6-4f22-bdd7-e08558b20ef0","20131009T22:34:18.120+0000","cec0e68f-70bd-4c59-9d38-99fc85c59473","20180111T23:43:36.630+0000","748f9498-02cb-444b-9869-c6432096e5ae","cec0e68f-70bd-4c59-9d38-99fc85c59473","","","","","","","","","","","","","","",""
"","","distinguendus","Aphodius (Mendidius) distinguendus Schmidt, 1910","","Aphodius","Mendidius","distinguendus","","Synonym","synonym","Species","","Schmidt","1910","Y","272c4156-4ac6-410e-bb0c-6bd8283c922a","20140120T22:17:25.852+0000","cec0e68f-70bd-4c59-9d38-99fc85c59473","20180111T23:43:36.630+0000","","95c07753-cc79-4376-a596-24ade4ce22c0","Schmidt, A.","1910","Neue Arten aus den Gattungen <i>Aphodius</i> Illig., <i>Ataenius</i> Har., <i>Saprosites</i> Redtenb. (Col.)","353-361","","Deutsche Entomologische Zeitschrift","","","","<!--MARK--><a href='null71bc6554-fadc-4319-aa08-8131fea491dc' class='mouseoverHref'>Schmidt, A. 1910. Neue Arten aus den Gattungen <i>Aphodius</i> Illig., <i>Ataenius</i> Har., <i>Saprosites</i> Redtenb. (Col.).</a> <!--MARK--><!--MARK--><a href='nullbdeb8163-7175-47c9-be9b-28f797c57745' class='mouseoverHref'><em>Deutsche Entomologische Zeitschrift</em></a> <strong>4</strong>: 353-361<!--MARK-->","","Article in Journal","71bc6554-fadc-4319-aa08-8131fea491dc","20081009T05:11:37.000+0000","bdeb8163-7175-47c9-be9b-28f797c57745"
"","","heterodoxus","Proctophanes heterodoxus (Lea, 1923)","SCARABAEIDAE","Proctophanes","","heterodoxus","","Valid Name","","Species","","Lea","1923","N","a53ea85c-5018-477c-8f4a-99ca00ab0d36","20131009T22:34:18.120+0000","a70abc9b-fcbe-477c-8785-8eb7144387de","20180111T23:43:36.630+0000","748f9498-02cb-444b-9869-c6432096e5ae","a70abc9b-fcbe-477c-8785-8eb7144387de","","","","","","","","","","","","","","",""
"","","heterodoxus","Aphodius heterodoxus Lea, 1923","","Aphodius","","heterodoxus","","Synonym","synonym","Species","","Lea","1923","Y","3de1d1dc-af46-4ea1-be2d-e68cd777abc8","20140120T22:17:25.852+0000","a70abc9b-fcbe-477c-8785-8eb7144387de","20180111T23:43:36.630+0000","","eb5ac14f-fcca-42cf-a7b5-65ae3666da84","Lea, A.M.","1923","On Australian Aphodiides (Coleoptera)","1-20","","Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='nullebe53613-bafe-4bd0-b231-931f9d304af8' class='mouseoverHref'>Lea, A.M. 1923. On Australian Aphodiides (Coleoptera).</a> <!--MARK--><!--MARK--><a href='nullce333794-3a02-427f-ba27-346079f1efa0' class='mouseoverHref'><em>Proceedings of the Royal Society of Victoria</em></a> n.s. <strong>36</strong>: 1-20<!--MARK-->","","Article in Journal","ebe53613-bafe-4bd0-b231-931f9d304af8","20121030T02:17:25.736+0000","ce333794-3a02-427f-ba27-346079f1efa0"
"","","metasternalis","Proctophanes metasternalis (Lea, 1923)","SCARABAEIDAE","Proctophanes","","metasternalis","","Valid Name","","Species","","Lea","1923","N","a1bc7d1e-085b-4dae-a217-5e179061c796","20131009T22:34:18.120+0000","8e23c962-5c9b-4d52-9ec8-d9a35cc8c224","20180111T23:43:36.630+0000","748f9498-02cb-444b-9869-c6432096e5ae","8e23c962-5c9b-4d52-9ec8-d9a35cc8c224","","","","","","","","","","","","","","",""
"","","metasternalis","Proctammodes metasternalis Lea, 1923","","Proctammodes","","metasternalis","","Synonym","synonym","Species","","Lea","1923","Y","1d368138-bc51-4da6-a585-63beb5c3418d","20131009T22:34:18.120+0000","8e23c962-5c9b-4d52-9ec8-d9a35cc8c224","20180111T23:43:36.630+0000","","ed102455-90dd-4a29-a831-b367b3be3b7e","Lea, A.M.","1923","On Australian Aphodiides (Coleoptera)","1-20","","Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='nullebe53613-bafe-4bd0-b231-931f9d304af8' class='mouseoverHref'>Lea, A.M. 1923. On Australian Aphodiides (Coleoptera).</a> <!--MARK--><!--MARK--><a href='nullce333794-3a02-427f-ba27-346079f1efa0' class='mouseoverHref'><em>Proceedings of the Royal Society of Victoria</em></a> n.s. <strong>36</strong>: 1-20<!--MARK-->","","Article in Journal","ebe53613-bafe-4bd0-b231-931f9d304af8","20121030T02:17:25.736+0000","ce333794-3a02-427f-ba27-346079f1efa0"
