"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Achmerov, A.K. & Dombrowskaja-Achmerova, O.S.D.","1941","Nouveaux Acanthocéphales des Poissons du Fleuve Amour","517-520","","Comptes Rendus l'Academie des Sciences de l'URSS","","","","<!--MARK--><a href='null9115c211-64bb-4804-b756-28880bdd0eb8' class='mouseoverHref'>Achmerov, A.K. & Dombrowskaja-Achmerova, O.S.D. 1941. Nouveaux Acanthocéphales des Poissons du Fleuve Amour.</a> <!--MARK--><!--MARK--><a href='null96e88a92-7ae3-433e-a74b-78d601f35429' class='mouseoverHref'><em>Comptes Rendus l'Academie des Sciences de l'URSS</em></a> <strong>31</strong>: 517-520<!--MARK-->","","Article in Journal","9115c211-64bb-4804-b756-28880bdd0eb8","20130122T23:29:36.529+0000","96e88a92-7ae3-433e-a74b-78d601f35429"
"Amin, O.A. & Margolis, L.","1998","Redescription of <i>Bolbosoma capitatum</i> (Acanthocephala: Polymorphidae) from false killer whale off Vancouver Island, with taxonomic reconsideration of the species and synonymy of <i>B. physeteris</i>","179-188","","Journal of the Helminthological Society, Washington","","","","<!--MARK--><a href='nullbed4252c-a473-4c8b-a848-d7d1913e62e0' class='mouseoverHref'>Amin, O.A. & Margolis, L. 1998. Redescription of <i>Bolbosoma capitatum</i> (Acanthocephala: Polymorphidae) from false killer whale off Vancouver Island, with taxonomic reconsideration of the species and synonymy of <i>B. physeteris</i>.</a> <!--MARK--><!--MARK--><a href='null858bdc2e-06ca-42c0-b018-6b6c6c05df21' class='mouseoverHref'><em>Journal of the Helminthological Society, Washington</em></a> <strong>65</strong>(2): 179-188<!--MARK-->","","Article in Journal","bed4252c-a473-4c8b-a848-d7d1913e62e0","20111129T23:41:58.482+0000","858bdc2e-06ca-42c0-b018-6b6c6c05df21"
"Amin, O.M.","1982","Acanthocephala","933-941","Synopsis and Classification of Living Organisms","","","","","<!--MARK--><a href='null861b9c65-6180-4327-b74e-9912cd44b8bc' class='mouseoverHref'>Amin, O.M. 1982. Acanthocephala. pp. 933-941</a> <!--MARK--><em>in</em> <!--MARK--><a href='null11f0780a-3e31-484c-9d68-cffc72f44100' class='mouseoverHref'>Parker, S.P. (ed.). <em>Synopsis and Classification of Living Organisms</em>. New York : McGraw-Hill Vol. 1.</a><!--MARK-->","","Chapter in Book","861b9c65-6180-4327-b74e-9912cd44b8bc","20110824T06:07:46.652+0000","11f0780a-3e31-484c-9d68-cffc72f44100"
"Amin, O.M.","1985","Classification","27-72pp.","Biology of the Acanthocephala","","","","","<!--MARK--><a href='nullf56f64fd-24d0-49e7-88cb-cd75fe2a23a2' class='mouseoverHref'>Amin, O.M. 1985. Classification. 27-72pp.</a> <!--MARK--><em>in</em> <!--MARK--><a href='null1f50f0c9-07cf-41f8-9e42-c9c2a323e1d5' class='mouseoverHref'>Crompton, D.W.T. & Nickol, B.B. <em>Biology of the Acanthocephala</em>. London : Cambridge University Press 519pp.</a><!--MARK-->","","Chapter in Book","f56f64fd-24d0-49e7-88cb-cd75fe2a23a2","20110823T00:46:29.649+0000","1f50f0c9-07cf-41f8-9e42-c9c2a323e1d5"
"Amin, O.M.","2002","Revision of <i>Neoechinorhynchus</i> Stiles & Hassall, 1905 (Acanthocephala: Neoechinorhynchidae) with keys to 88 species","1-18","","Systematic Parasitology","","","","<!--MARK--><a href='null2e9e54eb-e240-4e3f-ac66-d38154b9bd28' class='mouseoverHref'>Amin, O.M. 2002. Revision of <i>Neoechinorhynchus</i> Stiles & Hassall, 1905 (Acanthocephala: Neoechinorhynchidae) with keys to 88 species.</a> <!--MARK--><!--MARK--><a href='nullb0bb30a0-dfa7-4cf2-bf21-216d851b8d01' class='mouseoverHref'><em>Systematic Parasitology</em></a> <strong>53</strong>: 1-18<!--MARK-->","","Article in Journal","2e9e54eb-e240-4e3f-ac66-d38154b9bd28","20111129T23:42:16.288+0000","b0bb30a0-dfa7-4cf2-bf21-216d851b8d01"
"Amin, O.M.","2013","Classification of the Acanthocephala.","273-305","","Folia Parasitologica. Prague","","","","<!--MARK--><a href='null82d74e32-472f-4894-bedd-13145043450d' class='mouseoverHref'>Amin, O.M. 2013. Classification of the Acanthocephala.</a> <!--MARK--><!--MARK--><a href='nullbe204155-0185-44a3-af5a-9126a2892d95' class='mouseoverHref'><em>Folia Parasitologica. Prague</em></a> <strong>60</strong>(4): 273-305<!--MARK-->","","Article in Journal","82d74e32-472f-4894-bedd-13145043450d","20160127T02:01:32.905+0000","be204155-0185-44a3-af5a-9126a2892d95"
"Amin, O.M., Abdullah, S.M.A. & Mhaisen, F.T.","2003","Description of <i>Pomphorhynchus spindletruncatus</i> n. sp. (Acanthocephala: Pomphorhynchidae) from freshwater fishes in northern Iraq, with the erection of a new pomphorhynchid genus, <i>Pyriproboscis</i> n. g., and keys to the genera of the Pomphorhynchidae and the species of <i>Pomphorhynchus</i> Monticelli, 1905","229-235","","Systematic Parasitology","","","","<!--MARK--><a href='null4a96b707-bf7e-4239-9dac-fda0765af11c' class='mouseoverHref'>Amin, O.M., Abdullah, S.M.A. & Mhaisen, F.T. 2003. Description of <i>Pomphorhynchus spindletruncatus</i> n. sp. (Acanthocephala: Pomphorhynchidae) from freshwater fishes in northern Iraq, with the erection of a new pomphorhynchid genus, <i>Pyriproboscis</i> n. g., and keys to the genera of the Pomphorhynchidae and the species of <i>Pomphorhynchus</i> Monticelli, 1905.</a> <!--MARK--><!--MARK--><a href='nullb0bb30a0-dfa7-4cf2-bf21-216d851b8d01' class='mouseoverHref'><em>Systematic Parasitology</em></a> <strong>54</strong>(3): 229-235<!--MARK-->","","Article in Journal","4a96b707-bf7e-4239-9dac-fda0765af11c","20111129T23:44:15.881+0000","b0bb30a0-dfa7-4cf2-bf21-216d851b8d01"
"Amin, O.M., Nahhas, F.M., Al-Yamani, F. & Abu-Hakima, R.","1984","On three acanthocephalan species from some Arabian Gulf fishes off the coast of Kuwait","168-170","","Journal of Parasitology","","","","<!--MARK--><a href='null578bcd0a-b065-461d-adcb-9e6cd2853d9a' class='mouseoverHref'>Amin, O.M., Nahhas, F.M., Al-Yamani, F. & Abu-Hakima, R. 1984. On three acanthocephalan species from some Arabian Gulf fishes off the coast of Kuwait.</a> <!--MARK--><!--MARK--><a href='nulle52ecfa4-7e99-4ea0-acd3-ce3d83537d01' class='mouseoverHref'><em>Journal of Parasitology</em></a> <strong>70</strong>(1): 168-170<!--MARK-->","","Article in Journal","578bcd0a-b065-461d-adcb-9e6cd2853d9a","20110927T05:43:41.408+0000","e52ecfa4-7e99-4ea0-acd3-ce3d83537d01"
"Amin, O.M. & Omar, M.","1992","Review of the genus <i>Polymorphus</i> Lühe, 1911 (Acanthocephala:Polymorphidae), with the synonymization of <i>Hexaglandula</i> Petrochenko, 1950, and <i>Subcorynosoma</i> Hoklova, 1967, and a key to the species","115-123","","Qatar University Science Bulletin","","","","<!--MARK--><a href='nulla0b2383f-0b64-44f0-98ff-6e104062a861' class='mouseoverHref'>Amin, O.M. & Omar, M. 1992. Review of the genus <i>Polymorphus</i> Lühe, 1911 (Acanthocephala:Polymorphidae), with the synonymization of <i>Hexaglandula</i> Petrochenko, 1950, and <i>Subcorynosoma</i> Hoklova, 1967, and a key to the species.</a> <!--MARK--><!--MARK--><a href='nulld91ef8b6-aaf1-439f-8ede-5fc97055afc8' class='mouseoverHref'><em>Qatar University Science Bulletin</em></a> <strong>12</strong>: 115-123<!--MARK-->","","Article in Journal","a0b2383f-0b64-44f0-98ff-6e104062a861","20111129T23:43:17.500+0000","d91ef8b6-aaf1-439f-8ede-5fc97055afc8"
"Amin, O.M. & Redlin, M.J.","1980","The effect of host species on growth and variability of <i>Echinorhynchus salmonis</i> Muller, 1784 (Acanthocephala: Echinorhynchidae), with special reference to the status of the genus","9-20","","Systematic Parasitology","","","","<!--MARK--><a href='null9806f623-fcaf-4488-a651-336d6338a4b3' class='mouseoverHref'>Amin, O.M. & Redlin, M.J. 1980. The effect of host species on growth and variability of <i>Echinorhynchus salmonis</i> Muller, 1784 (Acanthocephala: Echinorhynchidae), with special reference to the status of the genus.</a> <!--MARK--><!--MARK--><a href='nullb0bb30a0-dfa7-4cf2-bf21-216d851b8d01' class='mouseoverHref'><em>Systematic Parasitology</em></a> <strong>2</strong>(1): 9-20<!--MARK-->","","Article in Journal","9806f623-fcaf-4488-a651-336d6338a4b3","20111129T23:43:36.962+0000","b0bb30a0-dfa7-4cf2-bf21-216d851b8d01"
