"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Adam, H. & Strahan, R.","1963","Systematics and geographical distribution of myxinoids","1-8","The Biology of <i>Myxine</i>","","","","","<!--MARK--><a href='null7c7de019-892c-4923-b476-eb4f8fc684f8' class='mouseoverHref'>Adam, H. & Strahan, R. 1963. Systematics and geographical distribution of myxinoids. pp. 1-8</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulld7863474-32a8-4c3a-a4f9-49b27e74cf6e' class='mouseoverHref'>Brodal, A. & Fänge, R. (eds). <em>The Biology of <i>Myxine</i></em>. Oslo : Universitetsforlaget.</a><!--MARK-->","","Chapter in Book","7c7de019-892c-4923-b476-eb4f8fc684f8","20081009T05:11:37.000+0000","d7863474-32a8-4c3a-a4f9-49b27e74cf6e"
"Allen, G.R.","1982","Inland Fishes of Western Australia","86 pp. 6 figs 20 pls","","","","","Western Australian Museum","<!--MARK--><a href='null9ab3219a-b894-4968-aa72-4de42e7d4f7b' class='mouseoverHref'>Allen, G.R. 1982. <em>Inland Fishes of Western Australia</em>. Perth : Western Australian Museum 86 pp. 6 figs 20 pls.</a><!--MARK-->","","Book","9ab3219a-b894-4968-aa72-4de42e7d4f7b","20081009T05:11:37.000+0000",""
"Allen, G.R., Midgley, S.H. & Allen, M.","2002","Field Guide to the Freshwater Fishes of Australia","394 pp.","","","","","Western Australian Museum","<!--MARK--><a href='nulle5d27b08-bccb-4a5b-a782-ac02de6311f3' class='mouseoverHref'>Allen, G.R., Midgley, S.H. & Allen, M. 2002. <em>Field Guide to the Freshwater Fishes of Australia</em>. Perth : Western Australian Museum 394 pp.</a><!--MARK-->","","Book","e5d27b08-bccb-4a5b-a782-ac02de6311f3","20081009T05:11:37.000+0000",""
"Cadwallader, P.L. & Backhouse, G.N.","1983","A Guide to the Freshwater Fish of Victoria","249 pp. figs","","","","","F.D. Atkinson Government Printer","<!--MARK--><a href='null186af2a1-f67a-4c89-9b31-8c4bc730b9c5' class='mouseoverHref'>Cadwallader, P.L. & Backhouse, G.N. 1983. <em>A Guide to the Freshwater Fish of Victoria</em>. Melbourne : F.D. Atkinson Government Printer 249 pp. figs.</a><!--MARK-->","","Book","186af2a1-f67a-4c89-9b31-8c4bc730b9c5","20081009T05:11:37.000+0000",""
"Castelnau, F.L. de","1872","Contribution to the ichthyology of Australia. 1. The Melbourne fish market","29-242 1 pl.","","Proceedings of the Zoological and Acclimatisation Society of Victoria","","","","<!--MARK--><a href='null69bc3243-9366-4dd3-9886-ecfc3de40608' class='mouseoverHref'>Castelnau, F.L. de 1872. Contribution to the ichthyology of Australia. 1. The Melbourne fish market.</a> <!--MARK--><!--MARK--><a href='nulla4aed2e3-c5a0-4211-8479-deb80200d1bc' class='mouseoverHref'><em>Proceedings of the Zoological and Acclimatisation Society of Victoria</em></a> <strong>1</strong>: 29-242 1 pl.<!--MARK-->","","Article in Journal","69bc3243-9366-4dd3-9886-ecfc3de40608","20081009T05:11:37.000+0000","a4aed2e3-c5a0-4211-8479-deb80200d1bc"
"Chilcott, S. J.  & Humphries, P.","1996","Freshwater fish of northeast Tasmania with notes on the dwarf galaxias","145-149","","Records of the Queen Victoria Museum, Launceston","","","","<!--MARK--><a href='nullcb15b583-a345-4be4-b0d1-a990cb889604' class='mouseoverHref'>Chilcott, S. J.  & Humphries, P. 1996. Freshwater fish of northeast Tasmania with notes on the dwarf galaxias.</a> <!--MARK--><!--MARK--><a href='null4bc4ff1d-da1e-425d-bfcb-8045ec03810a' class='mouseoverHref'><em>Records of the Queen Victoria Museum, Launceston</em></a> <strong>103</strong>: 145-149<!--MARK-->","","Article in Journal","cb15b583-a345-4be4-b0d1-a990cb889604","20111104T03:48:12.523+0000","4bc4ff1d-da1e-425d-bfcb-8045ec03810a"
"Cloquet, H.","1819","[Poissons]","","","","","","","<!--MARK--><a href='null345ed91b-8e5f-4a97-a965-83553ad7626c' class='mouseoverHref'>Cloquet, H. 1819. [Poissons]. <I>In</I>, Levrault, F.G. (ed.) <I>Dictionnaire des Sciences Naturelles. </I>Strasbourg Vol. 15 543 pp.</a>","","Miscellaneous","345ed91b-8e5f-4a97-a965-83553ad7626c","20081009T05:11:37.000+0000",""
"Fernholm, B.","1998","Hagfish systematics","33-44","The Biology of Hagfishes","","","","","<!--MARK--><a href='null187ed510-dd5d-4b4a-b81b-deb0c755a5a0' class='mouseoverHref'>Fernholm, B. 1998. Hagfish systematics. pp. 33-44</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulla49d1d18-475b-4120-bb6b-41db9651c516' class='mouseoverHref'>Jørgensen, J.M., Lomholt, J.P., Weber, R.E. & Malte, H. (eds). <em>The Biology of Hagfishes</em>. London : Chapman & Hall.</a><!--MARK-->","","Chapter in Book","187ed510-dd5d-4b4a-b81b-deb0c755a5a0","20081009T05:11:37.000+0000","a49d1d18-475b-4120-bb6b-41db9651c516"
"Forster, J.R. in Bloch, M.E. & Schneider, J.G.","1801","<i>Systema Ichthyologiae Iconibus ex Illustratum</i>","584 pp. 110 pls","","","","","","<!--MARK--><a href='null92d9e15c-d77d-4ab9-93ad-5b8d15d55356' class='mouseoverHref'>Forster, J.R. <i>in</i> Bloch, M.E. & Schneider, J.G. 1801. <i>Systema Ichthyologiae Iconibus ex Illustratum</i>. Berlin. 584 pp. 110 pls</a>","","Miscellaneous","92d9e15c-d77d-4ab9-93ad-5b8d15d55356","20081009T05:11:37.000+0000",""
"Gill, H.S., Renaud, C.B., Chapleau, F., Mayden, R.L. & Potter I.C.","2003","Phylogeny of living parasitic lampreys (Petromyzontiformes) based on morphological data","687-703","","Copeia","","","","<!--MARK--><a href='nulld484642c-3e02-45dd-a58b-c2255ca661de' class='mouseoverHref'>Gill, H.S., Renaud, C.B., Chapleau, F., Mayden, R.L. & Potter I.C. 2003. Phylogeny of living parasitic lampreys (Petromyzontiformes) based on morphological data.</a> <!--MARK--><!--MARK--><a href='nullf65f55ee-d862-41a2-8c61-e252ae15bcf7' class='mouseoverHref'><em>Copeia</em></a> <strong>2003</strong>(4): 687-703<!--MARK-->","","Article in Journal","d484642c-3e02-45dd-a58b-c2255ca661de","20081009T05:11:37.000+0000","f65f55ee-d862-41a2-8c61-e252ae15bcf7"
