"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Chadwick, C.E.","1967","A habitat of <i>Sylvicola neozelandica</i> (Schin.) (Dipt., Anisopodidae)","33","","Zoological Records","","","","<!--MARK--><a href='nullf9600ab1-420c-427c-a290-04f77ef40202' class='mouseoverHref'>Chadwick, C.E. 1967. A habitat of <i>Sylvicola neozelandica</i> (Schin.) (Dipt., Anisopodidae).</a> <!--MARK--><!--MARK--><a href='null4a09f59c-2f58-46ec-866d-54a9b172ef85' class='mouseoverHref'><em>Zoological Records</em></a> Insects <strong>3</strong>: 33<!--MARK-->","","Article in Journal","f9600ab1-420c-427c-a290-04f77ef40202","20081009T05:11:37.000+0000","4a09f59c-2f58-46ec-866d-54a9b172ef85"
"Coquillett, D.W.","1910","The type-species of the North American genera of Diptera","499-647","","Proceedings of the United States National Museum","","","","<!--MARK--><a href='null5e510fb8-ca87-4618-9869-78a489ca3679' class='mouseoverHref'>Coquillett, D.W. 1910. The type-species of the North American genera of Diptera.</a> <!--MARK--><!--MARK--><a href='null0e32c453-4bc6-48a2-a3a2-d40281874533' class='mouseoverHref'><em>Proceedings of the United States National Museum</em></a> <strong>37</strong>(=No. 1719): 499-647<!--MARK-->","","Article in Journal","5e510fb8-ca87-4618-9869-78a489ca3679","20110804T07:13:46.701+0000","0e32c453-4bc6-48a2-a3a2-d40281874533"
"Fuller, M.E.","1935","Notes on Australasian Anisopodidae (Diptera)","291-302","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null0ac638a4-f0c7-4b1e-926f-c28752d34048' class='mouseoverHref'>Fuller, M.E. 1935. Notes on Australasian Anisopodidae (Diptera).</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>60</strong>: 291-302<!--MARK-->","","Article in Journal","0ac638a4-f0c7-4b1e-926f-c28752d34048","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"Hardy, G.H.","1919","Australian Rhyphidae and Leptidae (Diptera)","117-129","","Proceedings of the Royal Society of Tasmania","","","","<!--MARK--><a href='null5a130c33-b4db-4f02-9514-c66015d9bc64' class='mouseoverHref'>Hardy, G.H. 1919. Australian Rhyphidae and Leptidae (Diptera).</a> <!--MARK--><!--MARK--><a href='null876cc6a3-2fe3-45b7-a78e-bda14a41ff66' class='mouseoverHref'><em>Proceedings of the Royal Society of Tasmania</em></a> 117-129<!--MARK-->","","Article in Journal","5a130c33-b4db-4f02-9514-c66015d9bc64","20110810T00:02:16.115+0000","876cc6a3-2fe3-45b7-a78e-bda14a41ff66"
"Hardy, G.H.","1967","The Anisopodidae (Dipt.) of Katoomba","30-33","","Journal of the Entomological Society of Australia (N.S.W.)","","","","<!--MARK--><a href='null7cc579fb-14f4-4969-8d89-4048f5992f2f' class='mouseoverHref'>Hardy, G.H. 1967. The Anisopodidae (Dipt.) of Katoomba.</a> <!--MARK--><!--MARK--><a href='nulld7c55d2c-adf3-42bc-b98f-06f11a463c19' class='mouseoverHref'><em>Journal of the Entomological Society of Australia (N.S.W.)</em></a> <strong>3</strong>(1966): 30-33<!--MARK-->","","Article in Journal","7cc579fb-14f4-4969-8d89-4048f5992f2f","20110811T05:09:09.865+0000","d7c55d2c-adf3-42bc-b98f-06f11a463c19"
"Harris, M.","1780","An exposition of English insects, with curious observations and remarks, wherein each insect is particularly described; its parts and properties considered; the different sexes distinguished, and the natural history faithfully related. The whole illustrated with copper plates, drawn, engraved, and coloured, by the author","73-166 pp.","","","","","Robson Co.","<!--MARK--><a href='null010f0081-0094-49d8-87a4-429c12173515' class='mouseoverHref'>Harris, M. 1780. <em>An exposition of English insects, with curious observations and remarks, wherein each insect is particularly described; its parts and properties considered; the different sexes distinguished, and the natural history faithfully related. The whole illustrated with copper plates, drawn, engraved, and coloured, by the author</em>. London : Robson Co. Vol. 4 73-166 pp.</a><!--MARK-->","","Book","010f0081-0094-49d8-87a4-429c12173515","20100217T23:46:10.274+0000",""
"Hutson, A.M.","1980","Superfamily Anisopodoidea. 13. Family Anisopodidae","211-212","Catalogue of the Diptera of the Afrotropical Region","","","","","<!--MARK--><a href='nullcaaddf6b-2f34-40b2-8fa7-48947c9715df' class='mouseoverHref'>Hutson, A.M. 1980. Superfamily Anisopodoidea. 13. Family Anisopodidae. pp. 211-212</a> <!--MARK--><em>in</em> <!--MARK--><a href='null04520b29-45ad-406e-9bad-8d09fbe3e205' class='mouseoverHref'>Crosskey, R.W. (ed.). <em>Catalogue of the Diptera of the Afrotropical Region</em>. London : British Museum 1437 pp.</a><!--MARK-->","","Chapter in Book","caaddf6b-2f34-40b2-8fa7-48947c9715df","20081009T05:11:37.000+0000","04520b29-45ad-406e-9bad-8d09fbe3e205"
"Hutton, F.W.","1874","List of the insects recorded as having been found in New Zealand previous to the year 1870","158-171","","Transactions of the New Zealand Institute","","","","<!--MARK--><a href='nullf6991ca9-7fea-4b94-94c4-df23f0399f92' class='mouseoverHref'>Hutton, F.W. 1874. List of the insects recorded as having been found in New Zealand previous to the year 1870.</a> <!--MARK--><!--MARK--><a href='nullddaf4215-531f-425e-bd1e-b53ca8ded5a3' class='mouseoverHref'><em>Transactions of the New Zealand Institute</em></a> <strong>6</strong>: 158-171<!--MARK-->","","Article in Journal","f6991ca9-7fea-4b94-94c4-df23f0399f92","20081009T05:11:37.000+0000","ddaf4215-531f-425e-bd1e-b53ca8ded5a3"
"International Commission on Zoological Nomenclature","1963","Opinion 678; the suppression under the plenary powers of the pamphlet published by Meigen, 1800","339-342","","Bulletin of Zoological Nomenclature","","","","<!--MARK--><a href='nulla16ffd5f-e65b-4bbb-b124-d9a74466f6c3' class='mouseoverHref'>International Commission on Zoological Nomenclature 1963. Opinion 678; the suppression under the plenary powers of the pamphlet published by Meigen, 1800.</a> <!--MARK--><!--MARK--><a href='nulla4cf2b4b-baae-48a9-9e16-867e582bfbcc' class='mouseoverHref'><em>Bulletin of Zoological Nomenclature</em></a> <strong>20</strong>: 339-342<!--MARK-->","","Article in Journal","a16ffd5f-e65b-4bbb-b124-d9a74466f6c3","20081009T05:11:37.000+0000","a4cf2b4b-baae-48a9-9e16-867e582bfbcc"
"Kirby, W.F.","1884","Notes on the Diptera of New Zealand, supplementary to Prof. Hutton's last catalogue of 1881","269-275","","Transactions of the Entomological Society of London","","","","<!--MARK--><a href='null61c146a4-91e8-4c9c-8861-e3d5a57ca2db' class='mouseoverHref'>Kirby, W.F. 1884. Notes on the Diptera of New Zealand, supplementary to Prof. Hutton's last catalogue of 1881.</a> <!--MARK--><!--MARK--><a href='null5cf355b3-abc5-451e-9abc-ed3282d7811a' class='mouseoverHref'><em>Transactions of the Entomological Society of London</em></a> <strong>1884</strong>: 269-275<!--MARK-->","","Article in Journal","61c146a4-91e8-4c9c-8861-e3d5a57ca2db","20081009T05:11:37.000+0000","5cf355b3-abc5-451e-9abc-ed3282d7811a"
