"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Barrett, C.","1950","Reptiles of Australia","168 pp.","","","","","Cassell","<!--MARK--><a href='null3a3d747a-2565-4dfd-85a5-07b826b59ce5' class='mouseoverHref'>Barrett, C. 1950. <em>Reptiles of Australia</em>. London : Cassell 168 pp.</a><!--MARK-->","","Book","3a3d747a-2565-4dfd-85a5-07b826b59ce5","20081009T05:11:37.000+0000",""
"Bonnaterre (L'Abbé)","1789","Tableau Encyclopédique et Méthodique des trois règnes de la nature. Erpétologie","xxviii, 70 pp.","","","","","Panckoucke","<!--MARK--><a href='null67fbd5a5-f11a-4c95-a0d4-2ef0d0edb64c' class='mouseoverHref'>Bonnaterre (L'Abbé) 1789. <em>Tableau Encyclopédique et Méthodique des trois règnes de la nature. Erpétologie</em>. Paris : Panckoucke xxviii, 70 pp.</a><!--MARK-->","","Book","67fbd5a5-f11a-4c95-a0d4-2ef0d0edb64c","20081009T05:11:37.000+0000",""
"CAVS","2006","Census of Australian Vertebrate Species","","","","","","","<!--MARK--><a href='nullf1adf003-2cf1-40fd-8a83-437db096dd21' class='mouseoverHref'>CAVS 2006. Census of Australian Vertebrate Species. Australian Biological Resources Study.</a>","","Miscellaneous","f1adf003-2cf1-40fd-8a83-437db096dd21","20081009T05:11:37.000+0000",""
"Cogger, H.G.","1979","Reptiles and Amphibians of Australia","608 pp.","","","","","A.H. & A.W. Reed","<!--MARK--><a href='null5890a9b7-dcd7-4da0-8684-f03d76fd463c' class='mouseoverHref'>Cogger, H.G. 1979. <em>Reptiles and Amphibians of Australia</em>. Sydney : A.H. & A.W. Reed 608 pp.</a><!--MARK-->","","Book","5890a9b7-dcd7-4da0-8684-f03d76fd463c","20081009T05:11:37.000+0000",""
"Cogger, H.G., in Cogger, H.G., Cameron, E.E. & Cogger, H.M.","1983","Amphibia and Reptilia","313 pp.","Zoological Catalogue of Australia","","","","","<!--MARK--><a href='null26ebce6d-30f2-4762-8274-66b5096a8718' class='mouseoverHref'>Cogger, H.G., <i>in</i> Cogger, H.G., Cameron, E.E. & Cogger, H.M. 1983. Amphibia and Reptilia. 313 pp.</a> <!--MARK--><em>in</em> <!--MARK--><a href='null29b21be9-7175-49d1-9064-9be492912615' class='mouseoverHref'>Walton, D.W. (ed.). <em>Zoological Catalogue of Australia</em>. Canberra : Australian Government Publishing Service Vol. 1 vi + 313 pp.</a><!--MARK-->","","Chapter in Book","26ebce6d-30f2-4762-8274-66b5096a8718","20170301T04:59:22.705+0000","29b21be9-7175-49d1-9064-9be492912615"
"Cuvier, G.","1807","Sur les differentes espèces de crocodiles vivans et sur leurs caractères distinctifs","8-86","","Annales du Muséum National d'Histoire Naturelle. Paris","","","","<!--MARK--><a href='nulled50b8e3-2d6f-403f-9b20-6ce6e16b5ddc' class='mouseoverHref'>Cuvier, G. 1807. Sur les differentes espèces de crocodiles vivans et sur leurs caractères distinctifs.</a> <!--MARK--><!--MARK--><a href='null8d3d82c3-0c66-4fc1-8699-44a0527a52d9' class='mouseoverHref'><em>Annales du Muséum National d'Histoire Naturelle. Paris</em></a> <strong>10</strong>: 8-86<!--MARK-->","","Article in Journal","ed50b8e3-2d6f-403f-9b20-6ce6e16b5ddc","20081009T05:11:37.000+0000","8d3d82c3-0c66-4fc1-8699-44a0527a52d9"
"Deraniyagala, P.E.P.","1953","A Coloured Atlas of Some Vertebrates from Ceylon. Vol. 2. Tetrapod Reptilia","vii 101 pp.","","","","","Govt. Press","<!--MARK--><a href='null027c4057-5af0-4a53-82c7-b4f42661e629' class='mouseoverHref'>Deraniyagala, P.E.P. 1953. <em>A Coloured Atlas of Some Vertebrates from Ceylon. Vol. 2. Tetrapod Reptilia</em>. Colombo : Govt. Press vii 101 pp.</a><!--MARK-->","","Book","027c4057-5af0-4a53-82c7-b4f42661e629","20081009T05:11:37.000+0000",""
"Deraniyagala, P.E.P.","1955","A new race of estuarine crocodile from Ceylon","277-279","","Spolia Zeylanica","","","","<!--MARK--><a href='null5bc6315b-69f7-48a6-817b-2ded2389b5aa' class='mouseoverHref'>Deraniyagala, P.E.P. 1955. A new race of estuarine crocodile from Ceylon.</a> <!--MARK--><!--MARK--><a href='null3b5c5701-424b-4976-b94a-e4992a75b6e0' class='mouseoverHref'><em>Spolia Zeylanica</em></a> <strong>27</strong>: 277-279<!--MARK-->","","Article in Journal","5bc6315b-69f7-48a6-817b-2ded2389b5aa","20081009T05:11:37.000+0000","3b5c5701-424b-4976-b94a-e4992a75b6e0"
"Drane, C.R., Webb, G.J.W. & Heuer, P.","1977","Patterns of heating in the body, trunk and tail of <i>Crocodylus porosus</i>","127-130","","Journal of Thermal Biology","","","","<!--MARK--><a href='nullc772ddf6-d55b-480d-8c67-4102a26bb3b0' class='mouseoverHref'>Drane, C.R., Webb, G.J.W. & Heuer, P. 1977. Patterns of heating in the body, trunk and tail of <i>Crocodylus porosus</i>.</a> <!--MARK--><!--MARK--><a href='nullad682830-3c76-4020-a663-e20577b2d07b' class='mouseoverHref'><em>Journal of Thermal Biology</em></a> <strong>2</strong>: 127-130<!--MARK-->","","Article in Journal","c772ddf6-d55b-480d-8c67-4102a26bb3b0","20081009T05:11:37.000+0000","ad682830-3c76-4020-a663-e20577b2d07b"
"Gmelin, J.F.","1789","Amphibia, Pisces. <i>In</i> Linnaeus, C. <i>Systema Naturae</i> in quo naturae regna tria, secundum classes, ordines, genera, species, systematice proponuntur","1033-1516","","","","","","<!--MARK--><a href='null3cce8ba5-8ff3-4f61-bf1f-9116613c933c' class='mouseoverHref'>Gmelin, J.F. 1789. Amphibia, Pisces. <i>In</i> Linnaeus, C. <i>Systema Naturae</i> in quo naturae regna tria, secundum classes, ordines, genera, species, systematice proponuntur. 13th edn Vol. 1(3). 1033-1516 pp.</a>","","Miscellaneous","3cce8ba5-8ff3-4f61-bf1f-9116613c933c","20081009T05:11:37.000+0000",""
"Gray, J.E.","1844","Catalogue of the Tortoises, Crocodiles, and Amphibians in the Collection of the British Museum","viii 80 pp.","","","","","British Museum","<!--MARK--><a href='null2fa9554b-2da2-46e7-893c-9faa7b10214d' class='mouseoverHref'>Gray, J.E. 1844. <em>Catalogue of the Tortoises, Crocodiles, and Amphibians in the Collection of the British Museum</em>. London : British Museum viii 80 pp.</a><!--MARK-->","","Book","2fa9554b-2da2-46e7-893c-9faa7b10214d","20081009T05:11:37.000+0000",""
"Gray, J.E.","1862","A synopsis of the species of crocodiles","265-274","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='nullfcd00421-e737-47ff-88a1-1085b4887b0b' class='mouseoverHref'>Gray, J.E. 1862. A synopsis of the species of crocodiles.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 3 <strong>10</strong>: 265-274<!--MARK-->","","Article in Journal","fcd00421-e737-47ff-88a1-1085b4887b0b","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Gray, J.E.","1874","On <i>Crocodilus johnstoni</i>","177-178","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='null274c289e-0815-4dc4-984c-af3c68838024' class='mouseoverHref'>Gray, J.E. 1874. On <i>Crocodilus johnstoni</i>.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1874</strong>: 177-178<!--MARK-->","","Article in Journal","274c289e-0815-4dc4-984c-af3c68838024","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"Grigg, G.C., Taplin, L.E., Harlow, P. & Wright, J.","1980","Survival and growth of hatchling <i>Crocodylus porosus</i> in saltwater without access to fresh drinking water","264-266","","Oecologia (Berlin)","","","","<!--MARK--><a href='null2d941332-8d44-49c9-a248-b44f8fa42f11' class='mouseoverHref'>Grigg, G.C., Taplin, L.E., Harlow, P. & Wright, J. 1980. Survival and growth of hatchling <i>Crocodylus porosus</i> in saltwater without access to fresh drinking water.</a> <!--MARK--><!--MARK--><a href='null71d68980-bc9a-413a-a641-e2f3c6f49392' class='mouseoverHref'><em>Oecologia (Berlin)</em></a> <strong>47</strong>: 264-266<!--MARK-->","","Article in Journal","2d941332-8d44-49c9-a248-b44f8fa42f11","20081009T05:11:37.000+0000","71d68980-bc9a-413a-a641-e2f3c6f49392"
"Grigg, G.C. & Alchin, J.","1976","The role of the cardiovascular system in thermoregulation of <i>Crocodylus johnstoni</i>","24-36","","Physiological Zoology","","","","<!--MARK--><a href='null5798ebe2-bde5-43eb-825a-8fef425c38cd' class='mouseoverHref'>Grigg, G.C. & Alchin, J. 1976. The role of the cardiovascular system in thermoregulation of <i>Crocodylus johnstoni</i>.</a> <!--MARK--><!--MARK--><a href='null49c39042-2b04-4633-8123-dd875a503f78' class='mouseoverHref'><em>Physiological Zoology</em></a> <strong>49</strong>: 24-36<!--MARK-->","","Article in Journal","5798ebe2-bde5-43eb-825a-8fef425c38cd","20081009T05:11:37.000+0000","49c39042-2b04-4633-8123-dd875a503f78"
"Gronovius, L.T.","1763","Zoophylacium Gronovarium, <i>exhibens animalia Quadrupeda, Amphibia atque Pisces, quae in museo suo adservavit</i>","","","","","","T. Haak","<!--MARK--><a href='null25edf108-07c2-44bf-a1f5-71ebe90bf18e' class='mouseoverHref'>Gronovius, L.T. 1763. <em>Zoophylacium Gronovarium, <i>exhibens animalia Quadrupeda, Amphibia atque Pisces, quae in museo suo adservavit</i></em>. Lugduno-Batavia : T. Haak Vol. 1.</a><!--MARK-->","","Book","25edf108-07c2-44bf-a1f5-71ebe90bf18e","20081009T05:11:37.000+0000",""
"Johnson, C.R.","1973","Behaviour of the Australian crocodiles, <i>Crocodylus johnstoni</i> and <i>C. porosus</i>","315-336","","Journal of the Linnean Society of London, Zoology","","","","<!--MARK--><a href='nullc0526849-a98d-4d36-880f-82627bd324db' class='mouseoverHref'>Johnson, C.R. 1973. Behaviour of the Australian crocodiles, <i>Crocodylus johnstoni</i> and <i>C. porosus</i>.</a> <!--MARK--><!--MARK--><a href='null9da0901d-c795-4d2c-b9ad-d6a85cdf1cce' class='mouseoverHref'><em>Journal of the Linnean Society of London, Zoology</em></a> <strong>52</strong>: 315-336<!--MARK-->","","Article in Journal","c0526849-a98d-4d36-880f-82627bd324db","20081009T05:11:37.000+0000","9da0901d-c795-4d2c-b9ad-d6a85cdf1cce"
"Johnson, C.R., Webb, G.J.W. & Tanner, C.","1976","Thermoregulation in crocodilians. II. A telemetric study of body temperature in the Australian crocodiles, <i>Crocodylus johnstoni</i> and <i>Crocodylus porosus</i>","143-146","","Comparative Biochemistry and Physiology","","","","<!--MARK--><a href='null58e7964e-0a00-4c6c-abff-82fb1093b809' class='mouseoverHref'>Johnson, C.R., Webb, G.J.W. & Tanner, C. 1976. Thermoregulation in crocodilians. II. A telemetric study of body temperature in the Australian crocodiles, <i>Crocodylus johnstoni</i> and <i>Crocodylus porosus</i>.</a> <!--MARK--><!--MARK--><a href='null67494bf8-65db-470a-88ca-a19c50c2390c' class='mouseoverHref'><em>Comparative Biochemistry and Physiology</em></a> <strong>53A</strong>: 143-146<!--MARK-->","","Article in Journal","58e7964e-0a00-4c6c-abff-82fb1093b809","20081009T05:11:37.000+0000","67494bf8-65db-470a-88ca-a19c50c2390c"
"Krefft, G.","1873","Remarks on Australian crocodiles, and description of a new species","334-335","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='null63ceabcf-5de1-4a73-966c-10ad43a63e17' class='mouseoverHref'>Krefft, G. 1873. Remarks on Australian crocodiles, and description of a new species.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1873</strong>: 334-335<!--MARK-->","","Article in Journal","63ceabcf-5de1-4a73-966c-10ad43a63e17","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"Laurenti, J.N.","1768","Synopsin Reptilium","214 pp.","","","","","J. Thomae","<!--MARK--><a href='null58482cb6-81e6-4a32-af7c-613ad2cfa031' class='mouseoverHref'>Laurenti, J.N. 1768. <em>Synopsin Reptilium</em>. Vienna : J. Thomae 214 pp.</a><!--MARK-->","","Book","58482cb6-81e6-4a32-af7c-613ad2cfa031","20081009T05:11:37.000+0000",""
"Magnusson, W.E.","1979","Dispersal of hatchling crocodiles (<i>Crocodylus porosus</i>) (Reptilia, Crocodylidae)","227-231","","Journal of Herpetology","","","","<!--MARK--><a href='nullc8dab01e-49e0-4220-aec0-51b9e06fd338' class='mouseoverHref'>Magnusson, W.E. 1979. Dispersal of hatchling crocodiles (<i>Crocodylus porosus</i>) (Reptilia, Crocodylidae).</a> <!--MARK--><!--MARK--><a href='null943ce165-7fcb-48bd-9a05-54411205ff2f' class='mouseoverHref'><em>Journal of Herpetology</em></a> <strong>13</strong>: 227-231<!--MARK-->","","Article in Journal","c8dab01e-49e0-4220-aec0-51b9e06fd338","20081009T05:11:37.000+0000","943ce165-7fcb-48bd-9a05-54411205ff2f"
"Magnusson, W.E.","1980","Hatching and crèche formation by <i>Crocodylus porosus</i>","359-362","","Copeia","","","","<!--MARK--><a href='nulleee312cd-3386-450a-a67d-93962fb169ad' class='mouseoverHref'>Magnusson, W.E. 1980. Hatching and crèche formation by <i>Crocodylus porosus</i>.</a> <!--MARK--><!--MARK--><a href='nullf65f55ee-d862-41a2-8c61-e252ae15bcf7' class='mouseoverHref'><em>Copeia</em></a> <strong>1980</strong>: 359-362<!--MARK-->","","Article in Journal","eee312cd-3386-450a-a67d-93962fb169ad","20081009T05:11:37.000+0000","f65f55ee-d862-41a2-8c61-e252ae15bcf7"
