"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Boisduval, J.A.","1835","Voyage de Découvertes de l'<i>Astrolabe</i> exécuté par ordre du Roi, pendant les années 1826-1827-1828-1829, sous le commandement de M.J. Dumont d'Urville. Faune Entomologique de l'Océan Pacifique, avec l'illustration des insectes nouveaux recueillis pendant le voyage. 2me Partie. Coléoptères et autres Ordres","vii 716 pp.","","","","27-III-1835","J. Tastu","<!--MARK--><a href='nullf3f620b1-a19c-439c-88b6-243e5593b6bf' class='mouseoverHref'>Boisduval, J.A. 1835. <em>Voyage de Découvertes de l'<i>Astrolabe</i> exécuté par ordre du Roi, pendant les années 1826-1827-1828-1829, sous le commandement de M.J. Dumont d'Urville. Faune Entomologique de l'Océan Pacifique, avec l'illustration des insectes nouveaux recueillis pendant le voyage. 2me Partie. Coléoptères et autres Ordres</em>. Paris : J. Tastu vii 716 pp.</a><!--MARK--> [Date published 27-III-1835]","","Book","f3f620b1-a19c-439c-88b6-243e5593b6bf","20110901T05:19:23.377+0000",""
"Castelnau, F.L. Laporte de","1840","Histoire Naturelle des Insectes, Animaux articulés. Coléoptères","cxxv 24 pp.","","","","","Duménil","<!--MARK--><a href='nullff9614cc-e927-49b9-bb47-a988b08d2ef0' class='mouseoverHref'>Castelnau, F.L. Laporte de 1840. <em>Histoire Naturelle des Insectes, Animaux articulés. Coléoptères</em>. Paris : Duménil Vol. 1 cxxv 24 pp.</a><!--MARK-->","","Book","ff9614cc-e927-49b9-bb47-a988b08d2ef0","20081009T05:11:37.000+0000",""
"Castelnau, F.L. Laporte de","1867","Notes on Australian Coleoptera","139 pp.","","","","","Royal Society of Victoria","<!--MARK--><a href='null24775344-c4a6-4169-a50c-6b5559f88a2a' class='mouseoverHref'>Castelnau, F.L. Laporte de 1867. <em>Notes on Australian Coleoptera</em>. Melbourne : Royal Society of Victoria 139 pp.</a><!--MARK--> [separates available prior to publication in <I>Trans. R. Soc. Vict. </I><B>8</B>: 30-38 (1867), 95-225 (1868)]","separates available prior to publication in <I>Trans. R. Soc. Vict. </I><B>8</B>: 30-38 (1867), 95-225 (1868)","Book","24775344-c4a6-4169-a50c-6b5559f88a2a","20100628T06:12:41.272+0000",""
"Chaudoir, M. de","1865","Essai sur les Féronides de l'Australie et de la Nouvelle-Zélande","65-112","","Bulletin de la Société Impériale des Naturalistes de Moscou","","","","<!--MARK--><a href='nullee484426-3bf5-4fe3-9bb8-fbe1c0ba14b6' class='mouseoverHref'>Chaudoir, M. de 1865. Essai sur les Féronides de l'Australie et de la Nouvelle-Zélande.</a> <!--MARK--><!--MARK--><a href='nulla7cbc93a-fdd0-40a5-9cc8-35de71b7d18a' class='mouseoverHref'><em>Bulletin de la Société Impériale des Naturalistes de Moscou</em></a> <strong>38</strong>(2): 65-112<!--MARK-->","","Article in Journal","ee484426-3bf5-4fe3-9bb8-fbe1c0ba14b6","20081009T05:11:37.000+0000","a7cbc93a-fdd0-40a5-9cc8-35de71b7d18a"
"Chaudoir, M. de","1874","Supplément à l'essai sur les Féronies de l'Australie publié dans le Bulletin des Naturalistes de Moscou en 1865 T. ii, p. 56, Accompangé d'observations sur la synonymie","569-601","","Annali del Museo Civico di Storia Naturale, Genova","","","","<!--MARK--><a href='null015681ce-5643-4a7a-80e5-758d3acd4c99' class='mouseoverHref'>Chaudoir, M. de 1874. Supplément à l'essai sur les Féronies de l'Australie publié dans le Bulletin des Naturalistes de Moscou en 1865 T. ii, p. 56, Accompangé d'observations sur la synonymie.</a> <!--MARK--><!--MARK--><a href='null461059ea-ead7-4f6d-83f4-52913f06d09f' class='mouseoverHref'><em>Annali del Museo Civico di Storia Naturale, Genova</em></a> <strong>6</strong>: 569-601<!--MARK-->","","Article in Journal","015681ce-5643-4a7a-80e5-758d3acd4c99","20170407T02:06:27.416+0000","461059ea-ead7-4f6d-83f4-52913f06d09f"
"Csiki, E.","1930","Carabidae II: Harpalinae IV","529-738","Coleopterorum Catalogus auspiciis et auxilio W. Junk","","","","","<!--MARK--><a href='null303324d0-f8b7-4bcb-9380-9b58ae5bd958' class='mouseoverHref'>Csiki, E. 1930. Carabidae II: Harpalinae IV. pp. 529-738</a> <!--MARK--><em>in</em> <!--MARK--><a href='nullf7bea1ea-f97e-44c2-ad9b-ce24adb03011' class='mouseoverHref'>Schenkling, S. (ed.). <em>Coleopterorum Catalogus auspiciis et auxilio W. Junk</em>. Berlin : W. Junk Vol. 2 Pars 112.</a><!--MARK--> [Date published 3/Jun/1930]","","Chapter in Book","303324d0-f8b7-4bcb-9380-9b58ae5bd958","20081009T05:11:37.000+0000","f7bea1ea-f97e-44c2-ad9b-ce24adb03011"
"Darlington, P.J. Jr","1962","Australian carabid beetles VII. <i>Trichosternus</i>, especially the tropical species","113-130","","Psyche (Cambridge)","","","","<!--MARK--><a href='null502eb9e5-69e0-44c7-be13-75a58c2f8892' class='mouseoverHref'>Darlington, P.J. Jr 1962. Australian carabid beetles VII. <i>Trichosternus</i>, especially the tropical species.</a> <!--MARK--><!--MARK--><a href='nulle5075c07-9cfd-4699-a945-bae664d3a3e2' class='mouseoverHref'><em>Psyche (Cambridge)</em></a> 1961 <strong>68</strong>: 113-130<!--MARK-->","","Article in Journal","502eb9e5-69e0-44c7-be13-75a58c2f8892","20081009T05:11:37.000+0000","e5075c07-9cfd-4699-a945-bae664d3a3e2"
"Macleay, W.J.","1887","The insects of the Cairns district, northern Queensland. Part II","213-238","","Proceedings of the Linnean Society of New South Wales","","August 31, 1887","","<!--MARK--><a href='null56ca28cb-f634-4a47-abed-b9ff4c972cda' class='mouseoverHref'>Macleay, W.J. 1887. The insects of the Cairns district, northern Queensland. Part II.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> 2 <strong>2</strong>(2): 213-238<!--MARK--> [Date published August 31, 1887]","","Article in Journal","56ca28cb-f634-4a47-abed-b9ff4c972cda","20130410T22:07:21.384+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"Moore, B.P.","1965","Studies on Australian Carabidae (Coleoptera). 4. The Pterostichinae","1-32","","Transactions of the Royal Entomological Society of London","","","","<!--MARK--><a href='nullbbc933ba-9679-4a0c-bac9-d0f57b33789f' class='mouseoverHref'>Moore, B.P. 1965. Studies on Australian Carabidae (Coleoptera). 4. The Pterostichinae.</a> <!--MARK--><!--MARK--><a href='nullaa458993-1b17-4c34-bd31-d6f8224d9b7d' class='mouseoverHref'><em>Transactions of the Royal Entomological Society of London</em></a> <strong>117</strong>: 1-32<!--MARK-->","","Article in Journal","bbc933ba-9679-4a0c-bac9-d0f57b33789f","20081009T05:11:37.000+0000","aa458993-1b17-4c34-bd31-d6f8224d9b7d"
"Moore, B.P. & Wallbank, B.E.","1968","Chemical composition of the defensive secretion in carabid beetles and its importance as a taxonomic character","62-72","","Proceedings of the Royal Entomological Society of London","","","","<!--MARK--><a href='nulle84db0f1-2bda-440b-863b-5aa2a3f63cf1' class='mouseoverHref'>Moore, B.P. & Wallbank, B.E. 1968. Chemical composition of the defensive secretion in carabid beetles and its importance as a taxonomic character.</a> <!--MARK--><!--MARK--><a href='null6ca99b2d-b4f7-49d4-8f5c-8db6ec2f5294' class='mouseoverHref'><em>Proceedings of the Royal Entomological Society of London</em></a> <strong>37</strong>(5-6): 62-72<!--MARK-->","","Article in Journal","e84db0f1-2bda-440b-863b-5aa2a3f63cf1","20081009T05:11:37.000+0000","6ca99b2d-b4f7-49d4-8f5c-8db6ec2f5294"
