"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Annandale, N.","1922","The marine element in the fauna of the Ganges","143-154","","Bijdragen tot de Dierkunde","","","","<!--MARK--><a href='null242c4028-f2f3-448c-a31f-06c456cf7b04' class='mouseoverHref'>Annandale, N. 1922. The marine element in the fauna of the Ganges.</a> <!--MARK--><!--MARK--><a href='null5ad4913a-6409-4c81-8588-a73ca3b8d7a2' class='mouseoverHref'><em>Bijdragen tot de Dierkunde</em></a> <strong>22</strong>: 143-154<!--MARK-->","","Article in Journal","242c4028-f2f3-448c-a31f-06c456cf7b04","20081009T05:11:37.000+0000","5ad4913a-6409-4c81-8588-a73ca3b8d7a2"
"Chen, Y. & Yeh, C-C.","1958","Notes on some Gephyrea of China with descriptions of four new species","265-278","","Acta Zoologica Sinica","","","","<!--MARK--><a href='null2fec37ef-2593-4545-aab4-67fb7e4370bd' class='mouseoverHref'>Chen, Y. & Yeh, C-C. 1958. Notes on some Gephyrea of China with descriptions of four new species.</a> <!--MARK--><!--MARK--><a href='null6246fa0e-837a-4b34-b933-a23d574f18d8' class='mouseoverHref'><em>Acta Zoologica Sinica</em></a> <strong>10</strong>: 265-278<!--MARK-->","","Article in Journal","2fec37ef-2593-4545-aab4-67fb7e4370bd","20081009T05:11:37.000+0000","6246fa0e-837a-4b34-b933-a23d574f18d8"
"Dartnall, A.J.","1970","A new species of <i>Bonellia</i> from northern Tasmania","69-71","","Proceedings of the Royal Society of Tasmania","","","","<!--MARK--><a href='null367cf72e-9f20-48fa-94c9-865e7251d111' class='mouseoverHref'>Dartnall, A.J. 1970. A new species of <i>Bonellia</i> from northern Tasmania.</a> <!--MARK--><!--MARK--><a href='null876cc6a3-2fe3-45b7-a78e-bda14a41ff66' class='mouseoverHref'><em>Proceedings of the Royal Society of Tasmania</em></a> <strong>104</strong>: 69-71<!--MARK-->","","Article in Journal","367cf72e-9f20-48fa-94c9-865e7251d111","20081009T05:11:37.000+0000","876cc6a3-2fe3-45b7-a78e-bda14a41ff66"
"Dattagupta, A.K.","1976","Classification above the generic level in echiurans","111-118","<i>Proceedings of the International Symposium on the Biology of the Sipuncula and Echiura (Kotor, 1970)</i>","","","","","<!--MARK--><a href='null4d01517b-ee9a-493e-a289-e8032b0bc8e0' class='mouseoverHref'>Dattagupta, A.K. 1976. Classification above the generic level in echiurans. pp. 111-118</a> <!--MARK--><em>in</em> <!--MARK--><a href='null963a9c1a-6f18-46b3-ade4-ef772de05aae' class='mouseoverHref'>Rice, M.E. & Todorovic, M. (eds). <em><i>Proceedings of the International Symposium on the Biology of the Sipuncula and Echiura (Kotor, 1970)</i></em>. Beograd : Naucno Delo Vol. 2.</a><!--MARK-->","","Chapter in Book","4d01517b-ee9a-493e-a289-e8032b0bc8e0","20081009T05:11:37.000+0000","963a9c1a-6f18-46b3-ade4-ef772de05aae"
"Edmonds, S.J.","1960","Some Australian echiurids (Echiuroidea)","89-96","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='null379b8af2-b3e9-471f-bbc4-b10cc2f10215' class='mouseoverHref'>Edmonds, S.J. 1960. Some Australian echiurids (Echiuroidea).</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>83</strong>: 89-96<!--MARK-->","","Article in Journal","379b8af2-b3e9-471f-bbc4-b10cc2f10215","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"Edmonds, S.J.","1963","two new echiuroids (Echiuroidea) from Australia","243-247","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='nullb4de6fce-5835-4f29-a31e-3607319500ca' class='mouseoverHref'>Edmonds, S.J. 1963. two new echiuroids (Echiuroidea) from Australia.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>87</strong>: 243-247<!--MARK-->","","Article in Journal","b4de6fce-5835-4f29-a31e-3607319500ca","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"Edmonds, S.J.","1982","Echiurans","312-318","Marine Invertebrates of Southern Australia","","","","","<!--MARK--><a href='null82ed1552-0d2c-4d02-bbec-7a37769cb345' class='mouseoverHref'>Edmonds, S.J. 1982. Echiurans. pp. 312-318</a> <!--MARK--><em>in</em> <!--MARK--><a href='null0676c3be-3d74-4dae-a465-d7b1bde01087' class='mouseoverHref'>Shepherd, S.A. & Thomas, I.M. (eds). <em>Marine Invertebrates of Southern Australia</em>. <em>Handbook of the Flora and Fauna of South Australia</em> Adelaide : Government Printer Part 1 491 pp.</a><!--MARK-->","","Chapter in Book","82ed1552-0d2c-4d02-bbec-7a37769cb345","20170816T03:57:48.567+0000","0676c3be-3d74-4dae-a465-d7b1bde01087"
"Edmonds, S.J.","1987","Echiurans from Australia (Echiura)","119-138","","Records of the South Australian Museum (Adelaide)","","","","<!--MARK--><a href='nullf522c198-32c7-4569-a677-63132db0258a' class='mouseoverHref'>Edmonds, S.J. 1987. Echiurans from Australia (Echiura).</a> <!--MARK--><!--MARK--><a href='nullf7f76869-b0b8-4c0e-a1bc-1d8c43cc0f89' class='mouseoverHref'><em>Records of the South Australian Museum (Adelaide)</em></a> <strong>21</strong>(2): 119-138<!--MARK-->","","Article in Journal","f522c198-32c7-4569-a677-63132db0258a","20081009T05:11:37.000+0000","f7f76869-b0b8-4c0e-a1bc-1d8c43cc0f89"
"Edmonds, S.J.","2000","Phylum Echiura","353-374","Polychaetes & Allies: The Southern Synthesis. Fauna of Australia Vol. 4A Polychaeta, Myzostomida, Pogonophora, Echiura, Sipuncula","","","","","<!--MARK--><a href='nulle40ff74b-2df1-48f8-9bd2-6d6a5c655f6d' class='mouseoverHref'>Edmonds, S.J. 2000. Phylum Echiura. pp. 353-374</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulle30ce010-16f4-407e-b759-58796f08d672' class='mouseoverHref'>Beesley, P.L., Ross, G.J.B. & Glasby, C.J. (eds). <em>Polychaetes & Allies: The Southern Synthesis. Fauna of Australia Vol. 4A Polychaeta, Myzostomida, Pogonophora, Echiura, Sipuncula</em>. Melbourne : CSIRO Publishing Vol. 4 Part A xii 1-465 pp.</a><!--MARK-->","","Chapter in Book","e40ff74b-2df1-48f8-9bd2-6d6a5c655f6d","20081009T05:11:37.000+0000","e30ce010-16f4-407e-b759-58796f08d672"
"Fischer, W.","1921","Results of Dr. E. Mjöberg's Swedish scientific expedition to Australia 1910-1913","1-8","","Kongliga Svenska Vetenskaps-Academiens Nya Handlingar, Stockholm","","","","<!--MARK--><a href='null0a3447da-f8fa-468e-9f9a-7c7f53a2e2ed' class='mouseoverHref'>Fischer, W. 1921. Results of Dr. E. Mjöberg's Swedish scientific expedition to Australia 1910-1913.</a> <!--MARK--><!--MARK--><a href='nullf145f16a-592b-484d-8689-ce403bec0970' class='mouseoverHref'><em>Kongliga Svenska Vetenskaps-Academiens Nya Handlingar, Stockholm</em></a> <strong>61</strong>: 1-8<!--MARK-->","","Article in Journal","0a3447da-f8fa-468e-9f9a-7c7f53a2e2ed","20081009T05:11:37.000+0000","f145f16a-592b-484d-8689-ce403bec0970"
