"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Barnard, J.L.","1972","Gammaridean Amphipoda of Australia, Part I","i-vi 1-333","","Smithsonian Contributions to Zoology","","","","<!--MARK--><a href='null0d55c8f6-ba38-4425-8263-63ac813cc974' class='mouseoverHref'>Barnard, J.L. 1972. Gammaridean Amphipoda of Australia, Part I.</a> <!--MARK--><!--MARK--><a href='nullcf8b640e-574a-4713-8a6f-74b8ef9e2f2c' class='mouseoverHref'><em>Smithsonian Contributions to Zoology</em></a> <strong>103</strong>: i-vi 1-333<!--MARK-->","","Article in Journal","0d55c8f6-ba38-4425-8263-63ac813cc974","20081009T05:11:37.000+0000","cf8b640e-574a-4713-8a6f-74b8ef9e2f2c"
"Barnard, J.L.","1972","The marine fauna of New Zealand: Algae-living littoral Gammaridea (Crustacea Amphipoda)","1-216","","Memoirs of the New Zealand Oceanographic Institute","","","","<!--MARK--><a href='null5c6ea9de-7588-4804-a349-6ab393673b0c' class='mouseoverHref'>Barnard, J.L. 1972. The marine fauna of New Zealand: Algae-living littoral Gammaridea (Crustacea Amphipoda).</a> <!--MARK--><!--MARK--><a href='null0a8ea682-184b-4bf7-9ea9-072de86f6ca8' class='mouseoverHref'><em>Memoirs of the New Zealand Oceanographic Institute</em></a> <strong>62</strong>: 1-216<!--MARK-->","","Article in Journal","5c6ea9de-7588-4804-a349-6ab393673b0c","20081009T05:11:37.000+0000","0a8ea682-184b-4bf7-9ea9-072de86f6ca8"
"Barnard, J.L. & Barnard, C.M.","1983","Freshwater Amphipoda of the World. I. Evolutionary Patterns. II. Handbook and Bibliography","830","","","","","Hayfield Associates","<!--MARK--><a href='null0e9bf519-2ef5-4d96-bf38-27d5e53389be' class='mouseoverHref'>Barnard, J.L. & Barnard, C.M. 1983. <em>Freshwater Amphipoda of the World. I. Evolutionary Patterns. II. Handbook and Bibliography</em>. Virginia : Hayfield Associates 830 pp.</a><!--MARK-->","","Book","0e9bf519-2ef5-4d96-bf38-27d5e53389be","20081009T05:11:37.000+0000",""
"Barnard, J.L. & Karaman, G.S.","1983","Australia as a major evolutionary centre for Amphipoda (Crustacea)","pp. 45-61","","Memoirs of the Australian Museum","Papers from the Conference on the Biology and Evolution of Crustacea","","","<!--MARK--><a href='null3f8ae7c6-d35c-4ba0-b056-d881b150b66b' class='mouseoverHref'>Barnard, J.L. & Karaman, G.S. 1983. Australia as a major evolutionary centre for Amphipoda (Crustacea). pp. 45-61</a> <!--MARK--><em>in</em> <!--MARK--><a href='null7531dc0b-ffeb-489b-a719-14586c2e802a' class='mouseoverHref'>Lowry, J.K. (ed.). Papers from the Conference on the Biology and Evolution of Crustacea.</a> <!--MARK--><!--MARK--><a href='null272826c2-c2bf-425b-bd6f-11ddaf2aaeaa' class='mouseoverHref'><em>Memoirs of the Australian Museum</em></a> <strong>18</strong>: 1-218<!--MARK-->","","Section in Article","3f8ae7c6-d35c-4ba0-b056-d881b150b66b","20081009T05:11:37.000+0000","7531dc0b-ffeb-489b-a719-14586c2e802a"
"Barnard, J.L. & Karaman, G.S.","1984","Australia as a major evolutionary centre for Amphipoda (Crustacea)","pp. 45-61","","Memoirs of the Australian Museum","Papers from the Conference on the Biology and Evolution of Crustacea","","","<!--MARK--><a href='null3b18f49a-3e46-4fcd-b7ef-26101e320211' class='mouseoverHref'>Barnard, J.L. & Karaman, G.S. 1984. Australia as a major evolutionary centre for Amphipoda (Crustacea). pp. 45-61</a> <!--MARK--><em>in</em> <!--MARK--><a href='null6874bc3d-a300-4f1d-a13a-d4afbc5aa234' class='mouseoverHref'>Lowry, J.K. (ed.). Papers from the Conference on the Biology and Evolution of Crustacea.</a> <!--MARK--><!--MARK--><a href='null272826c2-c2bf-425b-bd6f-11ddaf2aaeaa' class='mouseoverHref'><em>Memoirs of the Australian Museum</em></a> <strong>18</strong>: 1-218<!--MARK--><!--MARK--> [publication date cited as 1983 on cover and frontispiece, actual publication date 31 March 1984]","publication date cited as 1983 on cover and frontispiece, actual publication date 31 March 1984","Section in Article","3b18f49a-3e46-4fcd-b7ef-26101e320211","20081009T05:11:37.000+0000","6874bc3d-a300-4f1d-a13a-d4afbc5aa234"
"Barnard, J.L. & Williams, W.D.","1995","The taxonomy of Amphipoda (Crustacea) from Australian fresh waters, Part 2","161-201","","Records of the Australian Museum","","","","<!--MARK--><a href='null815ebcb8-06f2-49f9-b012-d10d866343dc' class='mouseoverHref'>Barnard, J.L. & Williams, W.D. 1995. The taxonomy of Amphipoda (Crustacea) from Australian fresh waters, Part 2.</a> <!--MARK--><!--MARK--><a href='null7c07530b-0b38-44f5-8f95-368da97d6ac2' class='mouseoverHref'><em>Records of the Australian Museum</em></a> <strong>47</strong>: 161-201<!--MARK-->","","Article in Journal","815ebcb8-06f2-49f9-b012-d10d866343dc","20081009T05:11:37.000+0000","7c07530b-0b38-44f5-8f95-368da97d6ac2"
"Bayly, I.A.E. & Williams, W.D.","1966","Chemical and biological studies on some saline lakes of south-east Australia","177-228","","Australian Journal of Marine and Freshwater Research","","","","<!--MARK--><a href='null38d01bc9-f735-4be4-8170-e5faedb648ea' class='mouseoverHref'>Bayly, I.A.E. & Williams, W.D. 1966. Chemical and biological studies on some saline lakes of south-east Australia.</a> <!--MARK--><!--MARK--><a href='null49bc154d-4235-4d59-880a-13ca80a86982' class='mouseoverHref'><em>Australian Journal of Marine and Freshwater Research</em></a> <strong>17</strong>: 177-228<!--MARK-->","","Article in Journal","38d01bc9-f735-4be4-8170-e5faedb648ea","20081009T05:11:37.000+0000","49bc154d-4235-4d59-880a-13ca80a86982"
"Bousfield, E.L.","1977","A new look at the systematics of gammaroidean Amphipoda of the world","282-316","","Crustaceana","","","","<!--MARK--><a href='null9df54ba2-9e15-4c39-ac07-fd256f4845f8' class='mouseoverHref'>Bousfield, E.L. 1977. A new look at the systematics of gammaroidean Amphipoda of the world.</a> <!--MARK--><!--MARK--><a href='nullb3bd1331-ba54-4715-8a3e-f79237a8af84' class='mouseoverHref'><em>Crustaceana</em></a> Suppl. <strong>4</strong>: 282-316<!--MARK-->","","Article in Journal","9df54ba2-9e15-4c39-ac07-fd256f4845f8","20081009T05:11:37.000+0000","b3bd1331-ba54-4715-8a3e-f79237a8af84"
"Bradbury, J.H.","2000","Western Australian stygobiont amphipods (Crustacea: Paramelitidae) from the Mt Newman and Millstream regions","1-102","","Records of the Western Australian Museum","","","","<!--MARK--><a href='null79cfcff4-11f9-4033-836b-7631ff449f7e' class='mouseoverHref'>Bradbury, J.H. 2000. Western Australian stygobiont amphipods (Crustacea: Paramelitidae) from the Mt Newman and Millstream regions.</a> <!--MARK--><!--MARK--><a href='nulla2cbd1fb-97d5-493a-a1d7-c2b99709890b' class='mouseoverHref'><em>Records of the Western Australian Museum</em></a> <strong>60</strong>: 1-102<!--MARK-->","","Article in Journal","79cfcff4-11f9-4033-836b-7631ff449f7e","20081009T05:11:37.000+0000","a2cbd1fb-97d5-493a-a1d7-c2b99709890b"
"Bradbury, J.H. & Williams, W.D.","1995","A new genus and species of crangonyctoid amphipod (Crustacea) from Western Australian fresh waters","67-74","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='null401e6d6b-ea28-4476-990e-a21a7f57a2c7' class='mouseoverHref'>Bradbury, J.H. & Williams, W.D. 1995. A new genus and species of crangonyctoid amphipod (Crustacea) from Western Australian fresh waters.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>119</strong>(2): 67-74<!--MARK-->","","Article in Journal","401e6d6b-ea28-4476-990e-a21a7f57a2c7","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
