"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Arwidsson, I.","1899","Studien uber die Familien Glyceridae und Goniadidae","1-69","","Bergens Museums Aarbog","","","","<!--MARK--><a href='null6bd1e75c-a43d-4234-ad0f-e857ee0c2e96' class='mouseoverHref'>Arwidsson, I. 1899. Studien uber die Familien Glyceridae und Goniadidae.</a> <!--MARK--><!--MARK--><a href='null99f7a8b3-ea76-41ea-8312-655e2d56986e' class='mouseoverHref'><em>Bergens Museums Aarbog</em></a> <strong>11</strong>: 1-69<!--MARK-->","","Article in Journal","6bd1e75c-a43d-4234-ad0f-e857ee0c2e96","20081009T05:11:37.000+0000","99f7a8b3-ea76-41ea-8312-655e2d56986e"
"Audouin, J.V. & Milne Edwards, H.","1833","Classification des Annélides, et Description de celles qui habitent les côtes de la France","187-247","","Annales des Sciences Naturelles, Paris","","","","<!--MARK--><a href='nullb5afdfef-5bac-444b-a7d2-9c4f8ff4b5f3' class='mouseoverHref'>Audouin, J.V. & Milne Edwards, H. 1833. Classification des Annélides, et Description de celles qui habitent les côtes de la France.</a> <!--MARK--><!--MARK--><a href='null8728aca1-f2e1-4662-b5b6-40183f95151b' class='mouseoverHref'><em>Annales des Sciences Naturelles, Paris</em></a> 1 <strong>28</strong>: 187-247<!--MARK-->","","Article in Journal","b5afdfef-5bac-444b-a7d2-9c4f8ff4b5f3","20081009T05:11:37.000+0000","8728aca1-f2e1-4662-b5b6-40183f95151b"
"Audouin, J.V. & Milne-Edwards, H.","1833","Classification des Annélides, et Description de celles qui habitent les côtes de la France","195-412","","Annales des Sciences Naturelles, Paris","","","","<!--MARK--><a href='null69da7056-f1a4-4860-a6fe-05b0358b45c2' class='mouseoverHref'>Audouin, J.V. & Milne-Edwards, H. 1833. Classification des Annélides, et Description de celles qui habitent les côtes de la France.</a> <!--MARK--><!--MARK--><a href='null8728aca1-f2e1-4662-b5b6-40183f95151b' class='mouseoverHref'><em>Annales des Sciences Naturelles, Paris</em></a> 1 <strong>29</strong>: 195-412<!--MARK-->","","Article in Journal","69da7056-f1a4-4860-a6fe-05b0358b45c2","20180328T04:55:29.053+0000","8728aca1-f2e1-4662-b5b6-40183f95151b"
"Augener, H.","1906","Reports on the results of dredging, under the supervision of Alexander Agassiz, in the Gulf of Mexico and the Caribbean Sea, and on the east coast of the United States, 1877 to 1880, by the U.S.S. Coast Survey Steamer Blake. Westindische Polychaeten","91-196","","Bulletin of the Museum of Comparative Zoology, Harvard","","","","<!--MARK--><a href='nullb18a2a0b-5de2-49db-a19a-59757420f319' class='mouseoverHref'>Augener, H. 1906. Reports on the results of dredging, under the supervision of Alexander Agassiz, in the Gulf of Mexico and the Caribbean Sea, and on the east coast of the United States, 1877 to 1880, by the U.S.S. Coast Survey Steamer Blake. Westindische Polychaeten.</a> <!--MARK--><!--MARK--><a href='nullb2447030-bd13-4a45-9402-157082169a3d' class='mouseoverHref'><em>Bulletin of the Museum of Comparative Zoology, Harvard</em></a> <strong>43</strong>: 91-196<!--MARK-->","","Article in Journal","b18a2a0b-5de2-49db-a19a-59757420f319","20081009T05:11:37.000+0000","b2447030-bd13-4a45-9402-157082169a3d"
"Augener, H.","1918","Polychaeta","67-625","","Beiträge zur Kenntnis der Meeresfauna Westafrikas","","","","<!--MARK--><a href='null871c0414-bd0b-4bc7-85e9-abeabdf0f6de' class='mouseoverHref'>Augener, H. 1918. Polychaeta.</a> <!--MARK--><!--MARK--><a href='nullb5f8fb55-5ef5-421f-af62-9de655c3b97e' class='mouseoverHref'><em>Beiträge zur Kenntnis der Meeresfauna Westafrikas</em></a> <strong>2</strong>: 67-625<!--MARK-->","","Article in Journal","871c0414-bd0b-4bc7-85e9-abeabdf0f6de","20081009T05:11:37.000+0000","b5f8fb55-5ef5-421f-af62-9de655c3b97e"
"Augener, H.","1927","Papers from Dr. Th. Mortensen's Pacific Expedition 1914-1916. No. 38. Polychaeten von Südost und Süd-Australien","71-275","","Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening i Kjøbenhavn","","","","<!--MARK--><a href='null83e4a70c-321e-4103-956a-44bfdbd86309' class='mouseoverHref'>Augener, H. 1927. Papers from Dr. Th. Mortensen's Pacific Expedition 1914-1916. No. 38. Polychaeten von Südost und Süd-Australien.</a> <!--MARK--><!--MARK--><a href='null51082d4f-c72f-4223-8886-1a55698c5740' class='mouseoverHref'><em>Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening i Kjøbenhavn</em></a> <strong>83</strong>: 71-275<!--MARK-->","","Article in Journal","83e4a70c-321e-4103-956a-44bfdbd86309","20081009T05:11:37.000+0000","51082d4f-c72f-4223-8886-1a55698c5740"
"Benham, W.B.","1932","Notes on Polychaeta: Two new species of the genus <i>Goniada</i>","553-566","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null7de208c9-8d55-4814-99ad-f389f89b3359' class='mouseoverHref'>Benham, W.B. 1932. Notes on Polychaeta: Two new species of the genus <i>Goniada</i>.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 10 <strong>9</strong>: 553-566<!--MARK-->","","Article in Journal","7de208c9-8d55-4814-99ad-f389f89b3359","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Böggemann, M.","2005","Revision of the Goniadidae (Annelida, Polychaeta)","pp. 354","","","","","","<!--MARK--><a href='null81903c97-419a-4220-ba97-8f63ceecb9f2' class='mouseoverHref'>Böggemann, M. 2005. Revision of the Goniadidae (Annelida, Polychaeta). Abhandlungen des Naturwissenscaftlichen Vereins in Hamburg. pp. 354</a>","","Miscellaneous","81903c97-419a-4220-ba97-8f63ceecb9f2","20101018T03:21:31.545+0000",""
"Böggemann, M.","2015","Glyceriformia Fauchald, 1977 (Annelida: ?Polychaeta?) from Lizard Island, Great Barrier Reef, Australia.","70-97","","Zootaxa","","","","<!--MARK--><a href='null3a9f90e2-99d1-4afe-b773-7bc290574136' class='mouseoverHref'>Böggemann, M. 2015. Glyceriformia Fauchald, 1977 (Annelida: ?Polychaeta?) from Lizard Island, Great Barrier Reef, Australia.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>4019</strong>: 70-97<!--MARK-->","","Article in Journal","3a9f90e2-99d1-4afe-b773-7bc290574136","20160110T23:10:04.080+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"Böggemann & Eibye-Jacobson","2002","The Glyceridae and Goniadidae (Annelida: Polychaeta) of the BIOSHELF Project, Andaman Sea, Thailand","","","","","","","<!--MARK--><a href='nulle7ee5655-eca1-4884-b76c-4e355fc8b806' class='mouseoverHref'>Böggemann & Eibye-Jacobson 2002. The Glyceridae and Goniadidae (Annelida: Polychaeta) of the BIOSHELF Project, Andaman Sea, Thailand. Phuket Marine Biological Centre Special Publication, 24: 149-196, Figs. 1-22. Phuket.</a>","","Miscellaneous","e7ee5655-eca1-4884-b76c-4e355fc8b806","20101018T04:16:09.416+0000",""
