"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Busk, G.","1886","Report on the Polyzoa collected by H.M.S. Challenger during the years 1873-1876. Part II. The Cyclostomata, Ctenostomata, and Pedicellinea","1-47","Reports of the Scientific Results of the Challenger Expedition, Zoology","","","","","<!--MARK--><a href='nullac0e67b1-f368-4f72-bc0f-d120d6b2e547' class='mouseoverHref'>Busk, G. 1886. Report on the Polyzoa collected by H.M.S. Challenger during the years 1873-1876. Part II. The Cyclostomata, Ctenostomata, and Pedicellinea. pp. 1-47</a> <!--MARK--><em>in</em> <!--MARK--><a href='nullbfc59889-d432-4323-947c-a59dcb749795' class='mouseoverHref'>Wyville Thomson, C. (ed.). <em>Reports of the Scientific Results of the Challenger Expedition, Zoology</em>. London : Her Majesty's Stationary Office Vol. 17.</a><!--MARK-->","","Chapter in Book","ac0e67b1-f368-4f72-bc0f-d120d6b2e547","20081009T05:11:37.000+0000","bfc59889-d432-4323-947c-a59dcb749795"
"Chittleborough, R.G.","1952","<i>Marine Fouling at Port Adelaide</i>","","","","","","","<!--MARK--><a href='null4dc5e4aa-3d19-4685-a83b-8ef850074e4e' class='mouseoverHref'>Chittleborough, R.G. 1952. <i>Marine Fouling at Port Adelaide</i>. M. Sc. Thesis, University of Adelaide.</a>","","Miscellaneous","4dc5e4aa-3d19-4685-a83b-8ef850074e4e","20081009T05:11:37.000+0000",""
"Claperède, E.","1867","Miscellanées zoologiques. V. Sur le <i>Loxosoma</i> <i>kefersteini</i> n. sp., Bryozoaire mou du golfe de Naples","28-30","","Annales des Sciences Naturelles, Zoologie","","","","<!--MARK--><a href='null1c879b2b-c678-4516-9eb7-327f9651f699' class='mouseoverHref'>Claperède, E. 1867. Miscellanées zoologiques. V. Sur le <i>Loxosoma</i> <i>kefersteini</i> n. sp., Bryozoaire mou du golfe de Naples.</a> <!--MARK--><!--MARK--><a href='null50cfb179-94f7-42cc-b386-18673adebfc1' class='mouseoverHref'><em>Annales des Sciences Naturelles, Zoologie</em></a> <strong>8</strong>: 28-30<!--MARK-->","","Article in Journal","1c879b2b-c678-4516-9eb7-327f9651f699","20081009T05:11:37.000+0000","50cfb179-94f7-42cc-b386-18673adebfc1"
"Emschermann, P.","1972","<i>Loxokalypus socialis</i> gen. et sp. nov. (Kamptozoa, Loxokalypodidae fam. nov.), ein neuer Kamptozoentyp aus dem nördlichen Pazifischen Ozean. Ein Vorschlag zur Neufassung der Kamptozoensystematik","237-254","","Marine Biology, Berlin","","","","<!--MARK--><a href='null135b4372-6fcf-40b0-9421-3f629ae3729b' class='mouseoverHref'>Emschermann, P. 1972. <i>Loxokalypus socialis</i> gen. et sp. nov. (Kamptozoa, Loxokalypodidae fam. nov.), ein neuer Kamptozoentyp aus dem nördlichen Pazifischen Ozean. Ein Vorschlag zur Neufassung der Kamptozoensystematik.</a> <!--MARK--><!--MARK--><a href='null87c62a53-7147-49d6-89a4-f85296ab9fed' class='mouseoverHref'><em>Marine Biology, Berlin</em></a> <strong>12</strong>: 237-254<!--MARK-->","","Article in Journal","135b4372-6fcf-40b0-9421-3f629ae3729b","20081009T05:11:37.000+0000","87c62a53-7147-49d6-89a4-f85296ab9fed"
"Foettinger, A.","1887","Sur l'anatomie des Pedicellines de la côte d'Ostende","299-329","","Archives de Biologie","","","","<!--MARK--><a href='nullff27df35-98db-4e07-81af-c3a21bdc0d5a' class='mouseoverHref'>Foettinger, A. 1887. Sur l'anatomie des Pedicellines de la côte d'Ostende.</a> <!--MARK--><!--MARK--><a href='null153f4760-954b-4028-ae61-8f78c42022d0' class='mouseoverHref'><em>Archives de Biologie</em></a> <strong>7</strong>: 299-329<!--MARK-->","","Article in Journal","ff27df35-98db-4e07-81af-c3a21bdc0d5a","20160725T01:44:23.524+0000","153f4760-954b-4028-ae61-8f78c42022d0"
"Harmer, S.F.","1915","The Polyzoa of the Siboga Expedition. Pt. 1. Entoprocta, Ctenostomata and Cyclostomata","1-180","","Siboga-Expéditie Report","","","","<!--MARK--><a href='null87cd83c3-8929-427b-b25d-b7d37e113e5d' class='mouseoverHref'>Harmer, S.F. 1915. The Polyzoa of the Siboga Expedition. Pt. 1. Entoprocta, Ctenostomata and Cyclostomata.</a> <!--MARK--><!--MARK--><a href='null2a74a5bb-4884-4d11-8f91-b92c6e837b0a' class='mouseoverHref'><em>Siboga-Expéditie Report</em></a> <strong>28</strong>(A): 1-180<!--MARK-->","","Article in Journal","87cd83c3-8929-427b-b25d-b7d37e113e5d","20081009T05:11:37.000+0000","2a74a5bb-4884-4d11-8f91-b92c6e837b0a"
"Hastings, A.","1932","The Polyzoa","399-458","","Scientific Reports of the Great Barrier Reef Expedition 1928-1929","","","","<!--MARK--><a href='null1a0200fc-d88c-48d3-85e2-75fb5eca448b' class='mouseoverHref'>Hastings, A. 1932. The Polyzoa.</a> <!--MARK--><!--MARK--><a href='null53401020-54f9-4390-abdb-fc4acf775754' class='mouseoverHref'><em>Scientific Reports of the Great Barrier Reef Expedition 1928-1929</em></a> <strong>4</strong>: 399-458<!--MARK-->","","Article in Journal","1a0200fc-d88c-48d3-85e2-75fb5eca448b","20081009T05:11:37.000+0000","53401020-54f9-4390-abdb-fc4acf775754"
"Hedley, C.","1915","An ecological sketch of the Sydney Beaches (Presidential address)","15-77","","Journal and Proceedings of the Royal Society of New South Wales","","","","<!--MARK--><a href='null351381b6-b60d-49ea-8ce2-9bdbbcbcf0d0' class='mouseoverHref'>Hedley, C. 1915. An ecological sketch of the Sydney Beaches (Presidential address).</a> <!--MARK--><!--MARK--><a href='nullf33c0881-c1a2-4b22-a3c1-439b32e0142f' class='mouseoverHref'><em>Journal and Proceedings of the Royal Society of New South Wales</em></a> <strong>49</strong>: 15-77<!--MARK-->","","Article in Journal","351381b6-b60d-49ea-8ce2-9bdbbcbcf0d0","20081009T05:11:37.000+0000","f33c0881-c1a2-4b22-a3c1-439b32e0142f"
"Hincks, T.","1880","A History of the British Marine Polyzoa","","","","","","Van Voorst","<!--MARK--><a href='null8ea307d7-a833-4fce-9b34-a4b700c7f3a0' class='mouseoverHref'>Hincks, T. 1880. <em>A History of the British Marine Polyzoa</em>. London : Van Voorst.</a><!--MARK-->","","Book","8ea307d7-a833-4fce-9b34-a4b700c7f3a0","20081009T05:11:37.000+0000",""
"Hincks, T.","1884","Contributions towards a general history of the marine Polyzoa","356-369","","Annals of Natural History","","","","<!--MARK--><a href='null01c77125-3399-4432-9efd-0959bf0b12ff' class='mouseoverHref'>Hincks, T. 1884. Contributions towards a general history of the marine Polyzoa.</a> <!--MARK--><!--MARK--><a href='null49064907-7f69-404b-b6d0-6e1a9be97dbb' class='mouseoverHref'><em>Annals of Natural History</em></a> <strong>13</strong>: 356-369<!--MARK-->","","Article in Journal","01c77125-3399-4432-9efd-0959bf0b12ff","20081009T05:11:37.000+0000","49064907-7f69-404b-b6d0-6e1a9be97dbb"
"Hyman, L.H.","1951","The pseudocoelomate bilateria -- Phylum Entoprocta","521-554","The Invertebrates","","","","","<!--MARK--><a href='nulla8f48f0a-4c4b-43c2-bcdd-6d69a3ccd305' class='mouseoverHref'>Hyman, L.H. 1951. The pseudocoelomate bilateria -- Phylum Entoprocta. pp. 521-554</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulla7f55d25-9648-471a-a99f-5e9f48abdb06' class='mouseoverHref'>Hyman, L.H. <em>The Invertebrates</em>. New York : McGraw-Hill Book Company Vol. 3.</a><!--MARK-->","","Chapter in Book","a8f48f0a-4c4b-43c2-bcdd-6d69a3ccd305","20081009T05:11:37.000+0000","a7f55d25-9648-471a-a99f-5e9f48abdb06"
"Johnston, T.H. & Angel, L.M.","1940","Endoprocta","215-231","","British, Australian and New Zealand Antarctic Research Expedition Reports, Series B (Zoology and Botany)","","","","<!--MARK--><a href='null4fd19410-ec0c-40bc-b5b1-5f59dcd93f72' class='mouseoverHref'>Johnston, T.H. & Angel, L.M. 1940. Endoprocta.</a> <!--MARK--><!--MARK--><a href='nulla58c8101-7af6-4383-8167-2f253098a8e9' class='mouseoverHref'><em>British, Australian and New Zealand Antarctic Research Expedition Reports, Series B (Zoology and Botany)</em></a> <strong>4</strong>: 215-231<!--MARK-->","","Article in Journal","4fd19410-ec0c-40bc-b5b1-5f59dcd93f72","20081009T05:11:37.000+0000","a58c8101-7af6-4383-8167-2f253098a8e9"
