"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Abbott, I.","1982","The distribution of earthworms in the Perth metropolitan area","11-34","","Records of the Western Australian Museum","","","","<!--MARK--><a href='null06f5a70f-011c-428c-9759-75b3d4aefa42' class='mouseoverHref'>Abbott, I. 1982. The distribution of earthworms in the Perth metropolitan area.</a> <!--MARK--><!--MARK--><a href='nulla2cbd1fb-97d5-493a-a1d7-c2b99709890b' class='mouseoverHref'><em>Records of the Western Australian Museum</em></a> <strong>10</strong>(1): 11-34<!--MARK-->","","Article in Journal","06f5a70f-011c-428c-9759-75b3d4aefa42","20081009T05:11:37.000+0000","a2cbd1fb-97d5-493a-a1d7-c2b99709890b"
"Bage, R.","1910","Contributions to our knowledge of Australian earthworms -- The Nephridia. Pt II","224-243","","Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='nullc8654fd7-e0ba-4a4c-a87f-98c058542de9' class='mouseoverHref'>Bage, R. 1910. Contributions to our knowledge of Australian earthworms -- The Nephridia. Pt II.</a> <!--MARK--><!--MARK--><a href='nullce333794-3a02-427f-ba27-346079f1efa0' class='mouseoverHref'><em>Proceedings of the Royal Society of Victoria</em></a> ns <strong>22</strong>: 224-243<!--MARK-->","","Article in Journal","c8654fd7-e0ba-4a4c-a87f-98c058542de9","20081009T05:11:37.000+0000","ce333794-3a02-427f-ba27-346079f1efa0"
"Baker, G.H.","1996","Introduction of earthworms to agricultural soils in southern Australia","","","","","","","<!--MARK--><a href='null592a0f33-30a9-439c-b60a-c7717de525cc' class='mouseoverHref'>Baker, G.H. 1996. Introduction of earthworms to agricultural soils in southern Australia. pp. 90-98 <I>in </I>Temple-Smith, M.G. & Pinkard, T. (eds) <I>The Role of Earthworms in Agriculture and Land Management.</I> Report of a National Workshop, June 1993, Department of Primary Industry and Fisheries, Tasmania.</a>","","Miscellaneous","592a0f33-30a9-439c-b60a-c7717de525cc","20081009T05:11:37.000+0000",""
"Barrett, C.","1938","Australia's giant earthworm","66-70","","Bulletin of the New York Zoological Society","","","","<!--MARK--><a href='null1c3f2632-e745-4b2b-af56-d29b82729a7d' class='mouseoverHref'>Barrett, C. 1938. Australia's giant earthworm.</a> <!--MARK--><!--MARK--><a href='nulle6cb12af-a6c5-4411-b8e4-2c964bba29d4' class='mouseoverHref'><em>Bulletin of the New York Zoological Society</em></a> <strong>41</strong>(2): 66-70<!--MARK-->","","Article in Journal","1c3f2632-e745-4b2b-af56-d29b82729a7d","20081009T05:11:37.000+0000","e6cb12af-a6c5-4411-b8e4-2c964bba29d4"
"Beddard, F.E.","1887","Contributions to the anatomy of earthworm -- No. IV","544-548","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='null643f3cbd-b6ec-48e5-9e4a-ce94abe6eda4' class='mouseoverHref'>Beddard, F.E. 1887. Contributions to the anatomy of earthworm -- No. IV.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1887</strong>: 544-548<!--MARK-->","","Article in Journal","643f3cbd-b6ec-48e5-9e4a-ce94abe6eda4","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"Beddard, F.E.","1887","Observations on the structural characters of certain new or little-known earthworms","156-176","","Proceedings of the Royal Society of Edinburgh","","","","<!--MARK--><a href='null003e5ecd-00ac-4d42-8196-0b71e5c74ae1' class='mouseoverHref'>Beddard, F.E. 1887. Observations on the structural characters of certain new or little-known earthworms.</a> <!--MARK--><!--MARK--><a href='null2c3973d3-97ef-45a4-b52b-6279f8c50d53' class='mouseoverHref'><em>Proceedings of the Royal Society of Edinburgh</em></a> <strong>14</strong>: 156-176<!--MARK-->","","Article in Journal","003e5ecd-00ac-4d42-8196-0b71e5c74ae1","20081009T05:11:37.000+0000","2c3973d3-97ef-45a4-b52b-6279f8c50d53"
"Beddard, F.E.","1889","On the oligochaetous fauna of New Zealand with preliminary descriptions of new species","377-382","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='nullebdffab8-6f9e-4a95-b486-637829338b1c' class='mouseoverHref'>Beddard, F.E. 1889. On the oligochaetous fauna of New Zealand with preliminary descriptions of new species.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1889</strong>: 377-382<!--MARK-->","","Article in Journal","ebdffab8-6f9e-4a95-b486-637829338b1c","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"Beddard, F.E.","1890","Observations upon an American species of <i>Perichaeta</i>, and upon some other members of the genus","52-69","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='nulld03da02b-106a-45f6-9e37-044323808df7' class='mouseoverHref'>Beddard, F.E. 1890. Observations upon an American species of <i>Perichaeta</i>, and upon some other members of the genus.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1890</strong>: 52-69<!--MARK-->","","Article in Journal","d03da02b-106a-45f6-9e37-044323808df7","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"Beddard, F.E.","1891","Abstract of some investigations into the structure of the Oligochaeta","88-96","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='nullae964d38-e14d-4d72-b680-317caf66473d' class='mouseoverHref'>Beddard, F.E. 1891. Abstract of some investigations into the structure of the Oligochaeta.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> <strong>7</strong>(6): 88-96<!--MARK-->","","Article in Journal","ae964d38-e14d-4d72-b680-317caf66473d","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Beddard, F.E.","1892","The earthworms of the Vienna Museum","113-134","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null6cbea701-246c-437d-9508-e71a53901291' class='mouseoverHref'>Beddard, F.E. 1892. The earthworms of the Vienna Museum.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> <strong>9</strong>: 113-134<!--MARK-->","","Article in Journal","6cbea701-246c-437d-9508-e71a53901291","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
