"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Altena, C.O. van R. & Smith, B.J.","1975","Notes on introduced slugs of the families Limacidae and Milacidae in Australia, with two new records","63-80","","Journal of the Malacological Society of Australia","","","","<!--MARK--><a href='null30e47c6a-f5cf-4460-bc39-41e35af178b7' class='mouseoverHref'>Altena, C.O. van R. & Smith, B.J. 1975. Notes on introduced slugs of the families Limacidae and Milacidae in Australia, with two new records.</a> <!--MARK--><!--MARK--><a href='null1177fe8d-d8cb-45b8-a40c-704cb3564fd7' class='mouseoverHref'><em>Journal of the Malacological Society of Australia</em></a> <strong>3</strong>: 63-80<!--MARK-->","","Article in Journal","30e47c6a-f5cf-4460-bc39-41e35af178b7","20081009T05:11:37.000+0000","1177fe8d-d8cb-45b8-a40c-704cb3564fd7"
"Barker, G.M.","1999","Naturalised terrestrial Stylommatophora (Mollusca: Gastropoda). Fauna of New Zealand, 38.","253 pp.","","","","","Manaaki Whenua Press","<!--MARK--><a href='nullc3f4a331-61d8-4ee4-906d-5317a6f20556' class='mouseoverHref'>Barker, G.M. 1999. <em>Naturalised terrestrial Stylommatophora (Mollusca: Gastropoda). Fauna of New Zealand, 38</em>. Lincoln, Canterbury, New Zealand : Manaaki Whenua Press 253 pp.</a><!--MARK-->","","Book","c3f4a331-61d8-4ee4-906d-5317a6f20556","20120426T04:21:35.453+0000",""
"Draparnaud, J.P.R.","1801","Tableau des Mollusques Terrestres et Fluviatiles de la France","116 pp.","","","","","F. Bonnarig","<!--MARK--><a href='null0bf9db4f-e536-48b0-b7e2-4ba04086c8b1' class='mouseoverHref'>Draparnaud, J.P.R. 1801. <em>Tableau des Mollusques Terrestres et Fluviatiles de la France</em>. Montpellier : F. Bonnarig 116 pp.</a><!--MARK-->","","Book","0bf9db4f-e536-48b0-b7e2-4ba04086c8b1","20081009T05:11:37.000+0000",""
"Fechter, R. & Falkner, G.","1990","Weichtiere. Europäische Meeres-und Binnenmollusken","287 pp.","","","","","Mosaik Verlag","<!--MARK--><a href='nullbb78abc8-7462-4e87-8a04-6e1d4c522e29' class='mouseoverHref'>Fechter, R. & Falkner, G. 1990. <em>Weichtiere. Europäische Meeres-und Binnenmollusken</em>. München : Mosaik Verlag 287 pp.</a><!--MARK-->","","Book","bb78abc8-7462-4e87-8a04-6e1d4c522e29","20100114T22:58:24.808+0000",""
"Gray, J.E.","1855","Catalogue of Pulmonate or Air-breathing Mollusca in the Collection of the British Museum","192 pp.","","","","","British Museum","<!--MARK--><a href='nullf812ffc3-25f8-4107-b084-7ac50b0040cf' class='mouseoverHref'>Gray, J.E. 1855. <em>Catalogue of Pulmonate or Air-breathing Mollusca in the Collection of the British Museum</em>. London : British Museum 192 pp.</a><!--MARK-->","","Book","f812ffc3-25f8-4107-b084-7ac50b0040cf","20081009T05:11:37.000+0000",""
"Moquin-Tandon, A.","1855","Histoire Naturelle des Mollusques Terrestres et Fluviatiles de France contenant des études générales sur leur anatomie et leur physiologie et la description particulière des genres, des espèces et des varieties","646","","","","","Baillière","<!--MARK--><a href='nulld64bb8ed-bbf3-4c0c-be17-dede1524bbd9' class='mouseoverHref'>Moquin-Tandon, A. 1855. <em>Histoire Naturelle des Mollusques Terrestres et Fluviatiles de France contenant des études générales sur leur anatomie et leur physiologie et la description particulière des genres, des espèces et des varieties</em>. Paris : Baillière Vol. 2 646 pp.</a><!--MARK-->","","Book","d64bb8ed-bbf3-4c0c-be17-dede1524bbd9","20081009T05:11:37.000+0000",""
"Mörch, O.A.L.","1865","Quelques mots sur un arrangement des mollusques pulmonés terrestres (Géophiles, Fér.) basé sur le système naturelle","376-396","","Journal de Conchyliologie","","","","<!--MARK--><a href='nullc53051be-efdb-4c77-8e93-48496b12860a' class='mouseoverHref'>Mörch, O.A.L. 1865. Quelques mots sur un arrangement des mollusques pulmonés terrestres (Géophiles, Fér.) basé sur le système naturelle.</a> <!--MARK--><!--MARK--><a href='null52301b35-8099-424a-8c55-57ce4c6a0788' class='mouseoverHref'><em>Journal de Conchyliologie</em></a> <strong>13</strong>: 376-396<!--MARK-->","","Article in Journal","c53051be-efdb-4c77-8e93-48496b12860a","20081009T05:11:37.000+0000","52301b35-8099-424a-8c55-57ce4c6a0788"
"Quick, H.E.","1960","British Slugs (Pulmonata : Testacellidae, Arionidae, Limacidae)","103-226","","Bulletin of the British Museum (Natural History) Zoology","","","","<!--MARK--><a href='null883e8f51-d734-4099-9986-5c9eada632f4' class='mouseoverHref'>Quick, H.E. 1960. British Slugs (Pulmonata : Testacellidae, Arionidae, Limacidae).</a> <!--MARK--><!--MARK--><a href='nullb3f9c838-f530-4385-85ff-15e3c5466fb7' class='mouseoverHref'><em>Bulletin of the British Museum (Natural History) Zoology</em></a> <strong>6</strong>: 103-226<!--MARK-->","","Article in Journal","883e8f51-d734-4099-9986-5c9eada632f4","20081009T05:11:37.000+0000","b3f9c838-f530-4385-85ff-15e3c5466fb7"
"Quoy, J.R.C. & Gaimard, J.P.","1824","<i>in</i> Freycinet, M.L. de (ed.) Voyage Autour du Monde,entrepris par ordre du Roi, sous le Ministère et conformement aux la instructions de S. Exc. M. le Viscomte du Bouchage, Secrétaire d'État au Department de la Marine, exécute sur les Corvettes de S.M. l' Uraine et la Physicienne, pendant les années 1817-1820. Zoologie. Paris : Pillet Ainé","671","","","","","","<!--MARK--><a href='null31402eaa-7380-4070-b1b5-74191cee5f39' class='mouseoverHref'>Quoy, J.R.C. & Gaimard, J.P. 1824. <i>in</i> Freycinet, M.L. de (ed.) Voyage Autour du Monde,entrepris par ordre du Roi, sous le Ministère et conformement aux la instructions de S. Exc. M. le Viscomte du Bouchage, Secrétaire d'État au Department de la Marine, exécute sur les Corvettes de S.M. l' Uraine et la Physicienne, pendant les années 1817-1820. Zoologie. Paris : Pillet Ainé. 671 pp.</a>","","Miscellaneous","31402eaa-7380-4070-b1b5-74191cee5f39","20081009T05:11:37.000+0000",""
"Runham, N.W. & Hunter, P.J.","1970","Terrestrial Slugs","184","","","","","Hutchinson","<!--MARK--><a href='null6e880c41-2fa3-42de-bc98-eedf4601faff' class='mouseoverHref'>Runham, N.W. & Hunter, P.J. 1970. <em>Terrestrial Slugs</em>. London : Hutchinson 184 pp.</a><!--MARK-->","","Book","6e880c41-2fa3-42de-bc98-eedf4601faff","20081009T05:11:37.000+0000",""
