"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Ames, P.L.","1971","The Morphology of the Syrinx in Passerine Birds","vi 194 pp. 21 pls","","Peabody Museum of Natural History, Bulletin","","","","<!--MARK--><a href='null1d7f128f-dec1-4eb1-b4ed-509dd7778dcb' class='mouseoverHref'>Ames, P.L. 1971. The Morphology of the Syrinx in Passerine Birds.</a> <!--MARK--><!--MARK--><a href='null9332f985-d288-4828-95be-85308b0a59b9' class='mouseoverHref'><em>Peabody Museum of Natural History, Bulletin</em></a> <strong>37</strong>: vi 194 pp. 21 pls<!--MARK-->","","Article in Journal","1d7f128f-dec1-4eb1-b4ed-509dd7778dcb","20081009T05:11:37.000+0000","9332f985-d288-4828-95be-85308b0a59b9"
"Bock, W.J.","1962","The pneumatic fossa of the humerus in the Passeres","425-443","","Auk","","","","<!--MARK--><a href='null4f821a35-9ec5-4b82-ae65-9c117e0a0872' class='mouseoverHref'>Bock, W.J. 1962. The pneumatic fossa of the humerus in the Passeres.</a> <!--MARK--><!--MARK--><a href='null51ad10a1-57d4-4597-92b5-92e388b6e55a' class='mouseoverHref'><em>Auk</em></a> <strong>79</strong>: 425-443<!--MARK-->","","Article in Journal","4f821a35-9ec5-4b82-ae65-9c117e0a0872","20081009T05:11:37.000+0000","51ad10a1-57d4-4597-92b5-92e388b6e55a"
"Bonaparte, C.L.","1854","Conspectus Volucrum Anisodactylorum","311-321","","Ateneo Italiano","","Aug 1854","","<!--MARK--><a href='nullfaae24ac-3146-4cfd-8946-c5ab2944e965' class='mouseoverHref'>Bonaparte, C.L. 1854. Conspectus Volucrum Anisodactylorum.</a> <!--MARK--><!--MARK--><a href='null1fee2055-54e0-4be0-b528-19d2da39b056' class='mouseoverHref'><em>Ateneo Italiano</em></a> <strong>2</strong>(11): 311-321<!--MARK--> [Date published Aug 1854]","","Article in Journal","faae24ac-3146-4cfd-8946-c5ab2944e965","20081009T05:11:37.000+0000","1fee2055-54e0-4be0-b528-19d2da39b056"
"Christidis, L. & Boles, W.E.","2008","Systematics and Taxonomy of Australian Birds","288 pp.","","","","","CSIRO Publishing","<!--MARK--><a href='null9c2994f1-1c01-4935-ab30-051da92d915d' class='mouseoverHref'>Christidis, L. & Boles, W.E. 2008. <em>Systematics and Taxonomy of Australian Birds</em>. Melbourne : CSIRO Publishing 288 pp.</a><!--MARK-->","","Book","9c2994f1-1c01-4935-ab30-051da92d915d","20090209T00:55:28.007+0000",""
"Clayton, M., Wombey, J.C., Mason, I.J., Chesser, R.T. & Wells, A.","2006","CSIRO List of Australian Vertebrates: A Reference with Conservation Status","iv 162 pp.","","","","","CSIRO Publishing","<!--MARK--><a href='null8df6acf0-3ce5-4840-ac6a-77b54090ab76' class='mouseoverHref'>Clayton, M., Wombey, J.C., Mason, I.J., Chesser, R.T. & Wells, A. 2006. <em>CSIRO List of Australian Vertebrates: A Reference with Conservation Status</em>. Melbourne : CSIRO Publishing iv 162 pp.</a><!--MARK-->","","Book","8df6acf0-3ce5-4840-ac6a-77b54090ab76","20101117T03:40:53.730+0000",""
"d'Albertis, M.L.","1877","Notes on some birds collected during the Exploration of the Fly River","363-372","","Ibis","","","","<!--MARK--><a href='null865b7941-b008-4358-a7a7-98688d25bf42' class='mouseoverHref'>d'Albertis, M.L. 1877. Notes on some birds collected during the Exploration of the Fly River.</a> <!--MARK--><!--MARK--><a href='nulle381887c-111d-435d-97e9-b8a3ff7ff0fa' class='mouseoverHref'><em>Ibis</em></a> <strong>1877</strong>: 363-372<!--MARK-->","","Article in Journal","865b7941-b008-4358-a7a7-98688d25bf42","20081009T05:11:37.000+0000","e381887c-111d-435d-97e9-b8a3ff7ff0fa"
"Dickinson, E.C. (ed.)","2003","The Howard & Moore Complete Checklist of the Birds of the World","1039 pp.","","","","","Christopher Helm","<!--MARK--><a href='nulld277f0a8-c9fb-4b49-8da9-ce9124be96a7' class='mouseoverHref'>Dickinson, E.C. (ed.) 2003. <em>The Howard & Moore Complete Checklist of the Birds of the World</em>. London : Christopher Helm 1039 pp.</a><!--MARK-->","","Book","d277f0a8-c9fb-4b49-8da9-ce9124be96a7","20150101T23:38:41.161+0000",""
"Elliot, D.G.","1870","Remarks on some lately-described Pittae, with a synopsis of the Family as now known","408-421","","Ibis","","Apr 1870","","<!--MARK--><a href='nullf75309bd-daaa-4cf0-86df-5792cca21472' class='mouseoverHref'>Elliot, D.G. 1870. Remarks on some lately-described Pittae, with a synopsis of the Family as now known.</a> <!--MARK--><!--MARK--><a href='nulle381887c-111d-435d-97e9-b8a3ff7ff0fa' class='mouseoverHref'><em>Ibis</em></a> 2 <strong>6</strong>: 408-421<!--MARK--> [Date published Apr 1870]","","Article in Journal","f75309bd-daaa-4cf0-86df-5792cca21472","20081009T05:11:37.000+0000","e381887c-111d-435d-97e9-b8a3ff7ff0fa"
"Elliot, D.G.","1894","A Monograph of the Pittidae, or Family of Ant-Thrushes. Pts iii & iv","","","","","","B. Quaritch","<!--MARK--><a href='null001653f9-9b68-413f-ac81-b275d9dcd147' class='mouseoverHref'>Elliot, D.G. 1894. <em>A Monograph of the Pittidae, or Family of Ant-Thrushes. Pts iii & iv</em>. New York : B. Quaritch.</a><!--MARK-->","","Book","001653f9-9b68-413f-ac81-b275d9dcd147","20081009T05:11:37.000+0000",""
"Elliot, D.G.","1895","A Monograph of the Pittidae, or Family of Ant-Thrushes","xxiii","","","","Jan 1895","B. Quaritch","<!--MARK--><a href='null2b34b92a-7fa6-4306-83a0-ef8fd3f1e961' class='mouseoverHref'>Elliot, D.G. 1895. <em>A Monograph of the Pittidae, or Family of Ant-Thrushes</em>. New York : B. Quaritch xxiii pp.</a><!--MARK--> [Date published Jan 1895]","","Book","2b34b92a-7fa6-4306-83a0-ef8fd3f1e961","20081009T05:11:37.000+0000",""
