"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Bayer, S. & Schönhofer, A.L.","2013","Phylogenetic relationships of the spider family Psechridae inferred from molecular data, with comments on the Lycosoidea (Arachnida : Araneae)","53-80","","Invertebrate Systematics","","","","<!--MARK--><a href='null2c7363d9-d28c-421f-9d4d-d793fbd32be2' class='mouseoverHref'>Bayer, S. & Schönhofer, A.L. 2013. Phylogenetic relationships of the spider family Psechridae inferred from molecular data, with comments on the Lycosoidea (Arachnida : Araneae).</a> <!--MARK--><!--MARK--><a href='null7ef62e6c-73cc-4912-8ea7-5752f95e8e8a' class='mouseoverHref'><em>Invertebrate Systematics</em></a> <strong>27</strong>: 53-80<!--MARK-->","","Article in Journal","2c7363d9-d28c-421f-9d4d-d793fbd32be2","20130429T04:23:10.683+0000","7ef62e6c-73cc-4912-8ea7-5752f95e8e8a"
"Bonnet, P.","1961","Bibliographia Araneorum","","","","","","Douadoure","<!--MARK--><a href='null5c0b8a12-27d4-44ce-8862-ba8cec3f3dc3' class='mouseoverHref'>Bonnet, P. 1961. <em>Bibliographia Araneorum</em>. Toulouse : Douadoure Vol. 2.</a><!--MARK--> [1945-1961]","1945-1961","Book","5c0b8a12-27d4-44ce-8862-ba8cec3f3dc3","20081009T05:11:37.000+0000",""
"Doleschall, C.L.","1859","Tweede bijdrage tot de kennis der Arachniden van den Indischen Archipel","1-60","","Acta Societatis Scientiarum Indo-Neerlandicae","","","","<!--MARK--><a href='null4f49f2f0-7513-43ff-b410-f32d33ffe5f1' class='mouseoverHref'>Doleschall, C.L. 1859. Tweede bijdrage tot de kennis der Arachniden van den Indischen Archipel.</a> <!--MARK--><!--MARK--><a href='null69d0ca73-dd10-403d-b5f2-8ea910da5f9c' class='mouseoverHref'><em>Acta Societatis Scientiarum Indo-Neerlandicae</em></a> <strong>5</strong>: 1-60<!--MARK-->","","Article in Journal","4f49f2f0-7513-43ff-b410-f32d33ffe5f1","20081009T05:11:37.000+0000","69d0ca73-dd10-403d-b5f2-8ea910da5f9c"
"Hogg, H.R.","1914","Spiders collected by the Wollaston and British Ornithological Union Expeditions in Dutch New Guinea","56-58","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='null69600d6c-9898-4a81-add2-3330c71f50b7' class='mouseoverHref'>Hogg, H.R. 1914. Spiders collected by the Wollaston and British Ornithological Union Expeditions in Dutch New Guinea.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1914</strong>: 56-58<!--MARK-->","","Article in Journal","69600d6c-9898-4a81-add2-3330c71f50b7","20081009T05:11:37.000+0000","511f299d-99ec-413c-bc4c-04a380829c96"
"Kulczynski, W.","1910","Araneae et Arachnoidea Arthrogastra. <i>In</i> Rechinger, K. Botanische und zoologische Ergebnisse einer wissenschaftlichen Forschungreise nach den Samoainsiln, dem Neuguinea-Archipel und den Solomon inseln von Marz bis Dezember 1905 von Dr Karl Rechinger. III Teil","389-411","","Denkschriften der Kaiserlichen Akademie der Wissenschaften zu Wien","","","","<!--MARK--><a href='null0f7c3c9e-9dd0-4deb-99d9-bd1640e17aca' class='mouseoverHref'>Kulczynski, W. 1910. Araneae et Arachnoidea Arthrogastra. <i>In</i> Rechinger, K. Botanische und zoologische Ergebnisse einer wissenschaftlichen Forschungreise nach den Samoainsiln, dem Neuguinea-Archipel und den Solomon inseln von Marz bis Dezember 1905 von Dr Karl Rechinger. III Teil.</a> <!--MARK--><!--MARK--><a href='nulld2e8ef33-4ae3-42f0-b409-ff47d497c01f' class='mouseoverHref'><em>Denkschriften der Kaiserlichen Akademie der Wissenschaften zu Wien</em></a> <strong>85</strong>: 389-411<!--MARK-->","","Article in Journal","0f7c3c9e-9dd0-4deb-99d9-bd1640e17aca","20081009T05:11:37.000+0000","d2e8ef33-4ae3-42f0-b409-ff47d497c01f"
"Lehtinen, P.T.","1967","Classification of the cribellate spiders and some allied families, with notes on the evolution of the suborder Araneomorpha","199-468","","Annales Zoologici Fennici","","","","<!--MARK--><a href='nullf4cdecc3-4392-4cea-9385-cfb2dd33312d' class='mouseoverHref'>Lehtinen, P.T. 1967. Classification of the cribellate spiders and some allied families, with notes on the evolution of the suborder Araneomorpha.</a> <!--MARK--><!--MARK--><a href='null3077448c-373c-40f9-b113-775e4be9e045' class='mouseoverHref'><em>Annales Zoologici Fennici</em></a> <strong>4</strong>: 199-468<!--MARK-->","","Article in Journal","f4cdecc3-4392-4cea-9385-cfb2dd33312d","20081009T05:11:37.000+0000","3077448c-373c-40f9-b113-775e4be9e045"
"Levi, H.W.","1982","The spider genera <i>Psechrus</i> and <i>Fecenia</i> (Araneae: Psechridae)","114-138","","Pacific Insects","","","","<!--MARK--><a href='null4cc9ed9a-a2fa-4581-8e74-f318a3e07fe0' class='mouseoverHref'>Levi, H.W. 1982. The spider genera <i>Psechrus</i> and <i>Fecenia</i> (Araneae: Psechridae).</a> <!--MARK--><!--MARK--><a href='nullf8876116-72f2-47c6-b8af-6b514f4719b7' class='mouseoverHref'><em>Pacific Insects</em></a> <strong>24</strong>: 114-138<!--MARK-->","","Article in Journal","4cc9ed9a-a2fa-4581-8e74-f318a3e07fe0","20081009T05:11:37.000+0000","f8876116-72f2-47c6-b8af-6b514f4719b7"
"Rainbow, W.J.","1898","Contribution to a knowledge of the Arachniden fauna of British New Guinea","328-356 pl. 7","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null919dfff9-d0d6-49ae-9172-e49a48ed9bcd' class='mouseoverHref'>Rainbow, W.J. 1898. Contribution to a knowledge of the Arachniden fauna of British New Guinea.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>23</strong>: 328-356 pl. 7<!--MARK-->","","Article in Journal","919dfff9-d0d6-49ae-9172-e49a48ed9bcd","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"Rainbow, W.J.","1913","Arachnida from the Solomon Islands","1-16","","Records of the Australian Museum","","","","<!--MARK--><a href='null057b0578-fb4f-4e6c-940a-f985613f3d73' class='mouseoverHref'>Rainbow, W.J. 1913. Arachnida from the Solomon Islands.</a> <!--MARK--><!--MARK--><a href='null7c07530b-0b38-44f5-8f95-368da97d6ac2' class='mouseoverHref'><em>Records of the Australian Museum</em></a> <strong>10</strong>: 1-16<!--MARK-->","","Article in Journal","057b0578-fb4f-4e6c-940a-f985613f3d73","20081009T05:11:37.000+0000","7c07530b-0b38-44f5-8f95-368da97d6ac2"
"Reimoser, E.","1936","Fauna Buruana. Arachnoidea","405-413","","Treubia","","","","<!--MARK--><a href='nulla95290a8-6335-48dd-bccf-aff5fdf50313' class='mouseoverHref'>Reimoser, E. 1936. Fauna Buruana. Arachnoidea.</a> <!--MARK--><!--MARK--><a href='nullbc67eed4-b10d-4199-a53d-7474be08f82a' class='mouseoverHref'><em>Treubia</em></a> <strong>7</strong>: 405-413<!--MARK-->","","Article in Journal","a95290a8-6335-48dd-bccf-aff5fdf50313","20081009T05:11:37.000+0000","bc67eed4-b10d-4199-a53d-7474be08f82a"
