"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"André, E.","1896","Fourmis nouvelles d'Asie et d'Australie","251-265","","Revue Française d'Entomologie","","","","<!--MARK--><a href='nulld1c2b1f6-d253-4e17-9b05-d14c13724488' class='mouseoverHref'>André, E. 1896. Fourmis nouvelles d'Asie et d'Australie.</a> <!--MARK--><!--MARK--><a href='nulle9f809d1-b273-4f37-ae15-92e14dc5b13b' class='mouseoverHref'><em>Revue Française d'Entomologie</em></a> <strong>15</strong>: 251-265<!--MARK-->","","Article in Journal","d1c2b1f6-d253-4e17-9b05-d14c13724488","20090807T02:41:05.828+0000","e9f809d1-b273-4f37-ae15-92e14dc5b13b"
"Brown, W.L. jr","1971","The identity and synonymy of <i>Pheidoleye vigilans</i> (Hymenoptera: Formicidae)","13-14","","Australian Journal of Zoology","","","","<!--MARK--><a href='nullea1321a5-f4f0-4b32-b916-9d33b2a68f34' class='mouseoverHref'>Brown, W.L. jr 1971. The identity and synonymy of <i>Pheidoleye vigilans</i> (Hymenoptera: Formicidae).</a> <!--MARK--><!--MARK--><a href='null53c3abd8-0254-4532-a73e-d9ef6b7ac2ef' class='mouseoverHref'><em>Australian Journal of Zoology</em></a> <strong>10</strong>: 13-14<!--MARK-->","","Article in Journal","ea1321a5-f4f0-4b32-b916-9d33b2a68f34","20081009T05:11:37.000+0000","53c3abd8-0254-4532-a73e-d9ef6b7ac2ef"
"Brown, W.L. jr","1973","A comparison of the Hylean and Congo-West African rain forest ant faunas. pp. 161-185 <i>in</i> Meggers, B.J., Ayensu, E.S. & Duckworth, W.D. (eds) <i>Tropical forest ecosystems in Africa and South America: a comparative review.</i> Washington : Smithsonian Institution Press","","","","","","","<!--MARK--><a href='null4532561f-402c-48e7-a6ee-c757dab82a0c' class='mouseoverHref'>Brown, W.L. jr 1973. A comparison of the Hylean and Congo-West African rain forest ant faunas. pp. 161-185 <i>in</i> Meggers, B.J., Ayensu, E.S. & Duckworth, W.D. (eds) <i>Tropical forest ecosystems in Africa and South America: a comparative review.</i> Washington : Smithsonian Institution Press.</a>","","Miscellaneous","4532561f-402c-48e7-a6ee-c757dab82a0c","20081009T05:11:37.000+0000",""
"Clark, J.","1934","Ants from the Otway Ranges","48-73","","Memoirs of the National Museum of Victoria, Melbourne","","","","<!--MARK--><a href='null7b9a23ad-5a84-4230-ad20-6eae8211b21e' class='mouseoverHref'>Clark, J. 1934. Ants from the Otway Ranges.</a> <!--MARK--><!--MARK--><a href='null6d019674-04b0-4fab-8903-0612d147ec4d' class='mouseoverHref'><em>Memoirs of the National Museum of Victoria, Melbourne</em></a> <strong>8</strong>: 48-73<!--MARK-->","","Article in Journal","7b9a23ad-5a84-4230-ad20-6eae8211b21e","20081009T05:11:37.000+0000","6d019674-04b0-4fab-8903-0612d147ec4d"
"Clark, J.","1938","Reports of the McCoy Society for Field Investigation and Research. No. 2. Sir Joseph Bank Islands. Part I. Formicidae (Hymenoptera)","356-382","","Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='nullfa353c35-1515-4402-99e3-d809edda65cc' class='mouseoverHref'>Clark, J. 1938. Reports of the McCoy Society for Field Investigation and Research. No. 2. Sir Joseph Bank Islands. Part I. Formicidae (Hymenoptera).</a> <!--MARK--><!--MARK--><a href='nullce333794-3a02-427f-ba27-346079f1efa0' class='mouseoverHref'><em>Proceedings of the Royal Society of Victoria</em></a> <strong>50</strong>: 356-382<!--MARK-->","","Article in Journal","fa353c35-1515-4402-99e3-d809edda65cc","20081009T05:11:37.000+0000","ce333794-3a02-427f-ba27-346079f1efa0"
"Crawley, W.C.","1915","Ants from north and south-west Australia (G.F. Hill, Rowland Turner) and Christmas Island, Straits Settlements. Part II","232-239","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null7a89c605-713e-4b39-a683-f1fbf4f896b1' class='mouseoverHref'>Crawley, W.C. 1915. Ants from north and south-west Australia (G.F. Hill, Rowland Turner) and Christmas Island, Straits Settlements. Part II.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 8 <strong>15</strong>: 232-239<!--MARK-->","","Article in Journal","7a89c605-713e-4b39-a683-f1fbf4f896b1","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Crawley, W.C.","1922","New ants from Australia","16-36","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='nullfbb0b61e-3c36-4843-9167-529ce2ea9d9b' class='mouseoverHref'>Crawley, W.C. 1922. New ants from Australia.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 9 <strong>10</strong>: 16-36<!--MARK-->","","Article in Journal","fbb0b61e-3c36-4843-9167-529ce2ea9d9b","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"Emery, C.","1914","Formiche d'Australia e di Samoa raccolte dal Prof. Silvestri nel 1913","179-186","","Bollettino del Laboratorio di Zoologia Generale e Agraria della Facoltà Agraria in Portici","","","","<!--MARK--><a href='null10b5adae-a753-400b-9029-28db37c06341' class='mouseoverHref'>Emery, C. 1914. Formiche d'Australia e di Samoa raccolte dal Prof. Silvestri nel 1913.</a> <!--MARK--><!--MARK--><a href='null42089d4a-282f-4e49-931e-0fa8d2595891' class='mouseoverHref'><em>Bollettino del Laboratorio di Zoologia Generale e Agraria della Facoltà Agraria in Portici</em></a> <strong>8</strong>: 179-186<!--MARK--> [30 Jan. 1914]","30 Jan. 1914","Article in Journal","10b5adae-a753-400b-9029-28db37c06341","20081009T05:11:37.000+0000","42089d4a-282f-4e49-931e-0fa8d2595891"
"Fabricius, J.C.","1793","Entomologia Systematica Emendata et Aucta. Secundum, Classes, Ordines, Genera, Species, adjectis synonimis [sic], locis, observationibus, descriptionibus","viii 519 pp.","","","","","Christ. Gottl. Proft.","<!--MARK--><a href='nullb9ebeabd-b7a9-4e75-92a6-9fac4e6c76ab' class='mouseoverHref'>Fabricius, J.C. 1793. <em>Entomologia Systematica Emendata et Aucta. Secundum, Classes, Ordines, Genera, Species, adjectis synonimis [sic], locis, observationibus, descriptionibus</em>. Hafniae : Christ. Gottl. Proft. Vol. 2 viii 519 pp.</a><!--MARK-->","","Book","b9ebeabd-b7a9-4e75-92a6-9fac4e6c76ab","20150716T00:40:13.644+0000",""
"Forel, A.","1893","Nouvelles fourmis d'Australie et des Canaries","454-466","","Annales de la Société Entomologique de Belgique (Comptes-rendus)","","","","<!--MARK--><a href='nulleb32586e-d135-415b-b3f8-6345633d7c19' class='mouseoverHref'>Forel, A. 1893. Nouvelles fourmis d'Australie et des Canaries.</a> <!--MARK--><!--MARK--><a href='nullacc7fcdb-707a-4cbe-8f70-d7595ac25c58' class='mouseoverHref'><em>Annales de la Société Entomologique de Belgique (Comptes-rendus)</em></a> <strong>37</strong>: 454-466<!--MARK-->","","Article in Journal","eb32586e-d135-415b-b3f8-6345633d7c19","20081009T05:11:37.000+0000","acc7fcdb-707a-4cbe-8f70-d7595ac25c58"
