"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Annandale, N. & Praskad, B.","1920","Observations on a carnivorous snail","189-194","","Records of the Indian Museum","","","","<!--MARK--><a href='nullfbc32616-ca6e-4021-bd18-3641485b8a41' class='mouseoverHref'>Annandale, N. & Praskad, B. 1920. Observations on a carnivorous snail.</a> <!--MARK--><!--MARK--><a href='null6c35e896-740a-4f0a-9785-d35f1fc27b0d' class='mouseoverHref'><em>Records of the Indian Museum</em></a> <strong>19</strong>: 189-194<!--MARK-->","","Article in Journal","fbc32616-ca6e-4021-bd18-3641485b8a41","20081009T05:11:37.000+0000","6c35e896-740a-4f0a-9785-d35f1fc27b0d"
"Benthem Jutting, W.S.S. van","1950","Systematic studies on the non-marine Mollusca of the Indo-Australian Archipelago. II. Critical revision of the Javanese pulmonate land-shells of the families Helicarionidae, Pleurodontidae, Fruiticicolidae and Streptaxidae","381-505","","Treubia","","","","<!--MARK--><a href='nulla0cde072-e2fd-4246-9f45-f9c10877ac2a' class='mouseoverHref'>Benthem Jutting, W.S.S. van 1950. Systematic studies on the non-marine Mollusca of the Indo-Australian Archipelago. II. Critical revision of the Javanese pulmonate land-shells of the families Helicarionidae, Pleurodontidae, Fruiticicolidae and Streptaxidae.</a> <!--MARK--><!--MARK--><a href='nullbc67eed4-b10d-4199-a53d-7474be08f82a' class='mouseoverHref'><em>Treubia</em></a> <strong>20</strong>: 381-505<!--MARK-->","","Article in Journal","a0cde072-e2fd-4246-9f45-f9c10877ac2a","20081009T05:11:37.000+0000","bc67eed4-b10d-4199-a53d-7474be08f82a"
"Bruggen, A.C. van","1967","An introduction to the pulmonate family Streptaxidae","181-188","","Journal of Conchology","","","","<!--MARK--><a href='null8833f5a5-2c34-4d84-be31-b2c472877f67' class='mouseoverHref'>Bruggen, A.C. van 1967. An introduction to the pulmonate family Streptaxidae.</a> <!--MARK--><!--MARK--><a href='null15a913a3-15da-44ca-960e-6443aef1d6fc' class='mouseoverHref'><em>Journal of Conchology</em></a> <strong>26</strong>: 181-188<!--MARK-->","","Article in Journal","8833f5a5-2c34-4d84-be31-b2c472877f67","20081009T05:11:37.000+0000","15a913a3-15da-44ca-960e-6443aef1d6fc"
"Hutton, T.","1834","On the land shells of India","81-93","","Journal of the Asiatic Society of Bengal","","","","<!--MARK--><a href='null1b8867bc-dcd4-496f-9ee3-9f78894d3e42' class='mouseoverHref'>Hutton, T. 1834. On the land shells of India.</a> <!--MARK--><!--MARK--><a href='nulld16b9dfb-88f3-4e8f-aa43-b64265b2b69a' class='mouseoverHref'><em>Journal of the Asiatic Society of Bengal</em></a> <strong>3</strong>: 81-93<!--MARK-->","","Article in Journal","1b8867bc-dcd4-496f-9ee3-9f78894d3e42","20081009T05:11:37.000+0000","d16b9dfb-88f3-4e8f-aa43-b64265b2b69a"
"Naggs, F.","1989","<i>Gulella bicolor</i> (Hutton) and its implications for the taxonomy of streptaxids","165-168","","Journal of Conchology","","","","<!--MARK--><a href='null2d98d087-77dc-4d33-9489-67a22b113a1f' class='mouseoverHref'>Naggs, F. 1989. <i>Gulella bicolor</i> (Hutton) and its implications for the taxonomy of streptaxids.</a> <!--MARK--><!--MARK--><a href='null15a913a3-15da-44ca-960e-6443aef1d6fc' class='mouseoverHref'><em>Journal of Conchology</em></a> <strong>33</strong>(3): 165-168<!--MARK-->","","Article in Journal","2d98d087-77dc-4d33-9489-67a22b113a1f","20081009T05:11:37.000+0000","15a913a3-15da-44ca-960e-6443aef1d6fc"
"Pfeiffer, L.","1856","Versuch einer Anordnung der Heliceen nach natürlichen Gruppen","145-185","","Malakozoologische Blätter","","","","<!--MARK--><a href='null47502809-b5d3-4a11-81ff-c24d8c0bc659' class='mouseoverHref'>Pfeiffer, L. 1856. Versuch einer Anordnung der Heliceen nach natürlichen Gruppen.</a> <!--MARK--><!--MARK--><a href='nulla14e44fb-77a6-4eee-ba02-813dd0855aec' class='mouseoverHref'><em>Malakozoologische Blätter</em></a> <strong>2</strong>: 145-185<!--MARK-->","","Article in Journal","47502809-b5d3-4a11-81ff-c24d8c0bc659","20081009T05:11:37.000+0000","a14e44fb-77a6-4eee-ba02-813dd0855aec"
"Solem, A.","1989","Non-camaenid land snails of the Kimberley and Northern Territory, Australia. I. Systematics, affinities and ranges","455-604","","Invertebrate Taxonomy","","","","<!--MARK--><a href='null0f95ca5a-c5af-40b2-9794-41d853ccc95c' class='mouseoverHref'>Solem, A. 1989. Non-camaenid land snails of the Kimberley and Northern Territory, Australia. I. Systematics, affinities and ranges.</a> <!--MARK--><!--MARK--><a href='null9846f41b-d755-4682-9049-5e59d363951b' class='mouseoverHref'><em>Invertebrate Taxonomy</em></a> <strong>2</strong>(4): 455-604<!--MARK-->","","Article in Journal","0f95ca5a-c5af-40b2-9794-41d853ccc95c","20160718T00:04:58.549+0000","9846f41b-d755-4682-9049-5e59d363951b"
"Stanisic, J.","1981","The carnivorous land snail <i>Gulella (Huttonella) bicolor</i> (Hutton, 1834) in Australia. (Pulmonata : Streptaxidae)","84-86","","Journal of the Malacological Society of Australia","","","","<!--MARK--><a href='null612e0a52-fa3f-449e-bfce-0c5001855669' class='mouseoverHref'>Stanisic, J. 1981. The carnivorous land snail <i>Gulella (Huttonella) bicolor</i> (Hutton, 1834) in Australia. (Pulmonata : Streptaxidae).</a> <!--MARK--><!--MARK--><a href='null1177fe8d-d8cb-45b8-a40c-704cb3564fd7' class='mouseoverHref'><em>Journal of the Malacological Society of Australia</em></a> <strong>5</strong>: 84-86<!--MARK-->","","Article in Journal","612e0a52-fa3f-449e-bfce-0c5001855669","20081009T05:11:37.000+0000","1177fe8d-d8cb-45b8-a40c-704cb3564fd7"
"Stanisic, J.","1998","Family Streptaxidae","1090-1091","Mollusca: The Southern Synthesis. Fauna of Australia","","","","","<!--MARK--><a href='nullb1869530-6cd6-4387-aff9-2891b595ae2d' class='mouseoverHref'>Stanisic, J. 1998. Family Streptaxidae. pp. 1090-1091</a> <!--MARK--><em>in</em> <!--MARK--><a href='null87d98901-6c1b-4f4e-a93b-4a39a8d24574' class='mouseoverHref'>Beesley, P.L., Ross, G.J.B. & Wells, A. (eds). <em>Mollusca: The Southern Synthesis. Fauna of Australia</em>. Melbourne : CSIRO Publishing Vol. 5(Part B) pp. vi-viii, 565-1234.</a><!--MARK-->","","Chapter in Book","b1869530-6cd6-4387-aff9-2891b595ae2d","20081009T05:11:37.000+0000","87d98901-6c1b-4f4e-a93b-4a39a8d24574"
"Zilch, A.","1959","Euthyneura","","Handbuch der Paläozoologie","","","","","<!--MARK--><a href='null2021a48b-a0f3-4806-8327-08283ba40dd3' class='mouseoverHref'>Zilch, A. 1959. Euthyneura.</a> <!--MARK--><em>In,</em> <!--MARK--><a href='null38088f2e-a450-43ef-b246-a6f49a353690' class='mouseoverHref'>Schindewolf, O.H. (ed.). <em>Handbuch der Paläozoologie</em>. Berlin-Zehlendorf : Bornträger Vol. 6(2)(2) xii 834 pp.</a><!--MARK-->","","Chapter in Book","2021a48b-a0f3-4806-8327-08283ba40dd3","20081009T05:11:37.000+0000","38088f2e-a450-43ef-b246-a6f49a353690"
