"PUB_AUTHOR","PUB_YEAR","PUB_TITLE","PUB_PAGES","PUB_PARENT_BOOK_TITLE","PUB_PARENT_JOURNAL_TITLE","PUB_PARENT_ARTICLE_TITLE","PUB_PUBLICATION_DATE","PUB_PUBLISHER","PUB_FORMATTED","PUB_QUALIFICATION","PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"Amyot, C.J.B. & Audinet-Serville, J.G.","1843","Histoire Naturelle des Insects. Hémiptères.","676 pp.","","","","","Librairie Encyclopédique de Roret, Rue Hautefeuille 10 B13","<!--MARK--><a href='null79cdc79d-5ec6-4f44-9cae-b6fbe63fa288' class='mouseoverHref'>Amyot, C.J.B. & Audinet-Serville, J.G. 1843. <em>Histoire Naturelle des Insects. Hémiptères</em>. Paris : Librairie Encyclopédique de Roret, Rue Hautefeuille 10 B13 676 pp.</a><!--MARK-->","","Book","79cdc79d-5ec6-4f44-9cae-b6fbe63fa288","20110810T03:55:00.196+0000",""
"Bergroth, E.","1914","Zwei neue paläarktische Hemipteren, nebst synonymischen Mitteilungen","177-184","","Wiener Entomologische Zeitung","","","","<!--MARK--><a href='null9d2ec851-9ee6-4b44-9019-1ab79428a8d6' class='mouseoverHref'>Bergroth, E. 1914. Zwei neue paläarktische Hemipteren, nebst synonymischen Mitteilungen.</a> <!--MARK--><!--MARK--><a href='null9b6f9f14-04ca-437e-a5d2-714ac39f9aa0' class='mouseoverHref'><em>Wiener Entomologische Zeitung</em></a> <strong>23</strong>: 177-184<!--MARK-->","","Article in Journal","9d2ec851-9ee6-4b44-9019-1ab79428a8d6","20081009T05:11:37.000+0000","9b6f9f14-04ca-437e-a5d2-714ac39f9aa0"
"Bergroth, E.","1921","On the types of the exotic Hemiptera Heteroptera described by V. Motschulsky","96-109","","Revue Russe d'Entomologie","","","","<!--MARK--><a href='nullc0551a3f-8aca-492a-94de-d47a8f3a7c5d' class='mouseoverHref'>Bergroth, E. 1921. On the types of the exotic Hemiptera Heteroptera described by V. Motschulsky.</a> <!--MARK--><!--MARK--><a href='nullae560f66-598c-4d76-93c4-8b4f7ffba25b' class='mouseoverHref'><em>Revue Russe d'Entomologie</em></a> <strong>17</strong>: 96-109<!--MARK-->","","Article in Journal","c0551a3f-8aca-492a-94de-d47a8f3a7c5d","20081009T05:11:37.000+0000","ae560f66-598c-4d76-93c4-8b4f7ffba25b"
"Cassis, G., Koenig, P., Symonds, C. & Shofner, R.","2016","Systematics and host plant associations of the Australian lace bug genus <i>Nethersia</i> (Insecta: Heteroptera: Tingidae), including the description of eighteen new species","1-95","","Insect Systematics and Evolution","","","","<!--MARK--><a href='null535766ff-97c2-4696-bc3d-5cbf345575a4' class='mouseoverHref'>Cassis, G., Koenig, P., Symonds, C. & Shofner, R. 2016. Systematics and host plant associations of the Australian lace bug genus <i>Nethersia</i> (Insecta: Heteroptera: Tingidae), including the description of eighteen new species.</a> <!--MARK--><!--MARK--><a href='null997bfe5a-4586-4122-9468-a5ec9a4555ec' class='mouseoverHref'><em>Insect Systematics and Evolution</em></a> 2016 <strong>48</strong>(1): 1-95<!--MARK-->","","Article in Journal","535766ff-97c2-4696-bc3d-5cbf345575a4","20170517T05:27:43.700+0000","997bfe5a-4586-4122-9468-a5ec9a4555ec"
"Cassis, G. & Gross, G.F.","1995","Hemiptera: Heteroptera (Coleorrhuncha to Cimicomorpha)","pp. 1-501","Zoological Catalogue of Australia. Hemiptera: Coleorrhyncha to Cimicomorpha","","","","","<!--MARK--><a href='nullc5832cbd-2d29-425d-a02f-3b7fff4669af' class='mouseoverHref'>Cassis, G. & Gross, G.F. 1995. Hemiptera: Heteroptera (Coleorrhuncha to Cimicomorpha). pp. 1-501</a> <!--MARK--><em>in</em> <!--MARK--><a href='null32358445-3165-4ab1-ac2b-1dc015bf5067' class='mouseoverHref'>Houston, W.W.K. & Maynard, G.V. (eds). <em>Zoological Catalogue of Australia. Hemiptera: Coleorrhyncha to Cimicomorpha</em>. Melbourne : CSIRO Australia Vol. 27.3A xv 506 pp.</a><!--MARK-->","","Chapter in Book","c5832cbd-2d29-425d-a02f-3b7fff4669af","20120508T05:36:42.248+0000","32358445-3165-4ab1-ac2b-1dc015bf5067"
"Cassis, G. & Symonds, C.","2008","Systematics, biogeography and host associations of the lace bug genus <i>Inoma</i> (Hemiptera: Heteroptera: Tingidae)","433-484","","Acta Entomologica Musei Nationalis Pragae","","","","<!--MARK--><a href='null7a101a00-f40a-4a9c-9d9d-b154bced0358' class='mouseoverHref'>Cassis, G. & Symonds, C. 2008. Systematics, biogeography and host associations of the lace bug genus <i>Inoma</i> (Hemiptera: Heteroptera: Tingidae).</a> <!--MARK--><!--MARK--><a href='null800acc84-1853-4834-bb99-26053db41072' class='mouseoverHref'><em>Acta Entomologica Musei Nationalis Pragae</em></a> <strong>48</strong>(2): 433-484<!--MARK-->","","Article in Journal","7a101a00-f40a-4a9c-9d9d-b154bced0358","","800acc84-1853-4834-bb99-26053db41072"
"Cassis, G. & Symonds C.","2011","Systematics, biogeography and host plant associations of the lace bug genus <i>Lasiacantha</i> Stål in Australia (Insecta: Hemiptera: Heteroptera: Tingidae)","1-63","","Zootaxa","","","","<!--MARK--><a href='nullfbf8ee70-c0da-48e1-a353-892bc26c6245' class='mouseoverHref'>Cassis, G. & Symonds C. 2011. Systematics, biogeography and host plant associations of the lace bug genus <i>Lasiacantha</i> Stål in Australia (Insecta: Hemiptera: Heteroptera: Tingidae).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>2818</strong>: 1-63<!--MARK-->","","Article in Journal","fbf8ee70-c0da-48e1-a353-892bc26c6245","20121112T20:14:41.226+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"Champion, G.C.","1897","Insecta: Rhynchota (Hemiptera-Heteroptera): Tingidae","pp. 1-32 pls i-ii","Biologia Centrali-Americana","","","","","<!--MARK--><a href='null904599cc-85c8-4b0f-ac1d-2cb043ca9ce2' class='mouseoverHref'>Champion, G.C. 1897. Insecta: Rhynchota (Hemiptera-Heteroptera): Tingidae. pp. 1-32 pls i-ii</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulla89b538b-3fdf-49d4-ae67-20425c76b5e1' class='mouseoverHref'>Godman, F.D. & Salvin, O. (eds). <em>Biologia Centrali-Americana</em>. London : Publisher unknown Vol. 2.</a><!--MARK-->","","Chapter in Book","904599cc-85c8-4b0f-ac1d-2cb043ca9ce2","20130319T23:46:43.278+0000","a89b538b-3fdf-49d4-ae67-20425c76b5e1"
"Champion, G.C.","1898","Insecta: Rhynchota (Hemiptera-Heteroptera): Tingidae to Hydrometridae","pp. 33-192 pls iii-xi","Biologia Centrali-Americana","","","","","<!--MARK--><a href='null57f52060-0894-4d81-a5bf-28c1eb337fef' class='mouseoverHref'>Champion, G.C. 1898. Insecta: Rhynchota (Hemiptera-Heteroptera): Tingidae to Hydrometridae. pp. 33-192 pls iii-xi</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulla71f81c5-31a5-4266-8a1f-f4ed60cf8938' class='mouseoverHref'>Godman, F.D. & Salvin, O. (eds). <em>Biologia Centrali-Americana</em>. London : Publisher unknown Vol. 2.</a><!--MARK-->","","Chapter in Book","57f52060-0894-4d81-a5bf-28c1eb337fef","20130319T23:46:28.297+0000","a71f81c5-31a5-4266-8a1f-f4ed60cf8938"
"Champion, G.C.","1916","[Taxonomic notes]","207-208","","Entomologist's Monthly Magazine","","","","<!--MARK--><a href='null0ee98d98-2f0e-47db-a625-5b65296df1ab' class='mouseoverHref'>Champion, G.C. 1916. [Taxonomic notes].</a> <!--MARK--><!--MARK--><a href='nullcbd5c497-64d0-4fae-97ee-22719c3ca286' class='mouseoverHref'><em>Entomologist's Monthly Magazine</em></a> <strong>52</strong>: 207-208<!--MARK-->","","Article in Journal","0ee98d98-2f0e-47db-a625-5b65296df1ab","20081009T05:11:37.000+0000","cbd5c497-64d0-4fae-97ee-22719c3ca286"
