"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Unplaced","Order","","","","","","Valid Name","","Order","","","","Y","361a9716-0f03-4286-aadd-8332c08648f5","20160711T01:21:57.285+0000","84ba5112-6f53-4969-a352-977b785cd533","20170428T06:07:32.622+0000","cfc59429-7c9d-48b9-ab8e-71d87c3d41d2","84ba5112-6f53-4969-a352-977b785cd533","","","","","","","","","","","","","","",""
"","","ACTEONOIDEA","ACTEONOIDEA d'Orbigny, 1843","","","","","","Valid Name","","Superfamily","","d'Orbigny","1843","Y","e1b228c7-d7bc-4d86-857c-9796964a5d8f","20111201T02:53:04.660+0000","362b1fd3-8989-41a9-b31c-e290f29b395d","20160111T01:26:22.351+0000","84ba5112-6f53-4969-a352-977b785cd533","362b1fd3-8989-41a9-b31c-e290f29b395d","","","","","","","","","","","","","","",""
"","","ACTEONIDAE","ACTEONIDAE d'Orbigny, 1843","","","","","","Valid Name","","Family","","d'Orbigny","1843","Y","b269ed69-49a4-4418-bd78-a9912501ce27","20111201T02:53:04.660+0000","118b87c7-0935-4255-806b-9b6c018229b3","20170428T06:07:32.622+0000","362b1fd3-8989-41a9-b31c-e290f29b395d","118b87c7-0935-4255-806b-9b6c018229b3","","","","","","","","","","","","","","",""
"","","Acteonidae","Acteonidae d'Orbigny, 1843","","","","","","Synonym","synonym","Family","","d'Orbigny","1843","Y","f066d9a7-15f9-4883-be76-6168be3c6ea6","20110923T01:35:26.162+0000","118b87c7-0935-4255-806b-9b6c018229b3","20170428T06:07:32.622+0000","","3dcfa052-6aa1-4d1c-8c85-9d5e8f251db7","Orbigny, A","1842-1843","Paleontologie francaise. Description zoologique et geologique de tousles animaux Mollusques et Rayonnes fossiles de France. Terrains cretaces. Volume 2. Gasteropoda","pp. 456 + 1 vol. pls 149-256","","","","","Arthus Bertrand","<!--MARK--><a href='null2ddabdd3-97de-4a02-baf6-7e3e57458d56' class='mouseoverHref'>Orbigny, A 1842-1843. <em>Paleontologie francaise. Description zoologique et geologique de tousles animaux Mollusques et Rayonnes fossiles de France. Terrains cretaces. Volume 2. Gasteropoda</em>. Paris : Arthus Bertrand pp. 456 + 1 vol. pls 149-256.</a><!--MARK-->","","Book","2ddabdd3-97de-4a02-baf6-7e3e57458d56","20110926T03:36:38.276+0000",""
"","","Acteon","Acteon Montfort, 1810","ACTEONIDAE","Acteon","","","","Valid Name","","Genus","","Montfort","1810","Y","5420738a-9868-43bd-af6d-94762a6d89e5","20110808T23:48:44.883+0000","d7fa1ab7-44a7-4300-8b64-b5ea9626fcd1","20170428T06:07:32.622+0000","118b87c7-0935-4255-806b-9b6c018229b3","d7fa1ab7-44a7-4300-8b64-b5ea9626fcd1","","","","","","","","","","","","","","",""
"","","Acteon","Acteon Montfort, 1810","","Acteon","","","","Synonym","synonym","Genus","","Montfort","1810","Y","cfe06f80-95a0-4540-8895-9eee81b48ad2","20110808T23:48:44.883+0000","d7fa1ab7-44a7-4300-8b64-b5ea9626fcd1","20170428T06:07:32.622+0000","","a3d3c436-92b0-4695-b4a7-7bdd72250869","Montfort, P.D. de","1810","Conchyliologie Systematique, et Classification Methodique des Coquilles","676 + 16 pp.","","","","","F. Schoell","<!--MARK--><a href='nullcaa709aa-9748-4c15-8293-43d1d9c42555' class='mouseoverHref'>Montfort, P.D. de 1810. <em>Conchyliologie Systematique, et Classification Methodique des Coquilles</em>. Paris : F. Schoell Vol. 2 676 + 16 pp.</a><!--MARK-->","","Book","caa709aa-9748-4c15-8293-43d1d9c42555","20140923T05:26:29.028+0000",""
"","","areatus","Acteon areatus Verco, 1907","ACTEONIDAE","Acteon","","areatus","","Valid Name","","Species","","Verco","1907","Y","5d783e65-5559-4813-acf7-65bf72c13076","20140501T01:07:22.432+0000","cf68220b-2806-4be1-bac8-83e865b765b9","20170428T06:07:32.622+0000","d7fa1ab7-44a7-4300-8b64-b5ea9626fcd1","cf68220b-2806-4be1-bac8-83e865b765b9","","","","","","","","","","","","","","",""
"","","areatus","Acteon areatus Verco, 1907","","Acteon","","areatus","","Synonym","synonym","Species","","Verco","1907","Y","56cb5a3d-a4cc-4501-9fcd-c56525212509","20110808T23:48:44.883+0000","cf68220b-2806-4be1-bac8-83e865b765b9","20170428T06:07:32.622+0000","","37df6bd9-c42f-4727-9c28-c5a97f4d51ad","Verco, J.C.","1907","Notes on South Australian marine Mollusca with descriptions of new species. Part VII","305-315","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='null1b89399d-6c1f-4e3f-8a68-c4f0df040e8e' class='mouseoverHref'>Verco, J.C. 1907. Notes on South Australian marine Mollusca with descriptions of new species. Part VII.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>31</strong>: 305-315<!--MARK-->","","Article in Journal","1b89399d-6c1f-4e3f-8a68-c4f0df040e8e","20121108T23:36:18.016+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","dolichoroseus","Acteon dolichoroseus Iredale, 1936","ACTEONIDAE","Acteon","","dolichoroseus","","Valid Name","","Species","","Iredale","1936","Y","1d58cdb3-85a8-4b38-9b23-7bd197300428","20140501T01:07:12.347+0000","9b557fe9-2e07-4a49-897d-c48e178f6f6c","20170428T06:07:32.622+0000","d7fa1ab7-44a7-4300-8b64-b5ea9626fcd1","9b557fe9-2e07-4a49-897d-c48e178f6f6c","","","","","","","","","","","","","","",""
"","","dolichoroseus","Acteon dolichoroseus Iredale, 1936","","Acteon","","dolichoroseus","","Synonym","synonym","Species","","Iredale","1936","Y","f5be5908-4cd1-4c92-985e-8799a3f4c670","20110808T23:48:44.883+0000","9b557fe9-2e07-4a49-897d-c48e178f6f6c","20170428T06:07:32.622+0000","","bafad439-9ab5-493b-91ed-826437296c57","Iredale, T.","1936","Australian molluscan notes. No. 2.","267-340, pls 20-24","","Records of the Australian Museum","","","","<!--MARK--><a href='null117515c9-c46e-4449-965d-3e88561cffea' class='mouseoverHref'>Iredale, T. 1936. Australian molluscan notes. No. 2.</a> <!--MARK--><!--MARK--><a href='null7c07530b-0b38-44f5-8f95-368da97d6ac2' class='mouseoverHref'><em>Records of the Australian Museum</em></a> <strong>19</strong>(5): 267-340, pls 20-24<!--MARK-->","","Article in Journal","117515c9-c46e-4449-965d-3e88561cffea","","7c07530b-0b38-44f5-8f95-368da97d6ac2"
