"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","ACTINIARIA","ACTINIARIA","","","","","","Valid Name","","Order","","","","Y","a5baecc9-0ac0-4a10-8362-8eef98778445","20130813T04:25:14.928+0000","20baea37-af09-45e8-86be-cf1509eac7ce","20130813T04:25:14.928+0000","4cb6b96a-af25-480c-8c13-db70574700ee","20baea37-af09-45e8-86be-cf1509eac7ce","","","","","","","","","","","","","","",""
"","","ENDOCOELANTHEAE","ENDOCOELANTHEAE Carlgren, 1924","","","","","","Valid Name","","Suborder","","Carlgren","1924","Y","638d1ce3-161e-423b-a3dc-73e7b8380c83","20130813T04:25:14.928+0000","c07b4760-0ea4-4679-8d94-9b4ebfd8d38c","20130813T04:25:14.928+0000","20baea37-af09-45e8-86be-cf1509eac7ce","c07b4760-0ea4-4679-8d94-9b4ebfd8d38c","","","","","","","","","","","","","","",""
"","","Endocoelantheae","Endocoelantheae Carlgren, 1924","","","","","","Synonym","synonym","Suborder","","Carlgren","1924","Y","e05fff03-4f0a-4396-953a-55b098446216","20130813T04:25:14.928+0000","c07b4760-0ea4-4679-8d94-9b4ebfd8d38c","20130813T04:25:14.928+0000","","8b9f1588-b5b9-49ca-8767-11e30a91aed1","Carlgren, O.","1924","On <em>Boloceroides</em>, <em>Bunodeopsis</em> and their supposed allied genera","1-20","","Arkiv för Zoologi","","","","<!--MARK--><a href='null51f42f4a-20e6-4687-8889-d9bba242ab62' class='mouseoverHref'>Carlgren, O. 1924. On <em>Boloceroides</em>, <em>Bunodeopsis</em> and their supposed allied genera.</a> <!--MARK--><!--MARK--><a href='nullea0f28cc-317a-4542-aaf0-5fa8122b7a93' class='mouseoverHref'><em>Arkiv för Zoologi</em></a> <strong>17A</strong>(1): 1-20<!--MARK-->","","Article in Journal","51f42f4a-20e6-4687-8889-d9bba242ab62","20110309T11:44:58.551+0000","ea0f28cc-317a-4542-aaf0-5fa8122b7a93"
"","","ACTINERNIDAE","ACTINERNIDAE Stephenson, 1922","ACTINERNIDAE","","","","","Valid Name","","Family","","Stephenson","1922","Y","99eb0d72-5526-482c-b9e7-b0ce593cde70","20130813T04:25:14.928+0000","eabfc600-9ed6-40dd-a883-9180e072e08b","20130813T04:25:14.928+0000","c07b4760-0ea4-4679-8d94-9b4ebfd8d38c","eabfc600-9ed6-40dd-a883-9180e072e08b","","","","","","","","","","","","","","",""
"","","Actinernidae","Actinernidae Stephenson, 1922","","","","","","Synonym","synonym","Family","","Stephenson","1922","Y","11ce0084-34f7-4d57-b2c1-c22cc5c9da13","20130813T04:25:14.928+0000","eabfc600-9ed6-40dd-a883-9180e072e08b","20130813T04:25:14.928+0000","","6bb65117-040f-4f8e-94b7-fc4b30233bd9","Stephenson, T.A.","1922","On the classification of Actiniaria. Part III. -- Definitions connected with the forms dealt with in Part II","247-319","","Quarterly Journal of Microscopical Science","","","","<!--MARK--><a href='null261f69e5-6d39-41a5-8056-5d5a3c84b234' class='mouseoverHref'>Stephenson, T.A. 1922. On the classification of Actiniaria. Part III. -- Definitions connected with the forms dealt with in Part II.</a> <!--MARK--><!--MARK--><a href='null0f162f90-df4f-47f1-908a-687f940ac834' class='mouseoverHref'><em>Quarterly Journal of Microscopical Science</em></a> <strong>66</strong>(262): 247-319<!--MARK-->","","Article in Journal","261f69e5-6d39-41a5-8056-5d5a3c84b234","","0f162f90-df4f-47f1-908a-687f940ac834"
"","","Actinernus","Actinernus Verrill, 1879","ACTINERNIDAE","Actinernus","","","","Valid Name","","Genus","","Verrill","1879","Y","df6b73a5-f552-40b2-8817-6694b7476a8a","20130813T04:25:14.928+0000","13688879-2200-4099-ac8b-2dc0ea904422","20130813T04:25:14.928+0000","eabfc600-9ed6-40dd-a883-9180e072e08b","13688879-2200-4099-ac8b-2dc0ea904422","","","","","","","","","","","","","","",""
"","","Actinernus","Actinernus Verrill, 1879","","Actinernus","","","","Synonym","synonym","Genus","","Verrill","1879","Y","f534e01b-889e-43e3-9ac7-f1d439caec3a","20130813T04:25:14.928+0000","13688879-2200-4099-ac8b-2dc0ea904422","20130813T04:25:14.928+0000","","72745816-6142-479c-a2a0-9444158cfe0b","Verrill, A.E.","1879","Brief contributions to zoology from the Museum of Yale College. No.42. Notice of recent additions to the marine fauna of the eastern coast of North America. No.5. Polyzoa","472-474","","American Journal of Science","","","","<!--MARK--><a href='null7bddf314-a866-4cbf-8b7d-ccb0fe36842c' class='mouseoverHref'>Verrill, A.E. 1879. Brief contributions to zoology from the Museum of Yale College. No.42. Notice of recent additions to the marine fauna of the eastern coast of North America. No.5. Polyzoa.</a> <!--MARK--><!--MARK--><a href='null67fd4040-2c7f-45b7-855c-20ccfaef352d' class='mouseoverHref'><em>American Journal of Science</em></a> 3 <strong>17</strong>: 472-474<!--MARK-->","","Article in Journal","7bddf314-a866-4cbf-8b7d-ccb0fe36842c","","67fd4040-2c7f-45b7-855c-20ccfaef352d"
"","","elongatus","Actinernus elongatus (Hertwig, 1882)","ACTINERNIDAE","Actinernus","","elongatus","","Valid Name","","Species","","Hertwig","1882","N","acaafc21-ab02-4620-b4d5-62d587d682b5","20130813T04:25:14.928+0000","1ef25f06-8208-48ee-8049-7c90adea1b51","20131025T03:07:13.024+0000","13688879-2200-4099-ac8b-2dc0ea904422","1ef25f06-8208-48ee-8049-7c90adea1b51","","","","","","","","","","","","","","",""
"","","elongata","Porponia elongata Hertwig, 1882","","Porponia","","elongata","","Synonym","synonym","Species","","Hertwig","1882","Y","f4e8e9cd-9db6-41ab-973b-1a428b0368d9","20130813T04:25:14.928+0000","1ef25f06-8208-48ee-8049-7c90adea1b51","20131025T03:07:13.024+0000","","31a76163-a6b6-472b-874a-376173fcb4fc","Hertwig, R.","1882","Die Actinien der Challenger Expedition","119 pp.","","","","","Gustav Fischer","<!--MARK--><a href='nullbd16ff3b-75e2-4a68-82bd-8f97c2a59d4b' class='mouseoverHref'>Hertwig, R. 1882. <em>Die Actinien der Challenger Expedition</em>. Jena : Gustav Fischer 119 pp.</a><!--MARK-->","","Book","bd16ff3b-75e2-4a68-82bd-8f97c2a59d4b","20111025T04:39:03.971+0000",""
"","","antarctica","Porponia antarctica Carlgren, 1914","","Porponia","","antarctica","","Synonym","synonym","Species","","Carlgren","1914","Y","1707a2fc-5e48-46f8-b61f-ff7329b0771c","20130813T04:25:14.928+0000","1ef25f06-8208-48ee-8049-7c90adea1b51","20131025T03:07:13.024+0000","","2399ceec-3803-4bf1-8ab5-c46158f3f76b","Carlgren, O.","1914","On the genus <em>Porponia</em> and related genera, Scottish National Antarctic Expedition","49-71","","Transactions of the Royal Society of Edinburgh","","","","<!--MARK--><a href='nullf5c2195f-979d-4c1e-8001-ba510ff83400' class='mouseoverHref'>Carlgren, O. 1914. On the genus <em>Porponia</em> and related genera, Scottish National Antarctic Expedition.</a> <!--MARK--><!--MARK--><a href='null1946b045-ba86-46ab-8adb-c045e56e7f6b' class='mouseoverHref'><em>Transactions of the Royal Society of Edinburgh</em></a> <strong>50</strong>(4): 49-71<!--MARK-->","","Article in Journal","f5c2195f-979d-4c1e-8001-ba510ff83400","20110309T11:31:54.121+0000","1946b045-ba86-46ab-8adb-c045e56e7f6b"
