"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","BLEPHARICERIDAE","BLEPHARICERIDAE","BLEPHARICERIDAE","","","","","Valid Name","","Family","","","","Y","ecdf30fe-d792-4ebd-bfe7-24cb0221af0e","20110901T07:54:43.472+0000","90c11331-cd2b-4daf-a632-161b709c635d","20110929T07:29:54.799+0000","b5e16093-7c1a-4340-a316-ccc6b9ed0b6a","90c11331-cd2b-4daf-a632-161b709c635d","","","","","","","","","","","","","","",""
"","","BLEPHARICERINAE","BLEPHARICERINAE","BLEPHARICERIDAE","","","","","Valid Name","","Subfamily","","","","Y","7477b630-64bb-47dc-b73f-461788f3cfc0","20110901T07:54:43.472+0000","b895b6af-3b4b-4889-a73e-114588cf680e","20110929T07:29:54.799+0000","90c11331-cd2b-4daf-a632-161b709c635d","b895b6af-3b4b-4889-a73e-114588cf680e","","","","","","","","","","","","","","",""
"","","APISTOMYIINI","APISTOMYIINI","BLEPHARICERIDAE","","","","","Valid Name","","Tribe","","","","Y","ce3f1c35-65f7-45ba-800c-4c54651bb0a5","20110912T23:49:44.388+0000","06a12f74-f2de-44ba-87f6-a400f1749d38","20110929T07:29:54.799+0000","b895b6af-3b4b-4889-a73e-114588cf680e","06a12f74-f2de-44ba-87f6-a400f1749d38","","","","","","","","","","","","","","",""
"","","Theischingeria","Theischingeria Zwick, 1998","BLEPHARICERIDAE","Theischingeria","","","","Valid Name","","Genus","","Zwick","1998","Y","5d17786e-a15f-40e5-9a34-0ef063b220c5","20110906T01:54:10.390+0000","beda65d8-5913-4ba2-ba57-2eb6e1b24a45","20110929T07:29:54.799+0000","06a12f74-f2de-44ba-87f6-a400f1749d38","beda65d8-5913-4ba2-ba57-2eb6e1b24a45","","","","","","","","","","","","","","",""
"","","Theischingeria","Theischingeria Zwick, 1998","","Theischingeria","","","","Synonym","synonym","Genus","","Zwick","1998","Y","1d428b6b-7ba1-41d3-8ea5-c9d51ada8d29","20110906T01:40:25.373+0000","beda65d8-5913-4ba2-ba57-2eb6e1b24a45","20110929T07:29:54.799+0000","","4f1c2ec2-d896-4e10-8e66-43f497034522","Zwick, P.","1998","Australian net-winged midges of the tribe Apistomyiini (Diptera: Blephariceridae)","189-311","","Australian Journal of Entomology","","","","<!--MARK--><a href='nullc6477d3d-19f7-498d-9e82-104326756511' class='mouseoverHref'>Zwick, P. 1998. Australian net-winged midges of the tribe Apistomyiini (Diptera: Blephariceridae).</a> <!--MARK--><!--MARK--><a href='null77b15fe9-6d88-4390-b074-3a3a6d3683a6' class='mouseoverHref'><em>Australian Journal of Entomology</em></a> <strong>37</strong>(4): 189-311<!--MARK-->","","Article in Journal","c6477d3d-19f7-498d-9e82-104326756511","20110906T07:47:43.637+0000","77b15fe9-6d88-4390-b074-3a3a6d3683a6"
"","","rieki","Theischingeria rieki Zwick, 1998","BLEPHARICERIDAE","Theischingeria","","rieki","","Valid Name","","Species","","Zwick","1998","Y","09bf1088-3b23-4e3c-9a99-854c6a45b311","20110906T01:53:17.260+0000","b740054c-3de1-4dba-85b3-cfadcaa98db5","20110929T07:29:54.799+0000","beda65d8-5913-4ba2-ba57-2eb6e1b24a45","b740054c-3de1-4dba-85b3-cfadcaa98db5","","","","","","","","","","","","","","",""
"","","rieki","Theischingeria rieki Zwick, 1998","","Theischingeria","","rieki","","Synonym","synonym","Species","","Zwick","1998","Y","eb2dcdfc-ad68-45b3-af10-f5fd0e38c5f4","20110906T01:48:30.829+0000","b740054c-3de1-4dba-85b3-cfadcaa98db5","20110929T07:29:54.799+0000","","","","","","","","","","","","","","","","",""
"","","Apistomyia","Apistomyia Bigot, 1862","BLEPHARICERIDAE","Apistomyia","","","","Valid Name","","Genus","","Bigot","1862","Y","91cefa3a-5073-4f51-a869-1d6990f277e2","20110906T02:55:35.160+0000","4a6ff289-1315-47b1-a630-53afe6fd0cdf","20110929T07:29:54.799+0000","06a12f74-f2de-44ba-87f6-a400f1749d38","4a6ff289-1315-47b1-a630-53afe6fd0cdf","","","","","","","","","","","","","","",""
"","","Apistomyia","Apistomyia Bigot, 1862","","Apistomyia","","","","Synonym","synonym","Genus","","Bigot","1862","Y","ca60c364-d842-4e0d-bd22-44e46e95b903","20110901T07:54:43.472+0000","4a6ff289-1315-47b1-a630-53afe6fd0cdf","20110929T07:29:54.799+0000","","7729f1d1-9728-45db-9e6e-4ac59a6aa0d1","Bigot, J.M.F.","1862","Diptères nouveaux de la Corse découverts dans la partie Montagneuse de cette île par M.E. Bellier de la Chavignerie, pendant l'été de 1861","109-114","","Annales de la Société Entomologique de France","","","","<!--MARK--><a href='nullbe970ab4-69db-47e0-9424-426c65b72d00' class='mouseoverHref'>Bigot, J.M.F. 1862. Diptères nouveaux de la Corse découverts dans la partie Montagneuse de cette île par M.E. Bellier de la Chavignerie, pendant l'été de 1861.</a> <!--MARK--><!--MARK--><a href='null6462279b-2aaf-46a3-a434-cab7d8a2c33d' class='mouseoverHref'><em>Annales de la Société Entomologique de France</em></a> 4 <strong>2</strong>: 109-114<!--MARK-->","","Article in Journal","be970ab4-69db-47e0-9424-426c65b72d00","20081009T05:11:37.000+0000","6462279b-2aaf-46a3-a434-cab7d8a2c33d"
"","","collini","Apistomyia collini Bezzi, 1913","BLEPHARICERIDAE","Apistomyia","","collini","","Valid Name","","Species","","Bezzi","1913","Y","7affc23b-0c15-4f18-8414-77fb95119916","20110906T02:53:46.116+0000","3a4a5e98-a596-450f-8a61-d046b6b17ab6","20150929T02:50:15.356+0000","4a6ff289-1315-47b1-a630-53afe6fd0cdf","3a4a5e98-a596-450f-8a61-d046b6b17ab6","","","","","","","","","","","","","","",""
