"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Boarmiini","Boarmiini Duponchel, 1845","GEOMETRIDAE","","","","","Valid Name","","Tribe","","Duponchel","1845","Y","7c6cd9fb-14b9-47af-9d03-95cb363cbd47","20150429T01:14:41.669+0000","7d500283-3054-4564-a369-de15d7aaff41","20180111T00:50:12.167+0000","8e85f406-68ce-42bb-a27c-7a36f92714bd","7d500283-3054-4564-a369-de15d7aaff41","","","","","","","","","","","","","","",""
"","","Fidoniini","Fidoniini Duponchel, 1845","","","","","","Synonym","emendation","Tribe","by reasons of grammar. Fidonites. Based on <i>Fidonia</i> Treitschke, 1825, a junior synonym of <i>Eurranthis</i> Hübner, 1823, junior subjective synonym (Leraut 1997)","Duponchel","1845","Y","d5d4a40b-6ca5-4783-8934-ceeac26d9b89","20150429T01:07:51.573+0000","7d500283-3054-4564-a369-de15d7aaff41","20180111T00:50:12.167+0000","","f403b61e-cd77-44b8-8caa-ab69836d654d","Duponchel, M.P.A.J.","1845","Catalogue méthodique des Lépidoptères d'Europe distribués en familles, tribus et genres avec l'exposé des caractères sur lesquels ces divisions sont fondées, et l'indication des lieux et des époques où l'on trouve chaque espèce, pour servir de complement et de rectification a l'histoire naturelle des Lépidoptères de france","xxx+518 pp.","","","","","Méquignon-Marvis Fils","<!--MARK--><a href='null26caa894-437e-4be1-b747-881cd474dc87' class='mouseoverHref'>Duponchel, M.P.A.J. 1845. <em>Catalogue méthodique des Lépidoptères d'Europe distribués en familles, tribus et genres avec l'exposé des caractères sur lesquels ces divisions sont fondées, et l'indication des lieux et des époques où l'on trouve chaque espèce, pour servir de complement et de rectification a l'histoire naturelle des Lépidoptères de france</em>. Paris [1845] 1844. : Méquignon-Marvis Fils xxx+518 pp.</a><!--MARK-->","","Book","26caa894-437e-4be1-b747-881cd474dc87","20140602T02:16:22.656+0000",""
"","","Boarmiini","Boarmiini Duponchel, 1845","","","","","","Synonym","synonym","Tribe","Boarmites","Duponchel","1845","Y","94b12590-a9cf-46bf-b291-aa9071786609","20150429T01:07:51.573+0000","7d500283-3054-4564-a369-de15d7aaff41","20180111T00:50:12.167+0000","","624198f4-41f5-4fda-bf98-dc20b2d362b7","Duponchel, M.P.A.J.","1845","Catalogue méthodique des Lépidoptères d'Europe distribués en familles, tribus et genres avec l'exposé des caractères sur lesquels ces divisions sont fondées, et l'indication des lieux et des époques où l'on trouve chaque espèce, pour servir de complement et de rectification a l'histoire naturelle des Lépidoptères de france","xxx+518 pp.","","","","","Méquignon-Marvis Fils","<!--MARK--><a href='null26caa894-437e-4be1-b747-881cd474dc87' class='mouseoverHref'>Duponchel, M.P.A.J. 1845. <em>Catalogue méthodique des Lépidoptères d'Europe distribués en familles, tribus et genres avec l'exposé des caractères sur lesquels ces divisions sont fondées, et l'indication des lieux et des époques où l'on trouve chaque espèce, pour servir de complement et de rectification a l'histoire naturelle des Lépidoptères de france</em>. Paris [1845] 1844. : Méquignon-Marvis Fils xxx+518 pp.</a><!--MARK-->","","Book","26caa894-437e-4be1-b747-881cd474dc87","20140602T02:16:22.656+0000",""
"","","Cleorini","Cleorini Duponchel, 1845","","","","","","Synonym","subjective synonym","Tribe","Cleorites","Duponchel","1845","Y","0a07924b-12ee-4cc1-af64-acf3f26c9030","20150429T01:07:51.573+0000","7d500283-3054-4564-a369-de15d7aaff41","20180111T00:50:12.167+0000","","eea2f6b4-351d-4af6-b77a-352ebe608dd0","Duponchel, M.P.A.J.","1845","Catalogue méthodique des Lépidoptères d'Europe distribués en familles, tribus et genres avec l'exposé des caractères sur lesquels ces divisions sont fondées, et l'indication des lieux et des époques où l'on trouve chaque espèce, pour servir de complement et de rectification a l'histoire naturelle des Lépidoptères de france","xxx+518 pp.","","","","","Méquignon-Marvis Fils","<!--MARK--><a href='null26caa894-437e-4be1-b747-881cd474dc87' class='mouseoverHref'>Duponchel, M.P.A.J. 1845. <em>Catalogue méthodique des Lépidoptères d'Europe distribués en familles, tribus et genres avec l'exposé des caractères sur lesquels ces divisions sont fondées, et l'indication des lieux et des époques où l'on trouve chaque espèce, pour servir de complement et de rectification a l'histoire naturelle des Lépidoptères de france</em>. Paris [1845] 1844. : Méquignon-Marvis Fils xxx+518 pp.</a><!--MARK-->","","Book","26caa894-437e-4be1-b747-881cd474dc87","20140602T02:16:22.656+0000",""
"","","Ascotini","Ascotini Warren, 1893","","","","","","Synonym","subjective synonym","Tribe","Ascotinae","Warren","1893","Y","0a0da437-7d8b-490e-800a-82093230b7b5","20150429T01:07:51.573+0000","7d500283-3054-4564-a369-de15d7aaff41","20180111T00:50:12.167+0000","","a0813922-a6f7-48ab-a0df-02617af17c16","Warren, W.","1893","On new genera and species of Moths of the family <i>Geometridae</i> from India, in the collection of H.J. Elwes. With notes by H.J. Elwes","341-434","","Proceedings of the Zoological Society of London","","","","<!--MARK--><a href='nullfe615f5b-6b7a-4cfe-96cd-da595d3cb1a8' class='mouseoverHref'>Warren, W. 1893. On new genera and species of Moths of the family <i>Geometridae</i> from India, in the collection of H.J. Elwes. With notes by H.J. Elwes.</a> <!--MARK--><!--MARK--><a href='null511f299d-99ec-413c-bc4c-04a380829c96' class='mouseoverHref'><em>Proceedings of the Zoological Society of London</em></a> <strong>1893</strong>: 341-434<!--MARK-->","","Article in Journal","fe615f5b-6b7a-4cfe-96cd-da595d3cb1a8","","511f299d-99ec-413c-bc4c-04a380829c96"
"","","Hypomecis","Hypomecis","","Hypomecis","","","","Valid Name","","Genus","","","","Y","43f172f5-3111-45a0-8185-bebad06efb54","20151123T03:17:26.657+0000","c583ce34-98b9-4a48-9675-04023d8d35ac","20151123T03:17:26.657+0000","7d500283-3054-4564-a369-de15d7aaff41","c583ce34-98b9-4a48-9675-04023d8d35ac","","","","","","","","","","","","","","",""
"","","platyleuca","Hypomecis platyleuca (Turner, 1947)","","Hypomecis","","platyleuca","","Valid Name","","Species","","Turner","1947","N","b7ddecb7-9976-4176-8bdf-bcb65102dac0","20151123T03:16:53.211+0000","7dabccfe-63e5-4439-a643-2c1c657d29a8","20151123T03:17:26.657+0000","c583ce34-98b9-4a48-9675-04023d8d35ac","7dabccfe-63e5-4439-a643-2c1c657d29a8","","","","","","","","","","","","","","",""
"","","platyleuca","Boarmia platyleuca Turner, 1947","","Boarmia","","platyleuca","","Synonym","synonym","Species","Treated under <I>Hypomecis</I> by Scoble (1999)","Turner","1947","Y","117d29ef-5985-4f25-9190-d515b3b80d05","20150429T01:07:51.573+0000","7dabccfe-63e5-4439-a643-2c1c657d29a8","20151123T03:17:26.657+0000","","78a84dcc-5d9f-4196-9fa7-658d70681a3c","Turner, A.J.","1947","Title unknown","","","Proceedings of the Royal Society of Queensland","","","","<!--MARK--><a href='null3eee9e88-dc61-42df-9c71-0ce817f09012' class='mouseoverHref'>Turner, A.J. 1947. Title unknown.</a> <!--MARK--><!--MARK--><a href='null642ab613-813a-48d0-8bc0-42c78157f7b0' class='mouseoverHref'><em>Proceedings of the Royal Society of Queensland</em></a> <strong>58</strong><!--MARK-->","","Article in Journal","3eee9e88-dc61-42df-9c71-0ce817f09012","20120620T22:33:26.243+0000","642ab613-813a-48d0-8bc0-42c78157f7b0"
"","","platyleuca","Hypomecis? platyleuca (Turner, 1947)","","Hypomecis?","","platyleuca","","Generic Combination","","Species","","Turner","1947","N","9e17fe88-482f-4c66-ba73-d7dd5f43599c","20150429T01:07:51.573+0000","7dabccfe-63e5-4439-a643-2c1c657d29a8","20151123T03:17:26.657+0000","","","","","","","","","","","","","","","","",""
"","","catephes","Hypomecis catephes (Turner, 1947)","","Hypomecis","","catephes","","Valid Name","","Species","","Turner","1947","N","615b5468-7f9e-4988-abae-a253381171fb","20151123T03:16:53.211+0000","2a7047ca-116f-41b5-8037-d1d9b7c2eb11","20151123T03:17:26.657+0000","c583ce34-98b9-4a48-9675-04023d8d35ac","2a7047ca-116f-41b5-8037-d1d9b7c2eb11","","","","","","","","","","","","","","",""
