"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","CHIRONOMOIDEA","CHIRONOMOIDEA","","","","","","Valid Name","","Superfamily","","","","Y","64e768ad-970a-4dc6-9872-77ecab3161c1","20081009T05:11:37.000+0000","ffe613e9-b364-4ba6-bcd5-77cdfebe01bb","20081009T05:11:37.000+0000","96477a6b-0903-4332-ad91-c362ae0e677e","ffe613e9-b364-4ba6-bcd5-77cdfebe01bb","","","","","","","","","","","","","","",""
"","","CERATOPOGONIDAE","CERATOPOGONIDAE","CERATOPOGONIDAE","","","","","Valid Name","","Family","","","","Y","c2b6a3d1-34e9-49cc-8c57-cad649177c1e","20120329T21:11:33.864+0000","612702ab-f6b2-4558-9aa0-9ae8fd71e9d1","20140725T03:49:22.585+0000","ffe613e9-b364-4ba6-bcd5-77cdfebe01bb","612702ab-f6b2-4558-9aa0-9ae8fd71e9d1","","","","","","","","","","","","","","",""
"","","CERATOPOGONINAE","CERATOPOGONINAE","CERATOPOGONIDAE","","","","","Valid Name","","Subfamily","","","","Y","6688ef0c-ef47-4d84-9971-4ef05c33fcf8","20120329T21:31:30.512+0000","eb4db758-08c9-4163-969d-09266d9a85b0","20120329T22:56:21.923+0000","612702ab-f6b2-4558-9aa0-9ae8fd71e9d1","eb4db758-08c9-4163-969d-09266d9a85b0","","","","","","","","","","","","","","",""
"","","CERATOPOGONINI","CERATOPOGONINI","CERATOPOGONIDAE","","","","","Valid Name","","Tribe","","","","Y","2d18c571-8fe9-406d-a98d-e1615e2b9bd0","20110511T02:16:20.239+0000","d45b8dac-b0aa-40e3-afba-f0bf73776402","20120329T22:56:21.923+0000","eb4db758-08c9-4163-969d-09266d9a85b0","d45b8dac-b0aa-40e3-afba-f0bf73776402","","","","","","","","","","","","","","",""
"","","Allohelea","Allohelea Kieffer, 1917","CERATOPOGONIDAE","Allohelea","","","","Valid Name","","Genus","","Kieffer","1917","Y","5c6d9873-aaf4-4a89-bf9f-6b21c47c0fa8","20110615T05:42:59.613+0000","06be2898-b92b-49ff-904c-2479fcda11f0","20120329T22:56:21.923+0000","d45b8dac-b0aa-40e3-afba-f0bf73776402","06be2898-b92b-49ff-904c-2479fcda11f0","","","","","","","","","","","","","","",""
"","","Allohelea","Allohelea Kieffer, 1917","","Allohelea","","","","Synonym","synonym","Genus","","Kieffer","1917","Y","3f6d025b-84b8-47b5-9e07-28809ad63135","20110511T02:16:20.239+0000","06be2898-b92b-49ff-904c-2479fcda11f0","20120329T22:56:21.923+0000","","cb93c465-8a40-4822-a408-337bcab5a28f","Kieffer, J.J.","1917","Chironomides d'Amérique conservés au Musée National Hongrois de Budapest","292-364","","Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)","","","","<!--MARK--><a href='nulle5b4dcba-37cf-4474-baa0-b335495f104b' class='mouseoverHref'>Kieffer, J.J. 1917. Chironomides d'Amérique conservés au Musée National Hongrois de Budapest.</a> <!--MARK--><!--MARK--><a href='nulle6f35874-0423-4fa1-bf45-655b9047e0c2' class='mouseoverHref'><em>Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)</em></a> <strong>15</strong>: 292-364<!--MARK-->","","Article in Journal","e5b4dcba-37cf-4474-baa0-b335495f104b","20081009T05:11:37.000+0000","e6f35874-0423-4fa1-bf45-655b9047e0c2"
"","","harpagonifera","Allohelea harpagonifera (Debenham, 1972)","CERATOPOGONIDAE","Allohelea","","harpagonifera","","Valid Name","","Species","","Debenham","1972","N","24b79572-b894-4190-983b-08785f25175b","20110615T05:42:59.312+0000","56f92e8b-b1db-4ce5-aa8b-a88c697309ac","20150929T02:50:14.700+0000","06be2898-b92b-49ff-904c-2479fcda11f0","56f92e8b-b1db-4ce5-aa8b-a88c697309ac","","","","","","","","","","","","","","",""
"","","harpagonifera","Monohelea harpagonifera Debenham, 1972","","Monohelea","","harpagonifera","","Synonym","synonym","Species","","Debenham","1972","Y","dd0b76f4-33f8-4b26-bff8-bc514784b7dd","20110511T02:16:20.239+0000","56f92e8b-b1db-4ce5-aa8b-a88c697309ac","20150929T02:50:14.700+0000","","6f59524c-2a64-4790-8acc-71b54b69f3f9","Debenham, M.L.","1972","Australian and New Guinea picture-wing species of the genus <i>Monohelea</i> Kieffer (Diptera: Ceratopogonidae)","1-40","","Australian Journal of Zoology Supplementary Series","","","","<!--MARK--><a href='null9d7e8b11-3075-4fc2-8ebe-5ec7523de1c5' class='mouseoverHref'>Debenham, M.L. 1972. Australian and New Guinea picture-wing species of the genus <i>Monohelea</i> Kieffer (Diptera: Ceratopogonidae).</a> <!--MARK--><!--MARK--><a href='null0cf8bdc8-2852-42c3-824a-7d9a708d9672' class='mouseoverHref'><em>Australian Journal of Zoology Supplementary Series</em></a> <strong>12</strong>: 1-40<!--MARK-->","","Article in Journal","9d7e8b11-3075-4fc2-8ebe-5ec7523de1c5","20081009T05:11:37.000+0000","0cf8bdc8-2852-42c3-824a-7d9a708d9672"
"","","harpagonifera","Allohelea harpagonifera (Debenham, 1972)","","Allohelea","","harpagonifera","","Generic Combination","","Species","","Debenham","1972","N","74034b7d-d815-4757-a30c-f3d979c4992c","20120103T04:47:31.819+0000","56f92e8b-b1db-4ce5-aa8b-a88c697309ac","20150929T02:50:14.700+0000","","4fa4c5b5-33f8-44fa-8b69-15ca2fa2aa91","Wirth, W.W. & Grogan, W.L. Jr","1988","The Predaceous Midges of the World (Diptera: Ceratopogonidae: Tribe Ceratopogonini). Flora Fauna Handbook No. 4","160","","","","","E.J. Brill","<!--MARK--><a href='nullefcf412a-d487-4802-a9df-b3e27a7fbd11' class='mouseoverHref'>Wirth, W.W. & Grogan, W.L. Jr 1988. <em>The Predaceous Midges of the World (Diptera: Ceratopogonidae: Tribe Ceratopogonini). Flora Fauna Handbook No. 4</em>. Leiden : E.J. Brill 160 pp.</a><!--MARK-->","","Book","efcf412a-d487-4802-a9df-b3e27a7fbd11","20081009T05:11:37.000+0000",""
"","","tricuspis","Allohelea tricuspis (Debenham, 1972)","CERATOPOGONIDAE","Allohelea","","tricuspis","","Valid Name","","Species","","Debenham","1972","N","ebc9bdc9-0722-4d38-bf95-8dbc6713206b","20110615T05:42:59.503+0000","7d1f990b-991e-49a8-94ea-5887ebeeadb6","20150929T02:50:14.711+0000","06be2898-b92b-49ff-904c-2479fcda11f0","7d1f990b-991e-49a8-94ea-5887ebeeadb6","","","","","","","","","","","","","","",""
