"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","COLLEMBOLA","COLLEMBOLA","","","","","","Valid Name","","Class","","","","Y","b8e9ff1a-15b1-4730-a6c8-bca700aad22d","20170921T23:09:36.003+0000","53e5e456-0d08-4cff-ac1f-d453b2c07e3b","20170928T04:21:41.285+0000","c198a0cd-24ce-4375-afea-5f114822efcf","53e5e456-0d08-4cff-ac1f-d453b2c07e3b","","","","","","","","","","","","","","",""
"","","Springtails","","","","","","","Common Name","General","Class","","","","","64b97459-a34d-4a12-b594-ba1ec0502388","20170921T22:49:46.739+0000","53e5e456-0d08-4cff-ac1f-d453b2c07e3b","20170928T04:21:41.285+0000","","","","","","","","","","","","","","","","",""
"","","PARONELLIDAE","PARONELLIDAE","PARONELLIDAE","","","","","Valid Name","","Family","","","","Y","8e37b06b-87e4-4651-bebb-9b54475d7b9e","20170921T22:49:46.739+0000","dca8a1e4-6a6c-4bc4-92cc-aac44910d7d8","20170928T04:21:41.285+0000","53e5e456-0d08-4cff-ac1f-d453b2c07e3b","dca8a1e4-6a6c-4bc4-92cc-aac44910d7d8","","","","","","","","","","","","","","",""
"","","Cyphoderinae","Cyphoderinae Borner, 1913","PARONELLIDAE","","","","","Valid Name","","Subfamily","","Borner","1913","Y","791b5fee-e971-4000-b819-0d7378e3f7cf","20170921T22:49:46.739+0000","a1c66692-82b3-476d-9f5e-1a518a484529","20170928T04:21:41.285+0000","dca8a1e4-6a6c-4bc4-92cc-aac44910d7d8","a1c66692-82b3-476d-9f5e-1a518a484529","","","","","","","","","","","","","","",""
"","","Cyphoda","Cyphoda Delamare-Deboutteville, 1948","PARONELLIDAE","Cyphoda","","","","Valid Name","","Genus","","Delamare-Deboutteville","1948","Y","afa08847-ec6c-4c5f-b67b-ede6d1dc0108","20170921T22:49:46.739+0000","325cd0ed-138a-4f12-956c-f613c2b2985a","20170928T04:21:41.285+0000","a1c66692-82b3-476d-9f5e-1a518a484529","325cd0ed-138a-4f12-956c-f613c2b2985a","","","","","","","","","","","","","","",""
"","","Cyphoda","Cyphoda Delamare-Deboutteville, 1948","","Cyphoda","","","","Synonym","synonym","Genus","gender feminine, although treated as masculine by its author; the type species spelt <I>marocana </I>in designation but <I>maroccana </I>in description of species","Delamare-Deboutteville","1948","Y","8059ccc6-b783-436c-bcd4-eed596eabf13","20170921T22:49:46.739+0000","325cd0ed-138a-4f12-956c-f613c2b2985a","20170928T04:21:41.285+0000","","1080fbe4-244f-451b-8458-62c2c8a1a71f","Delamare-Deboutteville, C.","1948","Recherches sur les Collemboles termitophiles et myrmécophiles (écologie, éthologie, systématique)","261-425 214 figs","","Archives de Zoologie Expérimentale et Générale","","","","<!--MARK--><a href='nulled2cfeaa-cbf6-401b-8dcb-0c3ff97fe915' class='mouseoverHref'>Delamare-Deboutteville, C. 1948. Recherches sur les Collemboles termitophiles et myrmécophiles (écologie, éthologie, systématique).</a> <!--MARK--><!--MARK--><a href='null1ee9e2fd-e394-4e8a-bdac-59c249e54978' class='mouseoverHref'><em>Archives de Zoologie Expérimentale et Générale</em></a> <strong>85</strong>: 261-425 214 figs<!--MARK-->","","Article in Journal","ed2cfeaa-cbf6-401b-8dcb-0c3ff97fe915","20081009T05:11:37.000+0000","1ee9e2fd-e394-4e8a-bdac-59c249e54978"
"","","nichollsi","Cyphoda nichollsi (Womersley, 1934)","PARONELLIDAE","Cyphoda","","nichollsi","","Valid Name","","Species","","Womersley","1934","N","4b9942fe-7c0d-43d2-933f-9a88df9b4213","20170921T22:49:46.739+0000","fc806353-f05e-49f3-b288-067b9efe0d81","20170928T04:21:41.285+0000","325cd0ed-138a-4f12-956c-f613c2b2985a","fc806353-f05e-49f3-b288-067b9efe0d81","","","","","","","","","","","","","","",""
"","","nichollsi","Cyphoderus nichollsi Womersley, 1934","","Cyphoderus","","nichollsi","","Synonym","synonym","Species","","Womersley","1934","Y","af0cde45-d803-416b-bfb8-4d71c491256b","20170921T22:49:46.739+0000","fc806353-f05e-49f3-b288-067b9efe0d81","20170928T04:21:41.285+0000","","9707031a-97cf-4b8f-8316-f6aa2eb85786","Womersley, H.","1934","A preliminary account of the Collembola-Arthropleona of Australia. Part II Superfamily Entomobryoidea","86-138","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='nullad5dd03d-fc3b-46c7-b30d-6045036c3213' class='mouseoverHref'>Womersley, H. 1934. A preliminary account of the Collembola-Arthropleona of Australia. Part II Superfamily Entomobryoidea.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>58</strong>: 86-138<!--MARK-->","","Article in Journal","ad5dd03d-fc3b-46c7-b30d-6045036c3213","20100128T21:48:52.910+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","Cyphoderus","Cyphoderus Nicolet, 1842","PARONELLIDAE","Cyphoderus","","","","Valid Name","","Genus","","Nicolet","1842","Y","0b705bdf-1010-4df6-be6b-2b6ab7969e52","20170928T04:21:41.285+0000","8f9a1479-6bbe-49a9-ad27-3b6411d50fad","20170928T04:21:41.285+0000","a1c66692-82b3-476d-9f5e-1a518a484529","8f9a1479-6bbe-49a9-ad27-3b6411d50fad","","","","","","","","","","","","","","",""
"","","Cyphodurus","Cyphodurus Nicolet, 1841","","Cyphodurus","","","","Synonym","synonym","Genus","<I>nom. nud.</I>","Nicolet","1841","Y","a0e01ce1-0c7d-4ade-b19e-9c283562fa75","20170921T22:49:46.739+0000","8f9a1479-6bbe-49a9-ad27-3b6411d50fad","20170928T04:21:41.285+0000","","7c1dde19-4eb6-42ca-8998-843b32876fae","Nicolet, H.","1841","Note sur la <i>Desoria saltans,</i> insecte de la famille des Podurelles","383-387","","Bibliotèque Universelle des Sciences, Belles-Lettres, et Arts, Genève","","","","<!--MARK--><a href='null6cc10f03-9a3d-4dbf-8c2c-eea8ea7ab7e3' class='mouseoverHref'>Nicolet, H. 1841. Note sur la <i>Desoria saltans,</i> insecte de la famille des Podurelles.</a> <!--MARK--><!--MARK--><a href='nulld8b29f73-608d-4008-bda8-b217054f8f4e' class='mouseoverHref'><em>Bibliotèque Universelle des Sciences, Belles-Lettres, et Arts, Genève</em></a> <strong>32</strong>: 383-387<!--MARK-->","","Article in Journal","6cc10f03-9a3d-4dbf-8c2c-eea8ea7ab7e3","20081009T05:11:37.000+0000","d8b29f73-608d-4008-bda8-b217054f8f4e"
"","","Cyphodeirus","Cyphodeirus Nicolet, 1842","","Cyphodeirus","","","","Synonym","synonym","Genus","incorrect original spelling; placed on the Official Index of Rejected and Invalid Generic Names in Zoology: 104, Opinion 291","Nicolet","1842","Y","a89b21a0-d664-4324-abab-b3d23d1cbcad","20170921T22:49:46.739+0000","8f9a1479-6bbe-49a9-ad27-3b6411d50fad","20170928T04:21:41.285+0000","","a050fd68-c547-4a21-9b6f-069f2f380e7b","Nicolet, H.","1842","Recherches pour servir à l'histoire des Podurelles","1-88","","Neue Denkschriften der Allgemeinen Schweizerischen Gesellschaft für die Gesammten Naturwissenschaften","","","","<!--MARK--><a href='nulle567a75e-20cd-4d18-ac1a-a3af5bd98eb4' class='mouseoverHref'>Nicolet, H. 1842. Recherches pour servir à l'histoire des Podurelles.</a> <!--MARK--><!--MARK--><a href='null3e53e500-085a-483f-a425-b4aca2f2f89a' class='mouseoverHref'><em>Neue Denkschriften der Allgemeinen Schweizerischen Gesellschaft für die Gesammten Naturwissenschaften</em></a> <strong>6</strong>: 1-88<!--MARK-->","","Article in Journal","e567a75e-20cd-4d18-ac1a-a3af5bd98eb4","20081009T05:11:37.000+0000","3e53e500-085a-483f-a425-b4aca2f2f89a"
"","","Cyphoderus","Cyphoderus Nicolet, 1847","","Cyphoderus","","","","Synonym","synonym","Genus","emendation of <I>Cyphodeirus </I>Nicolet, 1842; placed on the Official List of Generic Names in Zoology: 717, Opinion 291","Nicolet","1847","Y","e473b63e-43c3-4c7c-ab52-25848d824935","20170921T22:49:46.739+0000","8f9a1479-6bbe-49a9-ad27-3b6411d50fad","20170928T04:21:41.285+0000","","226bdb89-8aed-4643-b1c1-d2c35dfea838","Nicolet, H.","1847","Essai sur une classification des insectes aptères de l'ordre des Thysanures","335-395 2 pls","","Annales de la Société Entomologique de France","","","","<!--MARK--><a href='null2642e788-cfed-43c3-a40e-14933e9abbe6' class='mouseoverHref'>Nicolet, H. 1847. Essai sur une classification des insectes aptères de l'ordre des Thysanures.</a> <!--MARK--><!--MARK--><a href='null6462279b-2aaf-46a3-a434-cab7d8a2c33d' class='mouseoverHref'><em>Annales de la Société Entomologique de France</em></a> <strong>5</strong>(2): 335-395 2 pls<!--MARK-->","","Article in Journal","2642e788-cfed-43c3-a40e-14933e9abbe6","20081009T05:11:37.000+0000","6462279b-2aaf-46a3-a434-cab7d8a2c33d"
"","","adelaideae","Cyphoderus adelaideae Womersley, 1934","PARONELLIDAE","Cyphoderus","","adelaideae","","Valid Name","","Species","","Womersley","1934","Y","62be0ae1-0235-4625-8ed8-16bad77d5132","20170921T22:49:46.739+0000","f0b24dd2-9c04-4722-9ba0-afe70dc2d7d6","20170928T04:21:41.285+0000","8f9a1479-6bbe-49a9-ad27-3b6411d50fad","f0b24dd2-9c04-4722-9ba0-afe70dc2d7d6","","","","","","","","","","","","","","",""
"","","adelaideae","Cyphoderus adelaideae Womersley, 1934","","Cyphoderus","","adelaideae","","Synonym","synonym","Species","","Womersley","1934","Y","9a63f6fa-299f-442d-a34e-e6b9913d6af9","20170921T22:49:46.739+0000","f0b24dd2-9c04-4722-9ba0-afe70dc2d7d6","20170928T04:21:41.285+0000","","125c8b36-e2a8-4a5d-a055-4d7a9e311f68","Womersley, H.","1934","A preliminary account of the Collembola-Arthropleona of Australia. Part II Superfamily Entomobryoidea","86-138","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='nullad5dd03d-fc3b-46c7-b30d-6045036c3213' class='mouseoverHref'>Womersley, H. 1934. A preliminary account of the Collembola-Arthropleona of Australia. Part II Superfamily Entomobryoidea.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>58</strong>: 86-138<!--MARK-->","","Article in Journal","ad5dd03d-fc3b-46c7-b30d-6045036c3213","20100128T21:48:52.910+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","pseudalbinus","Cyphoderus pseudalbinus Schött, 1917","PARONELLIDAE","Cyphoderus","","pseudalbinus","","Valid Name","","Species","","Schött","1917","Y","65e20707-5426-4b66-8f7c-ca4167e0e6b3","20170921T22:49:46.739+0000","85d53a9b-aebe-4137-9dba-c63b139d1b1d","20170928T04:21:41.285+0000","8f9a1479-6bbe-49a9-ad27-3b6411d50fad","85d53a9b-aebe-4137-9dba-c63b139d1b1d","","","","","","","","","","","","","","",""
