"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","CORVIDA","CORVIDA","","","","","","Valid Name","","Higher Taxon","","","","Y","ebe720c7-a95e-4ce0-a656-3766058f3a5d","20140217T22:08:11.564+0000","6592f4ca-0112-4591-9558-e3fab023004e","20141012T23:41:07.306+0000","da407f50-f644-4ac0-a1a3-17d5cb458104","6592f4ca-0112-4591-9558-e3fab023004e","","","","","","","","","","","","","","",""
"","","ACANTHIZIDAE","ACANTHIZIDAE Bonaparte, 1854","ACANTHIZIDAE","","","","","Valid Name","","Family","","Bonaparte","1854","Y","949e0a42-4ed2-42a3-9e50-156eb62b555d","20150105T00:42:57.048+0000","d9d1a2f2-6e5c-429c-a1d4-8aea3c5f914f","20160302T03:11:44.593+0000","6592f4ca-0112-4591-9558-e3fab023004e","d9d1a2f2-6e5c-429c-a1d4-8aea3c5f914f","","","","","","","","","","","","","","",""
"","","Acanthizinae","Acanthizinae Bonaparte, 1854","Acanthizinae","","","","","Synonym","synonym","Family","","Bonaparte","1854","Y","aff20d9f-458e-4c57-8349-8276e785a99e","20141012T23:51:48.807+0000","d9d1a2f2-6e5c-429c-a1d4-8aea3c5f914f","20160302T03:11:44.593+0000","","a6879b42-d9c5-43ac-a1ec-f5397651a1b4","Bonaparte, C.L.","1854","Notes Ornithologiques sur les Collections Rapportées en 1853, par M.A. Delattre, de son Voyage en Californie et dans le Nicaragua [et Classification Parallélique des Passereaux Chanteurs]","","","","","","Mallet-Bachelier","<!--MARK--><a href='null8eb52f1f-a644-47d5-9393-b420c7403cb6' class='mouseoverHref'>Bonaparte, C.L. 1854. <em>Notes Ornithologiques sur les Collections Rapportées en 1853, par M.A. Delattre, de son Voyage en Californie et dans le Nicaragua [et Classification Parallélique des Passereaux Chanteurs]</em>. Paris : Mallet-Bachelier Vol. 37.</a><!--MARK-->","","Book","8eb52f1f-a644-47d5-9393-b420c7403cb6","20081009T05:11:37.000+0000",""
"","","Acanthizinae","Acanthizinae Bonaparte, 1854","ACANTHIZIDAE","","","","","Valid Name","","Subfamily","","Bonaparte","1854","Y","9253f262-6589-48c2-9ebd-fcfb6ccc463b","20141012T23:51:48.807+0000","d59704bd-6c95-400a-9bf2-bf05e7ad1208","20150105T00:40:23.606+0000","d9d1a2f2-6e5c-429c-a1d4-8aea3c5f914f","d59704bd-6c95-400a-9bf2-bf05e7ad1208","","","","","","","","","","","","","","",""
"","","Acanthizini","Acanthizini Bonaparte, 1854","ACANTHIZIDAE","","","","","Valid Name","","Tribe","","Bonaparte","1854","Y","75722970-8cae-429f-a4c7-b2834efa0dfb","20141012T23:51:48.807+0000","ac5790f0-7d19-4957-b266-bce3d1dc3588","20150105T00:40:23.606+0000","d59704bd-6c95-400a-9bf2-bf05e7ad1208","ac5790f0-7d19-4957-b266-bce3d1dc3588","","","","","","","","","","","","","","",""
"","","Acanthiza","Acanthiza Vigors & Horsfield, 1827","ACANTHIZIDAE","Acanthiza","","","","Valid Name","","Genus","","Vigors & Horsfield","1827","Y","98e86805-5029-41c8-9a58-ae1d53a6638b","20141104T23:15:07.606+0000","67b654e1-12d5-4bab-8b51-0d735a4b63d4","20150105T00:40:23.606+0000","ac5790f0-7d19-4957-b266-bce3d1dc3588","67b654e1-12d5-4bab-8b51-0d735a4b63d4","","","","","","","","","","","","","","",""
"","","Acanthiza","Acanthiza (Acanthiza) Vigors & Horsfield, 1827","ACANTHIZIDAE","Acanthiza","Acanthiza","","","Valid Name","","Subgenus","","Vigors & Horsfield","1827","Y","612b91f0-316f-4042-af29-fd21dbd344a4","20141012T23:51:48.807+0000","31730d73-4c9b-4889-9934-34c866e83b6d","20150105T00:40:23.606+0000","67b654e1-12d5-4bab-8b51-0d735a4b63d4","31730d73-4c9b-4889-9934-34c866e83b6d","","","","","","","","","","","","","","",""
"","","Acanthiza","Acanthiza Vigors & Horsfield, 1827","","Acanthiza","","","","Synonym","synonym","Subgenus","","Vigors & Horsfield","1827","Y","1e5a36a0-c1ef-4ce3-bbae-2438187be0c5","20141012T23:51:48.807+0000","31730d73-4c9b-4889-9934-34c866e83b6d","20150105T00:40:23.606+0000","","478c4d07-0953-428e-8936-5fbb61db950e","Vigors, N.A. & Horsfield, T.","1827","A description of the Australian birds in the collection of the Linnean Society; with an attempt at arranging them according to their natural affinities","170-331","","Transactions of the Linnean Society of London","","17 Feb 1827","","<!--MARK--><a href='null45cbf324-e606-4b5f-bcaf-16e4deaf1232' class='mouseoverHref'>Vigors, N.A. & Horsfield, T. 1827. A description of the Australian birds in the collection of the Linnean Society; with an attempt at arranging them according to their natural affinities.</a> <!--MARK--><!--MARK--><a href='nulla6b0ca4d-471d-4666-96a2-8fee5114bc35' class='mouseoverHref'><em>Transactions of the Linnean Society of London</em></a> <strong>15</strong>: 170-331<!--MARK--> [Date published 17 Feb 1827: publication dated 1826]","publication dated 1826","Article in Journal","45cbf324-e606-4b5f-bcaf-16e4deaf1232","20110420T03:18:08.956+0000","a6b0ca4d-471d-4666-96a2-8fee5114bc35"
"","","Acanthisa","Acanthisa Lesson, 1837","","Acanthisa","","","","Synonym","synonym","Subgenus","presumed incorrect subsequent spelling of <I>Acanthiza</I> Vigors & Horsfield, 1827, and unavailable","Lesson","1837","Y","9d805c49-d0b5-4cf4-965e-71bad2418fdd","20141012T23:51:48.807+0000","31730d73-4c9b-4889-9934-34c866e83b6d","20150105T00:40:23.606+0000","","6dc00236-7974-4cb8-b0f2-20ffe341f5ea","Lesson, R.P.","1837","Complément des Oevres de Buffon; <i>ou, Histoire Naturelle des Animaux rares découverts par les naturalistes et les voyageurs depuis la mort de Buffon. Oiseaux</i>","550","","","","","Pourrat Frères","<!--MARK--><a href='null16508ce3-7922-4d3c-9dd0-ce396ff79dd4' class='mouseoverHref'>Lesson, R.P. 1837. <em>Complément des Oevres de Buffon; <i>ou, Histoire Naturelle des Animaux rares découverts par les naturalistes et les voyageurs depuis la mort de Buffon. Oiseaux</i></em>. Paris : Pourrat Frères Vol. 9 550 pp.</a><!--MARK-->","","Book","16508ce3-7922-4d3c-9dd0-ce396ff79dd4","20081009T05:11:37.000+0000",""
"","","Acanthyza","Acanthyza des Murs, 1854","","Acanthyza","","","","Synonym","synonym","Subgenus","presumed unjustified emendation of <I>Acanthiza</I> Vigors & Horsfield, 1827: ICdZN Art. 33.2","des Murs","1854","Y","96610c9d-f3f4-4420-ada5-d4b8324fe3d5","20141012T23:51:48.807+0000","31730d73-4c9b-4889-9934-34c866e83b6d","20150105T00:40:23.606+0000","","cb7222bc-0358-4ceb-908a-5057e6fc355c","des Murs, O. in Chenu, J.C.","1854","Oiseaux","","","","","","","<!--MARK--><a href='null2ad7291f-bdbe-4d61-9684-b55967d65f7c' class='mouseoverHref'>des Murs, O. <i>in</i> Chenu, J.C. 1854. Oiseaux. <I>Encyclopédie d'Historie Naturelle. </I>Paris : Marescq & Compagnie.</a> <!--MARK--> [dated 1853]","dated 1853","Miscellaneous","2ad7291f-bdbe-4d61-9684-b55967d65f7c","20081009T05:11:37.000+0000",""
"0476","","apicalis","Acanthiza (Acanthiza) apicalis Gould, 1847","ACANTHIZIDAE","Acanthiza","Acanthiza","apicalis","","Valid Name","","Species","","Gould","1847","Y","2f0f33a6-ad62-4c3f-a13e-ad9afede557f","20141201T23:57:43.238+0000","b518962a-ca92-4213-bc6c-48beafba1bb2","20150105T00:40:23.606+0000","31730d73-4c9b-4889-9934-34c866e83b6d","b518962a-ca92-4213-bc6c-48beafba1bb2","","","","","","","","","","","","","","",""
