"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Chilo","Chilo Zincken, 1817","CRAMBIDAE","Chilo","","","","Valid Name","","Genus","","Zincken","1817","Y","cceca2f5-58b1-4454-9cc9-63f6ecf4cfa1","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","35b91342-bcdc-4d8e-a827-02e979bfd58a","dd07f667-6bc9-4c69-8940-77b91393c17a","","","","","","","","","","","","","","",""
"","","Chilo","Chilo Zincken, 1817","","Chilo","","","","Synonym","synonym","Genus","","Zincken","1817","Y","8e9ff4e0-3b36-4fd7-bf7c-279b2de93486","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","3171582f-4157-4fb4-8646-28d8d97f4b28","Zincken","1817","<i>Magazin der Entomologie</i>. Halle, 1813-21","","","","","","","<!--MARK--><a href='nullf3b09450-b870-4c19-a042-18075924e579' class='mouseoverHref'>Zincken 1817. <i>Magazin der Entomologie</i>. Halle, 1813-21. Vol. 2.</a>","","Miscellaneous","f3b09450-b870-4c19-a042-18075924e579","20081009T05:11:37.000+0000",""
"","","Chilona","Chilona Sodoffsky, 1837","","Chilona","","","","Synonym","synonym","Genus","unnecessary replacement name","Sodoffsky","1837","Y","b1fcbf1d-cec5-4be8-ab07-febb6fd377af","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","3c8ab706-36f8-4fd5-b2ab-494cf1a3556a","Sodoffsky, [Sodovskii] C.H.W.","1837","Etymologische Untersuchungen ueber die Gattungsnamen der Schmetterlinge","[76]-[99] (separate paginated 1, 4-24)","","Bulletin de la Société des Naturalistes de Moscou","","","","<!--MARK--><a href='null4cfaa955-38cb-464f-af39-2fb6af6e91bd' class='mouseoverHref'>Sodoffsky, [Sodovskii] C.H.W. 1837. Etymologische Untersuchungen ueber die Gattungsnamen der Schmetterlinge.</a> <!--MARK--><!--MARK--><a href='nullfe5560cc-7b9a-4519-81b0-13a5f605bd5b' class='mouseoverHref'><em>Bulletin de la Société des Naturalistes de Moscou</em></a> <strong>1837</strong>(6): [76]-[99] (separate paginated 1, 4-24)<!--MARK-->","","Article in Journal","4cfaa955-38cb-464f-af39-2fb6af6e91bd","20081009T05:11:37.000+0000","fe5560cc-7b9a-4519-81b0-13a5f605bd5b"
"","","Proceras;","Proceras; Bojer, 1856","","Proceras;","","","","Synonym","synonym","Genus","","Bojer","1856","Y","45c31434-57a3-4984-9c78-96c3bae3534b","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","","","","","","","","","","","","","","","",""
"","","Borer","Borer Guenée, 1862","","Borer","","","","Synonym","synonym","Genus","","Guenée","1862","Y","2a09c2b7-222c-474e-a887-45bdf58328df","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","","","","","","","","","","","","","","","",""
"","","Diphryx","Diphryx Grote, 1881","","Diphryx","","","","Synonym","synonym","Genus","","Grote","1881","Y","69e3a84f-091b-4e77-b53b-edece2ca47f3","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","","","","","","","","","","","","","","","",""
"","","Nephalia","Nephalia Turner, 1911","","Nephalia","","","","Synonym","synonym","Genus","","Turner","1911","Y","bb2b9d20-bc47-40c4-95f2-22fc5d75fe74","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","dd181061-857c-4b49-b42b-eb73bbaa3928","Turner, A.J.","1911","Studies in Australian Lepidoptera","59-135","","Annals of the Queensland Museum","","","","<!--MARK--><a href='nulle9a2d113-16ed-47a3-a0de-0181ba69a390' class='mouseoverHref'>Turner, A.J. 1911. Studies in Australian Lepidoptera.</a> <!--MARK--><!--MARK--><a href='nulle992938b-40e3-4f55-97a8-868219a55b45' class='mouseoverHref'><em>Annals of the Queensland Museum</em></a> <strong>10</strong>: 59-135<!--MARK-->","","Article in Journal","e9a2d113-16ed-47a3-a0de-0181ba69a390","20081009T05:11:37.000+0000","e992938b-40e3-4f55-97a8-868219a55b45"
"","","Hypiesta","Hypiesta Hampson, 1919","","Hypiesta","","","","Synonym","synonym","Genus","","Hampson","1919","Y","4aadd58b-5a8c-464b-9d1f-e66de1959c91","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","8e7a1c30-301d-4613-9bab-110eee4775db","Hampson, G.F.","1919","Descriptions of new Pyralidae of the subfamilies Crambinae and Siginae","275-292, 437-456, 533-547","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null043bcca6-75cf-418e-bcb9-35e6f513ba4a' class='mouseoverHref'>Hampson, G.F. 1919. Descriptions of new Pyralidae of the subfamilies Crambinae and Siginae.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 9 <strong>3</strong>: 275-292, 437-456, 533-547<!--MARK-->","","Article in Journal","043bcca6-75cf-418e-bcb9-35e6f513ba4a","20140618T00:05:59.830+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","Silveria","Silveria Dyar, 1925","","Silveria","","","","Synonym","synonym","Genus","","Dyar","1925","Y","8767d584-a028-40bf-aa5e-f3fbf03ee652","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","e65e0dc0-bc00-4a9a-9e35-b562e433f2a7","Dyar, H.G.","1925","Notes on some American Phycitinae (Lepidoptera, Pyralidae)","220-226","","Insecutor Inscitiae Menstruus","","","","<!--MARK--><a href='nullf7894c64-a05c-49ed-b77c-3ffd5066deaf' class='mouseoverHref'>Dyar, H.G. 1925. Notes on some American Phycitinae (Lepidoptera, Pyralidae).</a> <!--MARK--><!--MARK--><a href='null23c5ef0b-0905-4563-a830-2f5caa86b1a2' class='mouseoverHref'><em>Insecutor Inscitiae Menstruus</em></a> <strong>13</strong>: 220-226<!--MARK-->","","Article in Journal","f7894c64-a05c-49ed-b77c-3ffd5066deaf","20120313T21:20:29.989+0000","23c5ef0b-0905-4563-a830-2f5caa86b1a2"
"","","Chilotraea","Chilotraea Kapur, 1950","","Chilotraea","","","","Synonym","synonym","Genus","","Kapur","1950","Y","dba0c79f-da2d-46ac-bad9-cc197147cd15","20120927T01:05:06.383+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","20150429T01:28:22.533+0000","","affd2eee-b224-4eaf-a65a-f6e2de5ee37a","Kapur, A.P.","1950","The identity of some Crambinae associated with sugar-cane in India and of certain species related to them (Lepidoptera: Pyralidae)","389-434","","Transactions of the Royal Entomological Society of London","","","","<!--MARK--><a href='null2a1c00f9-9c4f-4078-a207-b757099ebb7d' class='mouseoverHref'>Kapur, A.P. 1950. The identity of some Crambinae associated with sugar-cane in India and of certain species related to them (Lepidoptera: Pyralidae).</a> <!--MARK--><!--MARK--><a href='nullaa458993-1b17-4c34-bd31-d6f8224d9b7d' class='mouseoverHref'><em>Transactions of the Royal Entomological Society of London</em></a> <strong>101</strong>: 389-434<!--MARK-->","","Article in Journal","2a1c00f9-9c4f-4078-a207-b757099ebb7d","20081009T05:11:37.000+0000","aa458993-1b17-4c34-bd31-d6f8224d9b7d"
"","","terrenellus","Chilo terrenellus Pagenstecher, 1900","CRAMBIDAE","Chilo","","terrenellus","","Valid Name","","Species","","Pagenstecher","1900","Y","2629419c-aee4-40ad-8941-19209098294e","20150429T01:38:22.917+0000","3d0d66ac-8463-4d41-9082-5de3607908dc","20150429T01:38:22.917+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","3d0d66ac-8463-4d41-9082-5de3607908dc","","","","","","","","","","","","","","",""
"","","Sugar Cane Stem Borer","","","","","","","Common Name","General","Species","","","","","2585a211-964d-49e5-bb02-7049251a68f7","20150429T01:38:03.204+0000","3d0d66ac-8463-4d41-9082-5de3607908dc","20150429T01:38:22.917+0000","","","","","","","","","","","","","","","","",""
"","","terrenellus","Chilo terrenellus Pagenstecher, 1900","CRAMBIDAE","Chilo","","terrenellus","","Synonym","synonym","Species","","Pagenstecher","1900","Y","39316f2e-74c1-4f38-9ff7-278c94adc76d","20150429T01:33:56.795+0000","3d0d66ac-8463-4d41-9082-5de3607908dc","20150429T01:38:22.917+0000","","38557f38-c50d-4a22-89bf-dac77e917b18","Pagenstecher, A.F.","1900","Die Lepidopteren Fauna des Bismarck-Archipels. Mit Berückstichtigung der thiergeographischen und biologischen Verhältnisse systematisch dargestellt. Teil II. Die Nachfalter","1-268 pp., 2 pls","","Zoologica (New York)","","","","<!--MARK--><a href='null0f40e16b-fb90-4d60-ba60-a521fb0838c4' class='mouseoverHref'>Pagenstecher, A.F. 1900. Die Lepidopteren Fauna des Bismarck-Archipels. Mit Berückstichtigung der thiergeographischen und biologischen Verhältnisse systematisch dargestellt. Teil II. Die Nachfalter.</a> <!--MARK--><!--MARK--><a href='null64ec51f0-157f-4d83-8362-daf1bb7e3db5' class='mouseoverHref'><em>Zoologica (New York)</em></a> <strong>29</strong>: 1-268 pp., 2 pls<!--MARK-->","","Article in Journal","0f40e16b-fb90-4d60-ba60-a521fb0838c4","","64ec51f0-157f-4d83-8362-daf1bb7e3db5"
"","","crypsimetalla","Chilo crypsimetalla (Turner, 1911)","CRAMBIDAE","Chilo","","crypsimetalla","","Valid Name","","Species","","Turner","1911","N","6304cc70-0758-4e67-a5ae-4a50ea5cdea6","20150429T01:42:52.457+0000","ce903283-6bf8-41ab-aaf7-8c9f8ebe8482","20150429T01:42:52.457+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","ce903283-6bf8-41ab-aaf7-8c9f8ebe8482","","","","","","","","","","","","","","",""
"","","crypsimetalla","Nephalia crypsimetalla Turner, 1911","","Nephalia","","crypsimetalla","","Synonym","synonym","Species","","Turner","1911","Y","b18399f7-4f1e-410f-8959-bf487cf9a87c","20120927T01:05:06.383+0000","ce903283-6bf8-41ab-aaf7-8c9f8ebe8482","20150429T01:42:52.457+0000","","63823497-024f-4909-98d8-6fa911ecfae0","Turner, A.J.","1911","Studies in Australian Lepidoptera","59-135","","Annals of the Queensland Museum","","","","<!--MARK--><a href='nulle9a2d113-16ed-47a3-a0de-0181ba69a390' class='mouseoverHref'>Turner, A.J. 1911. Studies in Australian Lepidoptera.</a> <!--MARK--><!--MARK--><a href='nulle992938b-40e3-4f55-97a8-868219a55b45' class='mouseoverHref'><em>Annals of the Queensland Museum</em></a> <strong>10</strong>: 59-135<!--MARK-->","","Article in Journal","e9a2d113-16ed-47a3-a0de-0181ba69a390","20081009T05:11:37.000+0000","e992938b-40e3-4f55-97a8-868219a55b45"
"","","ochrileucalis","Diatraea ochrileucalis Hampson, 1919","","Diatraea","","ochrileucalis","","Synonym","synonym","Species","","Hampson","1919","Y","a4ca46ba-4855-49de-bc0a-df1c2ddb21fc","20120927T01:05:06.383+0000","ce903283-6bf8-41ab-aaf7-8c9f8ebe8482","20150429T01:42:52.457+0000","","1a84d8b5-f053-4c8b-a7b0-6c595de214f8","Hampson, G.F.","1919","Descriptions of new Pyralidae of the subfamilies Crambinae and Siginae","275-292, 437-456, 533-547","","Annals of Natural History","","","","<!--MARK--><a href='null1f8ed96d-ab00-4d92-bf68-abc741741a15' class='mouseoverHref'>Hampson, G.F. 1919. Descriptions of new Pyralidae of the subfamilies Crambinae and Siginae.</a> <!--MARK--><!--MARK--><a href='null49064907-7f69-404b-b6d0-6e1a9be97dbb' class='mouseoverHref'><em>Annals of Natural History</em></a> <strong>3</strong>: 275-292, 437-456, 533-547<!--MARK-->","","Article in Journal","1f8ed96d-ab00-4d92-bf68-abc741741a15","20081009T05:11:37.000+0000","49064907-7f69-404b-b6d0-6e1a9be97dbb"
"","","crossostichus","Schoenobius crossostichus Turner, 1922","","Schoenobius","","crossostichus","","Synonym","synonym","Species","","Turner","1922","Y","76e8eec6-0e15-4e02-b0b1-53f62cdab3af","20120927T01:05:06.383+0000","ce903283-6bf8-41ab-aaf7-8c9f8ebe8482","20150429T01:42:52.457+0000","","cb0e0659-0e96-41ff-a61c-28c5db51810d","Turner, A.J.","1922","Studies in Australian Lepidoptera","26-62","","Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='null026dbd00-cc88-4c3d-b26c-cd0f88f59375' class='mouseoverHref'>Turner, A.J. 1922. Studies in Australian Lepidoptera.</a> <!--MARK--><!--MARK--><a href='nullce333794-3a02-427f-ba27-346079f1efa0' class='mouseoverHref'><em>Proceedings of the Royal Society of Victoria</em></a> <strong>35</strong>(1): 26-62<!--MARK-->","","Article in Journal","026dbd00-cc88-4c3d-b26c-cd0f88f59375","20101107T21:16:56.460+0000","ce333794-3a02-427f-ba27-346079f1efa0"
"","","polychrysa","Chilo polychrysa (Meyrick, 1932)","CRAMBIDAE","Chilo","","polychrysa","","Valid Name","","Species","","Meyrick","1932","N","a77274d8-e7f6-4003-97ac-e2cddcaa4c6d","20120927T01:05:06.383+0000","52c77c1d-9f28-4ae3-91b8-6baa0feaacad","20150429T01:28:22.533+0000","dd07f667-6bc9-4c69-8940-77b91393c17a","52c77c1d-9f28-4ae3-91b8-6baa0feaacad","","","","","","","","","","","","","","",""
