"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Clavigeritae","Clavigeritae Leach, 1815","STAPHYLINIDAE","","","","","Valid Name","","Supertribe","","Leach","1815","Y","46512a0f-2777-439d-82c8-31c2cbadc774","20160307T05:28:23.968+0000","dcd65be3-d990-4d45-86f8-2f9fe966e22a","20160320T23:27:56.166+0000","4388d8d1-b824-4452-bbd9-17ed10150b56","dcd65be3-d990-4d45-86f8-2f9fe966e22a","","","","","","","","","","","","","","",""
"","","Clavigeritae","Clavigeritae Leach, 1815","","","","","","Synonym","synonym","Supertribe","","Leach","1815","Y","17982a6f-47b7-4877-b035-740c4496aa10","20160307T05:28:23.968+0000","dcd65be3-d990-4d45-86f8-2f9fe966e22a","20160320T23:27:56.166+0000","","4a6cd863-919c-495a-af52-70912fc716d4","Leach, W.E.","1815","Entomology","57-172","The Edinburgh Encyclopedia","","","","","<!--MARK--><a href='null9629f155-cc92-404a-9b12-8ba9547fd3d6' class='mouseoverHref'>Leach, W.E. 1815. Entomology. pp. 57-172</a> <!--MARK--><em>in</em> <!--MARK--><a href='null2827d9e4-6f6f-42d4-ab71-ad23f2ba850b' class='mouseoverHref'>Brewster (ed.). <em>The Edinburgh Encyclopedia</em>. Edinburgh : William Blackburn Vol. 9(1) 764 pp.</a><!--MARK--><!--MARK--> [reprint 1830]","reprint 1830","Chapter in Book","9629f155-cc92-404a-9b12-8ba9547fd3d6","20170428T06:32:46.976+0000","2827d9e4-6f6f-42d4-ab71-ad23f2ba850b"
"","","Clavigerini","Clavigerini Leach, 1815","STAPHYLINIDAE","","","","","Valid Name","","Tribe","","Leach","1815","Y","e5ac5979-e691-4636-a8ec-ef71c6f31b1f","20180119T03:03:18.195+0000","97366fe5-9e51-483a-8ead-df5b3cf2112c","20180119T03:03:18.195+0000","dcd65be3-d990-4d45-86f8-2f9fe966e22a","97366fe5-9e51-483a-8ead-df5b3cf2112c","","","","","","","","","","","","","","",""
"","","Clavigerini","Clavigerini Leach, 1815","","","","","","Synonym","synonym","Tribe","","Leach","1815","Y","8cfad684-139c-47d2-bae3-c985231b9c7f","20160307T05:28:23.968+0000","97366fe5-9e51-483a-8ead-df5b3cf2112c","20180119T03:03:18.195+0000","","6e5aaad5-f50c-4170-8824-28d28e29c5be","Leach, W.E.","1815","Entomology","57-172","The Edinburgh Encyclopedia","","","","","<!--MARK--><a href='null9629f155-cc92-404a-9b12-8ba9547fd3d6' class='mouseoverHref'>Leach, W.E. 1815. Entomology. pp. 57-172</a> <!--MARK--><em>in</em> <!--MARK--><a href='null2827d9e4-6f6f-42d4-ab71-ad23f2ba850b' class='mouseoverHref'>Brewster (ed.). <em>The Edinburgh Encyclopedia</em>. Edinburgh : William Blackburn Vol. 9(1) 764 pp.</a><!--MARK--><!--MARK--> [reprint 1830]","reprint 1830","Chapter in Book","9629f155-cc92-404a-9b12-8ba9547fd3d6","20170428T06:32:46.976+0000","2827d9e4-6f6f-42d4-ab71-ad23f2ba850b"
"","","Clavigerodina","Clavigerodina","","","","","","Valid Name","","Subtribe","","","","Y","831ab792-c477-44a1-80a0-884c4ddf6f22","20160307T05:28:23.968+0000","111c726c-cecd-44fd-be9c-4fb708565390","20160320T23:27:56.166+0000","97366fe5-9e51-483a-8ead-df5b3cf2112c","111c726c-cecd-44fd-be9c-4fb708565390","","","","","","","","","","","","","","",""
"","","Mataranka","Mataranka Hlavá?, 2016","","Mataranka","","","","Valid Name","","Genus","","Hlavá?","2016","Y","0dc441fe-350d-4b90-87f4-6c36503c3021","20160307T05:28:23.968+0000","f34aab78-58f0-4958-ac76-f40c28f99725","20180111T23:43:36.630+0000","111c726c-cecd-44fd-be9c-4fb708565390","f34aab78-58f0-4958-ac76-f40c28f99725","","","","","","","","","","","","","","",""
"","","Mataranka","Mataranka Hlavá?, 2016","","Mataranka","","","","Synonym","synonym","Genus","","Hlavá?","2016","Y","9b684cae-6495-4326-ad9a-a35b9c0c9541","20160307T05:28:23.968+0000","f34aab78-58f0-4958-ac76-f40c28f99725","20180111T23:43:36.630+0000","","0153bcd2-802a-48b7-b252-4e35312db2eb","Hlavá?, P.","2016","<i>Mataranka bilyi</i>, a new peculiar genus and species of Clavigeritae (Coleoptera: Staphylinidae: Pselaphinae) from Australia","126-134","","Zootaxa","","","","<!--MARK--><a href='nullc78d2b17-1c1d-46ca-8cc1-8af392564c6c' class='mouseoverHref'>Hlavá?, P. 2016. <i>Mataranka bilyi</i>, a new peculiar genus and species of Clavigeritae (Coleoptera: Staphylinidae: Pselaphinae) from Australia.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>4072</strong>(1): 126-134<!--MARK-->","","Article in Journal","c78d2b17-1c1d-46ca-8cc1-8af392564c6c","20160523T03:31:37.179+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","bilyi","Mataranka bilyi Hlavá?, 2016","","Mataranka","","bilyi","","Valid Name","","Species","","Hlavá?","2016","Y","6a621660-84fb-4baa-9efd-c4b715e7e6eb","20160307T05:28:23.968+0000","eeb3d75c-91a5-414a-b6d3-39a54370a135","20180111T23:43:36.630+0000","f34aab78-58f0-4958-ac76-f40c28f99725","eeb3d75c-91a5-414a-b6d3-39a54370a135","","","","","","","","","","","","","","",""
"","","bilyi","Mataranka bilyi Hlavá?, 2016","","Mataranka","","bilyi","","Synonym","synonym","Species","","Hlavá?","2016","Y","38d696fb-132c-4cc7-b093-4513718f6aba","20160307T05:28:23.968+0000","eeb3d75c-91a5-414a-b6d3-39a54370a135","20180111T23:43:36.630+0000","","00d3ddfd-f99e-416a-89c1-1473d9c46955","Hlavá?, P.","2016","<i>Mataranka bilyi</i>, a new peculiar genus and species of Clavigeritae (Coleoptera: Staphylinidae: Pselaphinae) from Australia","126-134","","Zootaxa","","","","<!--MARK--><a href='nullc78d2b17-1c1d-46ca-8cc1-8af392564c6c' class='mouseoverHref'>Hlavá?, P. 2016. <i>Mataranka bilyi</i>, a new peculiar genus and species of Clavigeritae (Coleoptera: Staphylinidae: Pselaphinae) from Australia.</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>4072</strong>(1): 126-134<!--MARK-->","","Article in Journal","c78d2b17-1c1d-46ca-8cc1-8af392564c6c","20160523T03:31:37.179+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","Tapas","Tapas Besuchet, 2008","STAPHYLINIDAE","Tapas","","","","Valid Name","","Genus","","Besuchet","2008","Y","66749263-729d-4096-9530-941628d902e7","20160307T05:28:23.968+0000","acd4f71c-0bf7-4413-956c-e5213ba45265","20180111T23:43:36.630+0000","111c726c-cecd-44fd-be9c-4fb708565390","acd4f71c-0bf7-4413-956c-e5213ba45265","","","","","","","","","","","","","","",""
