"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","DEXAMINIDAE","DEXAMINIDAE Leach, 1814","DEXAMINIDAE","","","","","Valid Name","","Family","","Leach","1814","Y","85babeea-465d-4d74-af55-d4fb03fc87c6","20160212T03:27:01.762+0000","a17a1c2a-2d7c-41e6-a852-104d733b4455","20170323T23:01:35.391+0000","18ce2d70-a35e-4b6b-9e37-d2154ad1aecb","a17a1c2a-2d7c-41e6-a852-104d733b4455","","","","","","","","","","","","","","",""
"","","Dexamininae","Dexamininae Leach, 1814","DEXAMINIDAE","","","","","Valid Name","","Subfamily","","Leach","1814","Y","b63c7d8a-5867-49cd-b876-c8d2eeaef425","20160212T03:27:01.762+0000","95d5fe79-e0f4-457f-bf5b-31c158592c0a","20161222T00:16:26.440+0000","a17a1c2a-2d7c-41e6-a852-104d733b4455","95d5fe79-e0f4-457f-bf5b-31c158592c0a","","","","","","","","","","","","","","",""
"","","Dexamininae","Dexamininae Leach, 1814","DEXAMINIDAE","","","","","Synonym","synonym","Subfamily","","Leach","1814","Y","5aa67c39-f78a-4262-a544-910a0a5f05d5","20160212T03:27:01.762+0000","95d5fe79-e0f4-457f-bf5b-31c158592c0a","20161222T00:16:26.440+0000","","e089b1da-7553-4542-9b7f-6d96d5b60390","Leach, W.E.","1814","Crustaceology","383-437","The Edinburgh Encyclopaedia","","","","","<!--MARK--><a href='null3bfe5007-5583-4247-9edb-098499ab0a2f' class='mouseoverHref'>Leach, W.E. 1814. Crustaceology. pp. 383-437</a> <!--MARK--><em>in</em> <!--MARK--><a href='nulld4389d3d-9705-46da-9d13-38480b652117' class='mouseoverHref'>Brewster, D. Sir (ed.). <em>The Edinburgh Encyclopaedia</em>. Edinburgh : John Murray Baldwin & Cradocle Vol. 7 (2).</a><!--MARK-->","","Chapter in Book","3bfe5007-5583-4247-9edb-098499ab0a2f","20140211T21:34:56.187+0000","d4389d3d-9705-46da-9d13-38480b652117"
"","","Delkarlye","Delkarlye J.L. Barnard, 1972","DEXAMINIDAE","Delkarlye","","","","Valid Name","","Genus","","J.L. Barnard","1972","Y","d3c27a9b-7dca-494e-81da-07afa86ebb1e","20160212T03:27:01.762+0000","3cbf04bc-0fe2-482b-aa63-c0be9bb877b7","20170323T23:01:35.391+0000","95d5fe79-e0f4-457f-bf5b-31c158592c0a","3cbf04bc-0fe2-482b-aa63-c0be9bb877b7","","","","","","","","","","","","","","",""
"","","Delkarlye","Delkarlye Barnard, 1972","","Delkarlye","","","","Synonym","synonym","Genus","","Barnard","1972","Y","2b5ab339-42b3-49f1-bf63-4d4889c733f5","20160212T03:27:01.762+0000","3cbf04bc-0fe2-482b-aa63-c0be9bb877b7","20170323T23:01:35.391+0000","","af33b0ac-ea6c-4a08-a541-6078f14fa923","Barnard, J.L.","1972","Gammaridean Amphipoda of Australia, Part I","i-vi 1-333","","Smithsonian Contributions to Zoology","","","","<!--MARK--><a href='null0d55c8f6-ba38-4425-8263-63ac813cc974' class='mouseoverHref'>Barnard, J.L. 1972. Gammaridean Amphipoda of Australia, Part I.</a> <!--MARK--><!--MARK--><a href='nullcf8b640e-574a-4713-8a6f-74b8ef9e2f2c' class='mouseoverHref'><em>Smithsonian Contributions to Zoology</em></a> <strong>103</strong>: i-vi 1-333<!--MARK-->","","Article in Journal","0d55c8f6-ba38-4425-8263-63ac813cc974","20081009T05:11:37.000+0000","cf8b640e-574a-4713-8a6f-74b8ef9e2f2c"
"","","enamella","Delkarlye enamella J.L. Barnard, 1972","DEXAMINIDAE","Delkarlye","","enamella","","Valid Name","","Species","","J.L. Barnard","1972","Y","0e95765d-f0ba-4768-b2f2-17e3f6cf07a0","20160212T03:27:01.762+0000","040498b2-bbc0-481a-8c4a-96535cf4c684","20170323T23:01:35.391+0000","3cbf04bc-0fe2-482b-aa63-c0be9bb877b7","040498b2-bbc0-481a-8c4a-96535cf4c684","","","","","","","","","","","","","","",""
"","","enamella","Delkarlye enamella J.L. Barnard, 1972","","Delkarlye","","enamella","","Synonym","synonym","Species","","J.L. Barnard","1972","Y","a0d88188-91a2-4478-95cf-12e2b67ce21a","20160212T03:27:01.762+0000","040498b2-bbc0-481a-8c4a-96535cf4c684","20170323T23:01:35.391+0000","","e7243908-ebc1-42b2-a4f2-cd7fb573a4ca","Barnard, J.L.","1972","Gammaridean Amphipoda of Australia, Part I","i-vi 1-333","","Smithsonian Contributions to Zoology","","","","<!--MARK--><a href='null0d55c8f6-ba38-4425-8263-63ac813cc974' class='mouseoverHref'>Barnard, J.L. 1972. Gammaridean Amphipoda of Australia, Part I.</a> <!--MARK--><!--MARK--><a href='nullcf8b640e-574a-4713-8a6f-74b8ef9e2f2c' class='mouseoverHref'><em>Smithsonian Contributions to Zoology</em></a> <strong>103</strong>: i-vi 1-333<!--MARK-->","","Article in Journal","0d55c8f6-ba38-4425-8263-63ac813cc974","20081009T05:11:37.000+0000","cf8b640e-574a-4713-8a6f-74b8ef9e2f2c"
"","","Paradexamine","Paradexamine Stebbing, 1899","DEXAMINIDAE","Paradexamine","","","","Valid Name","","Genus","","Stebbing","1899","Y","5b0fe35d-9ea5-49c8-9aeb-745bb2f7d1a4","20170323T23:01:35.391+0000","ca6bbf19-7f89-4037-bacf-15187d84b272","20170323T23:01:35.391+0000","95d5fe79-e0f4-457f-bf5b-31c158592c0a","ca6bbf19-7f89-4037-bacf-15187d84b272","","","","","","","","","","","","","","",""
"","","Paradexamine","Paradexamine Stebbing, 1899","","Paradexamine","","","","Synonym","synonym","Genus","","Stebbing","1899","Y","6787e74b-6355-4c2e-ba63-37da899778cc","20160212T03:27:01.762+0000","ca6bbf19-7f89-4037-bacf-15187d84b272","20170323T23:01:35.391+0000","","b8f71301-a0ec-45ec-8604-8a0d22711442","Stebbing, T.R.R.","1899","Revision of Amphipoda (continued)","205-211","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null70ce305b-99f4-45df-be9c-a98e688111c0' class='mouseoverHref'>Stebbing, T.R.R. 1899. Revision of Amphipoda (continued).</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>4</strong>: 205-211<!--MARK-->","","Article in Journal","70ce305b-99f4-45df-be9c-a98e688111c0","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","Dexaminoides","Dexaminoides Spandl, 1923","","Dexaminoides","","","","Synonym","synonym","Genus","","Spandl","1923","Y","c35a9d05-105b-45a0-bf7b-a6bd32e7e573","20160212T03:27:01.762+0000","ca6bbf19-7f89-4037-bacf-15187d84b272","20170323T23:01:35.391+0000","","6490377a-5f01-4b0b-9fce-df3cd885bd62","Spandl, H.","1923","Amphipoden der Pola-Expeditionen in das Rote Meer","14-20, 87-89, 111-112","","Anzeiger der Akademie der Wissenschaften in Wien","","","","<!--MARK--><a href='nullc8461f56-b6cd-4ed9-b39c-455598dee156' class='mouseoverHref'>Spandl, H. 1923. Amphipoden der Pola-Expeditionen in das Rote Meer.</a> <!--MARK--><!--MARK--><a href='null0d7487e4-7009-475d-b604-b20703745dc3' class='mouseoverHref'><em>Anzeiger der Akademie der Wissenschaften in Wien</em></a> <strong>60</strong>: 14-20, 87-89, 111-112<!--MARK-->","","Article in Journal","c8461f56-b6cd-4ed9-b39c-455598dee156","20081009T05:11:37.000+0000","0d7487e4-7009-475d-b604-b20703745dc3"
