"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","FORNICATA","FORNICATA Simpson, 2003","","","","","","Valid Name","","Phylum","","Simpson","2003","Y","6b931a5c-4da7-4bd7-bd5d-0e15d2a25b2c","20150705T22:21:38.821+0000","f71a4c71-48e1-4a9f-840e-1bb189611fd4","20150705T22:21:38.821+0000","932fe780-c493-4397-9455-69d0e37159a4","f71a4c71-48e1-4a9f-840e-1bb189611fd4","","","","","","","","","","","","","","",""
"","","DIPLOMONADIDA","DIPLOMONADIDA Wenyon, 1926 (emend. Brugerolle et al., 1975)","","","","","","Valid Name","","Order","emend. Brugerolle et al., 1975","Wenyon","1926","Y","2d9bbca4-9bd6-4e5f-b11c-0dae652ee8b3","20150401T02:30:40.967+0000","a39a0120-40ac-4403-906a-46ee99fb4460","20150401T02:30:40.967+0000","f71a4c71-48e1-4a9f-840e-1bb189611fd4","a39a0120-40ac-4403-906a-46ee99fb4460","","","","","","","","","","","","","","",""
"","","ENTEROMONADIDAE","ENTEROMONADIDAE Kulda & Nohynkova, 1978","ENTEROMONADIDAE","","","","","Valid Name","","Family","","Kulda & Nohynkova","1978","Y","fbf7780c-3765-422d-a4c9-17de449afbb7","20150401T02:30:40.967+0000","dc0afb45-411c-4358-88fc-c23da636304c","20150401T02:30:40.967+0000","a39a0120-40ac-4403-906a-46ee99fb4460","dc0afb45-411c-4358-88fc-c23da636304c","","","","","","","","","","","","","","",""
"","","Enteromonas","Enteromonas da Fonseca, 1915","ENTEROMONADIDAE","Enteromonas","","","","Valid Name","","Genus","","da Fonseca","1915","Y","277e17a5-2ffa-4885-9add-207889c20d79","20150401T02:30:40.967+0000","8db3d87f-51d9-4271-9d61-3fa3c664fd26","20150401T02:30:40.967+0000","dc0afb45-411c-4358-88fc-c23da636304c","8db3d87f-51d9-4271-9d61-3fa3c664fd26","","","","","","","","","","","","","","",""
"","","Enteromonas","Enteromonas da Fonseca, 1915","","Enteromonas","","","","Synonym","synonym","Genus","","da Fonseca","1915","Y","4531fa6f-84ce-451c-9e8b-563659b1de4a","20150401T02:30:40.967+0000","8db3d87f-51d9-4271-9d61-3fa3c664fd26","20150401T02:30:40.967+0000","","8dc73b95-7640-46da-804d-78aa492e6e91","Fonseca, O.O.R. da","1915","Sobre os flagellados dos mammiferos do Brazil. Um novo parasito do homen. (2a nota prévia)","281-282","","Brazil-Medico","","","","<!--MARK--><a href='nulldca70eaa-aaa2-4fe9-bf54-1c683b2e8670' class='mouseoverHref'>Fonseca, O.O.R. da 1915. Sobre os flagellados dos mammiferos do Brazil. Um novo parasito do homen. (2a nota prévia).</a> <!--MARK--><!--MARK--><a href='nulld5b90620-4c32-46be-937c-ef1d2fe115ae' class='mouseoverHref'><em>Brazil-Medico</em></a> <strong>29</strong>: 281-282<!--MARK-->","","Article in Journal","dca70eaa-aaa2-4fe9-bf54-1c683b2e8670","20120109T21:58:00.142+0000","d5b90620-4c32-46be-937c-ef1d2fe115ae"
"","","hominis","Enteromonas hominis da Fonseca, 1915","ENTEROMONADIDAE","Enteromonas","","hominis","","Valid Name","","Species","","da Fonseca","1915","Y","72935ee6-c5c8-4914-9b74-353580d11720","20150401T02:30:40.967+0000","95d95805-f8ee-41c0-a7c6-45a4800ac095","20150401T02:30:40.967+0000","8db3d87f-51d9-4271-9d61-3fa3c664fd26","95d95805-f8ee-41c0-a7c6-45a4800ac095","","","","","","","","","","","","","","",""
"","","hominis","Enteromonas hominis da Fonseca, 1915","","Enteromonas","","hominis","","Synonym","synonym","Species","","da Fonseca","1915","Y","7a7e6569-c291-4159-87f0-8fe010a9dd18","20150401T02:30:40.967+0000","95d95805-f8ee-41c0-a7c6-45a4800ac095","20150401T02:30:40.967+0000","","d0ef7f3a-6dd6-4f0b-8dd7-740b6a1a894c","Fonseca, O.O.R. da","1915","Sobre os flagellados dos mammiferos do Brazil. Um novo parasito do homen. (2a nota prévia)","281-282","","Brazil-Medico","","","","<!--MARK--><a href='nulldca70eaa-aaa2-4fe9-bf54-1c683b2e8670' class='mouseoverHref'>Fonseca, O.O.R. da 1915. Sobre os flagellados dos mammiferos do Brazil. Um novo parasito do homen. (2a nota prévia).</a> <!--MARK--><!--MARK--><a href='nulld5b90620-4c32-46be-937c-ef1d2fe115ae' class='mouseoverHref'><em>Brazil-Medico</em></a> <strong>29</strong>: 281-282<!--MARK-->","","Article in Journal","dca70eaa-aaa2-4fe9-bf54-1c683b2e8670","20120109T21:58:00.142+0000","d5b90620-4c32-46be-937c-ef1d2fe115ae"
"","","HEXAMITIDAE","HEXAMITIDAE Kent, 1888","HEXAMITIDAE","","","","","Valid Name","","Family","","Kent","1888","Y","226c084b-c310-4b8e-9ace-cee69a1e8064","20150401T02:30:40.967+0000","01b72e37-9b02-4794-8a30-8abd3901f81d","20150401T02:30:40.967+0000","a39a0120-40ac-4403-906a-46ee99fb4460","01b72e37-9b02-4794-8a30-8abd3901f81d","","","","","","","","","","","","","","",""
"","","Giardia","Giardia Künstler, 1882","HEXAMITIDAE","Giardia","","","","Valid Name","","Genus","","Künstler","1882","Y","ee7a647c-bdfd-41b8-89d3-673cde71a71d","20151013T23:01:53.409+0000","4a14a1f9-856d-4053-92e1-1f76efc49b8c","20151013T23:02:25.386+0000","01b72e37-9b02-4794-8a30-8abd3901f81d","4a14a1f9-856d-4053-92e1-1f76efc49b8c","","","","","","","","","","","","","","",""
"","","Giardia","Giardia Künstler, 1882","","Giardia","","","","Synonym","synonym","Genus","","Künstler","1882","Y","248c81fc-b6dd-4eac-b43f-58bff6f6bca6","20150401T02:30:40.967+0000","4a14a1f9-856d-4053-92e1-1f76efc49b8c","20151013T23:02:25.386+0000","","3b69e614-a2ac-472a-8f21-9e4b4fb84454","Künstler, J.","1882","Sur cinque Protozoaires parasites nouveaux","347-349","","Compte rendu de l'Académie des Sciences, Paris","","","","<!--MARK--><a href='null98487f59-a1f3-4be4-bb19-98aac52cd940' class='mouseoverHref'>Künstler, J. 1882. Sur cinque Protozoaires parasites nouveaux.</a> <!--MARK--><!--MARK--><a href='null4106cc6f-4b30-47d7-ac63-5bb6abecd173' class='mouseoverHref'><em>Compte rendu de l'Académie des Sciences, Paris</em></a> <strong>95</strong>: 347-349<!--MARK-->","","Article in Journal","98487f59-a1f3-4be4-bb19-98aac52cd940","20120109T22:08:43.785+0000","4106cc6f-4b30-47d7-ac63-5bb6abecd173"
