"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37320000","GLAUCOSOMATIDAE","GLAUCOSOMATIDAE","GLAUCOSOMATIDAE","","","","","Valid Name","","Family","","","","Y","58de722a-a047-45d1-92c9-de88acddcc24","20121205T00:12:51.984+0000","8fb70655-45bb-44ab-89be-0e9576eb782d","20150908T21:12:11.295+0000","7aa1055c-f804-49cb-b591-f643daf8c4de","8fb70655-45bb-44ab-89be-0e9576eb782d","","","","","","","","","","","","","","",""
"","","Epaulette Fishes","","","","","","","Common Name","General","Family","","","","","db58d073-281a-4972-84fb-25a9d2191cd3","20100330T04:33:05.686+0000","8fb70655-45bb-44ab-89be-0e9576eb782d","20150908T21:12:11.295+0000","","135dd1f4-81dd-4498-b962-d52e4e83cf30","Paxton, J.R., Hoese, D.F., Allen, G.R. & Hanley, J.E. (eds)","1989","Zoological Catalogue of Australia. Pisces: Petromyzontidae to Carangidae","665 pp.","","","","","Australian Government Publishing Service","<!--MARK--><a href='nullcfef21f5-ff30-40b6-968c-37f5d1b0fcb4' class='mouseoverHref'>Paxton, J.R., Hoese, D.F., Allen, G.R. & Hanley, J.E. (eds) 1989. <em>Zoological Catalogue of Australia. Pisces: Petromyzontidae to Carangidae</em>. Canberra : Australian Government Publishing Service Vol. 7 665 pp.</a><!--MARK-->","","Book","cfef21f5-ff30-40b6-968c-37f5d1b0fcb4","20081009T05:11:37.000+0000",""
"","","Pearl Perches","","","","","","","Common Name","General","Family","","","","","8066b1f4-d0c5-4f8f-bbe5-0396ea0fd21e","20100330T04:33:05.686+0000","8fb70655-45bb-44ab-89be-0e9576eb782d","20150908T21:12:11.295+0000","","aa1c7f2b-9e77-4bdd-98e4-3f3e8df74100","McKay, R.J.","1997","<i>FAO Species Catalogue. Pearl Perches of the World (Family Glaucosomatidae</i>","1-26","","","","","","<!--MARK--><a href='nullde3bb684-e68a-4ead-9a3b-f4d604cd379d' class='mouseoverHref'>McKay, R.J. 1997. <i>FAO Species Catalogue. Pearl Perches of the World (Family Glaucosomatidae</i>. FAO Fisheries Synopsis No. 125 Vol. 17. 1-26 pp.</a>","","Miscellaneous","de3bb684-e68a-4ead-9a3b-f4d604cd379d","20081009T05:11:37.000+0000",""
"","","Glaucosoma","Glaucosoma Temminck & Schlegel, 1843","GLAUCOSOMATIDAE","Glaucosoma","","","","Valid Name","","Genus","","Temminck & Schlegel","1843","Y","35b83615-acde-4aaf-ab62-25059f77b50e","20150715T21:41:30.229+0000","338a2bc0-3cec-4253-a86b-4fc9e5227add","20150715T21:41:37.812+0000","8fb70655-45bb-44ab-89be-0e9576eb782d","338a2bc0-3cec-4253-a86b-4fc9e5227add","","","","","","","","","","","","","","",""
"","","Pearl Perch","","","","","","","Common Name","General","Genus","","","","","05cf34ce-2a1e-4b6f-970b-1b581c2c493b","20100330T04:33:05.686+0000","338a2bc0-3cec-4253-a86b-4fc9e5227add","20150715T21:41:37.812+0000","","d9955bc4-0687-4700-984a-2c7c787b33ab","Haling, G., Kennedy, T., Last, P. & Palmer, R.","1988","Recommended Marketing Names for Fish","238 pp.","","","","","Australian Government Publishing Service","<!--MARK--><a href='nulldd65b444-a3e0-48a9-b368-15e2ed5080ad' class='mouseoverHref'>Haling, G., Kennedy, T., Last, P. & Palmer, R. 1988. <em>Recommended Marketing Names for Fish</em>. Canberra : Australian Government Publishing Service 238 pp.</a><!--MARK-->","","Book","dd65b444-a3e0-48a9-b368-15e2ed5080ad","20081009T05:11:37.000+0000",""
"","","Glaucosoma","Glaucosoma Temminck & Schlegel, 1843","","","","","","Synonym","synonym","Genus","no included species","Temminck & Schlegel","1843","Y","bd65249f-ebc6-462c-82ca-151fd4c7ae44","20150715T21:41:37.812+0000","338a2bc0-3cec-4253-a86b-4fc9e5227add","20150715T21:41:37.812+0000","","66459701-9b9c-47dd-a14e-e3d5c409aa77","Temminck, C.J. & Schlegel, H.","1843","Pisces","21-72 pls 7A-36","Fauna Japonica","","","","","<!--MARK--><a href='nulld72182f6-35d9-4ac8-bbd5-1ed7ddc0c376' class='mouseoverHref'>Temminck, C.J. & Schlegel, H. 1843. Pisces. 21-72 pls 7A-36</a> <!--MARK--><em>in</em> <!--MARK--><a href='null7e3649c0-5ec3-482a-a2c4-a020a65833f7' class='mouseoverHref'>Siebold, P. Fr de (ed.). <em>Fauna Japonica</em>. Leyden : Apud Arnz & Socios Vol. 4(2-4).</a><!--MARK--><!--MARK--> [for date of publication Bauchot, M.-L., Whitehead, P.J.P. & Monod, Th. 1982. Date of publication and authorship of the fish names in Eydoux & Souleyet's zoology of <I>la Bonite</I>, 1841-1852. <em>Cybium</em> <strong>6</strong>(3): 59-73 [67]]","for date of publication Bauchot, M.-L., Whitehead, P.J.P. & Monod, Th. 1982. Date of publication and authorship of the fish names in Eydoux & Souleyet's zoology of <I>la Bonite</I>, 1841-1852. <em>Cybium</em> <strong>6</strong>(3): 59-73 [67]","Chapter in Book","d72182f6-35d9-4ac8-bbd5-1ed7ddc0c376","20081009T05:11:37.000+0000","7e3649c0-5ec3-482a-a2c4-a020a65833f7"
"","37320001","buergeri","Glaucosoma buergeri Richardson, 1845","GLAUCOSOMATIDAE","Glaucosoma","","buergeri","","Valid Name","","Species","","Richardson","1845","Y","23a9a86f-ca11-4ae2-9e3a-80857e363a03","20120112T07:40:09.223+0000","2c83385d-bb84-4175-9e76-470a8017ec26","20150715T21:41:30.229+0000","338a2bc0-3cec-4253-a86b-4fc9e5227add","2c83385d-bb84-4175-9e76-470a8017ec26","","","","","","","","","","","","","","",""
"","","Deepsea Jewfish","","","","","","","Common Name","General","Species","","","","","4a151018-3d21-492c-9160-7fed1f07bf9a","20100330T04:33:05.686+0000","2c83385d-bb84-4175-9e76-470a8017ec26","20150715T21:41:30.229+0000","","ac2a3e9e-3daa-434c-ae96-fe800257cf9d","Allen, G.R.","1997","Marine Fishes of Tropical Australia and South-east Asia","292 pp. 106 pls","","","","","Western Australian Museum","<!--MARK--><a href='null4f61c4f6-5604-4752-9552-6f9bd9fdfa99' class='mouseoverHref'>Allen, G.R. 1997. <em>Marine Fishes of Tropical Australia and South-east Asia</em>. Perth : Western Australian Museum 292 pp. 106 pls.</a><!--MARK-->","","Book","4f61c4f6-5604-4752-9552-6f9bd9fdfa99","20081009T05:11:37.000+0000",""
"","","Grey Bigmouth Bream","","","","","","","Common Name","General","Species","","","","","84fbc2be-3194-40d2-b73c-cda86cb08c79","20100330T04:33:05.686+0000","2c83385d-bb84-4175-9e76-470a8017ec26","20150715T21:41:30.229+0000","","5ce9d963-1697-41e5-8ce9-ae2a9c838315","McKay, R.J.","1997","<i>FAO Species Catalogue. Pearl Perches of the World (Family Glaucosomatidae</i>","1-26","","","","","","<!--MARK--><a href='nullde3bb684-e68a-4ead-9a3b-f4d604cd379d' class='mouseoverHref'>McKay, R.J. 1997. <i>FAO Species Catalogue. Pearl Perches of the World (Family Glaucosomatidae</i>. FAO Fisheries Synopsis No. 125 Vol. 17. 1-26 pp.</a>","","Miscellaneous","de3bb684-e68a-4ead-9a3b-f4d604cd379d","20081009T05:11:37.000+0000",""
"","","Northern Dhufish","","","","","","","Common Name","General","Species","","","","","20f62a12-4e9e-474c-a5f7-f115f505c6b1","20100330T04:33:05.686+0000","2c83385d-bb84-4175-9e76-470a8017ec26","20150715T21:41:30.229+0000","","e47e58e5-4142-46db-b886-8d7f20ad77f6","Yearsley, G.K., Last, P.R. & Ward, R.D. (eds)","1999","Australian Seafood Handbook","460 pp.","","","","","CSIRO Marine Research","<!--MARK--><a href='null7aba7d26-f58b-44a0-9a6e-288ca449690a' class='mouseoverHref'>Yearsley, G.K., Last, P.R. & Ward, R.D. (eds) 1999. <em>Australian Seafood Handbook</em>. Hobart : CSIRO Marine Research 460 pp.</a><!--MARK-->","","Book","7aba7d26-f58b-44a0-9a6e-288ca449690a","20081009T05:11:37.000+0000",""
