"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","HAPLOSPORIDIA","HAPLOSPORIDIA Caullery & Mesnil, 1899","","","","","","Valid Name","","Phylum","","Caullery & Mesnil","1899","Y","c5cc8dcd-c5ac-41eb-9b19-6545967c4e06","20150208T21:46:59.375+0000","c7669f53-b59b-4764-8160-0aff7d3d8db6","20150401T02:29:34.544+0000","932fe780-c493-4397-9455-69d0e37159a4","c7669f53-b59b-4764-8160-0aff7d3d8db6","","","","","","","","","","","","","","",""
"","","HAPLOSPOREA","HAPLOSPOREA Caullery, 1953 (= Stellatosporea Sprague, 1979)","","","","","","Valid Name","","Class","= Stellatosporea Sprague, 1979","Caullery","1953","Y","3e49cae6-92ca-419c-85ea-c1065b9976c1","20150208T21:46:59.375+0000","4b75bddf-f335-40ea-a12f-3b12f0e6b980","20150311T21:18:30.610+0000","c7669f53-b59b-4764-8160-0aff7d3d8db6","4b75bddf-f335-40ea-a12f-3b12f0e6b980","","","","","","","","","","","","","","",""
"","","HAPLOSPORIDA","HAPLOSPORIDA Caullery & Mesnil, 1899 (= Balanosporida Sprague, 1979)","","","","","","Valid Name","","Order","= Balanosporida Sprague, 1979","Caullery & Mesnil","1899","Y","ef77e180-7859-424c-a7f2-6382fb937286","20150208T21:46:59.375+0000","071cc7dc-e180-4e7d-b9c7-27c9c8918db6","20150311T21:18:30.610+0000","4b75bddf-f335-40ea-a12f-3b12f0e6b980","071cc7dc-e180-4e7d-b9c7-27c9c8918db6","","","","","","","","","","","","","","",""
"","","HAPLOSPORIIDAE","HAPLOSPORIIDAE Caullery & Mesnil, 1905","HAPLOSPORIIDAE","","","","","Valid Name","","Family","","Caullery & Mesnil","1905","Y","4da4752b-6514-4d69-bb50-c56e6490fe6c","20150208T21:46:59.375+0000","ec3d994f-cd2e-4085-9e9b-74d53bfbf2e9","20150311T21:18:30.610+0000","071cc7dc-e180-4e7d-b9c7-27c9c8918db6","ec3d994f-cd2e-4085-9e9b-74d53bfbf2e9","","","","","","","","","","","","","","",""
"","","Minchinia","Minchinia Labbé, 1896","HAPLOSPORIIDAE","Minchinia","","","","Valid Name","","Genus","","Labbé","1896","Y","403660c2-0114-42b8-8e7b-9cb2cc5ffafe","20150208T21:46:59.375+0000","cdfa75ab-5d1e-4a9d-84bd-34d762eef889","20150311T21:18:30.610+0000","ec3d994f-cd2e-4085-9e9b-74d53bfbf2e9","cdfa75ab-5d1e-4a9d-84bd-34d762eef889","","","","","","","","","","","","","","",""
"","","Minchinia","Minchinia Labbé, 1896","","Minchinia","","","","Synonym","synonym","Genus","","Labbé","1896","Y","a8964424-1664-4256-9205-de00017b994f","20150208T21:46:59.375+0000","cdfa75ab-5d1e-4a9d-84bd-34d762eef889","20150311T21:18:30.610+0000","","46ef4232-3c91-4fe2-aa4d-270454334273","Labbé, A.","1896","Recherches zoologiques, cytologiques et biologiques sur les Coccidies.","517-654","","Archives de Zoologie Expérimentale et Générale","","","","<!--MARK--><a href='null5acab1af-ecfa-4fed-b311-60d85cc90944' class='mouseoverHref'>Labbé, A. 1896. Recherches zoologiques, cytologiques et biologiques sur les Coccidies.</a> <!--MARK--><!--MARK--><a href='null1ee9e2fd-e394-4e8a-bdac-59c249e54978' class='mouseoverHref'><em>Archives de Zoologie Expérimentale et Générale</em></a> 3 <strong>4</strong>: 517-654<!--MARK-->","","Article in Journal","5acab1af-ecfa-4fed-b311-60d85cc90944","20120723T01:13:36.572+0000","1ee9e2fd-e394-4e8a-bdac-59c249e54978"
"","","Haplosporidium","Haplosporidium Lühe, 1900","HAPLOSPORIIDAE","Haplosporidium","","","","Valid Name","","Genus","","Lühe","1900","Y","79842393-fd53-4cab-bd0b-8bac0b373593","20150208T21:46:59.375+0000","e50d8b95-46e5-42fd-ad6e-573706763453","20150311T21:18:30.610+0000","ec3d994f-cd2e-4085-9e9b-74d53bfbf2e9","e50d8b95-46e5-42fd-ad6e-573706763453","","","","","","","","","","","","","","",""
"","","Haplosporidium","Haplosporidium Lühe, 1900","","Haplosporidium","","","","Synonym","synonym","Genus","","Lühe","1900","Y","1b7b075c-7ac8-455e-939a-e769d8a6fc6e","20150208T21:46:59.375+0000","e50d8b95-46e5-42fd-ad6e-573706763453","20150311T21:18:30.610+0000","","4c483986-10f7-40e0-ae8b-f56c5a3316e3","Lühe, M.","1900","Ergebnisse der neueren Sporozoenforschung. Zusammenfassende Darstellung mit besonderer Berücksichtigung der Malariaparasiten und ihrer nächsten Verwandten.","384-392","","Centralblatt für Bakteriologie, Parasitenkunde und Infektionskrankheiten I. Abt","","","","<!--MARK--><a href='null45f2d22e-46de-4a2b-8322-ce9e2cfdcfab' class='mouseoverHref'>Lühe, M. 1900. Ergebnisse der neueren Sporozoenforschung. Zusammenfassende Darstellung mit besonderer Berücksichtigung der Malariaparasiten und ihrer nächsten Verwandten.</a> <!--MARK--><!--MARK--><a href='nullfc7ff076-de36-4381-bb83-63d4d149202c' class='mouseoverHref'><em>Centralblatt für Bakteriologie, Parasitenkunde und Infektionskrankheiten I. Abt</em></a> <strong>28</strong>: 384-392<!--MARK-->","","Article in Journal","45f2d22e-46de-4a2b-8322-ce9e2cfdcfab","20141117T21:44:19.290+0000","fc7ff076-de36-4381-bb83-63d4d149202c"
"","","comatulae","Haplosporidium comatulae La Haye, Holland & McLean, 1984","HAPLOSPORIIDAE","Haplosporidium","","comatulae","","Valid Name","","Species","","La Haye, Holland & McLean","1984","Y","823e6db8-178d-42fd-89a0-9abdb92da53b","20150208T21:46:59.375+0000","39b07bb9-5f5e-4ce8-bbfd-636fb76458f5","20150311T21:18:30.610+0000","e50d8b95-46e5-42fd-ad6e-573706763453","39b07bb9-5f5e-4ce8-bbfd-636fb76458f5","","","","","","","","","","","","","","",""
"","","comatulae","Haplosporidium comatulae La Haye, Holland & McLean, 1984","","Haplosporidium","","comatulae","","Synonym","synonym","Species","","La Haye, Holland & McLean","1984","Y","dcfcc7e7-acc1-4008-a956-76823cb2759c","20150208T21:46:59.375+0000","39b07bb9-5f5e-4ce8-bbfd-636fb76458f5","20150311T21:18:30.610+0000","","31c95f44-5685-4d88-af85-b2b7c4d5ff40","LaHaye, C.A., Holland, N.D. & McLean, N.","1984","Electron microscopic study of <I>Haplosporidium comatulae</I> n. sp. (Phylum Ascetospora: Class Stelatosporea), a haplosporidian endoparasite of an Australian crinoid, <I>Oligometra serripinna</I> (Phylum Echinodermata).","507-515","","Protistologica","","","","<!--MARK--><a href='nullba942f6a-0849-4eee-aefe-755857ed9f94' class='mouseoverHref'>LaHaye, C.A., Holland, N.D. & McLean, N. 1984. Electron microscopic study of <I>Haplosporidium comatulae</I> n. sp. (Phylum Ascetospora: Class Stelatosporea), a haplosporidian endoparasite of an Australian crinoid, <I>Oligometra serripinna</I> (Phylum Echinodermata).</a> <!--MARK--><!--MARK--><a href='nulldd3a6d91-fc8c-4c88-bd97-e0e4c0e1ecd4' class='mouseoverHref'><em>Protistologica</em></a> <strong>20</strong>: 507-515<!--MARK-->","","Article in Journal","ba942f6a-0849-4eee-aefe-755857ed9f94","","dd3a6d91-fc8c-4c88-bd97-e0e4c0e1ecd4"
