"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Heterochyta","Heterochyta Meyrick, 1906","OECOPHORIDAE","Heterochyta","","","","Valid Name","","Genus","","Meyrick","1906","Y","91046adf-fcee-4dfe-868a-21a200907517","20120308T00:49:51.043+0000","929043aa-2b35-4574-98fb-8ec46a9eb2e1","20170203T04:09:01.109+0000","d3ec4053-2784-4eaa-adc5-e57f254cc3e4","929043aa-2b35-4574-98fb-8ec46a9eb2e1","","","","","","","","","","","","","","",""
"","","Heterochyta","Heterochyta Meyrick, 1906","","Heterochyta","","","","Synonym","synonym","Genus","","Meyrick","1906","Y","20b95b06-7022-4b4f-b828-fa0f81f9c335","20081009T05:11:37.000+0000","929043aa-2b35-4574-98fb-8ec46a9eb2e1","20170203T04:09:01.109+0000","","b309420b-b755-49f3-b841-8157170b370e","Meyrick, E.","1906","Descriptions of Australian Tineina","33-66","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='null1d7fb090-ee09-4614-af95-5d143d1c5c5e' class='mouseoverHref'>Meyrick, E. 1906. Descriptions of Australian Tineina.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>30</strong>: 33-66<!--MARK-->","","Article in Journal","1d7fb090-ee09-4614-af95-5d143d1c5c5e","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","Macrobela","Macrobela Turner, 1947","","Macrobela","","","","Synonym","synonym","Genus","junior homonym of <I>Macrobela </I>Turner, 1939","Turner","1947","Y","37cead27-0612-47bb-baaf-d27860a67178","20081009T05:11:37.000+0000","929043aa-2b35-4574-98fb-8ec46a9eb2e1","20170203T04:09:01.109+0000","","7ee18fc9-9c56-45ac-952e-2a487a340f58","Turner, A.J.","1947","Revision of Australian Lepidoptera. Oecophoridae. XIV","143-158","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='nullde8cfb46-9f6f-48df-aa2c-40c07d8c2aa3' class='mouseoverHref'>Turner, A.J. 1947. Revision of Australian Lepidoptera. Oecophoridae. XIV.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>72</strong>: 143-158<!--MARK-->","","Article in Journal","de8cfb46-9f6f-48df-aa2c-40c07d8c2aa3","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","aprepta","Heterochyta aprepta (Turner, 1947)","OECOPHORIDAE","Heterochyta","","aprepta","","Valid Name","","Species","","Turner","1947","N","b6a3c969-6058-47cb-8b2e-e009aa18fb62","20120308T00:47:12.576+0000","12db2abe-0dcc-43e5-9975-d2feda35bc71","20170203T04:09:01.109+0000","929043aa-2b35-4574-98fb-8ec46a9eb2e1","12db2abe-0dcc-43e5-9975-d2feda35bc71","","","","","","","","","","","","","","",""
"","","aprepta","Macrobela aprepta Turner, 1947","","Macrobela","","aprepta","","Synonym","synonym","Species","","Turner","1947","Y","7a9a6ffb-388c-4557-aa64-fb3105057f9f","20081009T05:11:37.000+0000","12db2abe-0dcc-43e5-9975-d2feda35bc71","20170203T04:09:01.109+0000","","4a7e07fb-6e21-4021-a046-071d6a7df9f6","Turner, A.J.","1947","Revision of Australian Lepidoptera. Oecophoridae. XIV","143-158","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='nullde8cfb46-9f6f-48df-aa2c-40c07d8c2aa3' class='mouseoverHref'>Turner, A.J. 1947. Revision of Australian Lepidoptera. Oecophoridae. XIV.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>72</strong>: 143-158<!--MARK-->","","Article in Journal","de8cfb46-9f6f-48df-aa2c-40c07d8c2aa3","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","asteropa","Heterochyta asteropa Meyrick, 1906","OECOPHORIDAE","Heterochyta","","asteropa","","Valid Name","","Species","","Meyrick","1906","Y","1f1ca7e5-519b-4053-a357-7b00bd22c3d8","20120308T00:46:20.255+0000","5e0e1848-a8c5-4e9d-b247-257238343e31","20170203T04:09:01.109+0000","929043aa-2b35-4574-98fb-8ec46a9eb2e1","5e0e1848-a8c5-4e9d-b247-257238343e31","","","","","","","","","","","","","","",""
"","","asteropa","Heterochyta asteropa Meyrick, 1906","","Heterochyta","","asteropa","","Synonym","synonym","Species","","Meyrick","1906","Y","0b4216cc-8784-46f4-bb23-a8ae4c50f732","20081009T05:11:37.000+0000","5e0e1848-a8c5-4e9d-b247-257238343e31","20170203T04:09:01.109+0000","","3092962c-6918-4e17-88a6-a12d6e2ac70d","Meyrick, E.","1906","Descriptions of Australian Tineina","33-66","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='null1d7fb090-ee09-4614-af95-5d143d1c5c5e' class='mouseoverHref'>Meyrick, E. 1906. Descriptions of Australian Tineina.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>30</strong>: 33-66<!--MARK-->","","Article in Journal","1d7fb090-ee09-4614-af95-5d143d1c5c5e","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
"","","infesta","Heterochyta infesta (Meyrick, 1921)","OECOPHORIDAE","Heterochyta","","infesta","","Valid Name","","Species","","Meyrick","1921","N","483e1051-e8e0-4a81-a26a-3fd56d7228c9","20120308T00:43:33.075+0000","853a234e-c6b8-4191-9883-502122c9a8cb","20170203T04:09:01.109+0000","929043aa-2b35-4574-98fb-8ec46a9eb2e1","853a234e-c6b8-4191-9883-502122c9a8cb","","","","","","","","","","","","","","",""
"","","infesta","Heterobathra infesta Meyrick, 1921","","Heterobathra","","infesta","","Synonym","synonym","Species","","Meyrick","1921","Y","d9b67973-1883-4f76-90d1-7e87d7aeb2ca","20081009T05:11:37.000+0000","853a234e-c6b8-4191-9883-502122c9a8cb","20170203T04:09:01.109+0000","","736425bc-364d-4073-ae68-c27c1dda78fa","Meyrick, E.","1921","<i>Exotic Microlepidoptera</i>","pp. 385-416, 417-448, 449-480","","","","","","<!--MARK--><a href='null4f45d98b-86ba-403b-b00d-731f7a7b9b99' class='mouseoverHref'>Meyrick, E. 1921. <i>Exotic Microlepidoptera</i>. Vol. <B>2</B>(13-15). pp. 385-416, 417-448, 449-480</a>","","Miscellaneous","4f45d98b-86ba-403b-b00d-731f7a7b9b99","20120306T21:42:31.915+0000",""
"","","pyrotypa","Heterochyta pyrotypa Common, 1996","OECOPHORIDAE","Heterochyta","","pyrotypa","","Valid Name","","Species","","Common","1996","Y","e40d9fb3-c6a2-4d73-be59-775688d2ff06","20120308T00:49:51.123+0000","8b6d7148-a216-497d-af3f-a671ed01a4b0","20170707T00:32:01.544+0000","929043aa-2b35-4574-98fb-8ec46a9eb2e1","8b6d7148-a216-497d-af3f-a671ed01a4b0","","","","","","","","","","","","","","",""
