"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37355000","MULLIDAE","MULLIDAE","MULLIDAE","","","","","Valid Name","","Family","","","","Y","b0b8c977-e27e-42b5-a198-2e36392e0e7d","20150209T08:04:26.256+0000","6d4a3711-39e8-402f-8fad-7da6c34e9b5b","20160825T03:48:22.821+0000","7aa1055c-f804-49cb-b591-f643daf8c4de","6d4a3711-39e8-402f-8fad-7da6c34e9b5b","","","","","","","","","","","","","","",""
"","","Goatfishes","","","","","","","Common Name","General","Family","","","","","29f094f1-f047-457c-ba04-da08e2be2052","20141216T04:59:22.624+0000","6d4a3711-39e8-402f-8fad-7da6c34e9b5b","20160825T03:48:22.821+0000","","cddeb781-bb51-4b36-aba3-9d49a8d0443d","Last, P.R., Scott, E.O.G. & Talbot, F.H.","1983","Fishes of Tasmania","563 pp. figs","","","","","Tasmanian Fisheries Development Authority","<!--MARK--><a href='null92c18f5d-3981-479f-983f-66920831d9e1' class='mouseoverHref'>Last, P.R., Scott, E.O.G. & Talbot, F.H. 1983. <em>Fishes of Tasmania</em>. Hobart : Tasmanian Fisheries Development Authority 563 pp. figs.</a><!--MARK-->","","Book","92c18f5d-3981-479f-983f-66920831d9e1","20081009T05:11:37.000+0000",""
"","","Red Mullet","","","","","","","Common Name","General","Family","","","","","e92df577-eed4-41a6-a7b7-00fe859df0a0","20141216T04:59:22.624+0000","6d4a3711-39e8-402f-8fad-7da6c34e9b5b","20160825T03:48:22.821+0000","","c13415ef-d55a-4899-8b07-72b2d99d837a","Yearsley, G.K. (ed.)","1995","Marketing Names for Fish and Seafood in Australia","170 pp.","","","","","Department of Primary Industries and Energy","<!--MARK--><a href='nulld684ec9f-dab8-48b1-8647-5f89d4284249' class='mouseoverHref'>Yearsley, G.K. (ed.) 1995. <em>Marketing Names for Fish and Seafood in Australia</em>. Canberra : Department of Primary Industries and Energy 170 pp.</a><!--MARK-->","","Book","d684ec9f-dab8-48b1-8647-5f89d4284249","20081009T05:11:37.000+0000",""
"","","Incertae Sedis","Incertae Sedis","MULLIDAE","","","","","Valid Name","","Incertae Sedis","","","","Y","25141cfa-6452-4168-b10d-151bfc0cf4aa","20141216T04:59:22.624+0000","29aca8f7-aaaa-4d56-91aa-78def4b0a21b","20150222T20:59:29.159+0000","6d4a3711-39e8-402f-8fad-7da6c34e9b5b","29aca8f7-aaaa-4d56-91aa-78def4b0a21b","","","","","","","","","","","","","","",""
"","","roseus","Upenoides roseus Castelnau, 1875","","Upenoides","","roseus","","Synonym","synonym","Incertae Sedis","listed as a probable synonym of <I>Upeneus moluccensis</I> (Bleeker, 1845) by Kottelat, M. 2013. The fishes of the inland waters of southeast Asia : a catalogue and core bibliography of the fishes known to occur in freshwaters, mangroves and estuaries. <I>Raffles Bulletin of Zoology</I> Supplement 27: 1-663 [361]","Castelnau","1875","Y","f7a9d1dd-439f-4f9d-a039-2985c16eeac8","20150209T07:51:36.017+0000","29aca8f7-aaaa-4d56-91aa-78def4b0a21b","20150222T20:59:29.159+0000","","da6e8751-d150-4d49-947a-7a6b7aec3956","Castelnau, F.L. de","1875","Researches on the fishes of Australia. Intercolonial Exhibition Essays. 2","","","","","","","<!--MARK--><a href='null237391be-b7ed-48a7-8dae-c83324974d09' class='mouseoverHref'>Castelnau, F.L. de 1875. Researches on the fishes of Australia. Intercolonial Exhibition Essays. 2. pp. 1-52 <I>in, Philadelphia Centennial Exhibition of 1876 : Official Record. </I>Melbourne.</a>","","Miscellaneous","237391be-b7ed-48a7-8dae-c83324974d09","20081009T05:11:37.000+0000",""
"","","armatus","Mulloides armatus De Vis, 1884","","Mulloides","","armatus","","Synonym","synonym","Incertae Sedis","","De Vis","1884","Y","f2c3b451-2df7-49ef-8611-e116bd54432b","20141216T04:59:22.624+0000","29aca8f7-aaaa-4d56-91aa-78def4b0a21b","20150222T20:59:29.159+0000","","9a0cdea4-af82-44c9-924c-a70a9d8843ec","De Vis, C.W.","1884","New fishes in the Queensland Museum. No. 2","453-462","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='nulldbd51cbf-af50-40db-8573-f735ed828449' class='mouseoverHref'>De Vis, C.W. 1884. New fishes in the Queensland Museum. No. 2.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> 1 <strong>9</strong>(3): 453-462<!--MARK-->","","Article in Journal","dbd51cbf-af50-40db-8573-f735ed828449","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","Mulloidichthys","Mulloidichthys Whitley, 1929","MULLIDAE","Mulloidichthys","","","","Valid Name","","Genus","","Whitley","1929","Y","dbd53d56-91cb-4bc4-a625-6eaa6dad9016","20141217T01:39:07.328+0000","405159e2-4645-4105-896d-ffb55844b94f","20150222T20:59:29.159+0000","6d4a3711-39e8-402f-8fad-7da6c34e9b5b","405159e2-4645-4105-896d-ffb55844b94f","","","","","","","","","","","","","","",""
"","","Mulloides","Mulloides Bleeker, 1849","","Mulloides","","","","Synonym","synonym","Genus","junior homonym of <I>Mulloides</I> Richardson, 1842 (Pisces)","Bleeker","1849","Y","22468d0d-9585-4391-b07a-4fe74dc3401a","20141216T04:59:22.624+0000","405159e2-4645-4105-896d-ffb55844b94f","20150222T20:59:29.159+0000","","d633b6b9-a89f-48c4-bb36-035fc5d7f7b5","Bleeker, P.","1849","Bijdrage tot de kennis der Percoïden van den Malayo-Molukschen Archipel, met beschrijving van 22 nieuwe soorten","1-64","","Verhandelingen van het Bataviaasch Genootschap van Kunsten en Wetenschappen","","","","<!--MARK--><a href='null38e7bf15-d79b-46e2-8254-cebc91c6bc67' class='mouseoverHref'>Bleeker, P. 1849. Bijdrage tot de kennis der Percoïden van den Malayo-Molukschen Archipel, met beschrijving van 22 nieuwe soorten.</a> <!--MARK--><!--MARK--><a href='nullef826ab9-eb71-4f3d-9a35-e1dee3093b54' class='mouseoverHref'><em>Verhandelingen van het Bataviaasch Genootschap van Kunsten en Wetenschappen</em></a> <strong>22</strong>: 1-64<!--MARK-->","","Article in Journal","38e7bf15-d79b-46e2-8254-cebc91c6bc67","20081009T05:11:37.000+0000","ef826ab9-eb71-4f3d-9a35-e1dee3093b54"
"","","Mulloidichthys","Mulloidichthys Whitley, 1929","","Mulloidichthys","","","","Synonym","synonym","Genus","<I>nom. nov.</I> for <I>Mulloides</I> Bleeker, 1849","Whitley","1929","Y","07e23052-033e-4010-a448-e161e4c6112f","20141216T04:59:22.624+0000","405159e2-4645-4105-896d-ffb55844b94f","20150222T20:59:29.159+0000","","6bb9461e-da58-4e79-90f2-a57b0cfed673","Whitley, G.P.","1929","Studies in Ichthyology No. 3","101-143 figs 1-5 pls 30-34","","Records of the Australian Museum","","","","<!--MARK--><a href='null2bf19d9f-641f-4a74-91d9-932f9c3a54a2' class='mouseoverHref'>Whitley, G.P. 1929. Studies in Ichthyology No. 3.</a> <!--MARK--><!--MARK--><a href='null7c07530b-0b38-44f5-8f95-368da97d6ac2' class='mouseoverHref'><em>Records of the Australian Museum</em></a> <strong>17</strong>(3): 101-143 figs 1-5 pls 30-34<!--MARK-->","","Article in Journal","2bf19d9f-641f-4a74-91d9-932f9c3a54a2","20081009T05:11:37.000+0000","7c07530b-0b38-44f5-8f95-368da97d6ac2"
"","37355019","flavolineatus","Mulloidichthys flavolineatus (Lacépède, 1801)","MULLIDAE","Mulloidichthys","","flavolineatus","","Valid Name","","Species","","Lacépède","1801","N","9eea27aa-a130-4278-b406-4eba58af6063","20150119T06:22:48.908+0000","e999fdfa-d066-45f3-a98b-0aa2587ab6e6","20150222T20:59:29.159+0000","405159e2-4645-4105-896d-ffb55844b94f","e999fdfa-d066-45f3-a98b-0aa2587ab6e6","","","","","","","","","","","","","","",""
