"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","MYZOSTOMIDAE","MYZOSTOMIDAE","MYZOSTOMIDAE","","","","","Valid Name","","Family","","","","Y","22b9edbb-8c55-4483-8673-8e3b050b085b","20151001T23:54:32.606+0000","ccf35139-b07c-43a0-8605-75a6f3712326","20151022T05:24:28.872+0000","bf0da022-7806-4f49-b823-6b086ebbd9f2","ccf35139-b07c-43a0-8605-75a6f3712326","","","","","","","","","","","","","","",""
"","","Mesomyzostoma","Mesomyzostoma Remscheid, 1919","MYZOSTOMIDAE","Mesomyzostoma","","","","Valid Name","","Genus","","Remscheid","1919","Y","6c56eb1a-ff52-47d2-9b3b-ea01d9dbd767","20151001T23:54:32.606+0000","e20163f8-907a-42cd-a161-15e126878fac","20151022T05:24:28.872+0000","ccf35139-b07c-43a0-8605-75a6f3712326","e20163f8-907a-42cd-a161-15e126878fac","","","","","","","","","","","","","","",""
"","","Mesomyzostoma","Mesomyzostoma Remscheid, 1919","MYZOSTOMIDAE","Mesomyzostoma","","","","Synonym","synonym","Genus","","Remscheid","1919","Y","fb520074-f95d-4a4f-9a7c-df494d7b49f9","20151001T23:54:32.606+0000","e20163f8-907a-42cd-a161-15e126878fac","20151022T05:24:28.872+0000","","c5f3a0c3-c5bf-4081-8bcd-99ef097e4954","Remscheid, E.","1918","Beiträge zur Kenntnis der Myzostomiden","179-226","","Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft","","","","<!--MARK--><a href='null0cf1e52e-46d0-44f7-8701-3146f96a012d' class='mouseoverHref'>Remscheid, E. 1918. Beiträge zur Kenntnis der Myzostomiden.</a> <!--MARK--><!--MARK--><a href='nullc837cea0-a318-4e95-8cd3-1f59a91095df' class='mouseoverHref'><em>Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft</em></a> <strong>35</strong>(2): 179-226<!--MARK-->","","Article in Journal","0cf1e52e-46d0-44f7-8701-3146f96a012d","20081009T05:11:37.000+0000","c837cea0-a318-4e95-8cd3-1f59a91095df"
"","","leukos","Mesomyzostoma leukos Rouse, Lanterbecq, Summers & Eeckhaut, 2015","MYZOSTOMIDAE","Mesomyzostoma","","leukos","","Valid Name","","Species","","Rouse, Lanterbecq, Summers & Eeckhaut","2015","Y","0a2dff30-156b-419f-acb3-673a207e8a5a","20151001T23:54:32.606+0000","54a3ef1d-cfbf-43cf-ad2e-20da56704302","20151022T05:24:28.872+0000","e20163f8-907a-42cd-a161-15e126878fac","54a3ef1d-cfbf-43cf-ad2e-20da56704302","","","","","","","","","","","","","","",""
"","","leukos","Mesomyzostoma leukos Rouse, Lanterbecq, Summers & Eeckhaut, 2015","MYZOSTOMIDAE","Mesomyzostoma","","leukos","","Synonym","synonym","Species","","Rouse, Lanterbecq, Summers & Eeckhaut","2015","Y","b3a3d79a-ef29-4be5-8526-74be6c294f4f","20151001T23:54:32.606+0000","54a3ef1d-cfbf-43cf-ad2e-20da56704302","20151022T05:24:28.872+0000","","6b66ee02-98e6-46f4-a8a8-b32d45fa1d22","Rouse, G.W., Lanterbecq, D., Summers, M.M. & Eeckhaut, I.","2015","Four new species of Mesomyzostoma (Myzostomida: Annelida)","","","Journal of Natural History","","","","<!--MARK--><a href='null1443f622-1354-4449-8ffb-905fee481472' class='mouseoverHref'>Rouse, G.W., Lanterbecq, D., Summers, M.M. & Eeckhaut, I. 2015. Four new species of Mesomyzostoma (Myzostomida: Annelida).</a> <!--MARK--><!--MARK--><a href='nullad79edeb-4c47-4124-a7ea-9bcbbce0efa4' class='mouseoverHref'><em>Journal of Natural History</em></a> <!--MARK-->","","Article in Journal","1443f622-1354-4449-8ffb-905fee481472","20150729T21:12:22.999+0000","ad79edeb-4c47-4124-a7ea-9bcbbce0efa4"
"","","reichenspergeri","Mesomyzostoma cf. reichenspergeri Remscheid, 1918","MYZOSTOMIDAE","Mesomyzostoma","","reichenspergeri","","Valid Name","","Species","","Remscheid","1918","Y","eb18d16c-71d8-4732-b08f-4ef8d0a789ad","20151022T05:24:28.872+0000","e825ed40-6135-4ac9-8b48-64eab03b0a0b","20151022T05:24:28.872+0000","e20163f8-907a-42cd-a161-15e126878fac","e825ed40-6135-4ac9-8b48-64eab03b0a0b","","","","","","","","","","","","","","",""
"","","reichenspergeri","Mesomyzostoma reichenspergeri Remscheid, 1918","MYZOSTOMIDAE","Mesomyzostoma","","reichenspergeri","","Synonym","synonym","Species","","Remscheid","1918","Y","534b7277-062c-4fc6-8836-13b3ee42f8e9","20151001T23:54:32.606+0000","e825ed40-6135-4ac9-8b48-64eab03b0a0b","20151022T05:24:28.872+0000","","dbd5b495-ba70-4dbd-8b4c-671e8b0ed146","Remscheid, E.","1918","Beiträge zur Kenntnis der Myzostomiden","179-226","","Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft","","","","<!--MARK--><a href='null0cf1e52e-46d0-44f7-8701-3146f96a012d' class='mouseoverHref'>Remscheid, E. 1918. Beiträge zur Kenntnis der Myzostomiden.</a> <!--MARK--><!--MARK--><a href='nullc837cea0-a318-4e95-8cd3-1f59a91095df' class='mouseoverHref'><em>Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft</em></a> <strong>35</strong>(2): 179-226<!--MARK-->","","Article in Journal","0cf1e52e-46d0-44f7-8701-3146f96a012d","20081009T05:11:37.000+0000","c837cea0-a318-4e95-8cd3-1f59a91095df"
"","","botulus","Mesomyzostoma botulus Rouse, Lanterbecq, Summers & Eeckhaut, 2015","MYZOSTOMIDAE","Mesomyzostoma","","botulus","","Valid Name","","Species","","Rouse, Lanterbecq, Summers & Eeckhaut","2015","Y","90db729f-e8ee-4457-81aa-3720803d8a8e","20151022T05:24:28.872+0000","3714b571-e0f2-4700-9773-e4e01f551d38","20151022T05:24:28.872+0000","e20163f8-907a-42cd-a161-15e126878fac","3714b571-e0f2-4700-9773-e4e01f551d38","","","","","","","","","","","","","","",""
"","","botulus","Mesomyzostoma botulus Rouse, Lanterbecq, Summers & Eeckhaut, 2015","MYZOSTOMIDAE","Mesomyzostoma","","botulus","","Synonym","synonym","Species","","Rouse, Lanterbecq, Summers & Eeckhaut","2015","Y","637d0583-00a6-405d-8629-81659dd96cd3","20151001T23:54:32.606+0000","3714b571-e0f2-4700-9773-e4e01f551d38","20151022T05:24:28.872+0000","","2e75f674-01cb-4340-bee5-9ec9c17112d0","Rouse, G.W., Lanterbecq, D., Summers, M.M. & Eeckhaut, I.","2015","Four new species of Mesomyzostoma (Myzostomida: Annelida)","","","Journal of Natural History","","","","<!--MARK--><a href='null1443f622-1354-4449-8ffb-905fee481472' class='mouseoverHref'>Rouse, G.W., Lanterbecq, D., Summers, M.M. & Eeckhaut, I. 2015. Four new species of Mesomyzostoma (Myzostomida: Annelida).</a> <!--MARK--><!--MARK--><a href='nullad79edeb-4c47-4124-a7ea-9bcbbce0efa4' class='mouseoverHref'><em>Journal of Natural History</em></a> <!--MARK-->","","Article in Journal","1443f622-1354-4449-8ffb-905fee481472","20150729T21:12:22.999+0000","ad79edeb-4c47-4124-a7ea-9bcbbce0efa4"
"","","lobus","Mesomyzostoma lobus Rouse, Lanterbecq, Summers & Eeckhaut, 2015","MYZOSTOMIDAE","Mesomyzostoma","","lobus","","Valid Name","","Species","","Rouse, Lanterbecq, Summers & Eeckhaut","2015","Y","c9e1fd31-9f43-4e07-b87a-037cae4cf6f5","20151022T05:24:28.872+0000","36fd844f-8d17-4fa6-b193-dce3038858f6","20151022T05:24:28.872+0000","e20163f8-907a-42cd-a161-15e126878fac","36fd844f-8d17-4fa6-b193-dce3038858f6","","","","","","","","","","","","","","",""
