"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","PYRALIDAE","PYRALIDAE","","","","","","Valid Name","","Family","","","","Y","351475b6-8c97-4084-bd3c-487aefe178e7","20140119T23:03:41.649+0000","6b4ec7ef-cd76-42a6-87d8-5a58c07f0019","20140119T23:03:41.649+0000","305f0016-5803-46bf-8388-bf726945ec76","6b4ec7ef-cd76-42a6-87d8-5a58c07f0019","","","","","","","","","","","","","","",""
"","","GALLERIINAE","GALLERIINAE","PYRALIDAE","","","","","Valid Name","","Subfamily","","","","Y","b5d2f539-13f8-4de3-80dd-4ef29378a635","20120927T00:50:54.246+0000","57e9d52c-dc6b-4adb-881f-2960f1060517","20121003T00:14:29.675+0000","6b4ec7ef-cd76-42a6-87d8-5a58c07f0019","57e9d52c-dc6b-4adb-881f-2960f1060517","","","","","","","","","","","","","","",""
"","","Macrothecinae","Macrothecinae","Macrothecinae","","","","","Synonym","synonym","Subfamily","","","","Y","e4a63fe3-badc-4379-9bf8-b0c654a27758","20120927T00:50:54.246+0000","57e9d52c-dc6b-4adb-881f-2960f1060517","20121003T00:14:29.675+0000","","","","","","","","","","","","","","","","",""
"","","Thalamorrhyncha","Thalamorrhyncha Meyrick, 1933","PYRALIDAE","Thalamorrhyncha","","","","Valid Name","","Genus","","Meyrick","1933","Y","e41622c0-7862-42be-add2-cfaa4b28f38c","20120927T00:50:54.246+0000","f7137e12-4f4f-4b4a-9a96-8879ddc91bf6","20121003T00:14:29.675+0000","57e9d52c-dc6b-4adb-881f-2960f1060517","f7137e12-4f4f-4b4a-9a96-8879ddc91bf6","","","","","","","","","","","","","","",""
"","","Thalamorrhyncha","Thalamorrhyncha Meyrick, 1933","PYRALIDAE","Thalamorrhyncha","","","","Synonym","synonym","Genus","","Meyrick","1933","Y","8b0d4ba5-3d98-4794-8ca8-5a26bcea998a","20120927T00:50:54.246+0000","f7137e12-4f4f-4b4a-9a96-8879ddc91bf6","20121003T00:14:29.675+0000","","053f618e-ed88-49b7-9a9c-9adc9215a159","Meyrick, E.","1933","<i>Exotic Microlepidoptera</i>","","","","","","","<!--MARK--><a href='null8b259f6a-3280-4286-9f80-4fa73c5a9e3d' class='mouseoverHref'>Meyrick, E. 1933. <i>Exotic Microlepidoptera</i>. Vol. <B>4</B>(12-14): 353-384, 385-416, 417-448.</a>","","Miscellaneous","8b259f6a-3280-4286-9f80-4fa73c5a9e3d","20120306T21:50:37.271+0000",""
"","","Hypoulacistis","Hypoulacistis Meyrick, 1934","","Hypoulacistis","","","","Synonym","synonym","Genus","","Meyrick","1934","Y","7ebeafad-f34b-424d-89a7-b4a32a3cc016","20120927T00:50:54.246+0000","f7137e12-4f4f-4b4a-9a96-8879ddc91bf6","20121003T00:14:29.675+0000","","","","","","","","","","","","","","","","",""
"","","Cleticaula","Cleticaula Meyrick, 1937","","Cleticaula","","","","Synonym","synonym","Genus","","Meyrick","1937","Y","b5d33cf6-ea81-4850-a63b-7994edf9d528","20120927T00:50:54.246+0000","f7137e12-4f4f-4b4a-9a96-8879ddc91bf6","20121003T00:14:29.675+0000","","","","","","","","","","","","","","","","",""
"","","isoneura","Thalamorrhyncha isoneura Meyrick, 1933","PYRALIDAE","Thalamorrhyncha","","isoneura","","Valid Name","","Species","","Meyrick","1933","Y","6d9abfb5-403b-417b-a68d-f0ef2715c6c2","20120927T00:50:54.246+0000","bf437941-26a9-404a-8f2a-92539d7ea489","20121003T00:14:29.675+0000","f7137e12-4f4f-4b4a-9a96-8879ddc91bf6","bf437941-26a9-404a-8f2a-92539d7ea489","","","","","","","","","","","","","","",""
"","","isoneura","Thalamorrhyncha isoneura Meyrick, 1933","PYRALIDAE","Thalamorrhyncha","","isoneura","","Synonym","synonym","Species","","Meyrick","1933","Y","57361cfd-197e-4e05-bcae-3b9a0ceae327","20120927T00:50:54.246+0000","bf437941-26a9-404a-8f2a-92539d7ea489","20121003T00:14:29.675+0000","","50e82b9d-94f7-43ee-b7d9-b0e7a4a1d5f2","Meyrick, E.","1933","<i>Exotic Microlepidoptera</i>","","","","","","","<!--MARK--><a href='null8b259f6a-3280-4286-9f80-4fa73c5a9e3d' class='mouseoverHref'>Meyrick, E. 1933. <i>Exotic Microlepidoptera</i>. Vol. <B>4</B>(12-14): 353-384, 385-416, 417-448.</a>","","Miscellaneous","8b259f6a-3280-4286-9f80-4fa73c5a9e3d","20120306T21:50:37.271+0000",""
"","","synchytopa","Thalamorrhyncha synchytopa Meyrick, 1933","","Thalamorrhyncha","","synchytopa","","Synonym","synonym","Species","","Meyrick","1933","Y","7076c0a6-7b12-4fb4-b8b9-025abf0d07cd","20120927T00:50:54.246+0000","bf437941-26a9-404a-8f2a-92539d7ea489","20121003T00:14:29.675+0000","","","","","","","","","","","","","","","","",""
