"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Paipalesomini","Paipalesomini Marshall, 1932","CURCULIONIDAE","","","","","Valid Name","","Tribe","","Marshall","1932","Y","72fadd2e-8c00-40c8-8a03-ede209a2529b","20150215T23:15:44.918+0000","ae80e822-9195-4d5e-a95f-bd5505c13394","20180111T23:43:36.630+0000","80ebce18-6c9f-4b2a-808c-8d4e7fdbccce","ae80e822-9195-4d5e-a95f-bd5505c13394","","","","","","","","","","","","","","",""
"","","Peribleptus","Peribleptus Schoenherr, 1843","CURCULIONIDAE","Peribleptus","","","","Valid Name","","Genus","","Schoenherr","1843","Y","fc6b761b-1294-4f5f-aa9b-28b5225bcc99","20150215T23:15:44.918+0000","4ad68ba6-69d6-41a6-9e64-64685ee5c5be","20180111T23:43:36.630+0000","ae80e822-9195-4d5e-a95f-bd5505c13394","4ad68ba6-69d6-41a6-9e64-64685ee5c5be","","","","","","","","","","","","","","",""
"","","Peribleptus","Peribleptus Schoenherr, 1843","","Peribleptus","","","","Synonym","synonym","Genus","","Schoenherr","1843","Y","d9e1d108-9279-4f79-8403-e30ece594829","20150215T23:15:44.918+0000","4ad68ba6-69d6-41a6-9e64-64685ee5c5be","20180111T23:43:36.630+0000","","9b5a0e5d-77d5-4373-acb4-1a0102824411","Boheman, C.H. in Schoenherr, C.J.","1843","<i>Genera et species curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. Leonardo Gyllenhal, C.H. Boheman, et entomologis aliis illustratae</i>","pp. 1-461","","","","","","<!--MARK--><a href='nulld7031bf6-c3ef-4098-bc0d-0e1224246924' class='mouseoverHref'>Boheman, C.H. <i>in</i> Schoenherr, C.J. 1843. <i>Genera et species curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. Leonardo Gyllenhal, C.H. Boheman, et entomologis aliis illustratae</i>. Paris : Roret Vol. 7(2). pp. 1-461</a>","","Miscellaneous","d7031bf6-c3ef-4098-bc0d-0e1224246924","20120529T02:47:15.225+0000",""
"","","Paipalesomus","Paipalesomus Schoenherr, 1847","","Paipalesomus","","","","Synonym","subjective synonym","Genus","","Schoenherr","1847","Y","6ae8bfb5-c835-4b6b-992d-d052882f18f8","20150215T23:15:44.918+0000","4ad68ba6-69d6-41a6-9e64-64685ee5c5be","20180111T23:43:36.630+0000","","b7394826-6d79-4a34-8722-91a71686b830","Schoenherr, C.J.","1847","Mantissa secunda familiae curculionidum seu descriptiones novorum quorundam generum curculionidum.","pp. 1-86","","","","","","<!--MARK--><a href='null2fa833d4-b4d1-439a-a775-6317e01be03a' class='mouseoverHref'>Schoenherr, C.J. 1847. <em>Mantissa secunda familiae curculionidum seu descriptiones novorum quorundam generum curculionidum</em>. Holmiae pp. 1-86.</a><!--MARK-->","","Book","2fa833d4-b4d1-439a-a775-6317e01be03a","20111017T04:30:43.358+0000",""
"","","Tenguzo","Tenguzo Kôno, 1929","","Tenguzo","","","","Synonym","subjective synonym","Genus","","Kôno","1929","Y","7bb02344-e33b-4b27-9ad8-f98ac2e0a283","20150215T23:15:44.918+0000","4ad68ba6-69d6-41a6-9e64-64685ee5c5be","20180111T23:43:36.630+0000","","ad2742da-1112-49e6-a8fe-611e2ceaf35b","Kôno, H.","1929","Die Cleoninen Japans (Col., Curc.)","49-63","","Insecta Matsumurana","","","","<!--MARK--><a href='null98828cad-3222-4c40-bcdb-d73314248fe5' class='mouseoverHref'>Kôno, H. 1929. Die Cleoninen Japans (Col., Curc.).</a> <!--MARK--><!--MARK--><a href='nullee98a19d-8f14-4966-84fe-0688bb1a97f5' class='mouseoverHref'><em>Insecta Matsumurana</em></a> <strong>4</strong>(1-2): 49-63<!--MARK-->","","Article in Journal","98828cad-3222-4c40-bcdb-d73314248fe5","20120905T03:33:47.090+0000","ee98a19d-8f14-4966-84fe-0688bb1a97f5"
"","","dealbatus","Peribleptus dealbatus (Boisduval, 1835)","CURCULIONIDAE","Peribleptus","","dealbatus","","Valid Name","","Species","","Boisduval","1835","N","94a2ea9d-6ee2-40b1-a68b-6488981688d7","20150215T23:15:44.918+0000","0a9fdc4e-fb61-4eab-b364-2b96a74249b7","20180111T23:43:36.630+0000","4ad68ba6-69d6-41a6-9e64-64685ee5c5be","0a9fdc4e-fb61-4eab-b364-2b96a74249b7","","","","","","","","","","","","","","",""
"","","dealbatus","Alcides dealbatus Boisduval, 1835","","Alcides","","dealbatus","","Synonym","synonym","Species","","Boisduval","1835","Y","09d2d3a6-909b-425a-b2d2-e3136555db32","20150215T23:15:44.918+0000","0a9fdc4e-fb61-4eab-b364-2b96a74249b7","20180111T23:43:36.630+0000","","43df7b13-f8d5-42cf-9b9f-48d5bf225176","Boisduval, J.A.","1835","Voyage de Découvertes de l'<i>Astrolabe</i> exécuté par ordre du Roi, pendant les années 1826-1827-1828-1829, sous le commandement de M.J. Dumont d'Urville. Faune Entomologique de l'Océan Pacifique, avec l'illustration des insectes nouveaux recueillis pendant le voyage. 2me Partie. Coléoptères et autres Ordres","vii 716 pp.","","","","27-III-1835","J. Tastu","<!--MARK--><a href='nullf3f620b1-a19c-439c-88b6-243e5593b6bf' class='mouseoverHref'>Boisduval, J.A. 1835. <em>Voyage de Découvertes de l'<i>Astrolabe</i> exécuté par ordre du Roi, pendant les années 1826-1827-1828-1829, sous le commandement de M.J. Dumont d'Urville. Faune Entomologique de l'Océan Pacifique, avec l'illustration des insectes nouveaux recueillis pendant le voyage. 2me Partie. Coléoptères et autres Ordres</em>. Paris : J. Tastu vii 716 pp.</a><!--MARK--> [Date published 27-III-1835]","","Book","f3f620b1-a19c-439c-88b6-243e5593b6bf","20110901T05:19:23.377+0000",""
"","","pistriarius","Paipalesomus pistriarius Schoenherr, 1847","","Paipalesomus","","pistriarius","","Synonym","synonym","Species","","Schoenherr","1847","Y","ec8ba9d1-2839-4752-8b6d-b108eee19cca","20150408T01:27:31.176+0000","0a9fdc4e-fb61-4eab-b364-2b96a74249b7","20180111T23:43:36.630+0000","","5991e068-446d-488f-9e82-d0b5d2d6a39f","Schoenherr, C.J.","1847","Mantissa secunda familiae curculionidum seu descriptiones novorum quorundam generum curculionidum.","pp. 1-86","","","","","","<!--MARK--><a href='null2fa833d4-b4d1-439a-a775-6317e01be03a' class='mouseoverHref'>Schoenherr, C.J. 1847. <em>Mantissa secunda familiae curculionidum seu descriptiones novorum quorundam generum curculionidum</em>. Holmiae pp. 1-86.</a><!--MARK-->","","Book","2fa833d4-b4d1-439a-a775-6317e01be03a","20111017T04:30:43.358+0000",""
"","","notatus","Alcides notatus Hombron & Jacquinot, 1847","","Alcides","","notatus","","Synonym","synonym","Species","","Hombron & Jacquinot","1847","Y","d07992ce-81ce-4bc6-8d54-e22c26812da7","20150408T01:27:31.176+0000","0a9fdc4e-fb61-4eab-b364-2b96a74249b7","20180111T23:43:36.630+0000","","0679a2b3-9154-4c05-9f20-241df84e1a93","Hombron, J.B. & Jacquinot, H.","1847","Voyage au Pole Sud et dans l'Océanie sur les corvettes l'Astrolabe et la Zélée; exécuté par ordre du Roi pendant les années 1837-1828-1839-1840, sous le commandement de M. J. Dumont d'Urville, capitaine de vaisseau; publié par ordre du government, sous la direction supérieure de M. Jacquinot, capitaine de vasseau, commandant de la Zélée. Vingt-deuxième livraison. Atlas d'Histoire Naturelle.","[total page number not cited]","","","","","Gide & Baudry","<!--MARK--><a href='null52ab166d-0760-45d8-a62c-8339ac2c6cc8' class='mouseoverHref'>Hombron, J.B. & Jacquinot, H. 1847. <em>Voyage au Pole Sud et dans l'Océanie sur les corvettes l'Astrolabe et la Zélée; exécuté par ordre du Roi pendant les années 1837-1828-1839-1840, sous le commandement de M. J. Dumont d'Urville, capitaine de vaisseau; publié par ordre du government, sous la direction supérieure de M. Jacquinot, capitaine de vasseau, commandant de la Zélée. Vingt-deuxième livraison. Atlas d'Histoire Naturelle</em>. Paris : Gide & Baudry [total page number not cited].</a><!--MARK-->","","Book","52ab166d-0760-45d8-a62c-8339ac2c6cc8","20150408T01:26:59.103+0000",""
"","","decemmaculatus","Peribleptus decemmaculatus Chevrolat, 1871","","Peribleptus","","decemmaculatus","","Synonym","synonym","Species","","Chevrolat","1871","Y","bb67553b-9320-4879-b1db-d4083d02a3dd","20150408T01:28:59.501+0000","0a9fdc4e-fb61-4eab-b364-2b96a74249b7","20180111T23:43:36.630+0000","","6c692dc3-d6e0-4c81-9fb2-a13020f2f756","Chevrolat, L.A.A.","1871","Description de six coléoptères exotiques éclos a Paris","5-8","","Annales de la Société Entomologique de Belgique","","","","<!--MARK--><a href='null7b941dbd-42a4-43ef-a2f4-4bfac644cc57' class='mouseoverHref'>Chevrolat, L.A.A. 1871. Description de six coléoptères exotiques éclos a Paris.</a> <!--MARK--><!--MARK--><a href='null2880594b-9c24-4bbb-a9a9-e57974e121a1' class='mouseoverHref'><em>Annales de la Société Entomologique de Belgique</em></a> <strong>14</strong>: 5-8<!--MARK-->","","Article in Journal","7b941dbd-42a4-43ef-a2f4-4bfac644cc57","20120523T21:41:51.969+0000","2880594b-9c24-4bbb-a9a9-e57974e121a1"
