"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Prionapteryx","Prionapteryx Stephens, 1834","CRAMBIDAE","Prionapteryx","","","","Valid Name","","Genus","","Stephens","1834","Y","aa039665-5676-4c0d-9e31-d1a578bc7a82","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","35b91342-bcdc-4d8e-a827-02e979bfd58a","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","","","","","","","","","","","","","","",""
"","","Prionapteryx","Prionapteryx Stephens, 1834","","Prionapteryx","","","","Synonym","synonym","Genus","","Stephens","1834","Y","fe7c606a-7f06-437a-bb59-b1bab79227ef","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","5316b4a1-4149-4f68-a707-b1134dadb4b8","Stephens, J.F.","1834","Illustrations of British Entomology (Haustellata)","","","","","","Baldwin & Craddock","<!--MARK--><a href='null7d7c451e-590c-4c53-88ec-6057305d78aa' class='mouseoverHref'>Stephens, J.F. 1834. <em>Illustrations of British Entomology (Haustellata)</em>. London : Baldwin & Craddock Vol. 4.</a><!--MARK-->","","Book","7d7c451e-590c-4c53-88ec-6057305d78aa","20081009T05:11:37.000+0000",""
"","","Prionopteryx","Prionopteryx Zeller, 1863","","Prionopteryx","","","","Synonym","synonym","Genus","unjustified emendation of <I>Prionapteryx </I>Stephens, 1834","Zeller","1863","Y","21962cad-175b-420f-8da5-46bd07a9c03d","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","94bd5ec6-7dab-4a42-b44e-eb74f1a81c14","Zeller, P.C.","1863","Chilonidarum et Crambidarum genera et species","iv+56 pp.","","","","","","<!--MARK--><a href='nullb93c1e42-9423-4dc2-9ad2-7f606a81a6ed' class='mouseoverHref'>Zeller, P.C. 1863. Chilonidarum et Crambidarum genera et species. Berolini. iv+56 pp.</a>","","Miscellaneous","b93c1e42-9423-4dc2-9ad2-7f606a81a6ed","20081009T05:11:37.000+0000",""
"","","Surattha","Surattha Walker, 1863","","Surattha","","","","Synonym","synonym","Genus","","Walker","1863","Y","2b78dcc3-4303-4583-987d-1282c526fb07","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","73777570-711c-4043-bd3e-85ac78d6e63a","Walker, F.","1863","Crambites & Tortricites","1-286","","List of the Specimens of Lepidopterous Insects in the Collection of the British Museum","","","","<!--MARK--><a href='nulldab9c274-672c-4ed8-9844-45970e16886d' class='mouseoverHref'>Walker, F. 1863. Crambites & Tortricites.</a> <!--MARK--><!--MARK--><a href='null642c8f2c-b31c-4c9f-9ca3-4c940f907155' class='mouseoverHref'><em>List of the Specimens of Lepidopterous Insects in the Collection of the British Museum</em></a> <strong>27</strong>: 1-286<!--MARK-->","","Article in Journal","dab9c274-672c-4ed8-9844-45970e16886d","20081009T05:11:37.000+0000","642c8f2c-b31c-4c9f-9ca3-4c940f907155"
"","","Pindicitora","Pindicitora Walker, 1863","","Pindicitora","","","","Synonym","synonym","Genus","","Walker","1863","Y","9fc94123-f762-4479-9bf3-9982f2f2c53f","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","703dca82-3eda-4dfe-a914-1bb36e696f84","Walker, F.","1863","Crambites & Tortricites","1-286","","List of the Specimens of Lepidopterous Insects in the Collection of the British Museum","","","","<!--MARK--><a href='nulldab9c274-672c-4ed8-9844-45970e16886d' class='mouseoverHref'>Walker, F. 1863. Crambites & Tortricites.</a> <!--MARK--><!--MARK--><a href='null642c8f2c-b31c-4c9f-9ca3-4c940f907155' class='mouseoverHref'><em>List of the Specimens of Lepidopterous Insects in the Collection of the British Museum</em></a> <strong>27</strong>: 1-286<!--MARK-->","","Article in Journal","dab9c274-672c-4ed8-9844-45970e16886d","20081009T05:11:37.000+0000","642c8f2c-b31c-4c9f-9ca3-4c940f907155"
"","","Nuarace","Nuarace Walker, 1863","","Nuarace","","","","Synonym","synonym","Genus","","Walker","1863","Y","208f11ac-86c3-4597-97af-694d75adb5de","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","","","","","","","","","","","","","","","",""
"","","Calarina","Calarina Walker, 1866","","Calarina","","","","Synonym","synonym","Genus","","Walker","1866","Y","ba36095e-ca56-42d8-ac34-bb3c82b4d45e","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","","","","","","","","","","","","","","","",""
"","","Hypotomorpha","Hypotomorpha Rebel, 1892","","Hypotomorpha","","","","Synonym","synonym","Genus","","Rebel","1892","Y","626e7b39-5afd-4d81-90e4-e3329e1762a5","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","","","","","","","","","","","","","","","",""
"","","Platytesia","Platytesia Strand, 1919","","Platytesia","","","","Synonym","synonym","Genus","","Strand","1919","Y","17fa8d98-5d24-458a-b89b-24b9c999ce3c","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","7e4cb24c-7692-4e96-914c-3789fab56714","Strand, E. H.","1919","Sauter's Formosa-Ausbeute: Pyralididae, Subfam. Galleriinae, Crambinae, Schoenobiinae, Anerastiinae und Phycitinae","248-276","","Stettiner Entomologische Zeitung","","","","<!--MARK--><a href='null0ef72c19-2dc6-4c2a-8fd4-dac1e863e158' class='mouseoverHref'>Strand, E. H. 1919. Sauter's Formosa-Ausbeute: Pyralididae, Subfam. Galleriinae, Crambinae, Schoenobiinae, Anerastiinae und Phycitinae.</a> <!--MARK--><!--MARK--><a href='null465e4fb4-3888-447c-909a-af4f7a23b95d' class='mouseoverHref'><em>Stettiner Entomologische Zeitung</em></a> <strong>79</strong>: 248-276<!--MARK-->","","Article in Journal","0ef72c19-2dc6-4c2a-8fd4-dac1e863e158","20081009T05:11:37.000+0000","465e4fb4-3888-447c-909a-af4f7a23b95d"
"","","Alloea","Alloea Turner, 1947","","Alloea","","","","Synonym","synonym","Genus","junior homonym of <I>Alloea</I> Haliday, 1833","Turner","1947","Y","f91e490c-b463-4158-b512-d5fa6dcdd5cc","20120927T01:05:06.383+0000","85eabb9b-9ec4-4aba-ac17-1f7b9d610cac","20121003T00:14:29.675+0000","","b0f2aff3-8140-400c-9931-abac6399b659","Turner, A.J.","1947","A revision of the Australian Phycitidae. Part I","28-53","","Transactions of the Royal Society of South Australia","","","","<!--MARK--><a href='nullee108908-9b6d-45f4-8543-08319ef83867' class='mouseoverHref'>Turner, A.J. 1947. A revision of the Australian Phycitidae. Part I.</a> <!--MARK--><!--MARK--><a href='null8b48b0a3-dd7a-4aea-be0d-10a223710ebc' class='mouseoverHref'><em>Transactions of the Royal Society of South Australia</em></a> <strong>71</strong>: 28-53<!--MARK-->","","Article in Journal","ee108908-9b6d-45f4-8543-08319ef83867","20081009T05:11:37.000+0000","8b48b0a3-dd7a-4aea-be0d-10a223710ebc"
