"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","SOLENOCERIDAE","SOLENOCERIDAE Woodmason, 1891","SOLENOCERIDAE","","","","","Valid Name","","Family","","Woodmason","1891","Y","bedfc89f-1a1d-4fb3-b0ea-f65efdbbb711","20160211T23:55:17.499+0000","187de109-9a5e-4980-99b3-1b866735c91d","20170323T22:57:19.513+0000","6e3e170d-3a76-4f1f-9935-c46c4615fc8f","187de109-9a5e-4980-99b3-1b866735c91d","","","","","","","","","","","","","","",""
"","","Solenocerinae","Solenocerinae Wood-Mason, 1891","Solenocerinae","","","","","Synonym","synonym","Family","as Solenocerina; name in the corrected spelling, Solenocerinae, placed on the Official List of Family-Group Names in Zoology, see International Commission on Zoological Nomenclature 1961. Opinion 611. <I>Parapenaeus </I>S.I. Smith, 1885 (Crustacea, Decapoda); validation under the Plenary Powers and interpretation of <I>Peneus membranaceus</I> Risso, 1816. <em>Bulletin of Zoological Nomenclature</em> <strong>18</strong>(5): 306-308 (307)","Wood-Mason","1891","Y","70cc5d4d-14f0-432d-9e90-0b1fbd6548b4","20160211T23:55:17.499+0000","187de109-9a5e-4980-99b3-1b866735c91d","20170323T22:57:19.513+0000","","df6e876b-316b-4c00-bcf7-c27f2ad09b18","Wood-Mason, J.","1891","Phylum Appendiculata. Branch Arthropoda. Class Crustacea. <i>In</i> Wood-Mason, J. & Alcock, A., Natural history notes from H.M. Indian marine survey steamer Investigator, Commander R.F. Hoskyn, R.N., commanding. No. 21. Note on the results of deep sea dredging during the season 1890-91","269-286","","Annals and Magazine of Natural History","","October 1891","","<!--MARK--><a href='null933a3041-7d2a-4c67-864d-008d53def139' class='mouseoverHref'>Wood-Mason, J. 1891. Phylum Appendiculata. Branch Arthropoda. Class Crustacea. <i>In</i> Wood-Mason, J. & Alcock, A., Natural history notes from H.M. Indian marine survey steamer Investigator, Commander R.F. Hoskyn, R.N., commanding. No. 21. Note on the results of deep sea dredging during the season 1890-91.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 6 <strong>8</strong>: 269-286<!--MARK--> [Date published October 1891]","","Article in Journal","933a3041-7d2a-4c67-864d-008d53def139","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","Cryptopenaeus","Cryptopenaeus de Freitas, 1979","SOLENOCERIDAE","Cryptopenaeus","","","","Valid Name","","Genus","","de Freitas","1979","Y","e9236823-f0a9-47ac-b7b8-a155f0bfbaf9","20170323T22:57:19.513+0000","e8385ad1-ad5e-4467-ba9d-f882efd923b0","20170323T22:57:19.513+0000","187de109-9a5e-4980-99b3-1b866735c91d","e8385ad1-ad5e-4467-ba9d-f882efd923b0","","","","","","","","","","","","","","",""
"","","Cryptopenaeus","Cryptopenaeus de Freitas, 1979","","Cryptopenaeus","","","","Synonym","synonym","Genus","","de Freitas","1979","Y","0e3d554b-b220-4d89-b67b-d805e6829de5","20160211T23:55:17.499+0000","e8385ad1-ad5e-4467-ba9d-f882efd923b0","20170323T22:57:19.513+0000","","2336a29d-4e36-4e5d-8f2c-ab5adcb75d19","Freitas, A.J. de","1979","A new genus and species of the penaeoid family Solenoceridae (Crustacea, Decapoda) from south-east African waters","123-131","","Annals of the South African Museum","","","","<!--MARK--><a href='null82689134-0f87-48e7-a0e4-1340d79701bc' class='mouseoverHref'>Freitas, A.J. de 1979. A new genus and species of the penaeoid family Solenoceridae (Crustacea, Decapoda) from south-east African waters.</a> <!--MARK--><!--MARK--><a href='null8c2350a6-85ef-47ed-a482-de59dc6ad9ba' class='mouseoverHref'><em>Annals of the South African Museum</em></a> <strong>77</strong>: 123-131<!--MARK-->","","Article in Journal","82689134-0f87-48e7-a0e4-1340d79701bc","20081009T05:11:37.000+0000","8c2350a6-85ef-47ed-a482-de59dc6ad9ba"
"","","Crassipenaeus","Crassipenaeus Liu & Zhong, 1983","","Crassipenaeus","","","","Synonym","synonym","Genus","","Liu & Zhong","1983","Y","4f8d393b-889f-44aa-9d16-831dfa0f3db9","20160211T23:55:17.499+0000","e8385ad1-ad5e-4467-ba9d-f882efd923b0","20170323T22:57:19.513+0000","","be3f72d5-057b-4120-9894-7b1153485309","Liu, J.Y. & Zhong, Z.","1983","On a new genus and two new species of solenocerid shrimps (Crustacea, Penaeoides) from South China Sea","171-591","","Chinese Journal of Oceanology and Limnology","","","","<!--MARK--><a href='null6f57f9a4-3621-47ee-96c6-af6953a51bd0' class='mouseoverHref'>Liu, J.Y. & Zhong, Z. 1983. On a new genus and two new species of solenocerid shrimps (Crustacea, Penaeoides) from South China Sea.</a> <!--MARK--><!--MARK--><a href='nullb6334d9f-1aa3-46ca-83a6-b457374c7744' class='mouseoverHref'><em>Chinese Journal of Oceanology and Limnology</em></a> <strong>1</strong>: 171-591<!--MARK-->","","Article in Journal","6f57f9a4-3621-47ee-96c6-af6953a51bd0","20081009T05:11:37.000+0000","b6334d9f-1aa3-46ca-83a6-b457374c7744"
"","","clevai","Cryptopenaeus clevai Crosnier, 1984","SOLENOCERIDAE","Cryptopenaeus","","clevai","","Valid Name","","Species","","Crosnier","1984","Y","a4b11293-1aaf-490a-aa1f-f6a7fccd7598","20160211T23:55:17.499+0000","7ad151eb-2b57-487a-923d-6deb43b6a69f","20170323T22:57:19.513+0000","e8385ad1-ad5e-4467-ba9d-f882efd923b0","7ad151eb-2b57-487a-923d-6deb43b6a69f","","","","","","","","","","","","","","",""
"","","Red Coral Prawn","","","","","","","Common Name","General","Species","","","","","9198ced3-16b8-4ad6-9c50-4ea73d6ed36a","20160211T23:55:17.499+0000","7ad151eb-2b57-487a-923d-6deb43b6a69f","20170323T22:57:19.513+0000","","","","","","","","","","","","","","","","",""
"","","clevai","Cryptopenaeus clevai Crosnier, 1984","","Cryptopenaeus","","clevai","","Synonym","synonym","Species","","Crosnier","1984","Y","8a7a8262-e668-4b28-979e-c23ed370a52a","20160211T23:55:17.499+0000","7ad151eb-2b57-487a-923d-6deb43b6a69f","20170323T22:57:19.513+0000","","14f9e804-3241-47ae-ba6f-ebec20a52c66","Crosnier, A.","1984","Penaeoid shrimps (Benthesicymidae, Aristeidae, Solenoceridae, Sicyonidae) collected in Indonesia during the Corindon II and IV Expeditions","19-47","","Marine Research in Indonesia","","","","<!--MARK--><a href='null83a081d5-42bd-4da8-99c1-c446f2d432a1' class='mouseoverHref'>Crosnier, A. 1984. Penaeoid shrimps (Benthesicymidae, Aristeidae, Solenoceridae, Sicyonidae) collected in Indonesia during the Corindon II and IV Expeditions.</a> <!--MARK--><!--MARK--><a href='nullcbc4d3a0-f5ff-47c4-a4d7-b14db3114c13' class='mouseoverHref'><em>Marine Research in Indonesia</em></a> <strong>24</strong>: 19-47<!--MARK-->","","Article in Journal","83a081d5-42bd-4da8-99c1-c446f2d432a1","20081009T05:11:37.000+0000","cbc4d3a0-f5ff-47c4-a4d7-b14db3114c13"
"","","crosnieri","Cryptopenaeus crosnieri Pérez Farfante & Kensley, 1985","SOLENOCERIDAE","Cryptopenaeus","","crosnieri","","Valid Name","","Species","","Pérez Farfante & Kensley","1985","Y","18ec9211-53ee-44c2-b0ad-d2fb9fcc125b","20160211T23:55:17.499+0000","3dc9307b-b20f-4d2b-a9bf-48023dbdcb45","20170323T22:57:19.513+0000","e8385ad1-ad5e-4467-ba9d-f882efd923b0","3dc9307b-b20f-4d2b-a9bf-48023dbdcb45","","","","","","","","","","","","","","",""
"","","crosnieri","Cryptopenaeus crosnieri Pérez Farfante & Kensley, 1985","","Cryptopenaeus","","crosnieri","","Synonym","synonym","Species","","Pérez Farfante & Kensley","1985","Y","85e26a3a-70fb-4bd3-a250-924e0d49e665","20160211T23:55:17.499+0000","3dc9307b-b20f-4d2b-a9bf-48023dbdcb45","20170323T22:57:19.513+0000","","d0c03592-0182-450b-bf7e-2323875265a1","Pérez Farfante, I. & Kensley, B.","1985","<i>Cryptopenaeus crosnieri</i>, a new species of shrimp, and a new record of <i>C. sinensis</i> (Penaeoidea: Solenoceridae) from Australian waters","281-287","","Proceedings of the Biological Society of Washington","","","","<!--MARK--><a href='null005938fc-f468-4d6c-a360-975db3637095' class='mouseoverHref'>Pérez Farfante, I. & Kensley, B. 1985. <i>Cryptopenaeus crosnieri</i>, a new species of shrimp, and a new record of <i>C. sinensis</i> (Penaeoidea: Solenoceridae) from Australian waters.</a> <!--MARK--><!--MARK--><a href='null4153f314-120d-40d7-987b-b5ba47399aec' class='mouseoverHref'><em>Proceedings of the Biological Society of Washington</em></a> <strong>98</strong>(1): 281-287<!--MARK-->","","Article in Journal","005938fc-f468-4d6c-a360-975db3637095","20081009T05:11:37.000+0000","4153f314-120d-40d7-987b-b5ba47399aec"
