"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Sedenia","Sedenia Guenée, 1854","CRAMBIDAE","Sedenia","","","","Valid Name","","Genus","","Guenée","1854","Y","a6a8b0ce-1554-4834-a63d-5a15c3b752df","20120927T01:27:00.927+0000","6afdcd4e-8372-4e5b-b14e-248db916de38","20121003T00:14:29.675+0000","e248bdec-cded-454d-a42f-7c04c647449c","6afdcd4e-8372-4e5b-b14e-248db916de38","","","","","","","","","","","","","","",""
"","","Sedenia","Sedenia Guenée, 1854","","Sedenia","","","","Synonym","synonym","Genus","","Guenée","1854","Y","93e3a943-f73b-4ed8-8767-6c44a01a1c1e","20120927T01:27:00.927+0000","6afdcd4e-8372-4e5b-b14e-248db916de38","20121003T00:14:29.675+0000","","a8073b27-00bc-4fc5-b42b-8b6ab34c3d35","Guenée, A.","1854","Deltoïdes et Pyralites","","Histoire Naturelle des Insectes. Species Général des Lépidoptères","","","","","<!--MARK--><a href='null316297ea-111c-46a3-880a-98f9e7f5b2c3' class='mouseoverHref'>Guenée, A. 1854. Deltoïdes et Pyralites.</a> <!--MARK--><em>In,</em> <!--MARK--><a href='null1a6da77c-cf2f-4385-992e-bd2934c3561d' class='mouseoverHref'>Boisduval, J.-A. & Guenée, A. (eds). <em>Histoire Naturelle des Insectes. Species Général des Lépidoptères</em>. Paris : Librarie Encyclopédique de Roret Vol. 8 448 pp., 10 pls.</a><!--MARK-->","","Chapter in Book","316297ea-111c-46a3-880a-98f9e7f5b2c3","20081009T05:11:37.000+0000","1a6da77c-cf2f-4385-992e-bd2934c3561d"
"","","achroa","Sedenia achroa Lower, 1902","CRAMBIDAE","Sedenia","","achroa","","Valid Name","","Species","","Lower","1902","Y","215a45d3-cd15-4bdc-bd23-f6712f3ef40e","20120927T01:27:00.927+0000","424717e3-3da8-4763-800c-2e5e180d5b1b","20140623T04:05:12.327+0000","6afdcd4e-8372-4e5b-b14e-248db916de38","424717e3-3da8-4763-800c-2e5e180d5b1b","","","","","","","","","","","","","","",""
"","","achroa","Sedenia achroa Lower, 1902","","Sedenia","","achroa","","Synonym","synonym","Species","","Lower","1902","Y","706e522a-fa18-43d3-b89a-73443e83f9a3","20140623T04:05:12.327+0000","424717e3-3da8-4763-800c-2e5e180d5b1b","20140623T04:05:12.327+0000","","def48e33-b1b6-49b8-a252-6d1c6565d53c","Lower, O.B.","1902","Descriptions of new Australian Lepidoptera","639-671","","Proceedings of the Linnean Society of New South Wales","","20 May 1902","","<!--MARK--><a href='nullfcabcf68-5b0d-4772-a1cf-474feaf90a0a' class='mouseoverHref'>Lower, O.B. 1902. Descriptions of new Australian Lepidoptera.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> <strong>26</strong>: 639-671<!--MARK--> [Date published 20 May 1902: the journal issue was scheduled for 1901]","the journal issue was scheduled for 1901","Article in Journal","fcabcf68-5b0d-4772-a1cf-474feaf90a0a","20120305T21:49:36.446+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","leucopepla","Sedenia leucopepla Turner, 1905","","Sedenia","","leucopepla","","Synonym","synonym","Species","","Turner","1905","Y","0dfc53fd-4119-4c9a-9e06-d2fda07c134c","20120927T01:27:00.927+0000","424717e3-3da8-4763-800c-2e5e180d5b1b","20140623T04:05:12.327+0000","","","","","","","","","","","","","","","","",""
"","","aspasta","Sedenia aspasta Meyrick, 1887","CRAMBIDAE","Sedenia","","aspasta","","Valid Name","","Species","","Meyrick","1887","Y","2dc78d6f-ea05-4a52-8f5c-bbf2ca349275","20120927T01:27:00.927+0000","98f84b3b-3c2b-495c-a546-facd94da9e98","20121003T00:14:29.675+0000","6afdcd4e-8372-4e5b-b14e-248db916de38","98f84b3b-3c2b-495c-a546-facd94da9e98","","","","","","","","","","","","","","",""
"","","aspasta","Sedenia aspasta Meyrick, 1887","","Sedenia","","aspasta","","Synonym","synonym","Species","","Meyrick","1887","Y","0cfec142-fcae-4a5f-ae68-40dae2d7e227","20120927T01:27:00.927+0000","98f84b3b-3c2b-495c-a546-facd94da9e98","20121003T00:14:29.675+0000","","f318dcea-9c96-429c-9acd-20d07056336d","Meyrick, E.","1887","On Pyralidina from Australia and the South Pacific","185-268","","Transactions of the Entomological Society of London","","","","<!--MARK--><a href='nulle1b8f462-a6c6-43d1-8cf3-b03b831333a0' class='mouseoverHref'>Meyrick, E. 1887. On Pyralidina from Australia and the South Pacific.</a> <!--MARK--><!--MARK--><a href='null5cf355b3-abc5-451e-9abc-ed3282d7811a' class='mouseoverHref'><em>Transactions of the Entomological Society of London</em></a> <strong>1887</strong>: 185-268<!--MARK-->","","Article in Journal","e1b8f462-a6c6-43d1-8cf3-b03b831333a0","20081009T05:11:37.000+0000","5cf355b3-abc5-451e-9abc-ed3282d7811a"
"","","atacta","Sedenia atacta (Turner, 1942)","CRAMBIDAE","Sedenia","","atacta","","Valid Name","","Species","","Turner","1942","N","e6ebb4e7-a463-4690-916c-4f77369270ad","20120927T01:27:00.927+0000","9ef0344a-3bf0-4954-98cf-57aa1ed2e577","20121003T00:14:29.675+0000","6afdcd4e-8372-4e5b-b14e-248db916de38","9ef0344a-3bf0-4954-98cf-57aa1ed2e577","","","","","","","","","","","","","","",""
"","","atacta","Talis atacta Turner, 1942","","Talis","","atacta","","Synonym","synonym","Species","","Turner","1942","Y","46959311-a89e-4867-b787-42e3a9fcaaf8","20120927T01:27:00.927+0000","9ef0344a-3bf0-4954-98cf-57aa1ed2e577","20121003T00:14:29.675+0000","","3604d6e4-df24-4c48-9ba8-6868928988f4","Turner, A.J.","1942","Fragmenta lepidopterologica","61-95","","Proceedings of the Royal Society of Queensland","","","","<!--MARK--><a href='null8dc170eb-8e09-4f35-8f9c-e9ae190b1b74' class='mouseoverHref'>Turner, A.J. 1942. Fragmenta lepidopterologica.</a> <!--MARK--><!--MARK--><a href='null642ab613-813a-48d0-8bc0-42c78157f7b0' class='mouseoverHref'><em>Proceedings of the Royal Society of Queensland</em></a> <strong>53</strong>(1941): 61-95<!--MARK-->","","Article in Journal","8dc170eb-8e09-4f35-8f9c-e9ae190b1b74","20160121T22:18:38.655+0000","642ab613-813a-48d0-8bc0-42c78157f7b0"
"","","cervalis","Sedenia cervalis Guenée, 1854","CRAMBIDAE","Sedenia","","cervalis","","Valid Name","","Species","","Guenée","1854","Y","00e95b4a-6189-4c20-b5f0-ace991781707","20120927T01:27:00.927+0000","40498077-59cd-4602-9d35-8421d78fec37","20121003T00:14:29.675+0000","6afdcd4e-8372-4e5b-b14e-248db916de38","40498077-59cd-4602-9d35-8421d78fec37","","","","","","","","","","","","","","",""
