"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Tapinoma","Tapinoma Förster, 1850","FORMICIDAE","Tapinoma","","","","Valid Name","","Genus","","Förster","1850","Y","e2185fca-4f34-4c99-b51f-40e009177fb7","20161222T04:50:26.823+0000","8a5a7221-ba93-4e19-8c99-966c5df0566a","20170518T07:15:32.127+0000","d4a0e762-e7ab-48c8-a731-fa588475a0f5","8a5a7221-ba93-4e19-8c99-966c5df0566a","","","","","","","","","","","","","","",""
"","","Tapinoma","Tapinoma Förster, 1850","","Tapinoma","","","","Synonym","synonym","Genus","","Förster","1850","Y","8c5e2b82-a741-40ba-98da-2d22e5ac5fb1","20161222T04:50:26.823+0000","8a5a7221-ba93-4e19-8c99-966c5df0566a","20170518T07:15:32.127+0000","","68b20921-f7de-4ed0-8c81-f59b2551ec10","Förster, A.","1850","Hymenopterologische Studien. Formicariae","74 pp.","","","","","Ernst ter Meer","<!--MARK--><a href='null09b6d37e-bb72-45a6-ab38-ed9de6255184' class='mouseoverHref'>Förster, A. 1850. <em>Hymenopterologische Studien. Formicariae</em>. Aachen : Ernst ter Meer 74 pp.</a><!--MARK-->","","Book","09b6d37e-bb72-45a6-ab38-ed9de6255184","20100126T23:39:08.359+0000",""
"","","melanocephalum","Tapinoma melanocephalum (Fabricius, 1793)","FORMICIDAE","Tapinoma","","melanocephalum","","Valid Name","","Species","","Fabricius","1793","N","1b916e9b-6557-4a60-b77d-cf882634fccf","20161222T04:50:26.823+0000","8b8d4ef7-30bd-4ed6-939e-5717bf9d7b2d","20170518T07:15:32.127+0000","8a5a7221-ba93-4e19-8c99-966c5df0566a","8b8d4ef7-30bd-4ed6-939e-5717bf9d7b2d","","","","","","","","","","","","","","",""
"","","melanocephalum","Formica melanocephalum Fabricius, 1793","","Formica","","melanocephalum","","Synonym","synonym","Species","","Fabricius","1793","Y","19715bd7-af68-4d9c-980f-edf03fea7df1","20161222T04:50:26.823+0000","8b8d4ef7-30bd-4ed6-939e-5717bf9d7b2d","20170518T07:15:32.127+0000","","016e6711-98a2-443d-b6f5-83af3b5f4949","Fabricius, J.C.","1793","Entomologia Systematica Emendata et Aucta. Secundum, Classes, Ordines, Genera, Species, adjectis synonimis [sic], locis, observationibus, descriptionibus","viii 519 pp.","","","","","Christ. Gottl. Proft.","<!--MARK--><a href='nullb9ebeabd-b7a9-4e75-92a6-9fac4e6c76ab' class='mouseoverHref'>Fabricius, J.C. 1793. <em>Entomologia Systematica Emendata et Aucta. Secundum, Classes, Ordines, Genera, Species, adjectis synonimis [sic], locis, observationibus, descriptionibus</em>. Hafniae : Christ. Gottl. Proft. Vol. 2 viii 519 pp.</a><!--MARK-->","","Book","b9ebeabd-b7a9-4e75-92a6-9fac4e6c76ab","20150716T00:40:13.644+0000",""
"","","minutum","Tapinoma minutum Mayr, 1862","FORMICIDAE","Tapinoma","","minutum","","Valid Name","","Species","","Mayr","1862","Y","b5e6e9e5-f166-4dc3-b215-1700df522eeb","20161222T04:50:26.823+0000","19dee229-a7f1-4241-87a4-aadf16440ab2","20170518T07:15:32.127+0000","8a5a7221-ba93-4e19-8c99-966c5df0566a","19dee229-a7f1-4241-87a4-aadf16440ab2","","","","","","","","","","","","","","",""
"","","broomense","Tapinoma minutum broomense Forel, 1915","FORMICIDAE","Tapinoma","","minutum","broomense","Valid Name","","Subspecies","","Forel","1915","Y","25abaa4a-15b6-48f1-be09-572f3bc95534","20161222T04:50:26.823+0000","d52f8a92-d41b-441e-96be-30816850e0ce","20170518T07:15:32.127+0000","19dee229-a7f1-4241-87a4-aadf16440ab2","d52f8a92-d41b-441e-96be-30816850e0ce","","","","","","","","","","","","","","",""
"","","broomensis","Tapinoma minutum broomensis Forel, 1915","","Tapinoma","","minutum","broomensis","Synonym","synonym","Subspecies","","Forel","1915","Y","0c22d2a3-f1d9-48b5-b954-38f7d7500fde","20161222T04:50:26.823+0000","d52f8a92-d41b-441e-96be-30816850e0ce","20170518T07:15:32.127+0000","","85d85a25-2c03-4312-a5d7-895067856517","Forel, A.","1915","Results of Dr. E. Mjöbergs Swedish Scientific Expeditions to Australia 1910-1913. 2. Ameisen","1-119, pls 1-3","","Arkiv för Zoologi","","4 Dec. 1915","","<!--MARK--><a href='null754605fe-9d76-4139-a599-27700cd29d6c' class='mouseoverHref'>Forel, A. 1915. Results of Dr. E. Mjöbergs Swedish Scientific Expeditions to Australia 1910-1913. 2. Ameisen.</a> <!--MARK--><!--MARK--><a href='nullea0f28cc-317a-4542-aaf0-5fa8122b7a93' class='mouseoverHref'><em>Arkiv för Zoologi</em></a> <strong>9</strong>(no.16): 1-119, pls 1-3<!--MARK--> [Date published 4 Dec. 1915]","","Article in Journal","754605fe-9d76-4139-a599-27700cd29d6c","20170119T05:38:42.679+0000","ea0f28cc-317a-4542-aaf0-5fa8122b7a93"
"","","cephalicum","Tapinoma minutum cephalicum Santschi, 1928","FORMICIDAE","Tapinoma","","minutum","cephalicum","Valid Name","","Subspecies","","Santschi","1928","Y","b71be35f-91e0-4786-98bf-c0abdc997c13","20161222T04:50:26.823+0000","92809ab1-d8fe-409a-aa7d-0113f9eb7a2b","20170518T07:15:32.127+0000","19dee229-a7f1-4241-87a4-aadf16440ab2","92809ab1-d8fe-409a-aa7d-0113f9eb7a2b","","","","","","","","","","","","","","",""
"","","cephalicum","Tapinoma (Micromyrma) minutum cephalicum Santschi, 1928","","Tapinoma","Micromyrma","minutum","cephalicum","Synonym","synonym","Subspecies","","Santschi","1928","Y","c7a38dd5-ac6c-49c4-bafe-a9c4d5482d20","20161222T04:50:26.823+0000","92809ab1-d8fe-409a-aa7d-0113f9eb7a2b","20170518T07:15:32.127+0000","","88690e8b-c9b5-4c88-bdcb-33c332b7c232","Santschi, F.","1928","Nouvelles fourmis d'Australie","465-483","","Bulletin de la Société Vaudoise des Sciences Naturelles","","","","<!--MARK--><a href='null03f903a4-aebb-4841-ae63-ae2108e45737' class='mouseoverHref'>Santschi, F. 1928. Nouvelles fourmis d'Australie.</a> <!--MARK--><!--MARK--><a href='null7cc7ca27-1066-4ebf-a5b4-4631f8d94eb6' class='mouseoverHref'><em>Bulletin de la Société Vaudoise des Sciences Naturelles</em></a> <strong>56</strong>: 465-483<!--MARK--> [30 Aug. 1928]","30 Aug. 1928","Article in Journal","03f903a4-aebb-4841-ae63-ae2108e45737","20081009T05:11:37.000+0000","7cc7ca27-1066-4ebf-a5b4-4631f8d94eb6"
"","","integrum","Tapinoma minutum integrum Forel, 1902","FORMICIDAE","Tapinoma","","minutum","integrum","Valid Name","","Subspecies","","Forel","1902","Y","05b404de-08eb-4d92-9dfe-a3d8e7d8ff2b","20161222T04:50:26.823+0000","9f923e48-fb9c-461d-a522-b2a02a499e13","20170518T07:15:32.127+0000","19dee229-a7f1-4241-87a4-aadf16440ab2","9f923e48-fb9c-461d-a522-b2a02a499e13","","","","","","","","","","","","","","",""
