"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","URISTIDAE","URISTIDAE Hurley, 1963","URISTIDAE","","","","","Valid Name","","Family","","Hurley","1963","Y","cacaaa8e-2624-4079-a956-6478d5507808","20160212T03:27:01.762+0000","0601857a-c213-4ca4-b8dc-a230e856f05d","20170323T23:01:35.391+0000","18ce2d70-a35e-4b6b-9e37-d2154ad1aecb","0601857a-c213-4ca4-b8dc-a230e856f05d","","","","","","","","","","","","","","",""
"","","Euonyx","Euonyx Norman, 1867","URISTIDAE","Euonyx","","","","Valid Name","","Genus","","Norman","1867","Y","3d028be3-f14f-41fe-8b5c-f4c451fe43c7","20160212T03:27:01.762+0000","26d5b009-88ce-4111-b529-5feaf1581851","20170323T23:01:35.391+0000","0601857a-c213-4ca4-b8dc-a230e856f05d","26d5b009-88ce-4111-b529-5feaf1581851","","","","","","","","","","","","","","",""
"","","Euonyx","Euonyx Norman, 1867","URISTIDAE","Euonyx","","","","Synonym","synonym","Genus","","Norman","1867","Y","b7444f07-8acb-4e07-af99-bd42e8ac5258","20160212T03:27:01.762+0000","26d5b009-88ce-4111-b529-5feaf1581851","20170323T23:01:35.391+0000","","ef5d76a0-4f61-48a6-8db1-610f26164d20","Norman, A.M.","1867","Report of the committee appointed for the purpose of exploring the coasts of the Hebrides by means of the dredge. Part II. On the Crustacea, Echinodermata, Polyzoa, Actinozoa and Hydrozoa","193-206","","Reports of the British Association","","","","<!--MARK--><a href='null3e556c98-de9e-465f-aedc-b0db3086ad46' class='mouseoverHref'>Norman, A.M. 1867. Report of the committee appointed for the purpose of exploring the coasts of the Hebrides by means of the dredge. Part II. On the Crustacea, Echinodermata, Polyzoa, Actinozoa and Hydrozoa.</a> <!--MARK--><!--MARK--><a href='null96c711ba-12cf-41cd-bb79-d040f67e0ac2' class='mouseoverHref'><em>Reports of the British Association</em></a> <strong>36</strong>: 193-206<!--MARK-->","","Article in Journal","3e556c98-de9e-465f-aedc-b0db3086ad46","20081009T05:11:37.000+0000","96c711ba-12cf-41cd-bb79-d040f67e0ac2"
"","","Leptochela","Leptochela Boeck, 1876","","","","","","Synonym","synonym","Genus","homonym, Decapoda","Boeck","1876","Y","9e74508c-ba4a-4021-80f4-a5f303e12983","20160212T03:27:01.762+0000","26d5b009-88ce-4111-b529-5feaf1581851","20170323T23:01:35.391+0000","","5142e348-dc8b-4eba-8983-76af6c6ece2f","Boeck, A.","1876","De Skandinaviske og Arktiske Amphipoder. Part 2","pp. 1-713, pls 168-132","","","","","A.W. Brögger","<!--MARK--><a href='nulld095de90-7d2a-4a66-813c-05a0675ef793' class='mouseoverHref'>Boeck, A. 1876. <em>De Skandinaviske og Arktiske Amphipoder. Part 2</em>. Christiania : A.W. Brögger pp. 1-713, pls 168-132.</a><!--MARK-->","","Book","d095de90-7d2a-4a66-813c-05a0675ef793","20141208T00:15:50.407+0000",""
"","","xarifa","Euonyx xarifa Lowry & Kilgallen, 2014","URISTIDAE","Euonyx","","xarifa","","Valid Name","","Species","","Lowry & Kilgallen","2014","Y","f24284d0-287d-4760-bc23-82816bb1250d","20160212T03:27:01.762+0000","e2f1e7ce-0955-4abb-a3dd-e8b2e844597d","20170323T23:01:35.391+0000","26d5b009-88ce-4111-b529-5feaf1581851","e2f1e7ce-0955-4abb-a3dd-e8b2e844597d","","","","","","","","","","","","","","",""
"","","xarifa","Euonyx xarifa Lowry & Kilgallen, 2014","URISTIDAE","Euonyx","","xarifa","","Synonym","synonym","Species","","Lowry & Kilgallen","2014","Y","b88eedda-0ec1-496b-a563-6e297411fc46","20160212T03:27:01.762+0000","e2f1e7ce-0955-4abb-a3dd-e8b2e844597d","20170323T23:01:35.391+0000","","ba004768-acde-4ae3-8af0-b670ae06072d","Lowry, J.K. & Kilgallen, N.M.","2014","A generic review of the lysianassoid family Uristidae and descriptions of new taxa from Australian waters (Crustacea, Amphipoda, Uristidae)","1-92","","Zootaxa","","","","<!--MARK--><a href='null54d0fef1-42fa-4fe9-b732-cacbe1f7685d' class='mouseoverHref'>Lowry, J.K. & Kilgallen, N.M. 2014. A generic review of the lysianassoid family Uristidae and descriptions of new taxa from Australian waters (Crustacea, Amphipoda, Uristidae).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3867</strong>(1): 1-92<!--MARK-->","","Article in Journal","54d0fef1-42fa-4fe9-b732-cacbe1f7685d","20141104T22:39:15.006+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","urania","Euonyx urania Lowry & Kilgallen, 2014","URISTIDAE","Euonyx","","urania","","Valid Name","","Species","","Lowry & Kilgallen","2014","Y","89398e0e-e832-4105-b1bf-4dd34a751465","20160212T03:27:01.762+0000","ebf112e5-26bd-41d5-8960-9f8f0fa069c4","20170323T23:01:35.391+0000","26d5b009-88ce-4111-b529-5feaf1581851","ebf112e5-26bd-41d5-8960-9f8f0fa069c4","","","","","","","","","","","","","","",""
"","","urania","Euonyx urania Lowry & Kilgallen, 2014","URISTIDAE","Euonyx","","urania","","Synonym","synonym","Species","","Lowry & Kilgallen","2014","Y","0b69bc84-6246-4756-8d09-70ff6e1b937c","20160212T03:27:01.762+0000","ebf112e5-26bd-41d5-8960-9f8f0fa069c4","20170323T23:01:35.391+0000","","6c6aff54-e6df-4d2b-8ff0-40369f9cfb9b","Lowry, J.K. & Kilgallen, N.M.","2014","A generic review of the lysianassoid family Uristidae and descriptions of new taxa from Australian waters (Crustacea, Amphipoda, Uristidae)","1-92","","Zootaxa","","","","<!--MARK--><a href='null54d0fef1-42fa-4fe9-b732-cacbe1f7685d' class='mouseoverHref'>Lowry, J.K. & Kilgallen, N.M. 2014. A generic review of the lysianassoid family Uristidae and descriptions of new taxa from Australian waters (Crustacea, Amphipoda, Uristidae).</a> <!--MARK--><!--MARK--><a href='null96466227-221c-4922-ac97-1ac2dd946d0a' class='mouseoverHref'><em>Zootaxa</em></a> <strong>3867</strong>(1): 1-92<!--MARK-->","","Article in Journal","54d0fef1-42fa-4fe9-b732-cacbe1f7685d","20141104T22:39:15.006+0000","96466227-221c-4922-ac97-1ac2dd946d0a"
"","","Abyssorchomene","Abyssorchomene De Broyer, 1984","URISTIDAE","Abyssorchomene","","","","Valid Name","","Genus","","De Broyer","1984","Y","9d30fdac-3300-4010-ade1-3c63afca0275","20160212T03:27:01.762+0000","b6c18e86-a4bd-4d37-a110-5fc95de69293","20170323T23:01:35.391+0000","0601857a-c213-4ca4-b8dc-a230e856f05d","b6c18e86-a4bd-4d37-a110-5fc95de69293","","","","","","","","","","","","","","",""
"","","Abyssorchomene","Abyssorchomene De Broyer, 1984","","Abyssorchomene","","","","Synonym","synonym","Genus","","De Broyer","1984","Y","00c572a3-fb08-41b2-9a06-61e0f9a517a2","20160212T03:27:01.762+0000","b6c18e86-a4bd-4d37-a110-5fc95de69293","20170323T23:01:35.391+0000","","e6b4bbd1-1361-45f7-b66d-98eae810c5e0","De Broyer, C.","1984","Evolution du complexe <i>Orchomene</i> Boeck (Amphipoda, Lysianassidae)","197-198","","Annales de la Société Royale Zoologique de Belgique","","","","<!--MARK--><a href='null0316ce21-10c1-4953-b692-bc324f39f641' class='mouseoverHref'>De Broyer, C. 1984. Evolution du complexe <i>Orchomene</i> Boeck (Amphipoda, Lysianassidae).</a> <!--MARK--><!--MARK--><a href='null3f4668ef-23bf-4789-a571-cf1839ddbcb6' class='mouseoverHref'><em>Annales de la Société Royale Zoologique de Belgique</em></a> <strong>114</strong>(supplement 1): 197-198<!--MARK-->","","Article in Journal","0316ce21-10c1-4953-b692-bc324f39f641","20081009T05:11:37.000+0000","3f4668ef-23bf-4789-a571-cf1839ddbcb6"
