"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Vipio","Vipio Latreille, 1805","BRACONIDAE","Vipio","","","","Valid Name","","Genus","","Latreille","1805","Y","5daac4f3-bc78-4c8c-add2-50fad2fbab5a","20170529T23:10:02.894+0000","81b1ad9c-4541-4ea8-be6e-2345fccc7149","20170615T02:08:52.571+0000","edcb0e42-4b4a-43b8-90a4-aa9af362a691","81b1ad9c-4541-4ea8-be6e-2345fccc7149","","","","","","","","","","","","","","",""
"","","Vipio","Vipio Latreille, 1805","","","","","","Synonym","synonym","Genus","","Latreille","1805","Y","cf8a7162-a8a8-4852-bbb1-37b5f32d81b4","20170529T23:10:02.894+0000","81b1ad9c-4541-4ea8-be6e-2345fccc7149","20170615T02:08:52.571+0000","","f989ea4b-833a-4b7d-a8f8-4359f65ababa","Latreille, P.A.","1805","Histoire naturelle, Générale et Particulière, des Crustacés et des Insectes","432 pp.","","","","","F. Dufart","<!--MARK--><a href='null56721d48-359a-4ca8-bfa4-4a8383b17cbf' class='mouseoverHref'>Latreille, P.A. 1805. <em>Histoire naturelle, Générale et Particulière, des Crustacés et des Insectes</em>. Paris : F. Dufart Vol. 13 432 pp.</a><!--MARK-->","","Book","56721d48-359a-4ca8-bfa4-4a8383b17cbf","20081009T05:11:37.000+0000",""
"","","crenulatus","Vipio crenulatus (Szépligeti, 1905)","BRACONIDAE","Vipio","","crenulatus","","Valid Name","","Species","","Szépligeti","1905","N","7904bcb9-328a-4ad7-b424-df37b71453bf","20170529T23:10:02.894+0000","26f093a7-561b-4f01-be56-6f22c66fa338","20170615T02:08:52.571+0000","81b1ad9c-4541-4ea8-be6e-2345fccc7149","26f093a7-561b-4f01-be56-6f22c66fa338","","","","","","","","","","","","","","",""
"","","crenulatus","Iphiaulax crenulatus Szépligeti, 1905","","Iphiaulax","","crenulatus","","Synonym","synonym","Species","","Szépligeti","1905","Y","387b040b-725b-4c0b-a8de-762eaf601c87","20170529T23:10:02.894+0000","26f093a7-561b-4f01-be56-6f22c66fa338","20170615T02:08:52.571+0000","","7931fe2a-8f6b-40e8-bbb6-a460f12d7547","Szépligeti, G.V.","1905","Exotische Braconiden aus den Aethopischen, Orientalischen und Australischen Regionen","25-55","","Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)","","","","<!--MARK--><a href='null76685cd4-3a52-443e-9ea6-ba99a93878b0' class='mouseoverHref'>Szépligeti, G.V. 1905. Exotische Braconiden aus den Aethopischen, Orientalischen und Australischen Regionen.</a> <!--MARK--><!--MARK--><a href='nulle6f35874-0423-4fa1-bf45-655b9047e0c2' class='mouseoverHref'><em>Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)</em></a> <strong>3</strong>: 25-55<!--MARK-->","","Article in Journal","76685cd4-3a52-443e-9ea6-ba99a93878b0","20081009T05:11:37.000+0000","e6f35874-0423-4fa1-bf45-655b9047e0c2"
"","","crenulatus","Vipiellus crenulatus (Szépligeti, 1905)","","Vipiellus","","crenulatus","","Generic Combination","","Species","","Szépligeti","1905","N","b6096cd5-dfa7-428e-9a7d-2dd54d855113","20170529T23:10:02.894+0000","26f093a7-561b-4f01-be56-6f22c66fa338","20170615T02:08:52.571+0000","","deb9e56b-6914-47e7-b844-e71b07daa5ae","Quicke, D.L.J.","1991","The non-European Braconinae types of Szépligeti housed in Budapest (Hymenoptera, Braconidae).","169-186","","Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)","","","","<!--MARK--><a href='null25b00bbd-f5e9-4111-aa1c-258d734c211b' class='mouseoverHref'>Quicke, D.L.J. 1991. The non-European Braconinae types of Szépligeti housed in Budapest (Hymenoptera, Braconidae).</a> <!--MARK--><!--MARK--><a href='nulle6f35874-0423-4fa1-bf45-655b9047e0c2' class='mouseoverHref'><em>Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)</em></a> <strong>83</strong>: 169-186<!--MARK-->","","Article in Journal","25b00bbd-f5e9-4111-aa1c-258d734c211b","20110803T06:35:32.811+0000","e6f35874-0423-4fa1-bf45-655b9047e0c2"
"","","crenulatus","Ipobracon crenulatus (Szépligeti, 1905)","","Ipobracon","","crenulatus","","Generic Combination","","Species","","Szépligeti","1905","N","fab12886-6402-4adf-8189-f86bcc88a953","20170529T23:10:02.894+0000","26f093a7-561b-4f01-be56-6f22c66fa338","20170615T02:08:52.571+0000","","1573f2c3-4ae8-4f6d-aca6-1ad24507b074","Szépligeti, G.V.","1906","Braconiden aus der sammlung des ungarischen National-Museums I","547-618","","Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)","","","","<!--MARK--><a href='null51fb4e6e-7ace-43ff-bdb0-118c402a8432' class='mouseoverHref'>Szépligeti, G.V. 1906. Braconiden aus der sammlung des ungarischen National-Museums I.</a> <!--MARK--><!--MARK--><a href='nulle6f35874-0423-4fa1-bf45-655b9047e0c2' class='mouseoverHref'><em>Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)</em></a> <strong>4</strong>: 547-618<!--MARK-->","","Article in Journal","51fb4e6e-7ace-43ff-bdb0-118c402a8432","20081009T05:11:37.000+0000","e6f35874-0423-4fa1-bf45-655b9047e0c2"
"","","crenulatus","Vipio crenulatus (Szépligeti, 1905)","","Vipio","","crenulatus","","Generic Combination","","Species","","Szépligeti","1905","N","837c7369-0692-4ef1-8bab-c8920fc82b65","20170529T23:10:02.894+0000","26f093a7-561b-4f01-be56-6f22c66fa338","20170615T02:08:52.571+0000","","","","","","","","","","","","","","","","",""
"","","australiensis","Vipio australiensis (Szépligeti, 1905)","BRACONIDAE","Vipio","","australiensis","","Valid Name","","Species","","Szépligeti","1905","N","7813e975-ecc6-4e05-95cd-fd412ad7e350","20170529T23:10:02.894+0000","8a567bf7-c1de-401d-a595-0b37f91708bc","20170615T02:08:52.571+0000","81b1ad9c-4541-4ea8-be6e-2345fccc7149","8a567bf7-c1de-401d-a595-0b37f91708bc","","","","","","","","","","","","","","",""
"","","australiensis","Iphiaulax australiensis Szépligeti, 1905","","Iphiaulax","","australiensis","","Synonym","synonym","Species","","Szépligeti","1905","Y","78fc9cf2-88de-41a1-8f62-6413e0c7eb34","20170529T23:10:02.894+0000","8a567bf7-c1de-401d-a595-0b37f91708bc","20170615T02:08:52.571+0000","","72969626-e864-4d95-8884-e4c2a0e93e32","Szépligeti, G.V.","1905","Exotische Braconiden aus den Aethopischen, Orientalischen und Australischen Regionen","25-55","","Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)","","","","<!--MARK--><a href='null76685cd4-3a52-443e-9ea6-ba99a93878b0' class='mouseoverHref'>Szépligeti, G.V. 1905. Exotische Braconiden aus den Aethopischen, Orientalischen und Australischen Regionen.</a> <!--MARK--><!--MARK--><a href='nulle6f35874-0423-4fa1-bf45-655b9047e0c2' class='mouseoverHref'><em>Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)</em></a> <strong>3</strong>: 25-55<!--MARK-->","","Article in Journal","76685cd4-3a52-443e-9ea6-ba99a93878b0","20081009T05:11:37.000+0000","e6f35874-0423-4fa1-bf45-655b9047e0c2"
"","","australienis","Vipiellus australienis (Szépligeti, 1905)","","Vipiellus","","australienis","","Generic Combination","","Species","","Szépligeti","1905","N","8b2a3001-8436-4ece-9949-838cf8abc143","20170529T23:10:02.894+0000","8a567bf7-c1de-401d-a595-0b37f91708bc","20170615T02:08:52.571+0000","","81eb035f-b553-4bd4-8566-7082862e0513","Quicke, D.L.J.","1991","The non-European Braconinae types of Szépligeti housed in Budapest (Hymenoptera, Braconidae).","169-186","","Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)","","","","<!--MARK--><a href='null25b00bbd-f5e9-4111-aa1c-258d734c211b' class='mouseoverHref'>Quicke, D.L.J. 1991. The non-European Braconinae types of Szépligeti housed in Budapest (Hymenoptera, Braconidae).</a> <!--MARK--><!--MARK--><a href='nulle6f35874-0423-4fa1-bf45-655b9047e0c2' class='mouseoverHref'><em>Annales Historico-Naturales Musei Nationalis Hungarici (Zoologica)</em></a> <strong>83</strong>: 169-186<!--MARK-->","","Article in Journal","25b00bbd-f5e9-4111-aa1c-258d734c211b","20110803T06:35:32.811+0000","e6f35874-0423-4fa1-bf45-655b9047e0c2"
