"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37442000","XIPHIIDAE","XIPHIIDAE","XIPHIIDAE","","","","","Valid Name","","Family","","","","Y","424bbe6c-63ea-4229-860b-fa547a06aac4","20131008T23:07:52.756+0000","f20bd4d0-3837-48b1-964d-c38834013e59","20131008T23:07:52.756+0000","c828e93a-87d2-482a-a7c2-5d92c48490e4","f20bd4d0-3837-48b1-964d-c38834013e59","","","","","","","","","","","","","","",""
"","","Swordfish","","","","","","","Common Name","General","Family","","","","","d5c779ca-0dfb-4ac4-b3fb-ad8e3c272cd3","20110808T05:24:01.962+0000","f20bd4d0-3837-48b1-964d-c38834013e59","20131008T23:07:52.756+0000","","3d59708a-6ba4-47c5-8bbd-eb641a173560","Nakamura, I.","2001","Xiphiidae, Istiophoridae","3757-3764","The Living Marine Resources of the Western Central Pacific. FAO Species Identification Guide for Fisheries Purposes","","","","","<!--MARK--><a href='null1ab2b2fe-fc73-47b2-bd30-1c61d7717665' class='mouseoverHref'>Nakamura, I. 2001. Xiphiidae, Istiophoridae. pp. 3757-3764</a> <!--MARK--><em>in</em> <!--MARK--><a href='nullf7a9abc6-bfef-487f-b568-e3b76fd090d4' class='mouseoverHref'>Carpenter, K.E. & Niem, T.H. (eds). <em>The Living Marine Resources of the Western Central Pacific. FAO Species Identification Guide for Fisheries Purposes</em>. Rome : FAO Vol. 6 pp. 3381-4218.</a><!--MARK-->","","Chapter in Book","1ab2b2fe-fc73-47b2-bd30-1c61d7717665","20081009T05:11:37.000+0000","f7a9abc6-bfef-487f-b568-e3b76fd090d4"
"","","Xiphias","Xiphias Linnaeus, 1758","XIPHIIDAE","Xiphias","","","","Valid Name","","Genus","","Linnaeus","1758","Y","8c00521e-3e2a-433f-b534-5cf3f9daf566","20120502T06:59:21.186+0000","b2b54782-d62c-47af-a137-2c3a6671aeb1","20130515T07:06:12.126+0000","f20bd4d0-3837-48b1-964d-c38834013e59","b2b54782-d62c-47af-a137-2c3a6671aeb1","","","","","","","","","","","","","","",""
"","","Xiphias","Xiphias Linnaeus, 1758","","Xiphias","","","","Synonym","synonym","Genus","","Linnaeus","1758","Y","df31264b-1ec4-4227-a1f3-6e555825d32e","20110808T05:24:01.962+0000","b2b54782-d62c-47af-a137-2c3a6671aeb1","20130515T07:06:12.126+0000","","a353c001-857b-48ee-ad7b-2559794b5036","Linnaeus, C.","1758","Systema naturae per regna tria naturae, secundem classes, ordines, genera, species, cum characteribus, differentis, synonymis, locis. Editio decima, reformata","824","","","","","Laurentii Salvii","<!--MARK--><a href='null95f7aebe-acdc-4241-a7a8-403bf099042e' class='mouseoverHref'>Linnaeus, C. 1758. <em>Systema naturae per regna tria naturae, secundem classes, ordines, genera, species, cum characteribus, differentis, synonymis, locis. Editio decima, reformata</em>. Holmiae : Laurentii Salvii Tomus I 824 pp.</a><!--MARK-->","","Book","95f7aebe-acdc-4241-a7a8-403bf099042e","20171116T23:58:37.127+0000",""
"","37442001","gladius","Xiphias gladius Linnaeus, 1758","XIPHIIDAE","Xiphias","","gladius","","Valid Name","","Species","","Linnaeus","1758","Y","eb8d4c17-1e9e-45df-b941-75252048d6be","20131008T23:07:52.756+0000","d8c21d8c-584c-431d-aef4-f42812de096a","20131008T23:07:52.756+0000","b2b54782-d62c-47af-a137-2c3a6671aeb1","d8c21d8c-584c-431d-aef4-f42812de096a","","","","","","","","","","","","","","",""
"","","Broadbill","","","","","","","Common Name","General","Species","","","","","dab95c1d-a850-476a-81e9-fdb573926512","20110808T05:24:01.962+0000","d8c21d8c-584c-431d-aef4-f42812de096a","20131008T23:07:52.756+0000","","357279d9-b6df-44d8-a186-861665799e9e","Kailola, P.J., Williams, M.J., Stewart, P.C., Reichelt, R.E., McNee, A. & Grieve, C.","1993","Australian Fisheries Resources","422 pp.","","","","","Bureau of Resource Sciences and the Fisheries Research and Development Corporation","<!--MARK--><a href='null322030ad-8de5-49ac-898e-cf7f9256f111' class='mouseoverHref'>Kailola, P.J., Williams, M.J., Stewart, P.C., Reichelt, R.E., McNee, A. & Grieve, C. 1993. <em>Australian Fisheries Resources</em>. Canberra : Bureau of Resource Sciences and the Fisheries Research and Development Corporation 422 pp.</a><!--MARK-->","","Book","322030ad-8de5-49ac-898e-cf7f9256f111","20081009T05:11:37.000+0000",""
"","","Broadbill Swordfish","","","","","","","Common Name","General","Species","","","","","4ace7c28-d0c7-4144-ab08-46668907aa61","20110808T05:24:01.962+0000","d8c21d8c-584c-431d-aef4-f42812de096a","20131008T23:07:52.756+0000","","71db707c-1336-4aaa-9411-819561406a8e","Last, P.R., Scott, E.O.G. & Talbot, F.H.","1983","Fishes of Tasmania","563 pp. figs","","","","","Tasmanian Fisheries Development Authority","<!--MARK--><a href='null92c18f5d-3981-479f-983f-66920831d9e1' class='mouseoverHref'>Last, P.R., Scott, E.O.G. & Talbot, F.H. 1983. <em>Fishes of Tasmania</em>. Hobart : Tasmanian Fisheries Development Authority 563 pp. figs.</a><!--MARK-->","","Book","92c18f5d-3981-479f-983f-66920831d9e1","20081009T05:11:37.000+0000",""
"","","Swordfish","","","","","","","Common Name","Preferred","Species","","","","","3ae393a9-6d0d-45d8-943e-a0f865ce0737","20130514T08:02:25.571+0000","d8c21d8c-584c-431d-aef4-f42812de096a","20131008T23:07:52.756+0000","","6b4d5ab2-0597-45f8-8fe0-2a71b030553e","Seafood Services Australia","2008","Australian Fish Names Standard","","","","","","","<!--MARK--><a href='null4be1ce0c-a18a-4795-a6c0-b9ecb91bb936' class='mouseoverHref'>Seafood Services Australia 2008. Australian Fish Names Standard. http://www.fishnames.com.au/.</a>","","Miscellaneous","4be1ce0c-a18a-4795-a6c0-b9ecb91bb936","20081009T05:11:37.000+0000",""
"","","gladius","Xiphias gladius Linnaeus, 1758","","Xiphias","","gladius","","Synonym","synonym","Species","","Linnaeus","1758","Y","d0b56f80-b8ee-4082-8cfe-5236d303f3f5","20110808T05:24:01.962+0000","d8c21d8c-584c-431d-aef4-f42812de096a","20131008T23:07:52.756+0000","","6b3bab58-6df8-424e-be9b-83ca9bb2b494","Linnaeus, C.","1758","Systema naturae per regna tria naturae, secundem classes, ordines, genera, species, cum characteribus, differentis, synonymis, locis. Editio decima, reformata","824","","","","","Laurentii Salvii","<!--MARK--><a href='null95f7aebe-acdc-4241-a7a8-403bf099042e' class='mouseoverHref'>Linnaeus, C. 1758. <em>Systema naturae per regna tria naturae, secundem classes, ordines, genera, species, cum characteribus, differentis, synonymis, locis. Editio decima, reformata</em>. Holmiae : Laurentii Salvii Tomus I 824 pp.</a><!--MARK-->","","Book","95f7aebe-acdc-4241-a7a8-403bf099042e","20171116T23:58:37.127+0000",""
"","","estara","Xiphias estara Phillipps, 1932","","Xiphias","","estara","","Synonym","synonym","Species","","Phillipps","1932","Y","9ae2d844-4590-4547-9781-5a8594d75d7d","20120319T00:12:11.174+0000","d8c21d8c-584c-431d-aef4-f42812de096a","20131008T23:07:52.756+0000","","1986fb5b-1459-4d1f-ac37-d77f10ba01c3","Phillipps, W.J.","1932","Notes on new fishes from New Zealand","226-234 figs 1-5","","New Zealand Journal of Science and Technology","","","","<!--MARK--><a href='nulle94ecdab-5ffa-4f77-8d9e-01b05918141d' class='mouseoverHref'>Phillipps, W.J. 1932. Notes on new fishes from New Zealand.</a> <!--MARK--><!--MARK--><a href='nulld3882413-763d-4709-a08c-14cd80d3a38e' class='mouseoverHref'><em>New Zealand Journal of Science and Technology</em></a> <strong>13</strong>(4): 226-234 figs 1-5<!--MARK-->","","Article in Journal","e94ecdab-5ffa-4f77-8d9e-01b05918141d","20081009T05:11:37.000+0000","d3882413-763d-4709-a08c-14cd80d3a38e"
